,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
0,A1BG,-1.0,1.0,-0.01674732621479313,0.07229013289002474,2,0.0,1,1,A1BG-1,A1BG-2,Rest,0
1,PIK3R2,0.7453136777841423,0.4645994605410273,0.10746522267694711,6.153746732524617e-31,3,0.6666666666666666,2,2,PIK3R2-1,PIK3R2-2,Rest,2
2,PIK3C2A,0.7762846705397903,0.4342038794617344,0.032724240728304176,0.0004437638443774905,3,0.3333333333333333,1,2,PIK3C2A-1,PIK3C2A-2,Rest,1
3,PIK3CA,0.7185405892341247,0.28145941076587544,-0.03605220292327523,0.00010882167263861315,4,0.75,1,4,PIK3CA-1,PIK3CA-2,Rest,2
4,PIK3CB,0.9690887788378741,0.1587005057539502,0.04222311895673294,5.815267378407426e-06,3,1.0,2,2,PIK3CB-1,PIK3CB-2,Rest,2
5,PIK3CD,0.3734882333293084,0.10478871553357091,0.16555619292509685,1.4247659374808646e-71,20,0.5,1,19,PIK3CD-1,PIK3CD-2,Rest,2
6,PIK3CG,1.0,1.0,0.0882962495431169,2.2309838829583854e-21,2,1.0,2,1,PIK3CG-1,PIK3CG-2,Rest,2
7,PIK3IP1,,,-0.15350907880576642,1.1216126639710819e-61,1,1.0,1,1,PIK3IP1-1,PIK3IP1-2,Rest,2
8,PIK3R1,,,0.09603427394108476,5.191282803070697e-25,0,,0,0,PIK3R1-1,PIK3R1-2,Rest,2
9,PIK3R4,0.47546876369191315,1.0871174823224075e-05,0.1568506278650892,2.416346779188851e-64,78,0.8974358974358975,3,75,PIK3R4-1,PIK3R4-2,Rest,2
10,PEX7,,,0.00608217299813732,0.5139588382684369,0,,0,0,PEX7-1,PEX7-2,Rest,2
11,PIK3R5,,,0.12572557603605364,8.432310934955816e-42,1,1.0,1,1,PIK3R5-1,PIK3R5-2,Rest,2
12,PIK3R6,,,0.08475924661877733,8.092189108223713e-20,0,,0,0,PIK3R6-1,PIK3R6-2,Rest,2
13,PILRA,-1.0,1.0,-0.05893526006783724,2.453799121671611e-10,2,1.0,1,1,PILRA-1,PILRA-2,Rest,1
14,PILRB,,,0.15115714070686115,7.77927491369171e-60,1,1.0,1,1,PILRB-1,PILRB-2,Rest,2
15,PIM2,1.0,1.0,0.07268197422764805,5.725402876257559e-15,2,0.0,1,1,PIM2-1,PIM2-2,Rest,1
16,PIN4,0.5557565954399397,0.4442434045600603,0.08111122302358291,2.82068599120627e-18,4,0.5,2,2,PIN4-1,PIN4-2,Rest,2
17,PINK1,0.7972638618511848,0.41255989935791815,0.027461435718965133,0.0032040587757081666,3,0.6666666666666666,3,0,PINK1-1,PINK1-2,Rest,2
18,PIK3AP1,,,-0.05804543889971685,4.54296689988041e-10,1,0.0,1,0,PIK3AP1-1,PIK3AP1-2,Rest,0
19,PIH1D1,0.9972520546992005,0.04720615893122315,0.056017941993423956,1.787508905904001e-09,3,1.0,1,2,PIH1D1-1,PIH1D1-2,Rest,2
20,PIGW,0.9828051697758933,0.11822745463614677,0.1414205400532272,1.5822381744956713e-52,3,1.0,2,3,PIGW-1,PIGW-2,Rest,2
21,PIGV,0.25126926472188654,0.5142909718665741,-0.013735171117976085,0.14048298418849997,9,0.6666666666666666,9,1,PIGV-1,PIGV-2,Rest,2
22,PIGA,1.0,1.0,0.023617326769824847,0.011253213537446781,2,0.0,1,1,PIGA-1,PIGA-2,Rest,2
23,PIGB,0.012477695580505039,0.9165555615487048,-0.05019595392234313,7.048103285867161e-08,73,0.3972602739726027,70,4,PIGB-1,PIGB-2,Rest,2
24,PIGBOS1,,,-0.07856168389224522,3.0789647669009017e-17,1,1.0,0,1,PIGBOS1-1,PIGBOS1-2,Rest,2
25,PIGC,0.6308552205383641,0.12872984420796788,-0.013964501991419624,0.13397537384350122,7,0.7142857142857143,1,7,PIGC-1,PIGC-2,Rest,2
26,PIGG,,,0.11518563257665561,2.551951488099947e-35,1,1.0,1,1,PIGG-1,PIGG-2,Rest,2
27,PIGH,0.5361284433543366,7.560023057128898e-09,0.20533095619512992,6.931043025989544e-110,101,0.8712871287128713,67,34,PIGH-1,PIGH-2,Rest,2
28,PIGK,,,0.06370515081455771,7.745964807207371e-12,1,1.0,1,1,PIGK-1,PIGK-2,Rest,2
29,PIGL,0.6942735099222226,0.5114516269256512,0.08729808146962369,6.237809059050738e-21,3,0.3333333333333333,1,3,PIGL-1,PIGL-2,Rest,2
30,PIGM,,,0.11929581298165877,8.875377588585987e-38,1,1.0,1,1,PIGM-1,PIGM-2,Rest,2
