,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
0,ENSG00000012963,UBR7,Stim8hr,491.0,0,2,2,-12.952741924258245,True,43.1691957283989,True,2-10 DE genes,on-target KD,ENSG00000012963,ENSG00000012963_Stim8hr,UBR7
1,ENSG00000017260,ATP2C1,Stim8hr,469.0,0,1,1,-16.307246387967343,True,102.39902522532932,False,1 DE gene,on-target KD,ENSG00000017260,ENSG00000017260_Stim8hr,ATP2C1
2,ENSG00000067606,PRKCZ,Stim8hr,427.0,1,1,2,-1.658755366919608,False,0.9658972575281288,False,2-10 DE genes,no on-target KD,ENSG00000067606,ENSG00000067606_Stim8hr,PRKCZ
3,ENSG00000092929,UNC13D,Stim8hr,830.0,0,2,2,-19.259466040631825,True,60.90448280130588,False,2-10 DE genes,on-target KD,ENSG00000092929,ENSG00000092929_Stim8hr,UNC13D
4,ENSG00000100504,PYGL,Stim8hr,414.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,ENSG00000100504,ENSG00000100504_Stim8hr,PYGL
5,ENSG00000102901,CENPT,Stim8hr,23.0,33,7,40,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000102901,ENSG00000102901_Stim8hr,CENPT
6,ENSG00000103479,RBL2,Stim8hr,433.0,4,5,9,-14.150025106298644,True,61.80762869039572,False,2-10 DE genes,on-target KD,ENSG00000103479,ENSG00000103479_Stim8hr,RBL2
7,ENSG00000104368,PLAT,Stim8hr,411.0,1051,260,1311,-1.683048434140694,False,3.810755262235027,False,>10 DE genes,no on-target KD,ENSG00000104368,ENSG00000104368_Stim8hr,PLAT
8,ENSG00000105374,NKG7,Stim8hr,504.0,0,5,5,-15.886471503499855,True,175.23270603677037,True,2-10 DE genes,on-target KD,ENSG00000105374,ENSG00000105374_Stim8hr,NKG7
9,ENSG00000107863,ARHGAP21,Stim8hr,352.0,0,2,2,-9.56054914734816,True,27.00085554403696,False,2-10 DE genes,on-target KD,ENSG00000107863,ENSG00000107863_Stim8hr,ARHGAP21
10,ENSG00000109971,HSPA8,Stim8hr,210.0,47,13,60,-19.75476047963793,True,2034.834971027488,False,>10 DE genes,on-target KD,ENSG00000109971,ENSG00000109971_Stim8hr,HSPA8
11,ENSG00000116157,GPX7,Stim8hr,260.0,0,1,1,-7.551227166922288,True,27.29962213155573,False,1 DE gene,on-target KD,ENSG00000116157,ENSG00000116157_Stim8hr,GPX7
12,ENSG00000123159,GIPC1,Stim8hr,529.0,2,5,7,-6.973559970368184,True,18.760194272146503,False,2-10 DE genes,on-target KD,ENSG00000123159,ENSG00000123159_Stim8hr,GIPC1
13,ENSG00000124253,PCK1,Stim8hr,419.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000124253,ENSG00000124253_Stim8hr,PCK1
14,ENSG00000124571,XPO5,Stim8hr,331.0,0,7,7,-13.212390905038264,True,211.1694039258708,False,2-10 DE genes,on-target KD,ENSG00000124571,ENSG00000124571_Stim8hr,XPO5
15,ENSG00000127084,FGD3,Stim8hr,572.0,6,6,12,-17.93661257108916,True,72.57973874750071,False,>10 DE genes,on-target KD,ENSG00000127084,ENSG00000127084_Stim8hr,FGD3
16,ENSG00000128607,KLHDC10,Stim8hr,1257.0,68,8,76,-17.154518348800938,True,29.83198350590344,False,>10 DE genes,on-target KD,ENSG00000128607,ENSG00000128607_Stim8hr,KLHDC10
17,ENSG00000128645,HOXD1,Stim8hr,365.0,4,1,5,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000128645,ENSG00000128645_Stim8hr,HOXD1
18,ENSG00000129116,PALLD,Stim8hr,509.0,0,0,0,-0.9272221328629284,False,24.09411994247982,False,no effect,no on-target KD,ENSG00000129116,ENSG00000129116_Stim8hr,PALLD
19,ENSG00000129422,MTUS1,Stim8hr,676.0,2,1,3,-4.615348280077297,True,3.312157421187581,False,2-10 DE genes,on-target KD,ENSG00000129422,ENSG00000129422_Stim8hr,MTUS1
20,ENSG00000132612,VPS4A,Stim8hr,342.0,2,3,5,-20.484652283188304,True,140.7384076316321,False,2-10 DE genes,on-target KD,ENSG00000132612,ENSG00000132612_Stim8hr,VPS4A
21,ENSG00000133106,EPSTI1,Stim8hr,802.0,2,2,4,-14.97736252998399,True,67.50962079775744,False,2-10 DE genes,on-target KD,ENSG00000133106,ENSG00000133106_Stim8hr,EPSTI1
22,ENSG00000138101,DTNB,Stim8hr,193.0,10,6,16,-5.192742236539447,True,18.674330294583413,False,>10 DE genes,on-target KD,ENSG00000138101,ENSG00000138101_Stim8hr,DTNB
23,ENSG00000145911,N4BP3,Stim8hr,737.0,0,1,1,-4.7993191490309375,True,4.274859932594897,False,1 DE gene,on-target KD,ENSG00000145911,ENSG00000145911_Stim8hr,N4BP3
24,ENSG00000147804,SLC39A4,Stim8hr,1044.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000147804,ENSG00000147804_Stim8hr,SLC39A4
25,ENSG00000154124,OTULIN,Stim8hr,613.0,0,1,1,-18.873019654445468,True,66.97731523772141,False,1 DE gene,on-target KD,ENSG00000154124,ENSG00000154124_Stim8hr,OTULIN
26,ENSG00000158710,TAGLN2,Stim8hr,631.0,0,1,1,-18.131267714950265,True,70.82176957943186,False,1 DE gene,on-target KD,ENSG00000158710,ENSG00000158710_Stim8hr,TAGLN2
27,ENSG00000162073,PAQR4,Stim8hr,585.0,0,7,7,-5.753778470791329,True,6.960793802257214,False,2-10 DE genes,on-target KD,ENSG00000162073,ENSG00000162073_Stim8hr,PAQR4
28,ENSG00000162591,MEGF6,Stim8hr,742.0,0,0,0,-0.4298353948950882,False,0.2390323371672996,False,no effect,no on-target KD,ENSG00000162591,ENSG00000162591_Stim8hr,MEGF6
29,ENSG00000163600,ICOS,Stim8hr,658.0,175,36,211,-16.50948463561438,True,632.2104680264275,False,>10 DE genes,on-target KD,ENSG00000163600,ENSG00000163600_Stim8hr,ICOS
30,ENSG00000164256,PRDM9,Stim8hr,1178.0,1,2,3,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000164256,ENSG00000164256_Stim8hr,PRDM9
31,ENSG00000164828,SUN1,Stim8hr,45.0,35,3,38,-3.4882571675623315,False,58.70714156470958,False,>10 DE genes,no on-target KD,ENSG00000164828,ENSG00000164828_Stim8hr,SUN1
32,ENSG00000164953,TMEM67,Stim8hr,794.0,1,0,1,-3.8523713034764846,False,2.188696535134571,False,1 DE gene,no on-target KD,ENSG00000164953,ENSG00000164953_Stim8hr,TMEM67
33,ENSG00000166676,TVP23A,Stim8hr,567.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000166676,ENSG00000166676_Stim8hr,TVP23A
34,ENSG00000166965,RCCD1,Stim8hr,558.0,2,13,15,-11.328114181342226,True,25.702260913008743,False,>10 DE genes,on-target KD,ENSG00000166965,ENSG00000166965_Stim8hr,RCCD1
35,ENSG00000167769,ACER1,Stim8hr,469.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000167769,ENSG00000167769_Stim8hr,ACER1
36,ENSG00000168876,ANKRD49,Stim8hr,228.0,50,7,57,-5.611561326837524,True,25.143570250975703,True,>10 DE genes,on-target KD,ENSG00000168876,ENSG00000168876_Stim8hr,ANKRD49
37,ENSG00000172869,DMXL1,Stim8hr,282.0,8,6,14,-9.442049033224032,True,37.14546752749875,False,>10 DE genes,on-target KD,ENSG00000172869,ENSG00000172869_Stim8hr,DMXL1
38,ENSG00000173137,ADCK5,Stim8hr,1062.0,1,1,2,-6.670362160535378,True,4.750881280012417,False,2-10 DE genes,on-target KD,ENSG00000173137,ENSG00000173137_Stim8hr,ADCK5
39,ENSG00000173253,DMRT2,Stim8hr,437.0,1,1,2,-1.249956647865477,False,0.9981227210897357,False,2-10 DE genes,no on-target KD,ENSG00000173253,ENSG00000173253_Stim8hr,DMRT2
