gene_id,gene_name,gene_biotype,Donor10_NTC_cpm,Donor10_NTC_count,Donor10_CYB5R4_cpm,Donor10_CYB5R4_count,Donor10_SGF29_cpm,Donor10_SGF29_count,Donor10_ATP2A2_cpm,Donor10_ATP2A2_count,Donor10_KDM1A_cpm,Donor10_KDM1A_count
ENSG00000000003,TSPAN6,protein_coding,0.093270829,1,0.286468002,3,0.115765576,1,0.990522509,3,0.220433617,2
ENSG00000000005,TNMD,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,protein_coding,132.3046714,1418.5,134.0670251,1404,126.6475402,1094,104.3350376,316,122.7815247,1114
ENSG00000000457,SCYL3,protein_coding,11.56558283,124,9.835401416,103,11.34502646,98,10.23539926,31,13.0055834,118
ENSG00000000460,FIRRM,protein_coding,4.663541465,50,7.16170006,75,13.31304125,115,4.622438375,14,6.502791701,59
ENSG00000000938,FGR,protein_coding,0,0,0,0,0,0,0.33017417,1,0,0
ENSG00000000971,CFH,protein_coding,0.233177073,2.5,0.143234001,1.5,0.810359033,7,1.320696679,4,0.716409255,6.5
ENSG00000001036,FUCA2,protein_coding,15.76277015,169,18.71590949,196,25.46842674,220,18.4897535,56,22.0433617,200
ENSG00000001084,GCLC,protein_coding,29.93993621,321,25.16143954,263.5,23.38464637,202,25.09323689,76,25.68051638,233
ENSG00000001167,NFYA,protein_coding,23.56674044,252.67,22.85346234,239.33,26.97337923,233,19.48027601,59,21.60249447,196
ENSG00000001460,STPG1,protein_coding,3.730833172,40,3.533105363,37,5.556747652,48,4.622438375,14,4.79443117,43.5
ENSG00000001461,NIPAL3,protein_coding,21.35901991,229,21.19863218,222,29.5202219,255,26.0837594,79,34.38764425,312
ENSG00000001497,LAS1L,protein_coding,75.36283008,808,67.51095923,707,76.05798348,657,61.41239555,186,70.86940786,643
ENSG00000001561,ENPP4,protein_coding,10.35306205,111,10.40833742,109,10.07160512,87,13.86731513,42,9.588862339,87
ENSG00000001617,SEMA3F,protein_coding,0.746166634,8,0.477446671,5,1.273421337,11,0.990522509,3,0.661300851,6
ENSG00000001626,CFTR,protein_coding,0,0,0.190978668,2,0.115765576,1,0,0,0.110216808,1
ENSG00000001629,ANKIB1,protein_coding,37.30833172,400,34.47164962,361,39.70759259,343,34.99846198,106,37.80436531,343
ENSG00000001630,CYP51A1,protein_coding,41.49992279,444.94,38.01525881,398.11,49.30918947,425.94,34.86969406,105.61,40.63252862,368.66
ENSG00000001631,KRIT1,protein_coding,33.28183002,356.83,30.97005574,324.33,34.67179003,299.5,37.86107203,114.67,36.9413677,335.17
ENSG00000002016,RAD52,protein_coding,3.31111444,35.5,4.010552034,42,3.53085007,30.5,3.301741696,10,3.086070638,28
ENSG00000002330,BAD,protein_coding,8.394374637,90,15.3737828,161,18.63825775,161,15.1880118,46,11.90341532,108
ENSG00000002549,LAP3,protein_coding,82.40477769,883.5,77.39410531,810.5,103.3786594,893,83.86423909,254,83.93009967,761.5
ENSG00000002586,CD99,protein_coding,196.5990521,2107.83,121.175965,1269,197.4960728,1706,204.0476368,618,151.5293748,1374.83
ENSG00000002587,HS3ST1,protein_coding,46.07578968,494,52.80560178,553,32.18283015,278,57.45030552,174,49.04647978,445
ENSG00000002726,AOC1,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,WNT16,protein_coding,0,0,0,0,0,0,0.33017417,1,0.110216808,1
ENSG00000002746,HECW1,protein_coding,0.093270829,1,0,0,0,0,0,0,0,0
ENSG00000002822,MAD1L1,protein_coding,5.642885173,60.5,4.893828374,51.25,7.582645233,65.5,6.273309223,19,4.353563936,39.5
ENSG00000002834,LASP1,protein_coding,138.0874628,1480.5,171.8330568,1799.5,148.1799374,1280,108.7923889,329.5,128.1270399,1162.5
ENSG00000002919,SNX11,protein_coding,30.59283201,328,32.1799056,337,53.94675845,466,44.90368707,136,45.96040914,417
ENSG00000002933,TMEM176A,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,M6PR,protein_coding,120.9722656,1297,108.3727551,1134.92,113.122648,977.17,104.3350376,316,115.3418901,1046.5
ENSG00000003096,KLHL13,protein_coding,0.932708293,10,0.859404007,9,0.810359033,7,0,0,0.991951276,9
ENSG00000003137,CYP26B1,protein_coding,0,0,0,0,0,0,0,0,0.110216808,1
ENSG00000003147,ICA1,protein_coding,0.769484342,8.25,0.954893341,10,3.617674252,31.25,3.631915866,11,4.629105957,42
ENSG00000003249,DBNDD1,protein_coding,0.093270829,1,0.095489334,1,0.231531152,2,0.990522509,3,0,0
ENSG00000003393,ALS2,protein_coding,9.933343321,106.5,10.31284809,108,10.18737069,88,11.22592177,34,7.825393403,71
ENSG00000003400,CASP10,protein_coding,5.502978929,59,5.920338716,62,9.029714934,78,8.91470258,27,7.274309361,66
ENSG00000003402,CFLAR,protein_coding,370.075333,3967.75,310.1655905,3248.17,371.0576127,3205.25,376.2334663,1139.5,486.7449805,4416.25
ENSG00000003436,TFPI,protein_coding,0.652895805,7,1.050382675,11,0.694593456,6,0.33017417,1,0.771517659,7
ENSG00000003509,NDUFAF7,protein_coding,7.834749662,84,5.442892046,57,8.219355901,71,8.91470258,27,6.392574893,58
ENSG00000003756,RBM5,protein_coding,69.58003866,746,68.80006524,720.5,70.26970468,607,67.85079186,205.5,66.68116914,605
ENSG00000003987,MTMR7,protein_coding,0,0,0.095489334,1,0,0,0,0,0,0
ENSG00000003989,SLC7A2,protein_coding,0.186541659,2,0.668425339,7,0.231531152,2,0.33017417,1,0.440867234,4
ENSG00000004059,ARF5,protein_coding,115.84237,1242,104.7756719,1097.25,116.344404,1005,103.6746893,314,116.416504,1056.25
ENSG00000004139,SARM1,protein_coding,14.27043688,153,11.31548609,118.5,15.04952489,130,6.273309223,19,15.04459436,136.5
ENSG00000004142,POLDIP2,protein_coding,86.36878794,926,92.72014344,971,81.73049671,706,75.60988485,229,84.97715935,771
ENSG00000004399,PLXND1,protein_coding,0.466354147,5,0.286468002,3,0.810359033,7,0.990522509,3,0.991951276,9
ENSG00000004455,AK2,protein_coding,163.3638575,1751.5,180.506353,1890.33,166.7024295,1440,141.8098059,429.5,160.6961068,1458
ENSG00000004468,CD38,protein_coding,38.61412333,414,31.51148026,330,30.90940881,267,40.2812487,122,29.20745425,265
ENSG00000004478,FKBP4,protein_coding,107.074912,1148,108.5713729,1137,87.17147878,753,84.35950035,255.5,109.1146404,990
ENSG00000004487,KDM1A,protein_coding,73.87049681,792,72.95385128,764,70.65520405,610.33,57.12013135,173,2.571358142,23.33
ENSG00000004534,RBM6,protein_coding,73.87049681,792,74.29070196,778,62.97647338,544,66.53009518,201.5,71.86135914,652
ENSG00000004660,CAMKK1,protein_coding,4.476999807,48,3.151148026,33,4.167560739,36,1.650870848,5,1.763468936,16
ENSG00000004700,RECQL,protein_coding,27.56153006,295.5,31.09801145,325.67,60.06265383,518.83,43.08772914,130.5,47.52218132,431.17
ENSG00000004766,VPS50,protein_coding,8.860728784,95,8.689529406,91,11.34502646,98,10.23539926,31,12.67493298,115
ENSG00000004776,HSPB6,protein_coding,0,0,0.095489334,1,0,0,0.33017417,1,0.110216808,1
ENSG00000004777,ARHGAP33,protein_coding,1.492333269,16,1.14587201,12,2.199545945,19,2.641393357,8,1.43281851,13
ENSG00000004779,NDUFAB1,protein_coding,331.2979857,3552,329.3188411,3448.75,320.7864113,2771,305.7412811,926,305.4107763,2771
ENSG00000004799,PDK4,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000004809,SLC22A16,protein_coding,0,0,0,0,0.115765576,1,0,0,0,0
ENSG00000004838,ZMYND10,protein_coding,0.093270829,1,0,0,0.115765576,1,0.33017417,1,0.220433617,2
ENSG00000004846,ABCB5,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000004848,ARX,protein_coding,0.093270829,1,0.190978668,2,0.115765576,1,0,0,0,0
ENSG00000004864,SLC25A13,protein_coding,16.60220762,178,13.94144278,146,16.67024295,144,15.84836014,48,13.06069181,118.5
ENSG00000004866,ST7,protein_coding,23.39512211,250.83,34.37616029,360,34.90332119,301.5,19.64536309,59.5,41.60684521,377.5
ENSG00000004897,CDC27,protein_coding,53.0403225,568.67,58.1367713,608.83,55.95297588,483.33,59.43135054,180,56.30205229,510.83
ENSG00000004939,SLC4A1,protein_coding,0,0,0,0,0.115765576,1,0,0,0,0
ENSG00000004948,CALCR,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,HCCS,protein_coding,31.05918616,333,34.47164962,361,30.15693257,260.5,25.75358523,78,28.87680383,262
ENSG00000004975,DVL2,protein_coding,24.29705103,260.5,19.5753135,205,25.35266116,219,18.81992767,57,21.82292808,198
ENSG00000005001,PRSS22,protein_coding,0,0,0.095489334,1,0,0,0,0,0,0
ENSG00000005007,UPF1,protein_coding,114.1634951,1224,105.3247355,1103,102.9155971,889,72.96849149,221,106.8000874,969
ENSG00000005020,SKAP2,protein_coding,8.394374637,90,6.970721392,73,17.82789872,154,18.4897535,56,26.04753835,236.33
