gene_id,gene_name,gene_biotype,Donor8_ELOB_cpm,Donor8_ELOB_count,Donor8_GATA3_cpm,Donor8_GATA3_count,Donor8_SGF29_cpm,Donor8_SGF29_count,Donor8_MED24_cpm,Donor8_MED24_count,Donor8_NFKB2_cpm,Donor8_NFKB2_count,Donor8_KDM1A_cpm,Donor8_KDM1A_count,Donor8_NTC1_cpm,Donor8_NTC1_count,Donor8_NTC2_cpm,Donor8_NTC2_count,Donor8_NTC3_cpm,Donor8_NTC3_count
ENSG00000000003,TSPAN6,protein_coding,1.173710099,7,0,0,1.313450311,9,1.892347973,12,0.742510773,6,0.408204684,3,0.729625447,6,0.354161498,3,0.64328937,5
ENSG00000000005,TNMD,protein_coding,0,0,0.129947564,1,0,0,0.157695664,1,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,protein_coding,132.4615683,790,125.2694521,964,124.1940238,851,128.3642708,814,109.6440908,886,128.4484072,944,133.2782484,1096,143.7895681,1218,134.4474783,1045
ENSG00000000457,SCYL3,protein_coding,7.461442772,44.5,12.60491375,97,14.15607557,97,11.19639217,71,14.76730175,119.33,9.04853716,66.5,10.94438171,90,10.78185653,91.33,11.57920865,90
ENSG00000000460,FIRRM,protein_coding,12.40779248,74,12.86480888,99,17.95048758,123,13.08874015,83,14.35520827,116,12.11007229,89,16.90298953,139,13.22202925,112,13.63773464,106
ENSG00000000938,FGR,protein_coding,0,0,0.129947564,1,0.43781677,3,0.315391329,2,0.123751795,1,0.544272912,4,0.121604241,1,0.118053833,1,0,0
ENSG00000000971,CFH,protein_coding,1.92823802,11.5,0.259895129,2,1.094541926,7.5,0.394239161,2.5,0.433131284,3.5,2.38119399,17.5,0.364812724,3,0.649296079,5.5,0.385973622,3
ENSG00000001036,FUCA2,protein_coding,33.86992,202,21.89616461,168.5,39.2575704,269,22.39278435,142,36.38302786,294,29.25466901,215,23.83443128,196,27.506543,233,27.6614429,215
ENSG00000001084,GCLC,protein_coding,23.30652911,139,17.93276389,138,18.53424328,127,15.76956644,100,14.60271186,118,14.55930039,107,19.4566786,160,18.77055938,159,20.7139177,161
ENSG00000001167,NFYA,protein_coding,23.52953403,140.33,22.48092865,173,21.1611439,145,20.65813204,131,18.72735921,151.33,15.5566805,114.33,22.86159735,188,17.62897882,149.33,18.95516457,147.33
ENSG00000001460,STPG1,protein_coding,7.545279208,45,3.638531804,28,8.026640789,55,4.625213837,29.33,4.269436943,34.5,6.123070259,45,3.830533599,31.5,5.253395551,44.5,5.918262201,46
ENSG00000001461,NIPAL3,protein_coding,31.69017267,189,22.32889,171.83,32.83625777,225,23.96974099,152,37.43491813,302.5,30.68338541,225.5,27.64429216,227.33,28.92318899,245,27.27546928,212
ENSG00000001497,LAS1L,protein_coding,68.9135501,411,101.2291527,779,87.56335406,600,87.83648508,557,89.47254812,723,71.23171734,523.5,91.32478517,751,82.51962899,699,76.93740862,598
ENSG00000001561,ENPP4,protein_coding,12.07244673,72,5.8476404,45,11.8210528,81,10.88100084,69,6.930100546,56,9.116571274,67,7.661067198,63,9.208198944,78,10.29262992,80
ENSG00000001617,SEMA3F,protein_coding,0.503018614,3,0.129947564,1,0.291877847,2,0.157695664,1,0,0,0,0,0.121604241,1,0.354161498,3,0.514631496,4
ENSG00000001626,CFTR,protein_coding,0.167672871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128657874,1
ENSG00000001629,ANKIB1,protein_coding,30.01344396,179,30.3427563,233.5,36.04691409,247,31.69682855,201,37.43491813,302.5,29.11860079,214,31.43469636,258.5,32.28772322,273.5,33.32238935,259
ENSG00000001630,CYP51A1,protein_coding,21.04294535,125.5,30.08286117,231.5,28.55440976,195.66,35.29702056,223.83,30.31918989,245,29.39073724,216,31.59643,259.83,30.47677743,258.16,30.81356081,239.5
ENSG00000001631,KRIT1,protein_coding,21.75555505,129.75,32.2049049,247.83,44.53618126,305.17,36.91340112,234.08,38.65139828,312.33,30.60446584,224.92,32.56926393,267.83,31.54044246,267.17,32.50798501,252.67
ENSG00000002016,RAD52,protein_coding,3.521130297,21,3.833453151,29.5,4.013320394,27.5,3.311608953,21,3.588802068,29,3.809910383,28,5.107378132,42,3.010372732,25.5,3.924065155,30.5
ENSG00000002330,BAD,protein_coding,33.53457426,200,19.7520298,152,25.5393116,175,17.50421875,111,21.16155702,171,20.81843888,153,17.51101074,144,21.24968987,180,18.2694181,142
ENSG00000002549,LAP3,protein_coding,128.4374194,766,112.7944859,868,119.5239783,819,74.11696227,470,131.2387791,1060.5,84.6344378,622,97.40499723,801,103.7102919,878.5,107.6866405,837
ENSG00000002586,CD99,protein_coding,171.0263287,1020,221.5930843,1705.25,198.2215427,1358.25,226.9240611,1439,179.099786,1447.25,160.3564067,1178.5,176.590031,1452.17,174.7491857,1480.25,174.9103796,1359.5
ENSG00000002587,HS3ST1,protein_coding,11.40175525,68,8.576539253,66,2.626900622,18,1.41926098,9,6.930100546,56,10.40921944,76.5,4.985773891,41,4.604099472,39,4.760341336,37
ENSG00000002726,AOC1,protein_coding,0.670691485,4,0,0,0,0,0.157695664,1,0,0,0,0,0.121604241,1,0,0,0.128657874,1
ENSG00000002745,WNT16,protein_coding,0,0,0.129947564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,HECW1,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,MAD1L1,protein_coding,9.389680792,56,8.251670342,63.5,9.121182714,62.5,7.175152731,45.5,7.579797472,61.25,6.123070259,45,8.451494766,69.5,8.14571445,69,8.877393302,69
ENSG00000002834,LASP1,protein_coding,112.8438424,673,151.6488077,1167,141.925603,972.5,162.8996213,1033,165.8274059,1340,142.1912982,1045,145.9250895,1200,143.1792298,1212.83,135.5410702,1053.5
ENSG00000002919,SNX11,protein_coding,11.0664095,66,25.2098275,194,16.34515942,112,19.23887106,122,23.01783396,186,19.4577566,143,23.46961856,193,16.88169806,143,17.24015511,134
ENSG00000002933,TMEM176A,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0.0401294,0.33,0,0,0,0
ENSG00000003056,M6PR,protein_coding,81.20900175,484.33,134.4736381,1034.83,108.5303992,743.67,181.3373984,1149.92,117.5431679,949.83,113.2536682,832.33,124.1579303,1021,116.7941982,989.33,114.5055078,890
ENSG00000003096,KLHL13,protein_coding,0.335345743,2,0.389842693,3,1.167511387,8,0.630782658,4,0.742510773,6,0.816409368,6,0.608021206,5,0.47221533,4,1.157920865,9
ENSG00000003137,CYP26B1,protein_coding,0.335345743,2,0,0,0.145938923,1,0.473086993,3,0.371255386,3,0,0,0,0,0,0,0.257315748,2
ENSG00000003147,ICA1,protein_coding,2.179747327,13,1.981700358,15.25,2.772839545,19,1.734652308,11,1.237517955,10,6.531274943,48,1.216042412,10,1.770807489,15,1.929868109,15
ENSG00000003249,DBNDD1,protein_coding,0.335345743,2,0,0,0.729694617,5,0.473086993,3,0.247503591,2,0.272136456,2,0.729625447,6,0.590269163,5,0.257315748,2
ENSG00000003393,ALS2,protein_coding,12.40779248,74,11.82522836,91,14.37498396,98.5,13.24643581,84,11.11662379,89.83,11.15759469,82,8.795634769,72.33,8.854037446,75,10.35695885,80.5
