symbol	globalScore	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PTPN22	0.6560642840193237	No data	1	0	1	1	0	0	No data	0.2202542196290893	-0.7777096794822363	0	No data	No data	0	0.5	0
NCF2	0.5563775721127431	No data	0	0	0	0	0	0.23004000000000033	No data	-0.20347989164409253	-0.7158847057458151	0	No data	No data	0	0.5	0
TYK2	0.5725751218688058	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.9014193774316098	0	No data	No data	0	-1	0
WDFY4	0.5412417325923238	No data	0	0	0	0	0	0.06407000000000025	No data	-0.7503646593040216	0	0	No data	No data	0	0.5	0
IRF5	0.6510239630222338	No data	0	0	0	0	0	0.27043000000000034	No data	-0.3823713273598667	-0.632939079468739	0	No data	No data	0	-1	0
TNIP1	0.5441264589640096	No data	0	0	0	0	0	0.1666649999999997	No data	-0.6339862471348198	-0.9421435043774714	0	No data	No data	0	-1	-1
FCGR2A	0.5752168979192298	No data	1	0	0	0	0	0	No data	0.49468639299854145	-0.9111105592264029	0	No data	No data	-0.6372250000000002	0.5	-1
TNFAIP3	0.529247467953098	No data	0	0	0	0	0	0.39873499999999995	No data	-0.8903938320483434	-0.8825640198650078	0	No data	-1	0	0.5	-1
BLK	0.6893686223277639	1	0	0	1	1	0	0.3069299999999998	1	0.31266930610543864	0	0	No data	No data	-0.05940499999999993	0.75	0.5
BANK1	0.5669134087150289	No data	1	0	0	0	0	0	No data	-0.1021046051260679	0	0	No data	No data	0	0.75	0
SLC15A4	0.5152019889931433	No data	0	0	0	0	0	0.31542499999999973	No data	0.10387580745988756	-0.22864165022634442	0	No data	No data	0	-1	-1
IL10	0.5267740712031881	0.5	0	1	0	0	0	0	No data	0.16045009376953523	-0.9605896874209293	0	-1	No data	0	0.5	0
DGKQ	0.47700984424146103	No data	0	0	0	0	0	0.028659999999999998	No data	-0.2546363825797041	0	0	No data	No data	0	-1	-1
JAZF1	0.4748283897157464	No data	0	0	0	0	0	0.9794249999999998	No data	-0.6228380912690143	-0.37488308494159406	0	No data	No data	No data	0.5	-1
BACH2	0.47423670093070774	No data	0	0	0	0	0	0.5005949999999999	No data	-0.8465305271931652	-0.35063214038584284	0	No data	No data	0	0.75	0
ITGAM	0.5192440624774487	0.5	1	0	1	1	0	0	No data	-0.34027922483850803	-0.25739421921387784	0	No data	No data	-0.02777750000000001	1	0
STAT4	0.5788589315572514	No data	0	0	0	1	0	0.7393050000000002	No data	-0.6938945613669514	-0.6979722743392575	0	No data	No data	0	0.5	-1
FCGR2B	0.5740198314617656	0.75	1	0	0	0	0	0	No data	-0.3412169201917066	-0.9111105592264029	0	No data	No data	-0.60484	1	-1
ARID5B	0.45711663878294073	No data	1	0	0	0	0	0.39814999999999967	No data	-0.9734319649927068	-0.8666773335478478	0	-1	No data	0	0.5	-1
IKZF1	0.45156328702246273	No data	0	0	1	1	0	0.6242750000000001	0	-0.936340904355074	-0.9049832714841854	0	No data	-1	0	0.75	0
