gene	ensg	P_withShet	beta_withShet	betaSE_withShet	P_pearson	R_pearson	R_pearson_CIlower	R_pearson_CIupper
TSPAN6	ENSG00000000003	0.225130717439058	0.0116487134002483	0.00960269131104617	0.168715437797926	0.013292295929853	-0.00563686511113565	0.0322119344717838
DPM1	ENSG00000000419	0.77544577738559	0.00273930629121044	0.0096026344791087	0.859153953262058	0.00171384375583821	-0.0172144575115742	0.0206409170254164
SCYL3	ENSG00000000457	0.397296319269662	0.0081293427742216	0.00960354862461356	0.294702131540808	0.0101201163291219	-0.00880931394770421	0.0290422960937286
C1orf112	ENSG00000000460	0.419022197725672	0.00776418563972226	0.00960735767288418	0.668227887366171	0.00413927169023317	-0.0147896298782234	0.0230652074430959
FGR	ENSG00000000938	0.507645360966345	-0.00636274263686249	0.00960369369049829	0.651989400669673	-0.00435579226383229	-0.0232816156479642	0.0145731520685805
CFH	ENSG00000000971	0.656211599215784	0.0042764721455009	0.00960655030357664	0.434542290766097	0.00754715578541291	-0.0113822130151053	0.0264711172140908
FUCA2	ENSG00000001036	0.196037490801719	-0.0124158622593427	0.00960233757520204	0.254627166621675	-0.0110020224800213	-0.0299235339442961	0.00792737118740976
GCLC	ENSG00000001084	0.196139109420855	-0.0124119832273674	0.00960151901475271	0.188035899975317	-0.0127135448611682	-0.0316336754186809	0.0062156937196239
NFYA	ENSG00000001167	0.997854321167687	-0.0000258240506762235	0.00960260488021784	0.881417920756329	-0.00144065265946304	-0.0203669576060458	0.0174866844435742
STPG1	ENSG00000001460	0.193226661067875	0.012493143849517	0.00960143536135544	0.208454512427644	0.0121477877066022	-0.00678151441266298	0.0310683869903983
NIPAL3	ENSG00000001461	0.889287691212486	0.00133676976582996	0.00960261715014677	0.808942349275517	0.00233523973010891	-0.0165932365487923	0.0212620427747328
LAS1L	ENSG00000001497	0.795522113115941	0.00248925382882034	0.00960534177667852	0.962175169874002	-0.000458006766422466	-0.0193846990206971	0.0184690136276843
ENPP4	ENSG00000001561	0.148299762132901	-0.0138898099767301	0.00960788807032987	0.30621834165808	-0.00988184129322342	-0.0288041965731961	0.00904759382161519
CFTR	ENSG00000001626	0.764023228340147	-0.0028845599919686	0.00960849208219749	0.904743630521583	0.00115574402427035	-0.0177715050134539	0.0200821650278888
ANKIB1	ENSG00000001629	0.553239324757189	0.00569315283982562	0.00960169984062632	0.52508857689307	0.00613759381303622	-0.0127907523226356	0.0250615428224346
CYP51A1	ENSG00000001630	0.825628858449176	0.00211575699994328	0.00960326124318166	0.95756590471626	0.000513892431439733	-0.0184140295228683	0.0194414461722061
KRIT1	ENSG00000001631	0.26465777561442	-0.0107111086973611	0.0096020003527804	0.309301343292292	-0.00981906616614633	-0.0287414673294225	0.00911036986551953
RAD52	ENSG00000002016	0.959663751560464	0.000485716365951474	0.00960355497612188	0.813523789412265	0.00227817864673543	-0.0166502821706995	0.0212050071145852
BAD	ENSG00000002330	0.739906393244494	-0.00318792039789296	0.0096025775729477	0.822326509182116	-0.00216876316666644	-0.0210956400393286	0.0167596676584842
LAP3	ENSG00000002549	0.288584590737424	-0.0101903759107622	0.00960192771871658	0.261143188865531	-0.0108524415639796	-0.0297740684506743	0.00807696038669729
CD99	ENSG00000002586	0.25284266699238	-0.0109805326245952	0.00960228284430047	0.312934174770884	-0.0097456238415456	-0.0286680784957614	0.00918381307334811
HS3ST1	ENSG00000002587	0.878705343127939	-0.00146596393915247	0.00960568065730325	0.867723445299793	0.00160849189640728	-0.0173188956479402	0.0205347270363686
AOC1	ENSG00000002726	0.747205934758976	-0.00309591710215797	0.00960468563553513	0.965044675792904	-0.000423237825379471	-0.0193499431144971	0.0185037706933046
HECW1	ENSG00000002746	0.394913212504927	0.00817105038196512	0.00960424076483236	0.276373921158911	0.0105125815801427	-0.00841683604147346	0.0294344675705335
MAD1L1	ENSG00000002822	0.688150911393139	-0.00385402495719424	0.00960201824561292	0.624614040864835	-0.00472567853259626	-0.0236504234783921	0.0142024520598359
LASP1	ENSG00000002834	0.266905972647439	0.0106664044155229	0.00960700381644356	0.139804626597925	0.0142596685504191	-0.00466933456285954	0.0331784564185242
SNX11	ENSG00000002919	0.94828716428653	0.000622884467561287	0.00960361285705264	0.899856725755236	-0.00121539964114187	-0.0201426791076919	0.0177127506809341
TMEM176A	ENSG00000002933	0.705244515387927	-0.00363258524844393	0.00960339363617819	0.867067575905809	-0.0016165420166512	-0.0205427737816709	0.0173108479202351
M6PR	ENSG00000003056	0.140905046865362	-0.0141387141613091	0.00960159631421575	0.170265997804956	-0.0132440746612	-0.0321637546813313	0.00568509332478021
KLHL13	ENSG00000003096	0.0356309287943929	-0.0201806126469604	0.00960350611258322	0.0753330485368961	-0.0171742304282164	-0.0360893597211597	0.00175319974989054
ICA1	ENSG00000003147	0.438091203820441	-0.00744584766593281	0.00960197629888342	0.428452257734962	-0.00764760029244521	-0.0265714968644217	0.0112817756093011
DBNDD1	ENSG00000003249	0.206901200206513	-0.0121229272875506	0.00960453561764552	0.329559406236272	-0.00941647231437361	-0.0283391641966948	0.00951296605026777
ALS2	ENSG00000003393	0.877196427760481	-0.00148408134995898	0.00960397056187254	0.952630465424104	0.000573729080748521	-0.0183542130792163	0.0195012601531197
CASP10	ENSG00000003400	0.477699488605065	0.00682100861409571	0.00960661599252753	0.293205551881222	0.0101515351985841	-0.00877789427988537	0.0290736916595563
TFPI	ENSG00000003436	0.160636417628083	-0.0134730518599161	0.00960281517482793	0.229792250162321	-0.0115979869459385	-0.0305190301393692	0.00733136530689298
NDUFAF7	ENSG00000003509	0.514325302023395	-0.0062616025335953	0.00960163365417959	0.539972182891162	-0.00591869819256351	-0.0248427755389354	0.0130096194689514
RBM5	ENSG00000003756	0.37747688947622	0.0084782334215266	0.00960606892257148	0.226329696430855	0.0116846445588658	-0.00724470055199383	0.0306056185437424
SLC7A2	ENSG00000003989	0.734920383647017	-0.00325205180749189	0.00960450634173223	0.945568243792759	-0.000659358710856356	-0.0195859745789796	0.0182677295559821
ARF5	ENSG00000004059	0.990369750575781	0.000115904693228618	0.00960246810282423	0.93633290680546	-0.000771487749684909	-0.01969894293973	0.0181565202255838
SARM1	ENSG00000004139	0.830153214542523	0.00205976907757784	0.00960219188619775	0.834505232462113	0.00201783935911467	-0.0169105493522277	0.0209447822563072
POLDIP2	ENSG00000004142	0.931091071656007	0.00083035491759632	0.00960234174790296	0.998715519409671	-0.0000155482011781331	-0.0189432854706016	0.0189122002088253
PLXND1	ENSG00000004399	0.0317863132557335	-0.020632385132818	0.0096082183185687	0.0937656309876219	-0.0161845919524077	-0.0351015818555256	0.00274399148017804
CD38	ENSG00000004468	0.00199042311734041	-0.0297026364942385	0.00960498447139423	0.00818128010464327	-0.0255366829196224	-0.0444429441882881	-0.00661213606298717
FKBP4	ENSG00000004478	0.427199532973025	-0.00762514123761338	0.00960317250240959	0.333292072102059	-0.00934406458551063	-0.0282668081041248	0.00958537354760784
KDM1A	ENSG00000004487	0.249193352553177	-0.0110713060548366	0.00960739444008672	0.126112694625595	-0.0147723702253265	-0.0336906928949949	0.00415653481778895
