,target,effect_size,standard_error,num,neg|goodsgrna,pos|goodsgrna,pvalue,phenotype,perturbation_type,goodsgrna
37860,VAV1,-2.916,0.5811351983962979,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37861,LCP2,-1.8811,0.3748880046993402,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37862,CD3G,-2.6665,0.5314118678064912,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37863,IL2,-2.6101,0.5201718042984147,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37864,CD3D,-2.4943,0.49709380156374683,12,10,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,10
37865,CD28,-1.7262,0.344017688433364,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37866,ZAP70,-2.7808,0.5541909326819017,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37867,CD3E,-1.9643,0.39146909129281476,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37868,ITK,-1.4513,0.28923234342679943,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37869,CD2,-1.9383,0.38628750173235393,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37870,IFNGR2,-0.81108,0.16164167925763692,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37871,DEF6,-1.1362,0.22643546379213775,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37872,RAC2,-1.1531,0.22980349700643726,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37873,CD247,-1.5909,0.31705349352835055,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37874,GRAP2,-1.187,0.2365594926256535,12,8,2,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,10
37875,PLCG1,-1.0269,0.20465285844758513,12,10,2,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37876,VPS35,-0.66985,0.1334956833490261,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37877,LAT,-0.89413,0.1781928720651858,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37878,VPS29,-0.75477,0.15041955202111584,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37879,KIDINS220,-0.88006,0.17538883494535182,12,9,1,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,10
37880,TAF13,-0.86301,0.17199090794512656,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37881,WAS,-0.98659,0.19661940170980916,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37882,TRIM21,-0.79531,0.15849884589731125,12,12,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37883,TRAF6,-0.73739,0.14695585869185393,12,10,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,10
37884,RHOG,-0.57695,0.11498146526568725,12,10,1,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37885,SHOC2,-0.76584,0.15262571342243508,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37886,SULT2B1,-0.44473,0.0886310894316823,12,8,1,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,9
37887,TAF2,-0.60729,0.1210279816989327,12,11,1,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,12
37888,SCRIB,-0.69826,0.1391575664033604,12,9,1,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,10
37889,RIPOR2,-0.5006,0.09976552822948791,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37890,BCL10,-0.47398,0.09446037768720071,12,8,1,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,9
37891,TAF8,-0.7202,0.14353003082476465,12,11,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,11
37892,SRP68,-0.70717,0.1409332572873491,12,8,0,2.6138e-07,Prim.CRi.CD4.IL2,CRISPRi,8
37893,SPRYD3,-0.47902,0.10561884635537773,12,8,2,2.8752e-06,Prim.CRi.CD4.IL2,CRISPRi,10
37894,TAF11,-0.44789,0.10186358017509976,12,11,0,5.4889e-06,Prim.CRi.CD4.IL2,CRISPRi,11
37895,PTPRC,-0.86005,0.19560108984258312,12,10,0,5.4889e-06,Prim.CRi.CD4.IL2,CRISPRi,10
37896,TAF4,-0.85363,0.1958338617388719,12,11,0,6.5344e-06,Prim.CRi.CD4.IL2,CRISPRi,11
37897,RPN2,-0.47427,0.11160804243703525,12,9,0,1.0716e-05,Prim.CRi.CD4.IL2,CRISPRi,9
37898,MED23,-0.50573,0.11945736197003587,12,9,2,1.1501e-05,Prim.CRi.CD4.IL2,CRISPRi,11
37899,LOC101927322,-0.64741,0.1547668012707354,12,8,0,1.4376e-05,Prim.CRi.CD4.IL2,CRISPRi,8
37900,ELOF1,-0.41498,0.09976568188811953,12,10,0,1.5944e-05,Prim.CRi.CD4.IL2,CRISPRi,10
37901,SRP19,-0.61578,0.151774174090749,12,10,0,2.4831e-05,Prim.CRi.CD4.IL2,CRISPRi,10
37902,KIAA1109,-0.38221,0.09442948584977602,12,10,1,2.5876e-05,Prim.CRi.CD4.IL2,CRISPRi,11
37903,PRKD2,-0.55872,0.13803836198421512,12,11,0,2.5876e-05,Prim.CRi.CD4.IL2,CRISPRi,11
37904,TLN1,-0.49084,0.1220783114070875,12,9,1,2.9013e-05,Prim.CRi.CD4.IL2,CRISPRi,10
37905,GRIN2A,-0.21998,0.055148510349092995,12,6,1,3.3195e-05,Prim.CRi.CD4.IL2,CRISPRi,7
37906,KAT7,-0.67819,0.17123309645429485,12,10,2,3.7377e-05,Prim.CRi.CD4.IL2,CRISPRi,12
37907,PI4KB,-0.70488,0.18042954438383393,12,9,0,4.6787e-05,Prim.CRi.CD4.IL2,CRISPRi,9
37908,SH2D1A,-0.33865,0.08731319662503458,12,10,1,5.2537e-05,Prim.CRi.CD4.IL2,CRISPRi,11
37909,SPTLC2,-0.69247,0.17929635253891874,12,8,1,5.6196e-05,Prim.CRi.CD4.IL2,CRISPRi,9
37910,CASD1,-0.050123,0.013000636623321713,12,4,4,5.7764e-05,Prim.CRi.CD4.IL2,CRISPRi,8
37911,ING5,-0.45674,0.1188662310259538,12,9,1,6.0901e-05,Prim.CRi.CD4.IL2,CRISPRi,10
37912,CHUK,-0.38065,0.09917176106096094,12,9,2,6.1947e-05,Prim.CRi.CD4.IL2,CRISPRi,11
37913,NYNRIN,-0.10765,0.02860655198652021,12,4,1,8.3902e-05,Prim.CRi.CD4.IL2,CRISPRi,5
37914,CD6,-0.34569,0.09312188794549592,12,10,0,0.00010272,Prim.CRi.CD4.IL2,CRISPRi,10
37915,AQP3,-0.51902,0.14033534952228896,12,9,2,0.00010847,Prim.CRi.CD4.IL2,CRISPRi,11
37916,DHX36,-0.2541,0.06870489058921356,12,7,1,0.00010847,Prim.CRi.CD4.IL2,CRISPRi,8
37917,NUP37,-0.46375,0.1263438590637638,12,9,0,0.00012102,Prim.CRi.CD4.IL2,CRISPRi,9
37918,C7orf66,-0.38965,0.1063453210224621,12,8,1,0.00012415,Prim.CRi.CD4.IL2,CRISPRi,9
37919,SRP72,-0.54843,0.14972495943548064,12,7,1,0.00012468,Prim.CRi.CD4.IL2,CRISPRi,8
