gene	ensg	P_withShet	beta_withShet	betaSE_withShet	P_pearson	R_pearson	R_pearson_CIlower	R_pearson_CIupper
TSPAN6	ENSG00000000003	0.767588632872126	0.0028231774751079	0.00955267352197614	0.595746018205634	0.00509542830480644	-0.0137285984679943	0.0239158446077434
DPM1	ENSG00000000419	0.612189511683556	0.00484308801041839	0.00955309656038705	0.808640364830709	0.00232602183058787	-0.0164974105256934	0.0211478060026994
SCYL3	ENSG00000000457	0.0622183634428766	0.0178082512710811	0.00954902394861002	0.068503260059773	0.0174950286895345	-0.00132811873116454	0.0363057831213643
C1orf112	ENSG00000000460	0.541546974742391	0.00583838084781223	0.00956336095184417	0.975848521603688	0.000290767142439016	-0.0185320443499986	0.0191133726005452
FGR	ENSG00000000938	0.546791613085029	-0.0057557013288094	0.00955154569707805	0.670995108946577	-0.00407981368558629	-0.0229007651297757	0.0147440286209012
CFH	ENSG00000000971	0.262053662992893	-0.0107158842469289	0.00955403030832233	0.428827836976249	-0.00759897190057272	-0.0264179033282207	0.0112253437628547
FUCA2	ENSG00000001036	0.895451797999074	-0.00125524441835959	0.0095519737184321	0.951767266820784	0.000580954181745138	-0.0182419553625311	0.0194034520685172
GCLC	ENSG00000001084	0.518574383549529	-0.00616627670215582	0.00955174295437896	0.405783399314483	-0.00798445759468601	-0.0268031394402532	0.0108398815877749
STPG1	ENSG00000001460	0.57697402771385	0.00532784454689182	0.00955106929256927	0.678552571087237	0.00398046974217621	-0.014843352435785	0.0228014714484189
NIPAL3	ENSG00000001461	0.570624350832781	0.00541669867247789	0.0095507420233711	0.507737462634	0.00636162679593302	-0.0124625755770454	0.0251813215735994
ENPP4	ENSG00000001561	0.845718463223416	0.00185961190215288	0.00955662006105365	0.556074229604768	0.00565396417471715	-0.0131701474970308	0.0244740696386408
CFTR	ENSG00000001626	0.171362634718107	-0.0130736949478067	0.00955729014387678	0.364974234913409	-0.00870042625213876	-0.0275177621221099	0.010123073607667
ANKIB1	ENSG00000001629	0.183893293247922	-0.0126905365763373	0.0095493144331317	0.179338648798815	-0.0128957523812639	-0.0317098978223167	0.00592752848422907
CYP51A1	ENSG00000001630	0.573284610873654	-0.00537991696438567	0.00955176817283394	0.453944612990487	-0.00719229435079007	-0.026011483022067	0.0116319904363772
KRIT1	ENSG00000001631	0.462481488116293	-0.00701758683552849	0.00955042737482526	0.503047705624945	-0.006432096017299	-0.0252517488673178	0.012392114355607
RAD52	ENSG00000002016	0.896067675409162	-0.00124763907225552	0.00955068341287005	0.844017635240558	-0.00188975427465789	-0.0207117276184432	0.0169335581231147
BAD	ENSG00000002330	0.584397472732592	0.00522576389926137	0.00955368908277742	0.403426263502021	0.00802461168620871	-0.0107997296243795	0.0268432672126298
LAP3	ENSG00000002549	0.47708816605703	-0.00679195012211237	0.00955242599598945	0.634889671523766	-0.0045607360845556	-0.0233814389613553	0.014263198411687
CD99	ENSG00000002586	0.655125594063047	0.00426594763533552	0.0095506562273027	0.60427672533782	0.00497760609928412	-0.0138464012643317	0.0237980864741833
HS3ST1	ENSG00000002587	0.0720014756740935	-0.017185158671425	0.00955110655834581	0.124072017611667	-0.0147693348173122	-0.0335818416575329	0.00405363416160998
AOC1	ENSG00000002726	0.326423728071377	-0.0116523064854958	0.0118730099385115	0.445959371654714	-0.00909162809417358	-0.0324614710713415	0.0142881507037733
WNT16	ENSG00000002745	0.469486849057024	0.00691172821738662	0.0095553012526125	0.276018344418916	0.0104619807853047	-0.00836237602354019	0.029278925162556
MAD1L1	ENSG00000002822	0.646024309872189	-0.00438676658180545	0.00955087756871768	0.760108407396926	-0.00293248535132223	-0.0217531268173718	0.0158902338315982
LASP1	ENSG00000002834	0.317315713461199	0.00955320620911534	0.0095528683243087	0.206297825301704	0.012137843168866	-0.00668639451840188	0.0309534813827371
SNX11	ENSG00000002919	0.398617397958588	-0.00806215791846383	0.00955088930249511	0.480267312352706	-0.00677948543680937	-0.0255989288673862	0.0120447616406964
TMEM176A	ENSG00000002933	0.890921958449204	0.00131001081143804	0.00955229737480687	0.707573125177995	0.00360264245499424	-0.0152202317290911	0.0224229641154211
M6PR	ENSG00000003056	0.137703579528783	-0.0141763851660562	0.00954955850068073	0.138238804312766	-0.0142368310422626	-0.0330506843266587	0.00458710825756485
KLHL13	ENSG00000003096	0.963314852676815	0.000439384872901559	0.00955282358506606	0.755949433113181	0.00298497916486162	-0.0158377527695575	0.0218055961902868
ICA1	ENSG00000003147	0.682411356476179	0.00390801257441854	0.00955070294456764	0.62566855234722	0.00468536695226587	-0.014138590014504	0.0235060039932131
DBNDD1	ENSG00000003249	0.597115641653059	0.00505158312533081	0.00955710220188138	0.347760565967196	0.00901789638628942	-0.00980647824366087	0.027835881555069
ALS2	ENSG00000003393	0.0980526205616168	0.0158059533334257	0.00955324592578395	0.0498254150012153	0.0188371941052506	0.0000144891765509669	0.0376465559433109
CASP10	ENSG00000003400	0.000704173515806511	0.0323491674777103	0.00954555634135331	0.000629792038513619	0.0328236876621457	0.0140096331783217	0.0516145086972923
TFPI	ENSG00000003436	0.0335514066792394	-0.0203017687106758	0.00955066066827241	0.0600258241259141	-0.0180608110318886	-0.036870986680335	0.000762158132451289
NDUFAF7	ENSG00000003509	0.216147435278227	-0.0118118954481319	0.00954952193359939	0.198581331921729	-0.0123465592530211	-0.031161159992216	0.00647678798030124
RBM5	ENSG00000003756	0.709664419970923	-0.0035560265775506	0.00955108257326299	0.813692225745454	-0.00226344964148112	-0.0210852613856839	0.0165599659496374
SLC7A2	ENSG00000003989	0.818228445104488	0.00219533655816487	0.00955201440885392	0.650924750466066	0.00434560871020297	-0.0144774175569798	0.0231655560696947
ARF5	ENSG00000004059	0.632355607669677	0.00456914511846757	0.00955033948482303	0.627342328897111	0.00466268644991913	-0.0141612664711517	0.023483335515265
