,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
7,ENSG00000104368,PLAT,Stim8hr,411.0,1051,260,1311,-1.683048434140694,False,3.810755262235027,False,>10 DE genes,no on-target KD,ENSG00000104368,ENSG00000104368_Stim8hr,PLAT
10,ENSG00000109971,HSPA8,Stim8hr,210.0,47,13,60,-19.75476047963793,True,2034.834971027488,False,>10 DE genes,on-target KD,ENSG00000109971,ENSG00000109971_Stim8hr,HSPA8
16,ENSG00000128607,KLHDC10,Stim8hr,1257.0,68,8,76,-17.154518348800938,True,29.83198350590344,False,>10 DE genes,on-target KD,ENSG00000128607,ENSG00000128607_Stim8hr,KLHDC10
29,ENSG00000163600,ICOS,Stim8hr,658.0,175,36,211,-16.50948463561438,True,632.2104680264275,False,>10 DE genes,on-target KD,ENSG00000163600,ENSG00000163600_Stim8hr,ICOS
36,ENSG00000168876,ANKRD49,Stim8hr,228.0,50,7,57,-5.611561326837524,True,25.143570250975703,True,>10 DE genes,on-target KD,ENSG00000168876,ENSG00000168876_Stim8hr,ANKRD49
40,ENSG00000174177,CTU2,Stim8hr,500.0,357,405,762,-19.185719668196835,True,94.55227187249604,True,>10 DE genes,on-target KD,ENSG00000174177,ENSG00000174177_Stim8hr,CTU2
55,ENSG00000108064,TFAM,Stim48hr,414.0,1532,1429,2961,-13.697047653998643,True,79.95102883120853,False,>10 DE genes,on-target KD,ENSG00000108064,ENSG00000108064_Stim48hr,TFAM
59,ENSG00000121210,TMEM131L,Stim48hr,1407.0,245,17,262,-2.8218652940738376,False,36.4004031473829,False,>10 DE genes,no on-target KD,ENSG00000121210,ENSG00000121210_Stim48hr,TMEM131L
65,ENSG00000133028,SCO1,Stim48hr,229.0,685,534,1219,-2.9564535014829434,False,7.39838194873548,True,>10 DE genes,putative off-target,ENSG00000133028,ENSG00000133028_Stim48hr,SCO1
67,ENSG00000134809,TIMM10,Stim48hr,319.0,85,40,125,-3.322142629437212,True,179.8809691811514,False,>10 DE genes,on-target KD,ENSG00000134809,ENSG00000134809_Stim48hr,TIMM10
72,ENSG00000152558,TMEM123,Stim48hr,2433.0,17,18,35,-29.458389848500083,True,132.13517890925613,False,>10 DE genes,on-target KD,ENSG00000152558,ENSG00000152558_Stim48hr,TMEM123
75,ENSG00000158435,CNOT11,Stim48hr,120.0,282,105,387,-12.795577296464051,True,181.5575729281204,False,>10 DE genes,on-target KD,ENSG00000158435,ENSG00000158435_Stim48hr,CNOT11
82,ENSG00000169045,HNRNPH1,Stim48hr,110.0,22,14,36,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000169045,ENSG00000169045_Stim48hr,HNRNPH1
88,ENSG00000172795,DCP2,Stim48hr,122.0,548,142,690,-11.182098417336128,True,120.3606508810293,False,>10 DE genes,on-target KD,ENSG00000172795,ENSG00000172795_Stim48hr,DCP2
92,ENSG00000180182,MED14,Stim48hr,140.0,85,50,135,-6.244229802166856,True,61.55782867898886,False,>10 DE genes,on-target KD,ENSG00000180182,ENSG00000180182_Stim48hr,MED14
116,ENSG00000135837,CEP350,Rest,102.0,36,3,39,-6.210485977401381,True,64.39894556161138,False,>10 DE genes,on-target KD,ENSG00000135837,ENSG00000135837_Rest,CEP350
121,ENSG00000146457,WTAP,Rest,728.0,34,10,44,-4.197067578293214,True,32.706263303221746,False,>10 DE genes,on-target KD,ENSG00000146457,ENSG00000146457_Rest,WTAP
143,ENSG00000240303,ACAD11,Rest,501.0,331,279,610,-6.992464519773006,True,10.356604135626702,True,>10 DE genes,on-target KD,ENSG00000240303,ENSG00000240303_Rest,ACAD11
167,ENSG00000138074,SLC5A6,Stim8hr,532.0,1026,246,1272,-11.215298612319575,True,107.98989968540408,True,>10 DE genes,on-target KD,ENSG00000138074,ENSG00000138074_Stim8hr,SLC5A6
171,ENSG00000149091,DGKZ,Stim8hr,262.0,76,52,128,-4.4393657234264685,True,9.540455649077629,False,>10 DE genes,on-target KD,ENSG00000149091,ENSG00000149091_Stim8hr,DGKZ
174,ENSG00000152684,PELO,Stim8hr,477.0,35,8,43,-7.558505977360658,True,78.19916614781378,False,>10 DE genes,on-target KD,ENSG00000152684,ENSG00000152684_Stim8hr,PELO
176,ENSG00000155858,LSM11,Stim8hr,126.0,31,11,42,-1.9283177034343948,False,25.615734040107537,False,>10 DE genes,no on-target KD,ENSG00000155858,ENSG00000155858_Stim8hr,LSM11
179,ENSG00000164597,COG5,Stim8hr,152.0,437,143,580,-5.714607529212086,True,25.989454959971216,True,>10 DE genes,on-target KD,ENSG00000164597,ENSG00000164597_Stim8hr,COG5
180,ENSG00000164715,LMTK2,Stim8hr,614.0,291,309,600,-8.517262142169765,True,15.95221164157324,False,>10 DE genes,on-target KD,ENSG00000164715,ENSG00000164715_Stim8hr,LMTK2
182,ENSG00000171262,FAM98B,Stim8hr,511.0,415,490,905,-20.944516910814123,True,108.65285898777594,False,>10 DE genes,on-target KD,ENSG00000171262,ENSG00000171262_Stim8hr,FAM98B
185,ENSG00000175155,YPEL2,Stim8hr,729.0,83,43,126,-6.778839977751313,True,12.86518824262429,False,>10 DE genes,on-target KD,ENSG00000175155,ENSG00000175155_Stim8hr,YPEL2
186,ENSG00000180228,PRKRA,Stim8hr,633.0,34,16,50,-20.2408445863544,True,90.4488643520909,False,>10 DE genes,on-target KD,ENSG00000180228,ENSG00000180228_Stim8hr,PRKRA
200,ENSG00000010539,ZNF200,Stim8hr,930.0,51,3,54,-11.487172442369763,True,16.437301496844913,False,>10 DE genes,on-target KD,ENSG00000010539,ENSG00000010539_Stim8hr,ZNF200
