index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,neighboring_gene_KD,n_total_genes_category,distal_offtarget_flag,low_target_gex,n_guides,single_guide_estimate,n_downstream,guide_correlation_signif,guide_correlation_signif_pval,guide_correlation_all,guide_correlation_all_pval,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_all_min,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000121410_Rest,A1BG,Rest,ENSG00000121410,530,734.0,1,0,1,0.0,False,,False,1 DE gene,False,True,2.0,False,1,-1.0,1.0,-0.0167473262147931,0.0722901328900247,0.0,,,,
ENSG00000121410_Stim48hr,A1BG,Stim48hr,ENSG00000121410,166,825.0,0,0,0,0.0,False,,False,no effect,False,True,2.0,False,0,,,0.0402455222332865,1.5566949522060215e-05,0.0,,,,
ENSG00000121410_Stim8hr,A1BG,Stim8hr,ENSG00000121410,645,753.0,1,0,1,0.0,False,,False,1 DE gene,False,True,2.0,False,1,,,0.042464293236897,5.14192547266161e-06,0.0,,,,
ENSG00000175899_Rest,A2M,Rest,ENSG00000175899,127,366.0,56,66,122,0.0,False,,False,>50 DE genes,False,True,2.0,False,122,-0.46676736435911,0.1477968572407769,0.043526023705557,2.9682442970931765e-06,0.0,0.0509476214684187,0.0339367883365155,0.8146373867286822,0.8041170727972223
ENSG00000175899_Stim48hr,A2M,Stim48hr,ENSG00000175899,415,236.0,32,13,45,0.0,False,,False,10-50 DE genes,False,True,2.0,False,45,0.3510742400783045,0.012425840401793,0.113212747428592,3.59732314546727e-34,0.0,0.0289270373276455,0.0127266357938967,0.907425548253955,0.852365332597591
ENSG00000175899_Stim8hr,A2M,Stim8hr,ENSG00000175899,178,292.0,67,97,164,0.0,False,,False,>50 DE genes,False,True,2.0,False,164,0.2855150132189338,0.0867174538908651,0.0336476014615899,0.0003041297744318,0.0,0.0380600087493043,0.0107527919221037,0.7679589361674785,0.7002698427669607
ENSG00000094914_Rest,AAAS,Rest,ENSG00000094914,153,677.0,0,0,0,-2.724937639002662,False,30.96842337432218,False,no effect,False,False,2.0,False,0,,,,,,,,,
ENSG00000094914_Stim48hr,AAAS,Stim48hr,ENSG00000094914,360,844.0,0,1,1,-4.831815541000405,True,65.0488454570188,False,1 DE gene,False,False,1.0,True,0,,,,,,,,,
ENSG00000094914_Stim8hr,AAAS,Stim8hr,ENSG00000094914,67,640.0,0,1,1,-4.530163880670439,True,46.65601227804028,False,1 DE gene,False,False,2.0,False,0,,,,,,,,,
ENSG00000081760_Rest,AACS,Rest,ENSG00000081760,199,724.0,0,5,5,-10.1649483084568,True,21.10351218682376,False,2-10 DE genes,False,False,2.0,False,4,0.1485523471371665,0.662897259807474,0.0342291709568716,0.0002385779331465,2.0,,,,
ENSG00000081760_Stim48hr,AACS,Stim48hr,ENSG00000081760,334,738.0,5,12,17,-15.4897623454999,True,60.89877898330028,False,10-50 DE genes,False,False,2.0,False,16,,,,,,,,,
ENSG00000081760_Stim8hr,AACS,Stim8hr,ENSG00000081760,34,591.0,1,8,9,-8.229439843040508,True,17.357955367078194,False,2-10 DE genes,False,False,2.0,False,8,,,,,,,,,
ENSG00000103591_Rest,AAGAB,Rest,ENSG00000103591,619,647.0,1,2,3,-18.51272402815752,True,64.04412443499477,False,2-10 DE genes,False,False,2.0,False,2,0.7809181882449211,0.4295031011715249,0.007365559719415,0.4292877058484063,2.0,,,,
ENSG00000103591_Stim48hr,AAGAB,Stim48hr,ENSG00000103591,541,470.0,0,1,1,-15.201199393573471,True,78.13682519195773,False,1 DE gene,False,False,2.0,False,0,,,,,,,,,
ENSG00000103591_Stim8hr,AAGAB,Stim8hr,ENSG00000103591,636,535.0,27,7,34,-19.26220275480125,True,85.63344306620213,False,10-50 DE genes,False,False,2.0,False,33,0.8464385508186629,0.0705491414378048,0.0679113861090734,2.964165415724494e-13,2.0,0.0807216822144294,0.074213143386536,0.8235040123057779,0.7205376035241297
ENSG00000115977_Rest,AAK1,Rest,ENSG00000115977,349,1244.0,0,3,3,-28.668716523147964,True,100.2262074182545,False,2-10 DE genes,False,False,2.0,False,2,0.6102763330113088,0.3897236669886912,0.0503221168321243,6.53512272324385e-08,2.0,,,,
ENSG00000115977_Stim48hr,AAK1,Stim48hr,ENSG00000115977,189,1147.0,0,4,4,-27.02385665171464,True,114.1692780585765,False,2-10 DE genes,False,False,2.0,False,3,0.3374332510890986,0.5786649820130727,0.0537002892356012,8.081240312083933e-09,2.0,,,,
ENSG00000115977_Stim8hr,AAK1,Stim8hr,ENSG00000115977,224,1135.0,1,6,7,-22.59217408142099,True,77.3924571451523,False,2-10 DE genes,False,False,2.0,False,6,0.3529527109874919,0.5601198442638078,0.0849927223195906,6.413137716857252e-20,2.0,,,,
ENSG00000087884_Rest,AAMDC,Rest,ENSG00000087884,484,376.0,0,2,2,-4.527613911833764,True,11.303393655901798,True,2-10 DE genes,False,False,1.0,True,1,-0.1088093509506849,0.2408456206099935,-0.0224611685460893,0.0159254849580034,1.0,,,,
ENSG00000087884_Stim48hr,AAMDC,Stim48hr,ENSG00000087884,411,263.0,22,8,30,-5.033689499758443,False,12.44514008522156,True,10-50 DE genes,False,False,1.0,True,30,,,,,,,,,
ENSG00000087884_Stim8hr,AAMDC,Stim8hr,ENSG00000087884,242,287.0,0,1,1,-2.107566843073246,False,2.340516652658501,True,1 DE gene,False,False,1.0,True,1,,,,,,,,,
ENSG00000131043_Rest,AAR2,Rest,ENSG00000131043,357,62.0,31,6,37,-0.639841467460285,True,20.74012070501061,False,10-50 DE genes,False,False,2.0,False,36,,,,,,0.0551195120323241,0.0280068884567347,0.4364195517806108,0.3877904430536062
ENSG00000131043_Stim48hr,AAR2,Stim48hr,ENSG00000131043,261,48.0,5,0,5,-1.629035637398184,False,20.180301842588584,False,2-10 DE genes,False,False,2.0,False,5,,,,,,,,,
ENSG00000131043_Stim8hr,AAR2,Stim8hr,ENSG00000131043,322,70.0,17,4,21,-2.271120060771215,False,41.41313872435404,False,10-50 DE genes,False,False,1.0,True,21,,,,,,,,,
ENSG00000124608_Rest,AARS2,Rest,ENSG00000124608,172,132.0,0,0,0,0.0,False,,False,no effect,False,True,1.0,True,0,-0.3032138980301382,0.007349182028922,0.0912809375935238,9.619339443570256e-23,1.0,,,,
ENSG00000266967_Rest,AARSD1,Rest,ENSG00000266967,2,771.0,0,0,0,-1.2013132272058835,False,16.486669846565427,False,no effect,False,False,1.0,True,0,-1.0,1.0,0.0862597983092571,1.7953952092314627e-20,0.0,,,,
ENSG00000266967_Stim48hr,AARSD1,Stim48hr,ENSG00000266967,49,767.0,0,0,0,-2.753615942317656,False,36.87350357577368,False,no effect,False,False,1.0,True,0,-0.9996224992632412,0.0174931365305566,0.016040660073122,0.0851712375402618,1.0,,,,
ENSG00000266967_Stim8hr,AARSD1,Stim8hr,ENSG00000266967,379,682.0,0,1,1,-1.4786571315532215,False,65.10118237112735,False,1 DE gene,False,False,1.0,True,1,-0.4008830908122873,0.4308877738304865,0.0671882437707289,5.270057425417721e-13,0.0,,,,
ENSG00000157426_Rest,AASDH,Rest,ENSG00000157426,680,651.0,53,98,151,-7.308273099245454,True,12.146343981443795,False,>50 DE genes,False,False,2.0,False,150,,,0.0686683480334136,1.6125325720765193e-13,2.0,0.0684693544936987,0.0448503535062879,0.758359370451123,0.6895440464785049
ENSG00000157426_Stim48hr,AASDH,Stim48hr,ENSG00000157426,643,515.0,52,49,101,-9.8218918958629,True,24.799402180935843,False,>50 DE genes,False,False,2.0,False,100,0.7909024821821943,0.2090975178178058,0.1284931356938111,1.343722777269684e-43,2.0,0.0987444099191785,0.0673492936562775,0.746629907480686,0.7070177081040877
ENSG00000157426_Stim8hr,AASDH,Stim8hr,ENSG00000157426,426,577.0,0,1,1,-8.384237143972667,True,15.752295438783856,False,1 DE gene,False,False,2.0,False,0,1.0,1.0,-0.0112151244653116,0.2287688944594501,2.0,,,,
ENSG00000149313_Rest,AASDHPPT,Rest,ENSG00000149313,332,152.0,12,1,13,-9.659759367617143,True,66.3697985157071,False,10-50 DE genes,False,False,1.0,True,12,,,,,,,,,
