,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
0,ENSG00000133895,393.8057684607178,-3.8974360322273305,0.18424459847239177,-21.153597253551744,2.556814336253224e-99,2.7209618166406812e-95,MEN1
1,ENSG00000158869,48.81704192564546,3.950483746781316,0.2568890262634363,15.37817245151666,2.29329747229775e-53,1.2202635850096328e-49,MEN1
2,ENSG00000135404,1702.8931901896667,0.8161889915743117,0.06632159247654852,12.30653488700408,8.353317980355041e-35,2.963200331564612e-31,MEN1
3,ENSG00000139112,79.02242955419607,1.6353394468764997,0.141254053422717,11.577292171450694,5.371608473396939e-31,1.4291164343472557e-27,MEN1
4,ENSG00000182585,30.883958621510523,4.782434221569424,0.4308676170352146,11.099544343752708,1.260850451249368e-28,2.683594100439155e-25,MEN1
5,ENSG00000163191,3503.8906013670894,1.080664646611407,0.09803154295630742,11.023642126015076,2.939207198709227e-28,5.213173834777266e-25,MEN1
6,ENSG00000221955,36.85794383641167,3.882013393577764,0.3631631954705754,10.689446072715528,1.1405008814494317e-26,1.733887197197836e-23,MEN1
7,ENSG00000180549,74.69616358537218,2.6822806075706604,0.25576736149470203,10.487188794908928,9.892805317677124e-26,1.3159904273839994e-22,MEN1
8,ENSG00000140678,42.299256692745395,3.1154897931602274,0.3012645678320998,10.341374744395916,4.579206808019397e-25,5.414657650104713e-22,MEN1
9,ENSG00000077420,421.8379655345943,-1.4511009420760026,0.14082446611709318,-10.304324114173715,6.736352856050226e-25,7.16882670940865e-22,MEN1
10,ENSG00000025708,519.104027195913,1.5470174086505604,0.1504147938155249,10.285008338660415,8.233494800438197e-25,7.9655319696603e-22,MEN1
11,ENSG00000166582,318.05525194113795,-1.6050182023121746,0.15630555758019365,-10.268465351839515,9.774716525775683e-25,8.141755458448068e-22,MEN1
12,ENSG00000172543,192.92006459874202,1.9310843945851217,0.1880903507296416,10.266791396230822,9.94576404433611e-25,8.141755458448068e-22,MEN1
13,ENSG00000138795,842.3601240682101,-1.4752147387748134,0.14427501659329717,-10.225018673422559,1.5319842682941164e-24,1.122873188968704e-21,MEN1
14,ENSG00000239900,757.1300706705624,-0.6323100435962602,0.06185859335300011,-10.221862627686045,1.5827004167008607e-24,1.122873188968704e-21,MEN1
15,ENSG00000103855,69.31152842697351,1.9000720786377834,0.18823666591305538,10.09405935565926,5.869104541954587e-24,3.903688158467544e-21,MEN1
16,ENSG00000196628,124.66011253947033,2.0420595085532254,0.203757286663728,10.022019540942113,1.219844812867148e-23,7.636228528548347e-21,MEN1
17,ENSG00000177508,56.197549075070086,2.8552177396686926,0.2895520561716556,9.860809753587208,6.155097497401004e-23,3.63903042040786e-20,MEN1
18,ENSG00000176845,368.6439675135745,2.545400176998061,0.25848157083088397,9.847511251250607,7.026222662333886e-23,3.935424293292485e-20,MEN1
19,ENSG00000187688,189.95278657243887,1.3111855549381153,0.13380928135056122,9.798913361644894,1.138032849485642e-22,6.055472792113102e-20,MEN1
20,ENSG00000101577,358.8461135267477,-1.3990293722174454,0.14319618194680805,-9.77001867785226,1.5142415326678811e-22,7.673599233643614e-20,MEN1
21,ENSG00000276085,171.78389704117438,3.6049305231316597,0.3694776404781366,9.756829989675593,1.7246175233208353e-22,8.342445310536514e-20,MEN1
22,ENSG00000139193,431.98298881566535,-2.521611185154973,0.2606846557516287,-9.673032645072432,3.9256919420881697e-22,1.816400593378361e-19,MEN1
23,ENSG00000134539,41.29562728208326,2.9447005432011983,0.3061951496314814,9.617071161137817,6.773226970735072e-22,3.00336172594011e-19,MEN1
24,ENSG00000008516,143.2845726973795,2.023888910895663,0.21081958676437187,9.600099032343309,7.986764891348402e-22,3.3998060789491877e-19,MEN1
25,ENSG00000109321,42.055787558630946,3.359787667403988,0.3502381243828786,9.592866776921989,8.567089770213565e-22,3.5065757436389525e-19,MEN1
26,ENSG00000153179,288.8750956278145,-0.9545548437415452,0.10005994435476574,-9.539829847967338,1.4306685214024907e-21,5.638953483246409e-19,MEN1
27,ENSG00000078596,861.7578880586491,-1.2602397572039359,0.13280897592424765,-9.489115840504324,2.330021156502936e-21,8.85574469553723e-19,MEN1
28,ENSG00000090776,81.84051028455917,1.2600258740065777,0.1337704862204907,9.419311461047597,4.54055680147631e-21,1.666227775217617e-18,MEN1
29,ENSG00000277632,6550.853786259244,2.3834710002461557,0.25336410573950807,9.407295454458257,5.090668450228177e-21,1.8058297882442754e-18,MEN1
30,ENSG00000177707,90.91337975654427,1.2782247012217656,0.1362054530246898,9.384533973027228,6.319528286446934e-21,2.16943290401188e-18,MEN1
31,ENSG00000116514,315.5461459596879,1.3748100420994784,0.14691363818207606,9.357947016434379,8.130099809293142e-21,2.6339369916804787e-18,MEN1
32,ENSG00000073756,483.35564478318827,2.57574036585325,0.2752606250277773,9.357460281844977,8.167630212878763e-21,2.6339369916804787e-18,MEN1
33,ENSG00000027075,638.9138257280136,-1.0022801828090937,0.10737177602231629,-9.334670803999538,1.0130556830772857e-20,3.1708642880319044e-18,MEN1
34,ENSG00000135114,116.29014447822928,2.537937201415143,0.2723911344308671,9.317253319267893,1.1939091947298654e-20,3.577122015095789e-18,MEN1
35,ENSG00000130303,1402.3860773517545,1.0881223572211824,0.11682621851234369,9.314025319635018,1.2307734511837095e-20,3.577122015095789e-18,MEN1
36,ENSG00000163519,820.8604919854511,-1.205809306098906,0.12947708286038492,-9.312916845671673,1.2436902326493533e-20,3.577122015095789e-18,MEN1
37,ENSG00000112773,38.067105432387365,1.8631589065781586,0.20048736816748114,9.293148608852661,1.497902724464681e-20,4.194915998356088e-18,MEN1
38,ENSG00000170776,635.646727633214,0.9853276162253997,0.10614928807473815,9.282470321719398,1.6559391698063286e-20,4.518590934635628e-18,MEN1
39,ENSG00000241489,214.7187427100423,0.8309919542533475,0.08964532212756719,9.269774869801108,1.865392339888015e-20,4.962876320272064e-18,MEN1
40,ENSG00000136026,121.47345548274443,1.3251771105017824,0.14361518117192887,9.227277365025547,2.775980716584242e-20,7.205362630704757e-18,MEN1
41,ENSG00000010404,273.4657263917323,0.8494226734890052,0.09299313990538864,9.134250917360239,6.586114064261549e-20,1.6687958540921764e-17,MEN1
42,ENSG00000138166,1478.930806634668,1.586653781718505,0.17387804579035937,9.125095549046462,7.167300642607016e-20,1.77382356834009e-17,MEN1
43,ENSG00000138756,278.3440506484922,0.9802227132847727,0.10816898014758186,9.061957614349254,1.2812998957235936e-19,3.0989985205205643e-17,MEN1
44,ENSG00000137198,108.55069114667847,1.215472440459948,0.1342049163627262,9.056839893814285,1.3428449887399626e-19,3.1756791933712626e-17,MEN1
45,ENSG00000136630,68.94431308898413,3.1249437516764513,0.34523949102066537,9.05152461683301,1.40985873088307e-19,3.261677524795137e-17,MEN1
46,ENSG00000196914,158.46044679583903,1.009648599338413,0.11222095146370872,8.99697058498853,2.320316955072311e-19,5.1967920796576626e-17,MEN1
47,ENSG00000187608,1306.1434202043006,2.053568261372723,0.2282793527062296,8.99585633579152,2.3439768823864667e-19,5.1967920796576626e-17,MEN1
48,ENSG00000021355,709.0763613811339,1.204209184087753,0.13411760927445207,8.978755217918588,2.738472695411356e-19,5.94751559685054e-17,MEN1
49,ENSG00000087253,21.882329624581434,2.206585078006219,0.2479148709463118,8.900575708038405,5.555775444294298e-19,1.1824912455635985e-16,MEN1
50,ENSG00000077984,587.4710592677593,1.0998909306362545,0.12372525213186591,8.889785324211704,6.122708673422622e-19,1.277605209854187e-16,MEN1
51,ENSG00000198947,112.41084296537193,1.7467210294458877,0.19680142141500656,8.875550882137563,6.958811175101104e-19,1.4241474716428068e-16,MEN1
52,ENSG00000115902,165.63245164836636,1.086021827624402,0.12260008345309088,8.858247050377699,8.128242597001747e-19,1.6320897682508034e-16,MEN1
53,ENSG00000292332,40.0547211703822,3.182920211027805,0.36136955961637385,8.807936712784441,1.2747036532256928e-18,2.4664356868414224e-16,MEN1
54,ENSG00000185291,40.0547211703822,3.182920211027805,0.36136955961637385,8.807936712784441,1.2747036532256928e-18,2.4664356868414224e-16,MEN1
55,ENSG00000182985,37.432869749353216,2.283230808221958,0.26016688905918783,8.776023791799748,1.6935601555548466e-18,3.2183691384669066e-16,MEN1
56,ENSG00000197324,388.33842235490084,1.0192260437989764,0.11619711888575956,8.771525951525867,1.762610713446175e-18,3.2908251249989814e-16,MEN1
57,ENSG00000204386,308.3072196256469,0.8587308989370316,0.09845617001353077,8.721961242439319,2.734239244807013e-18,5.016857593661419e-16,MEN1
58,ENSG00000177989,50.46946218709365,1.3010258750471646,0.14997599335468323,8.674894201036063,4.139351334522414e-18,7.46626727152331e-16,MEN1
59,ENSG00000115866,1470.329725168395,-0.5269039295952673,0.06129068372681316,-8.596802932461983,8.196756468140099e-18,1.4538313722324489e-15,MEN1
60,ENSG00000100055,157.1471250552629,1.463646015495049,0.17036621275472738,8.591175396979853,8.608410461411411e-18,1.5018148218088564e-15,MEN1
