,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
0,ENSG00000176476,72.3062498702746,-2.0536961986403424,0.16652908223299867,-12.332357634487646,6.064593582066716e-35,6.965185729003623e-31,SGF29
1,ENSG00000181649,192.48769287768042,1.3093275706603946,0.12531285065984135,10.448470079214239,1.489078967913942e-25,8.551035973245811e-22,SGF29
2,ENSG00000166401,110.53722032789351,1.008256010911794,0.10074637200530454,10.007864212308379,1.4075843227450172e-23,5.3887019822421744e-20,SGF29
3,ENSG00000151689,93.18514664907367,0.7459903763416698,0.07702735990121434,9.684745489114306,3.500793722102211e-22,1.0051653974585973e-18,SGF29
4,ENSG00000165175,758.4969865143339,-0.48099085296850136,0.05152368240836989,-9.335335334851099,1.006720637770971e-20,2.3124373049599203e-17,SGF29
5,ENSG00000166920,52.42358362293107,1.9792343369267007,0.214129414566232,9.243168860925023,2.3930291910745742e-20,4.580656709915248e-17,SGF29
6,ENSG00000183918,1728.0286862185087,-0.639700578334385,0.06973481777866884,-9.173331181056914,4.5862281662662796e-20,7.524690069938318e-17,SGF29
7,ENSG00000144843,48.736759010077165,0.8535927320065947,0.09474619973592321,9.00925561537803,2.0745982226266104e-19,2.9783450733583275e-16,SGF29
8,ENSG00000078900,8.86858253294575,2.354829547130938,0.2632869005018453,8.94396775017082,3.7544215153682314e-19,4.791059011556015e-16,SGF29
9,ENSG00000116824,2857.7811676800525,-0.5550890321401496,0.06314541942453357,-8.790646054755376,1.4870235551978362e-18,1.7078465531447149e-15,SGF29
10,ENSG00000146285,10.500785944866509,1.6284857396365096,0.1869283998109976,8.711815546931678,2.990460099989919e-18,3.122312204398565e-15,SGF29
11,ENSG00000241489,187.25896787268636,0.4766844428285069,0.05541462933083381,8.602140780959264,7.824273435099033e-18,7.488481700176033e-15,SGF29
12,ENSG00000277632,3562.6798478696946,1.4509505079282548,0.1691177015705879,8.579530672740628,9.526101652760927e-18,8.415944421689174e-15,SGF29
13,ENSG00000172543,97.42034486495753,1.3903860767064435,0.16317496304954973,8.520829732219633,1.5841428223508504e-17,1.299562879621394e-14,SGF29
14,ENSG00000120549,35.91564648159054,1.4504388899435892,0.17042063274510713,8.510934776970144,1.725366747528511e-17,1.3210558063576632e-14,SGF29
15,ENSG00000091527,1608.9585686881035,-0.3249847599341786,0.0386329065395248,-8.41212295537979,4.026554688462559e-17,2.89031128731203e-14,SGF29
16,ENSG00000140350,1264.2758157990531,-0.34936208961128745,0.04193803604771615,-8.33043514993862,8.05457461111729e-17,5.441575847569535e-14,SGF29
17,ENSG00000161791,108.96992213155907,0.5461628936289653,0.06608739421921647,8.264252208481773,1.4057313167944194e-16,8.969346762991059e-14,SGF29
18,ENSG00000271503,783.62946103687,1.0825823223813937,0.13125946631108062,8.247651409885433,1.615377624491377e-16,9.764532640675507e-14,SGF29
19,ENSG00000161405,137.19450581717285,0.791299925795948,0.0972380185558741,8.137762755225806,4.0264886270516014e-16,2.312211094084382e-13,SGF29
20,ENSG00000069493,3390.153557757487,-0.4502307721964441,0.05684635127666508,-7.920134926606271,2.372529836578562e-15,1.2975478653859421e-12,SGF29
21,ENSG00000154511,260.92005204950163,-0.5764277471659286,0.07289819476544691,-7.90729796561643,2.630355268369831e-15,1.3731650116921592e-12,SGF29
22,ENSG00000090339,427.10964794880147,0.792812457285065,0.10068455811048221,7.8742209546681785,3.4287253541112216e-15,1.7121265518246687e-12,SGF29
23,ENSG00000161970,6124.607443435537,-0.4089077427161571,0.05197010972580297,-7.868133141792001,3.5997237183623304e-15,1.7226177877246402e-12,SGF29
24,ENSG00000221887,60.962951404903556,1.183503452961091,0.1507790511253182,7.849256538810795,4.1851076175858974e-15,1.922638439518961e-12,SGF29
25,ENSG00000010404,222.50528380208848,0.45218965077349144,0.057831599315465713,7.819075663234578,5.321262030912673e-15,2.3505651701935404e-12,SGF29
26,ENSG00000005238,24.01964457321459,1.1489859771321402,0.14709771702775565,7.811038813847394,5.671854339482653e-15,2.4126387810725286e-12,SGF29
27,ENSG00000165272,24.241444160527745,1.486303941151354,0.19086524065482358,7.787190250315448,6.8515745855793286e-15,2.8103690755492355e-12,SGF29
28,ENSG00000102226,81.44528670725609,0.9293461760947944,0.11961405134323812,7.769540164039692,7.877156340661502e-15,3.119625536982667e-12,SGF29
29,ENSG00000074660,17.37306005788469,1.9268332941323014,0.24832048627429973,7.759461666017693,8.529064028668995e-15,3.2652100123087803e-12,SGF29
30,ENSG00000104951,224.6296273271371,1.041360520317945,0.1345920878146701,7.7371600160618055,1.0166207752607034e-14,3.766416001248122e-12,SGF29
31,ENSG00000140678,25.623543178895037,1.8696224723285573,0.24208535812209894,7.7229886467796565,1.1363329881127121e-14,4.078370115148281e-12,SGF29
32,ENSG00000165507,9.97404922237952,2.3529195252458694,0.3055364402219875,7.70094566637078,1.3506291467370521e-14,4.616745322515808e-12,SGF29
33,ENSG00000175274,24.632340992278458,1.2068093647902873,0.15674006952217875,7.699431092950508,1.3667334868570958e-14,4.616745322515808e-12,SGF29
34,ENSG00000093072,59.03092701455747,1.041089553831574,0.13539352851656042,7.689359788745258,1.4787308731581287e-14,4.852349736634603e-12,SGF29
35,ENSG00000129422,17.21498715756205,1.4366240445537268,0.18761575456158894,7.657267631445758,1.8993056957223754e-14,6.0107226244817495e-12,SGF29
36,ENSG00000167315,298.72657235807446,0.4514551675160162,0.058976884106812996,7.654781603897317,1.93641042321136e-14,6.0107226244817495e-12,SGF29
37,ENSG00000205362,20.341544226876927,2.1401809062042734,0.2816259661082439,7.599373508697305,2.975677762536729e-14,8.993594500719562e-12,SGF29
38,ENSG00000135932,1490.6324536717416,-0.4488131196509397,0.05919450482738662,-7.582006487928153,3.4025125825589513e-14,1.0019963336074246e-11,SGF29
39,ENSG00000143162,215.15422502914734,0.5409502852020087,0.07144516545696372,7.571544998770558,3.688112700184404e-14,1.058949359040447e-11,SGF29
40,ENSG00000112679,128.35019274587606,0.4892164342718804,0.0649033483087015,7.537614730522182,4.786454740600496e-14,1.3341471746602033e-11,SGF29
41,ENSG00000056736,104.54748630675513,-2.1869839105546123,0.29023880640034166,-7.535118882545259,4.87890129174824e-14,1.3341471746602033e-11,SGF29
