,library_id,lane_id,mean_total_counts,mean_n_genes,mean_pct_counts_mt,mean_top_guide_UMI_counts,n_cells,n_low_quality_cells,NTC single sgRNA,multi sgRNA,no sgRNA (>= 3 UMIs),targeting single sgRNA,n_unique_guides,n_unique_perturbed_genes,mean_cells_x_guide,mean_cells_x_perturbed_gene,experiment,mean_guide_UMI_counts
0,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L01,13285.634,4187.814500412592,0.5738492,150.328895612708,113914,443,3219,23860,11295,75097,14076,9634,5.563796533105996,8.12912601204069,CD4iR2_Psomagen,156.72635
1,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L02,16580.342,4556.615607295919,0.59957576,141.1919950691475,88433,409,2446,17097,10388,58093,12508,8882,4.840022385673169,6.815919837874352,CD4iR2_Psomagen,142.9644
2,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L03,13797.838,4212.409914640686,0.592349,143.48972229957218,89504,397,2457,16912,10338,59400,12608,8951,4.906170685279188,6.910624511227796,CD4iR2_Psomagen,145.45027
3,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L04,15891.131,4525.213116970926,0.5842162,146.3017625362143,88740,452,2381,17277,10218,58412,12691,8984,4.790245055551178,6.766807658058771,CD4iR2_Psomagen,149.06981
4,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L05,15209.561,4435.575831697994,0.5795756,150.5946907781755,107521,490,3000,23255,10664,70112,13801,9511,5.297587131367292,7.687099148354537,CD4iR2_Psomagen,157.33624
5,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L06,13613.247,4226.676099152312,0.5697184,147.7752971292741,121389,489,3402,26292,11843,79363,14364,9760,5.761974380395433,8.480020491803279,CD4iR2_Psomagen,154.7515
6,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L07,11092.017,3836.17079229961,0.5399822,142.84522306292692,112306,378,3079,23777,11592,73480,13803,9532,5.54654785191625,8.031787662610155,CD4iR2_Psomagen,147.86856
7,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L08,12736.067,4098.327130323133,0.56997645,144.96836811475487,116825,480,3097,24908,11663,76677,14078,9587,5.666571956243785,8.321059768436424,CD4iR2_Psomagen,151.28084
8,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L09,13593.24,4224.935346702895,0.5517817,142.9952198239943,121819,495,3481,25254,12441,80148,14204,9678,5.887707687975218,8.641144864641454,CD4iR2_Psomagen,148.12962
9,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L10,13731.817,4243.901794353812,0.5509294,149.1555119039749,117814,488,3362,24662,11754,77548,14131,9633,5.725709433161135,8.399252569293056,CD4iR2_Psomagen,155.24615
10,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L11,13549.12,4215.0168297322425,0.54617804,144.56356116673922,117233,464,3251,24971,11410,77137,14157,9666,5.678321678321678,8.316573556797021,CD4iR2_Psomagen,151.32869
11,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L13,11515.056,3903.504566929134,0.5267468,148.39464930486452,117475,414,3281,24662,11796,77322,14120,9629,5.70842776203966,8.37085886384879,CD4iR2_Psomagen,154.2033
12,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L14,12055.104,3981.730890404919,0.53682166,147.20933186477413,124741,465,3452,26975,11994,81855,14395,9781,5.926154914901007,8.721705347101523,CD4iR2_Psomagen,154.46344
13,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L15,13477.696,4204.068495727195,0.54393375,146.43839551967417,122285,465,3359,25819,12134,80508,14295,9730,5.866876530255334,8.619424460431654,CD4iR2_Psomagen,152.58649
14,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L16,12751.325,4098.15491641574,0.5497714,143.642794356593,125203,489,3526,26763,12387,82038,14427,9768,5.930824149164761,8.75962325962326,CD4iR2_Psomagen,149.76318
15,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L17,11860.019,3958.310688967472,0.5557235,143.41017054089042,119338,463,3217,24700,12567,78391,14029,9627,5.817093164159955,8.476991793912953,CD4iR2_Psomagen,147.75992
16,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L18,11801.93,3941.561289799887,0.5529676,145.35877662459768,123430,424,3455,25943,12654,80954,14206,9653,5.941785161199493,8.744328188128042,CD4iR2_Psomagen,150.67068
17,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L19,13755.701,4242.527290944767,0.55570567,144.81517449833478,119765,443,3346,24571,12415,78990,14103,9645,5.838190455931362,8.536651114567134,CD4iR2_Psomagen,149.43715
18,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L20,13094.019,4148.680261808627,0.5568309,145.51488859271717,124824,485,3415,26598,12849,81477,14248,9724,5.958169567658619,8.730152200740436,CD4iR2_Psomagen,150.9077
19,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L21,11314.41,3870.483101358826,0.54494286,145.575287017957,121134,406,3366,25857,12283,79222,14069,9572,5.870211102423768,8.628081905557877,CD4iR2_Psomagen,151.34201
20,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L22,11619.343,3920.197073052733,0.5503859,140.94046826353772,124020,438,3374,26443,12757,81008,14155,9667,5.961285764747439,8.728871418226957,CD4iR2_Psomagen,146.1967
21,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L12,13606.708,4226.483830084039,0.5484171,143.75049538744514,117564,431,3254,24403,11927,77549,13937,9532,5.7977326540862455,8.477024758707511,CD4iR2_Psomagen,148.61974
22,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L23,12078.398,3994.4735420942,0.55350304,143.83709923380198,120361,448,3253,24898,12649,79113,14024,9591,5.873217341699943,8.587842769262851,CD4iR2_Psomagen,148.1485
23,CD4i_R2_D3_Rest_CD4i_R2_Ultima,CD4i_R2L24,12632.652,4085.950482561073,0.55438787,145.3544986494081,122886,453,3350,25698,12392,80993,14226,9673,5.928792352031492,8.719425204176574,CD4iR2_Psomagen,150.49886
24,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L01,9783.132,3701.541066722596,0.548694,131.43403982702472,109663,321,3220,21679,15926,68517,18788,11078,3.81823504364488,6.475627369561293,CD4iR2_Psomagen,128.29709
25,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L02,12370.943,4100.380756771982,0.5771662,127.4604392808684,85204,352,2407,15132,14349,52964,16605,10413,3.334598012646793,5.317487755690003,CD4iR2_Psomagen,120.93479
26,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L03,10202.311,3747.1049625929313,0.5666475,129.58935398628134,85278,287,2436,15036,14053,53466,16667,10437,3.3540529189416213,5.3561368209255535,CD4iR2_Psomagen,122.98512
27,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L04,11654.792,4027.186563473901,0.55306095,129.6292040972831,86957,337,2513,16112,13839,54156,16956,10503,3.342120783203586,5.39550604589165,CD4iR2_Psomagen,124.35293
28,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L05,11154.602,3942.7213010694777,0.55034965,131.94532844657456,103976,390,2984,21076,15186,64340,18340,10957,3.670883315158125,6.1443825864744,CD4iR2_Psomagen,129.03577
29,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L06,10029.083,3741.253223346144,0.5403518,129.41611948626485,117347,381,3391,24180,16874,72521,18981,11100,3.999367788841473,6.838918918918919,CD4iR2_Psomagen,127.12921
30,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L07,8173.0034,3361.0811164936563,0.51615137,126.26848376040476,108375,291,3136,21760,16393,66795,18357,10886,3.809500463038623,6.423939004225611,CD4iR2_Psomagen,122.25102
31,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L08,9384.803,3620.3073392447336,0.5411689,128.78979947598617,111987,343,3183,23045,16102,69314,18786,11058,3.859097200042585,6.556068005064207,CD4iR2_Psomagen,126.26114
32,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L09,10112.724,3750.741975995415,0.5404542,126.83861215941198,118644,364,3390,23725,17327,73838,18898,11083,4.086570007408191,6.96814941802761,CD4iR2_Psomagen,123.62527
33,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L10,10164.326,3766.283656731346,0.54231566,129.8591646741619,114977,360,3406,22965,16577,71669,18859,11093,3.980857945808368,6.7677814838186245,CD4iR2_Psomagen,126.72991
34,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L11,10061.515,3742.464310130244,0.5413806,128.17176509079013,114094,325,3236,23325,16200,71008,18864,11074,3.9357506361323153,6.704352537475167,CD4iR2_Psomagen,125.98892
35,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L13,8533.011,3433.955235224973,0.51527464,132.39043230649753,113147,231,3233,22805,16518,70360,18726,11015,3.929990387696251,6.6811620517476165,CD4iR2_Psomagen,129.10635
36,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L14,8942.103,3515.218263064256,0.5228858,131.2335248394728,120845,292,3429,25566,17203,74355,19039,11137,4.085508692683439,6.984286612193589,CD4iR2_Psomagen,129.16832
37,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L15,9953.538,3719.462111308836,0.5391717,129.8102637699807,118571,367,3299,24062,17428,73415,18909,11066,4.057009889470622,6.932405566600398,CD4iR2_Psomagen,126.70037
38,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L16,9508.769,3629.771205891581,0.5366932,126.76093703170169,121122,308,3343,24663,17611,75197,19106,11125,4.110750549565582,7.059775280898877,CD4iR2_Psomagen,124.05427
39,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L17,8758.04,3484.4040651317546,0.5313116,125.53957462353372,116011,262,3334,23003,17390,72022,18685,10995,4.032967621086433,6.853660754888586,CD4iR2_Psomagen,121.82192
40,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L18,8737.621,3473.8656637833774,0.53353727,127.27572467669776,119655,264,3351,24206,17436,74398,18953,11096,4.102200179391126,7.006939437635184,CD4iR2_Psomagen,123.81891
41,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L19,10169.953,3764.4341488180776,0.53482795,127.86769455046112,116209,316,3261,22961,17349,72322,18753,11009,4.03044846157948,6.865564538105187,CD4iR2_Psomagen,123.87974
42,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L20,9715.948,3679.904754094328,0.5342511,127.46201261605523,121937,318,3475,24974,17700,75470,18987,11129,4.157844841207142,7.093629256896397,CD4iR2_Psomagen,124.712746
43,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L21,8434.962,3413.5271891667303,0.5310855,130.52189726471028,117933,290,3323,23889,17487,72944,18827,11033,4.050937483401498,6.912625759086377,CD4iR2_Psomagen,127.183624
44,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L22,8668.767,3463.1721549677013,0.5334091,125.67497634861653,120438,307,3438,24520,17826,74347,18782,11037,4.141465232669577,7.047657878046571,CD4iR2_Psomagen,122.417534
45,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L12,10035.523,3741.3314097639336,0.54167074,128.39903831398024,114544,348,3262,22500,16712,71722,18811,11101,3.986178299930892,6.754706783172687,CD4iR2_Psomagen,125.06217
46,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L23,8917.453,3520.6058177094906,0.53450376,125.65878388573152,117022,297,3280,23185,17527,72733,18723,11028,4.059872883619078,6.892727602466449,CD4iR2_Psomagen,121.68905
47,CD4i_R2_D4_Rest_CD4i_R2_Ultima,CD4i_R2L24,9447.802,3626.2787599923313,0.53413785,127.30082253873356,119967,295,3306,24260,17524,74582,18950,11107,4.110184696569921,7.012514630413253,CD4iR2_Psomagen,124.25069
48,CD4i_R2_D3_Stim8hr_CD4i_R2_Ultima,CD4i_R2L01,17641.508,4852.945231719474,0.53409123,174.36601579616746,102322,1166,2767,23117,8166,67106,14283,9709,4.892039487502625,7.196724688433412,CD4iR2_Psomagen,197.05986
49,CD4i_R2_D3_Stim8hr_CD4i_R2_Ultima,CD4i_R2L02,21290.055,5089.628391112434,0.5724342,158.91053976010662,80652,1110,2234,17451,8021,51836,12576,8959,4.299459287531807,6.035271793726978,CD4iR2_Psomagen,171.93256
50,CD4i_R2_D3_Stim8hr_CD4i_R2_Ultima,CD4i_R2L03,17904.686,4769.283733937656,0.5367671,162.97524705755464,82958,892,2317,17917,8319,53513,12770,9033,4.371965544244323,6.180670873463965,CD4iR2_Psomagen,178.94951
51,CD4i_R2_D3_Stim8hr_CD4i_R2_Ultima,CD4i_R2L04,21101.576,5145.038500188419,0.56132424,170.20466360962828,79610,1099,2209,17337,7265,51700,12898,9087,4.179640254302993,5.932540992626829,CD4iR2_Psomagen,189.57498
52,CD4i_R2_D3_Stim8hr_CD4i_R2_Ultima,CD4i_R2L05,20045.438,5059.2629178549,0.5611465,172.87468569946668,97133,1285,2581,22643,7772,62852,13946,9565,4.691882977197762,6.840878201777313,CD4iR2_Psomagen,195.3605
