target,target_corrected,culture_condition,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min,distal_offtarget
ABCD3,ABCD3,Rest,ABCD3-1,CSTB,16,2,-3.742569133523298,3.7277047349626205e-09,-0.1094,5.294179008277646e-32,-0.0722,0.3965786978257495,140,,0.0
ABCD3,ABCD3,Stim8hr,ABCD3-1,CSTB,16,2,-3.7063568165424807,0.003245313024123,-0.0274,0.0032402601855028,-0.2433,0.0656958388282824,58,,0.0
CGGBP1,CGGBP1,Rest,CGGBP1-2,CD81,16,2,-3.32857379662199,0.0872577747615544,0.1504,3.25283147972948e-59,0.0036,0.9921457122405362,10,0.9921457122405362,0.0
C2orf15,C2orf15,Stim48hr,C2orf15-1,CDKN2AIP,16,3,-3.045604340933556,0.0005669401427954,0.1566,3.602014573873431e-64,0.5816,6.046783695530646e-13,128,6.046783695530646e-13,1.0
CGGBP1,CGGBP1,Stim8hr,CGGBP1-2,CD81,16,2,-2.8873946711552767,1.317917861094024e-05,0.0215,0.0211615751348958,-0.4291,0.5708878524897185,4,,0.0
MORN1,MORN1,Rest,MORN1-1,UBE2O,16,3,-2.7915986684605745,1.859275715545808e-22,0.1433,6.883982861354996e-54,-0.7613,0.238672643928486,4,,0.0
KLF10,KLF10,Rest,KLF10-1,ARHGAP5,16,3,-2.634951004633165,0.0962835405440808,0.0187,0.0442891644526921,-0.1954,0.239698131130244,38,,0.0
LTBP3,LTBP3,Stim8hr,LTBP3-1,MCOLN1,16,4,-2.2276963952145468,1.374263878380661e-07,0.0221,0.0178468444617795,0.9355,0.2298861528836093,3,0.2298861528836093,0.0
PRR7,PRR7,Stim8hr,PRR7-1,SH2B3,16,4,-2.171148953008517,0.0119181415935387,0.0386,3.467185863708484e-05,-0.2061,0.1743897916177498,45,,0.0
C2orf15,C2orf15,Rest,C2orf15-1,CDKN2AIP,16,3,-1.9790333769118773,0.0650670426104294,0.1502,4.754787431657537e-59,0.6458,2.2067937018424216e-15,119,2.2067937018424216e-15,1.0
C2orf15,C2orf15,Stim8hr,C2orf15-1,CDKN2AIP,16,3,-1.9169142484616053,0.0273327285449603,0.1199,3.823974695500377e-38,0.4788,1.826849941839902e-07,107,1.826849941839902e-07,0.0
GPR27,GPR27,Stim8hr,GPR27-2,FASTK,16,2,-1.87668000938624,2.6024713210165524e-18,-0.0165,0.0766612172279345,0.436,0.4630509487250611,5,0.4630509487250611,0.0
SRSF8,SRSF8,Stim48hr,SRSF8-1,YDJC,16,4,-1.8457817256006253,4.829175636477623e-09,0.1348,7.368317894334883e-48,-0.7656,0.0759500963350304,6,,0.0
RXRA,RXRA,Rest,RXRA-1,E2F2,16,4,-1.8197548819566227,1.3836325973592426e-08,-0.1253,1.7189112927092723e-41,-0.3599,0.3070015389787948,10,,0.0
GPR27,GPR27,Rest,GPR27-2,FASTK,16,2,-1.7765938094681848,3.4663439421480373e-13,-0.0743,1.4003041289051198e-15,0.4397,0.4587912859045936,5,0.4587912859045936,0.0
PPIF,PPIF,Rest,PPIF-1,NRBP1,16,4,-1.7072849318356231,9.70748221505768e-06,0.3936,0.0,0.5813,8.546518524005758e-80,870,8.546518524005758e-80,1.0
SRSF8,SRSF8,Stim8hr,SRSF8-1,YDJC,16,4,-1.6953193620294738,3.8160761368192236e-17,-0.0067,0.4750267197082485,0.4222,0.2974272509901724,8,0.2974272509901724,0.0
ZFAND3,ZFAND3,Stim48hr,ZFAND3-1,RABGAP1L,16,4,-1.5627969921230775,0.0023292181810349,0.2248,7.59939414480446e-132,0.465,6.350078452220672e-36,645,6.350078452220672e-36,0.0
PRR7,PRR7,Stim48hr,PRR7-1,SH2B3,16,4,-1.4253139019372487,0.0443004758965475,0.1529,3.6672076239799505e-61,0.3392,0.0027222580484905,76,0.0027222580484905,0.0
SETD3,SETD3,Stim8hr,SETD3-2,RBM15B,16,4,-1.277750092730174,0.0271485846523124,-0.0074,0.4283834459240814,0.0538,0.7857605373255433,28,0.7857605373255433,0.0
ZFAND3,ZFAND3,Rest,ZFAND3-1,RABGAP1L,16,4,-1.2103517862437043,7.482281582651413e-06,-0.0219,0.0187756965558753,-0.1024,0.7932123612958475,9,,0.0
GPR27,GPR27,Stim48hr,GPR27-2,FASTK,16,2,-1.1642327594481714,8.513172883418177e-07,0.0225,0.0158596779824257,0.1101,0.8601556342997523,5,0.8601556342997523,0.0
KLF10,KLF10,Rest,KLF10-1,RPRD2,16,3,-1.101037323139736,0.0029307001531522,0.2373,3.935053229660432e-147,0.3757,7.1619909191939285e-53,1542,7.1619909191939285e-53,0.0
PPIF,PPIF,Stim8hr,PPIF-1,NRBP1,16,4,-1.0161418785809886,1.4358009319161882e-10,0.278,2.2924489512137896e-203,0.4701,6.900570832298836e-37,647,6.900570832298836e-37,0.0
PRR7,PRR7,Stim8hr,PRR7-1,ZBTB44,16,2,-0.8514692489234332,0.0426659016421335,0.06,1.1398414828062253e-10,0.1165,0.0638033253856169,254,0.0638033253856169,0.0
PMEL,PMEL,Stim48hr,PMEL-1,PEMT,15,2,-5.459364845503888,1.1413880487430418e-12,0.0296,0.0014894456948006,0.5492,0.6298913784827971,3,0.6298913784827971,0.0
SCO2,SCO2,Stim8hr,SCO2-1,USP13,15,4,-4.542315626335674,1.5187615220047232e-22,-0.0509,4.68887992809233e-08,0.003,0.9725667450086158,130,0.9725667450086158,0.0
XPO5,XPO5,Rest,XPO5-1,QSER1,15,4,-4.529115683857212,2.990845247052232e-08,-0.1243,7.301115571719078e-41,0.4955,0.1453479986262607,10,0.1453479986262607,0.0
ZFPM1,ZFPM1,Stim8hr,ZFPM1-1,FGFR1,15,3,-4.342149230340407,0.0005967256327133,,,,,0,,0.0
PMEL,PMEL,Stim8hr,PMEL-1,PEMT,15,2,-4.232732849281431,6.4406636906071875e-28,0.094,5.091339044442842e-24,0.1653,0.8942860475001084,3,0.8942860475001084,0.0
SCO2,SCO2,Rest,SCO2-1,USP13,15,4,-4.194870776349785,1.9438368973819825e-13,-0.0014,0.8847174700109011,0.0342,0.3345281128351572,799,0.3345281128351572,0.0
FBXL20,FBXL20,Rest,FBXL20-1,SPN,15,5,-4.089402973462085,5.617585303167703e-87,0.1182,4.039730419579565e-37,0.864,0.0002899995998071,12,0.0002899995998071,1.0
HOXB2,HOXB2,Stim48hr,HOXB2-1,NECTIN3,15,3,-3.8614315382827504,3.135257509912816e-08,0.0446,1.685446352709468e-06,0.0226,0.7509169922310556,200,0.7509169922310556,0.0
SCO2,SCO2,Stim48hr,SCO2-1,USP13,15,4,-3.748042993165688,4.851139946012796e-15,-0.0634,9.52254799888918e-12,-0.1152,0.6287246025790065,20,,0.0
SETD3,SETD3,Stim8hr,SETD3-2,B4GALT5,15,3,-3.705091499471688,3.690706336021668e-05,0.0459,8.381915355447073e-07,0.0057,0.977036372508338,28,0.977036372508338,0.0
MATK,MATK,Stim8hr,MATK-1,LAMTOR1,15,2,-3.696377917289717,2.951001014535872e-56,0.1312,2.2020497025911645e-45,0.2559,0.0728047033645653,50,0.0728047033645653,0.0
GDPD5,GDPD5,Stim8hr,GDPD5-2,ZDHHC18,15,5,-3.5648362692579654,6.460186778766876e-19,0.0689,1.375499405469862e-13,0.0498,0.8346777694992371,20,0.8346777694992371,0.0
XPO5,XPO5,Stim8hr,XPO5-1,QSER1,15,4,-3.453026747517892,8.210481248232337e-18,-0.0745,1.1788476570370588e-15,-0.3725,0.2592291414524614,11,,0.0
ZFPM1,ZFPM1,Stim48hr,ZFPM1-1,TADA2B,15,4,-3.127651930981816,4.3134239841130135e-08,0.7228,0.0,0.7724,0.0,5533,0.0,1.0
XPO5,XPO5,Stim48hr,XPO5-1,QSER1,15,4,-3.060066842407238,5.305084589251371e-19,-0.1116,3.131931853158767e-33,0.3394,0.235225049732341,14,0.235225049732341,0.0
PANK4,PANK4,Stim8hr,PANK4-1,AMFR,15,2,-3.029095737504345,0.0043338622434621,0.019,0.0414590807408839,0.0263,0.9125202419276124,20,0.9125202419276124,0.0
IL3,IL3,Stim48hr,IL3-2,WBP1L,15,3,-2.978117274307764,0.0001162980633941,0.0425,5.175722703215783e-06,0.087,0.7398252353765522,17,0.7398252353765522,0.0
SYNGR3,SYNGR3,Stim8hr,SYNGR3-1,ZDHHC18,15,1,-2.9200881341293496,2.0122188168836123e-08,-0.0178,0.0562653120844612,0.081,0.6760780972997419,29,0.6760780972997419,0.0
HOXB2,HOXB2,Stim8hr,HOXB2-1,NECTIN3,15,3,-2.765313199807173,1.2634478762816592e-05,0.0297,0.0014324227839116,-0.0513,0.5744256067654907,122,,0.0
IL3,IL3,Stim8hr,IL3-2,SLC30A1,15,3,-2.7292113281177874,3.23335701100437e-59,0.2871,2.156373571565305e-217,0.7823,2.0072732311098075e-07,31,2.0072732311098075e-07,1.0
RXRA,RXRA,Rest,RXRA-1,ANKRD52,15,3,-2.6873415616106144,3.3607311321055904e-18,,,,,0,,0.0
HOXB2,HOXB2,Rest,HOXB2-1,NECTIN3,15,3,-2.660944053552202,0.0268232502111636,0.1404,8.192025225084079e-52,0.2219,3.962369516120737e-06,424,3.962369516120737e-06,0.0
AP4M1,AP4M1,Stim8hr,AP4M1-1,NOTCH1,15,5,-2.6405498420510995,8.121773280425415e-19,-0.0189,0.042079832186182,,,1,,0.0
ZFPM1,ZFPM1,Rest,ZFPM1-1,TADA2B,15,4,-2.608248048312587,1.6537249768736134e-24,0.7302,0.0,0.7713,0.0,5020,0.0,1.0
SERGEF,SERGEF,Stim8hr,SERGEF-2,C15orf61,15,3,-2.486359623410588,9.212255751297908e-11,0.0519,2.4622963161534682e-08,-0.8267,0.0424357219416653,6,,0.0
IL3,IL3,Stim48hr,IL3-2,SLC30A1,15,3,-2.479855524713497,5.549571458205301e-18,0.2733,1.9667963360549722e-196,0.8088,9.91937106892989e-07,25,9.91937106892989e-07,1.0
RXRA,RXRA,Stim48hr,RXRA-1,ANKRD52,15,3,-2.4519086296870274,3.081361201663133e-14,-0.0944,3.150087303492121e-24,-0.3661,0.1350771165750245,18,,0.0
MATK,MATK,Stim48hr,MATK-1,LAMTOR1,15,2,-2.4447184080923425,4.443003826059011e-23,0.159,4.4123999798210384e-66,0.3747,7.07007032440941e-17,463,7.07007032440941e-17,0.0
ATG14,ATG14,Stim48hr,ATG14-2,WDR6,15,5,-2.378239371790269,0.0120917877129193,-0.1049,1.5437596470299405e-29,-0.2302,0.5222045805678472,10,,0.0
PLGRKT,PLGRKT,Stim48hr,PLGRKT-2,ECPAS,15,5,-2.245355324002252,5.99968649232368e-31,0.0331,0.0003872066688056,0.7516,0.1429712608106232,5,0.1429712608106232,0.0
NFKBIB,NFKBIB,Rest,NFKBIB-2,CCNG2,15,4,-2.2334820951855336,0.0575337334119769,-0.0031,0.736534303488901,0.148,0.6294095000364051,13,0.6294095000364051,0.0
IL3,IL3,Stim8hr,IL3-2,WBP1L,15,3,-2.197679218418732,3.7315685944314286e-05,0.0836,2.622630564371176e-19,0.2193,0.3529466516682326,20,0.3529466516682326,0.0
ZC3H12C,ZC3H12C,Stim48hr,ZC3H12C-1,CNP,15,3,-2.1273105637029963,0.072889339456821,0.1166,3.898163361198968e-36,0.4686,0.013685193591166,27,0.013685193591166,0.0
ZFPM1,ZFPM1,Stim8hr,ZFPM1-1,TADA2B,15,4,-2.0667638205615004,1.3153300902713227e-16,0.7771,0.0,0.7963,0.0,6432,0.0,1.0
SYNGR3,SYNGR3,Stim8hr,SYNGR3-1,FAM50A,15,2,-1.9576384406579208,2.3482345090911463e-08,-0.0525,1.7617226638505513e-08,-0.327,0.1029787381156261,26,,0.0
IL3,IL3,Rest,IL3-2,SLC30A1,15,3,-1.8609896884155976,2.4417471506411304e-24,0.2486,8.360252063643614e-162,0.8711,1.323718525083462e-07,22,1.323718525083462e-07,1.0
CD2BP2,CD2BP2,Rest,CD2BP2-2,ACP1,15,5,-1.8503738280199808,0.0346835640964581,0.0184,0.0488823865370381,,,1,,0.0
ATG14,ATG14,Stim8hr,ATG14-2,WDR6,15,5,-1.8020242571267169,0.0130770949096648,-0.0431,3.7110437948473247e-06,-0.2989,0.0682977717104193,38,,0.0
