target,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min
NDUFS1,NDUFS1_+_207024173.23-P1P2,EEF1B2,20,0,-3.782880421515732,0.0891781260341143,,,,,0,
OPN3,OPN3_-_241803628.23-P1P2,CHML,20,0,-3.4231842793524336,0.012075524303079,,,,,0,
ZCCHC17,ZCCHC17_-_31769872.23-P1P2,SNRNP40,20,0,-3.308801364863589,0.0712826040839143,,,,,0,
NUDCD2,NUDCD2_+_162887114.23-P1P2,HMMR,20,0,-2.8231037019678995,4.1041229403669e-05,-0.0154,0.22046789392755514,-0.4878,0.04002060105261502,18,0.04002060105261502
XRRA1,XRRA1_-_74660140.23-P1P2,SPCS2,20,0,-2.692187674780593,1.1077776723753013e-07,,,,,0,
GMPR2,GMPR2_-_24702203.23-P1P2,NEDD8,20,0,-2.542412741977908,6.079382627420923e-10,,,,,0,
RBM10,RBM10_-_47004526.23-P1P2,NDUFB11,20,0,-2.37847411288868,8.068916504170923e-20,0.0903,6.97299504374852e-13,-0.3598,0.008144897393855838,53,6.97299504374852e-13
RBM10,RBM10_+_47004643.23-P1P2,NDUFB11,20,0,-2.37847411288868,8.068916504170923e-20,0.0903,6.97299504374852e-13,-0.3598,0.008144897393855838,53,6.97299504374852e-13
KCTD9,KCTD9_+_25315923.23-P1P2,CDCA2,20,0,-2.36756209907472,0.0709837653359839,-0.0045,0.7203535442314172,-0.8732,0.023110468746618554,6,0.023110468746618554
FEN1,FEN1_+_61560617.23-P1P2,TMEM258,20,0,-2.2757039995495423,1.3664448122468e-26,,,,,0,
DNAJB9,DNAJB9_-_108210540.23-P1P2,THAP5,20,0,-2.246892422963126,0.0775883213745799,-0.0062,0.6242742098347547,-0.0846,0.8734733982709233,6,0.6242742098347547
TST,TST_+_37415452.23-P1P2,MPST,20,0,-2.2300116769935263,0.0005631350588944,-0.0048,0.7019698228658204,-0.7241,0.4844769602573627,3,0.4844769602573627
TST,TST_+_37415316.23-P1P2,MPST,20,0,-2.2300116769935263,0.0005631350588944,-0.0048,0.7019698228658204,-0.7241,0.4844769602573627,3,0.4844769602573627
C2orf76,C2orf76_+_120124359.23-P1P2,DBI,20,0,-2.065569765884441,3.780863103897435e-07,-0.0014,0.914203920291456,,,0,0.914203920291456
RNF41,RNF41_+_56615615.23-P1P2,NABP2,20,0,-1.9403013805585203,0.0294464881480241,,,,,0,
THOC6,THOC6_-_3074073.23-P1P2,HCFC1R1,20,0,-1.890823360994972,0.0648441526171592,,,,,0,
THOC6,THOC6_+_3074256.23-P1P2,HCFC1R1,20,0,-1.890823360994972,0.0648441526171592,,,,,0,
STYXL1,STYXL1_+_75677277.23-P1P2,MDH2,20,0,-1.7858346851164368,1.4642346554042098e-43,0.0059,0.6390145034924685,0.8994,0.03772300585435993,5,0.03772300585435993
TMEM116,TMEM116_-_112450896.23-P1P2,ERP29,20,0,-1.7793541859728146,4.891416260041062e-10,0.0177,0.16147247690595604,-0.4093,0.052437383037814915,23,0.052437383037814915
BTF3L4,BTF3L4_+_52521967.23-P1P2,TXNDC12,20,0,-1.6942862704281232,2.0007950502544123e-11,,,,,0,
COQ9,COQ9_-_57481608.23-P1P2,CIAPIN1,20,0,-1.38777108041081,0.0048788715757039,,,,,0,
COQ4,COQ4_-_131085196.23-P1P2,TRUB2,20,0,-1.3581363715906951,4.011642376137422e-09,0.0346,0.006013075816419525,-0.7356,0.023882339670252075,9,0.006013075816419525
ALG2,ALG2_-_101984133.23-P1P2,SEC61B,20,0,-1.2680985101817108,1.9568967597374142e-39,,,,,0,
TADA3,TADA3_+_9834144.23-P1P2,ARPC4,20,0,-0.9462072328994356,8.274774930869009e-06,,,,,0,
TADA3,TADA3_-_9834393.23-P1P2,ARPC4,20,0,-0.9462072328994356,8.274774930869009e-06,,,,,0,
BHLHE40,STRA13_+_79980695.23-P1P2,CENPX,20,0,-0.9443368108246546,1.157947086682489e-12,,,,,0,
FGFR1OP2,FGFR1OP2_+_27091449.23-P1P2,INTS13,20,0,-0.8676132787946281,0.0184308766545717,0.0397,0.0016466620059303538,-0.5313,0.003621439443661622,28,0.0016466620059303538
GLT8D1,GLT8D1_+_52739717.23-P1P2,SPCS1,20,0,-0.8458298242980584,2.0908156910650152e-14,0.0008,0.9475586038834534,0.2904,0.5766409306669236,6,0.5766409306669236
ABHD14B,ABHD14B_+_52017350.23-P2,ACY1,20,0,-0.5947388563150259,8.317759399637385e-09,,,,,0,
HSPD1,HSPD1_+_198364183.23-P1P2,HSPE1,20,0,-0.5664646855363243,2.826604014987422e-07,,,,,0,
HSPD1,HSPD1_+_198364452.23-P1P2,HSPE1,20,0,-0.5664646855363243,2.826604014987422e-07,,,,,0,
ELOB,TCEB1_+_74884299.23-P1P2,ELOC,20,0,-0.2867970550269374,0.0424509317727547,,,,,0,
NDUFS1,NDUFS1_+_207024119.23-P1P2,EEF1B2,19,1,-3.782880421515732,0.0891781260341143,,,,,0,
OPN3,OPN3_-_241803633.23-P1P2,CHML,19,1,-3.4231842793524336,0.012075524303079,,,,,0,
ZCCHC17,ZCCHC17_-_31769902.23-P1P2,SNRNP40,19,1,-3.308801364863589,0.0712826040839143,,,,,0,
NUDCD2,NUDCD2_+_162886886.23-P1P2,HMMR,19,1,-2.8231037019678995,4.1041229403669e-05,-0.0154,0.22046789392755514,-0.4878,0.04002060105261502,18,0.04002060105261502
XRRA1,XRRA1_+_74660088.23-P1P2,SPCS2,19,1,-2.692187674780593,1.1077776723753013e-07,,,,,0,
TSC2,TSC2_-_2097579.23-P1P2,NTHL1,19,1,-2.5945359056675144,0.0338038930771346,,,,,0,
TSC2,TSC2_-_2097497.23-P1P2,NTHL1,19,1,-2.5945359056675144,0.0338038930771346,,,,,0,
GMPR2,GMPR2_+_24702140.23-P1P2,NEDD8,19,1,-2.542412741977908,6.079382627420923e-10,,,,,0,
TXNRD2,TXNRD2_+_19929287.23-P1P2,COMT,19,1,-2.447847541286723,5.438081096574945e-75,,,,,0,
TXNRD2,TXNRD2_+_19929272.23-P1P2,COMT,19,1,-2.447847541286723,5.438081096574945e-75,,,,,0,
KCTD9,KCTD9_+_25315957.23-P1P2,CDCA2,19,1,-2.36756209907472,0.0709837653359839,-0.0045,0.7203535442314172,-0.8732,0.023110468746618554,6,0.023110468746618554
FEN1,FEN1_-_61560380.23-P1P2,TMEM258,19,1,-2.2757039995495423,1.3664448122468e-26,,,,,0,
DNAJB9,DNAJB9_+_108210329.23-P1P2,THAP5,19,1,-2.246892422963126,0.0775883213745799,-0.0062,0.6242742098347547,-0.0846,0.8734733982709233,6,0.6242742098347547
C2orf76,C2orf76_+_120124344.23-P1P2,DBI,19,1,-2.065569765884441,3.780863103897435e-07,-0.0014,0.914203920291456,,,0,0.914203920291456
RNF41,RNF41_-_56615654.23-P1P2,NABP2,19,1,-1.9403013805585203,0.0294464881480241,,,,,0,
NUDCD1,NUDCD1_+_110346274.23-P1P2,ENY2,19,1,-1.8822562565521612,0.0167911723838795,,,,,0,
NUDCD1,NUDCD1_-_110346318.23-P1P2,ENY2,19,1,-1.8822562565521612,0.0167911723838795,,,,,0,
POLK,POLK_+_74807767.23-P1P2,CERT1,19,1,-1.8259437244313843,4.777992381016667e-06,,,,,0,
POLK,POLK_-_74807738.23-P1P2,CERT1,19,1,-1.8259437244313843,4.777992381016667e-06,,,,,0,
STYXL1,STYXL1_+_75677069.23-P1P2,MDH2,19,1,-1.7858346851164368,1.4642346554042098e-43,0.0059,0.6390145034924685,0.8994,0.03772300585435993,5,0.03772300585435993
TMEM116,TMEM116_-_112450964.23-P1P2,ERP29,19,1,-1.7793541859728146,4.891416260041062e-10,0.0177,0.16147247690595604,-0.4093,0.052437383037814915,23,0.052437383037814915
BTF3L4,BTF3L4_+_52522155.23-P1P2,TXNDC12,19,1,-1.6942862704281232,2.0007950502544123e-11,,,,,0,
COQ9,COQ9_-_57481845.23-P1P2,CIAPIN1,19,1,-1.38777108041081,0.0048788715757039,,,,,0,
COQ4,COQ4_+_131085154.23-P1P2,TRUB2,19,1,-1.3581363715906951,4.011642376137422e-09,0.0346,0.006013075816419525,-0.7356,0.023882339670252075,9,0.006013075816419525
ALG2,ALG2_+_101984159.23-P1P2,SEC61B,19,1,-1.2680985101817108,1.9568967597374142e-39,,,,,0,
AVL9,AVL9_+_32535095.23-P1P2,LSM5,19,1,-1.1301032997015092,4.702532803088406e-19,,,,,0,
AVL9,AVL9_+_32535098.23-P1P2,LSM5,19,1,-1.1301032997015092,4.702532803088406e-19,,,,,0,
BHLHE40,STRA13_+_79980700.23-P1P2,CENPX,19,1,-0.9443368108246546,1.157947086682489e-12,,,,,0,
FGFR1OP2,FGFR1OP2_-_27091437.23-P1P2,INTS13,19,1,-0.8676132787946281,0.0184308766545717,0.0397,0.0016466620059303538,-0.5313,0.003621439443661622,28,0.0016466620059303538
GLT8D1,GLT8D1_-_52739772.23-P1P2,SPCS1,19,1,-0.8458298242980584,2.0908156910650152e-14,0.0008,0.9475586038834534,0.2904,0.5766409306669236,6,0.5766409306669236
ELP5,ELP5_+_7155888.23-P1P2,CTDNEP1,19,1,-0.7213202967128117,0.0500367837345029,,,,,0,
ELP5,ELP5_-_7155875.23-P1P2,CTDNEP1,19,1,-0.7213202967128117,0.0500367837345029,,,,,0,
TMEM127,TMEM127_+_96931705.23-P1P2,CIAO1,19,1,-0.6669026454231038,0.0114352757877932,0.0577,4.596608891938564e-06,0.1172,0.23136162895550036,106,4.596608891938564e-06
TMEM127,TMEM127_+_96931644.23-P1P2,CIAO1,19,1,-0.6669026454231038,0.0114352757877932,0.0577,4.596608891938564e-06,0.1172,0.23136162895550036,106,4.596608891938564e-06
ABHD14B,ABHD14B_-_52016965.23-P2,ACY1,19,1,-0.5947388563150259,8.317759399637385e-09,,,,,0,
ELOB,TCEB1_+_74884343.23-P1P2,ELOC,19,1,-0.2867970550269374,0.0424509317727547,,,,,0,
