,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
0,split2_seed3214,donor_comb_0,0.3170812290866956,FOXK1,10,10.0,1
1,split2_seed3214,donor_comb_1,0.3069053087165808,FOXK1,10,23.0,1
2,split2_seed3214,donor_comb_2,0.1776923959292326,FOXK1,10,12.0,1
3,split2_seed3214,donor_comb_3,-0.18700574179690513,FOXK1,10,3.0,1
4,split2_seed3214,donor_comb_4,0.432230448713483,FOXK1,10,33.0,2
5,split2_seed3214,donor_comb_5,0.35008806924959224,FOXK1,10,35.0,2
6,split2_seed3214,donor_comb_6,0.0472319893097216,FOXK1,10,13.0,2
7,split2_seed3214,donor_comb_7,-0.030637570827459725,FOXK1,10,15.0,2
8,split2_seed3214,donor_comb_8,0.12366935536966384,FOXK1,10,26.0,2
9,split2_seed3214,donor_comb_9,0.34332919114289356,FOXK1,10,22.0,2
10,split2_seed3214,donor_comb_10,0.4348757922447631,FOXK1,10,45.0,3
11,split2_seed3214,donor_comb_11,0.14207608948694453,FOXK1,10,25.0,3
12,split2_seed3214,donor_comb_12,0.25365592039248636,FOXK1,10,36.0,3
13,split2_seed3214,donor_comb_13,0.17963338804983375,FOXK1,10,38.0,3
14,split2_seed3214,donor_comb_14,0.28922559646838714,FOXK1,10,48.0,4
0,split2_seed3214,donor_comb_0,0.0800615495089125,GATA3,10,34.0,1
1,split2_seed3214,donor_comb_1,0.09013174420782319,GATA3,10,24.0,1
2,split2_seed3214,donor_comb_2,0.1695150667101439,GATA3,10,85.0,1
3,split2_seed3214,donor_comb_3,0.06741782437032334,GATA3,10,26.0,1
4,split2_seed3214,donor_comb_4,0.0938395157686629,GATA3,10,58.0,2
5,split2_seed3214,donor_comb_5,0.17920791571681097,GATA3,10,109.0,2
6,split2_seed3214,donor_comb_6,0.10146074865088686,GATA3,10,60.0,2
7,split2_seed3214,donor_comb_7,0.18272092765282316,GATA3,10,111.0,2
8,split2_seed3214,donor_comb_8,0.08816733379918608,GATA3,10,50.0,2
9,split2_seed3214,donor_comb_9,0.187435289579456,GATA3,10,119.0,2
10,split2_seed3214,donor_comb_10,0.1848213189761455,GATA3,10,143.0,3
11,split2_seed3214,donor_comb_11,0.18950269182324794,GATA3,10,145.0,3
12,split2_seed3214,donor_comb_12,0.10943819266463777,GATA3,10,84.0,3
13,split2_seed3214,donor_comb_13,0.18258453655648674,GATA3,10,135.0,3
14,split2_seed3214,donor_comb_14,0.18885305016306989,GATA3,10,169.0,4
0,split2_seed3214,donor_comb_0,0.27417782414892883,IRF1,10,22.0,1
1,split2_seed3214,donor_comb_1,0.3168729659957683,IRF1,10,96.0,1
2,split2_seed3214,donor_comb_2,0.17289106080313602,IRF1,10,8.0,1
3,split2_seed3214,donor_comb_3,0.17757748751987773,IRF1,10,15.0,1
4,split2_seed3214,donor_comb_4,0.37566564902830446,IRF1,10,118.0,2
5,split2_seed3214,donor_comb_5,0.31674595690730517,IRF1,10,104.0,2
6,split2_seed3214,donor_comb_6,0.2950474874099991,IRF1,10,37.0,2
7,split2_seed3214,donor_comb_7,0.25940229928184444,IRF1,10,23.0,2
8,split2_seed3214,donor_comb_8,0.31776882725377376,IRF1,10,111.0,2
9,split2_seed3214,donor_comb_9,0.30409177709675655,IRF1,10,30.0,2
10,split2_seed3214,donor_comb_10,0.3751902229735744,IRF1,10,126.0,3
11,split2_seed3214,donor_comb_11,0.32555486993491195,IRF1,10,45.0,3
12,split2_seed3214,donor_comb_12,0.3690193966184158,IRF1,10,133.0,3
13,split2_seed3214,donor_comb_13,0.33744300332997057,IRF1,10,119.0,3
14,split2_seed3214,donor_comb_14,0.37588132088162285,IRF1,10,141.0,4
0,split2_seed3214,donor_comb_0,0.23011621787171016,IRF2,10,23.0,1
1,split2_seed3214,donor_comb_1,-0.03393651008813411,IRF2,10,2.0,1
2,split2_seed3214,donor_comb_2,0.04437109478257456,IRF2,10,1.0,1
3,split2_seed3214,donor_comb_3,0.20102976857017762,IRF2,10,13.0,1
4,split2_seed3214,donor_comb_4,0.18313407870236273,IRF2,10,25.0,2
5,split2_seed3214,donor_comb_5,0.023427637282770076,IRF2,10,3.0,2
6,split2_seed3214,donor_comb_6,0.3052899483385581,IRF2,10,36.0,2
7,split2_seed3214,donor_comb_7,0.20279522505200512,IRF2,10,14.0,2
8,split2_seed3214,donor_comb_8,0.19044220077390694,IRF2,10,15.0,2
9,split2_seed3214,donor_comb_9,0.21273478003958585,IRF2,10,24.0,2
10,split2_seed3214,donor_comb_10,0.16157386254539302,IRF2,10,26.0,3
11,split2_seed3214,donor_comb_11,0.289727587886458,IRF2,10,37.0,3
12,split2_seed3214,donor_comb_12,0.26957308068254887,IRF2,10,38.0,3
13,split2_seed3214,donor_comb_13,0.1881055475480853,IRF2,10,16.0,3
14,split2_seed3214,donor_comb_14,0.256125834335821,IRF2,10,39.0,4
0,split2_seed3214,donor_comb_0,0.0339888291945517,KLF2,10,15.0,1
1,split2_seed3214,donor_comb_1,0.008472259536051496,KLF2,10,33.0,1
2,split2_seed3214,donor_comb_2,0.3129333441042065,KLF2,10,54.0,1
3,split2_seed3214,donor_comb_3,0.07293076281626305,KLF2,10,1.0,1
