,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
0,split2_seed3214,donor_comb_0,-0.002707154945433993,FOXK1,10,10.0,1
1,split2_seed3214,donor_comb_1,0.045477630226462375,FOXK1,10,23.0,1
2,split2_seed3214,donor_comb_2,0.05018599707802649,FOXK1,10,12.0,1
3,split2_seed3214,donor_comb_3,0.0061540109075566085,FOXK1,10,3.0,1
4,split2_seed3214,donor_comb_4,0.023350846572509944,FOXK1,10,33.0,2
5,split2_seed3214,donor_comb_5,0.07332457720354334,FOXK1,10,35.0,2
6,split2_seed3214,donor_comb_6,-0.0002217467832113405,FOXK1,10,13.0,2
7,split2_seed3214,donor_comb_7,0.03970094448306341,FOXK1,10,15.0,2
8,split2_seed3214,donor_comb_8,0.0216609719421917,FOXK1,10,26.0,2
9,split2_seed3214,donor_comb_9,0.042571703781067595,FOXK1,10,22.0,2
10,split2_seed3214,donor_comb_10,0.05787377039045375,FOXK1,10,45.0,3
11,split2_seed3214,donor_comb_11,0.03494116340674714,FOXK1,10,25.0,3
12,split2_seed3214,donor_comb_12,0.016702205178061078,FOXK1,10,36.0,3
13,split2_seed3214,donor_comb_13,0.058965744088253946,FOXK1,10,38.0,3
14,split2_seed3214,donor_comb_14,0.05016328145362496,FOXK1,10,48.0,4
0,split2_seed3214,donor_comb_0,0.0387481664273113,GATA3,10,34.0,1
1,split2_seed3214,donor_comb_1,0.01547403697408587,GATA3,10,24.0,1
2,split2_seed3214,donor_comb_2,0.1740880142362756,GATA3,10,85.0,1
3,split2_seed3214,donor_comb_3,0.032027039403837415,GATA3,10,26.0,1
4,split2_seed3214,donor_comb_4,0.05088298493703475,GATA3,10,58.0,2
5,split2_seed3214,donor_comb_5,0.1594779437029918,GATA3,10,109.0,2
6,split2_seed3214,donor_comb_6,0.05278744843592764,GATA3,10,60.0,2
7,split2_seed3214,donor_comb_7,0.16211342733747358,GATA3,10,111.0,2
8,split2_seed3214,donor_comb_8,0.04311985029107946,GATA3,10,50.0,2
9,split2_seed3214,donor_comb_9,0.15458150903876247,GATA3,10,119.0,2
10,split2_seed3214,donor_comb_10,0.15145184343548643,GATA3,10,143.0,3
11,split2_seed3214,donor_comb_11,0.15425587296170315,GATA3,10,145.0,3
12,split2_seed3214,donor_comb_12,0.06224200789225652,GATA3,10,84.0,3
13,split2_seed3214,donor_comb_13,0.15472004767159445,GATA3,10,135.0,3
14,split2_seed3214,donor_comb_14,0.15161686166135122,GATA3,10,169.0,4
0,split2_seed3214,donor_comb_0,-0.08632436612396953,IRF1,10,22.0,1
1,split2_seed3214,donor_comb_1,0.17074405969481038,IRF1,10,96.0,1
2,split2_seed3214,donor_comb_2,0.050195355851607004,IRF1,10,8.0,1
3,split2_seed3214,donor_comb_3,0.15797768728923103,IRF1,10,15.0,1
4,split2_seed3214,donor_comb_4,0.02961876741344773,IRF1,10,118.0,2
5,split2_seed3214,donor_comb_5,0.10673974572860108,IRF1,10,104.0,2
6,split2_seed3214,donor_comb_6,-0.011516147969229028,IRF1,10,37.0,2
7,split2_seed3214,donor_comb_7,0.11893075248354062,IRF1,10,23.0,2
8,split2_seed3214,donor_comb_8,0.18227590294796314,IRF1,10,111.0,2
9,split2_seed3214,donor_comb_9,-0.09781665258956505,IRF1,10,30.0,2
10,split2_seed3214,donor_comb_10,0.003912662658095162,IRF1,10,126.0,3
11,split2_seed3214,donor_comb_11,-0.031231525646460836,IRF1,10,45.0,3
12,split2_seed3214,donor_comb_12,0.06356587724005472,IRF1,10,133.0,3
13,split2_seed3214,donor_comb_13,0.1507570682045551,IRF1,10,119.0,3
14,split2_seed3214,donor_comb_14,0.04204241279523354,IRF1,10,141.0,4
0,split2_seed3214,donor_comb_0,0.027369725589739477,IRF2,10,23.0,1
1,split2_seed3214,donor_comb_1,0.0015041951698950326,IRF2,10,2.0,1
2,split2_seed3214,donor_comb_2,-0.0852839430831307,IRF2,10,1.0,1
3,split2_seed3214,donor_comb_3,0.024551934751436744,IRF2,10,13.0,1
4,split2_seed3214,donor_comb_4,0.021554710498342757,IRF2,10,25.0,2
5,split2_seed3214,donor_comb_5,-0.046291491683235646,IRF2,10,3.0,2
6,split2_seed3214,donor_comb_6,0.02947771642402958,IRF2,10,36.0,2
7,split2_seed3214,donor_comb_7,-0.012024617510109938,IRF2,10,14.0,2
8,split2_seed3214,donor_comb_8,0.015118318760569667,IRF2,10,15.0,2
9,split2_seed3214,donor_comb_9,-0.0026189370261566103,IRF2,10,24.0,2
