,target,correlation,correlation_ceiling,n_signif,pvalue,culture_condition
0,A2M,-0.4646869257562188,,10,0.0029005131925305106,Rest
1,ABCC1,0.10563077964074184,,80,0.0029005131925305106,Rest
2,ABHD12,0.4931640753729931,0.626067123199669,370,0.0029005131925305106,Rest
3,ABHD13,-0.3313087982418654,0.5404135384531216,499,0.0029005131925305106,Rest
4,ABHD14A,0.9588216998532143,0.9432669388098025,5,0.0029005131925305106,Rest
5,ACTR5,0.3175378316103386,0.9074751828693696,50,0.0029005131925305106,Rest
6,ADAM19,0.13480844503695666,0.4215189616557024,146,0.0029005131925305106,Rest
7,ADAT2,0.37675138072533515,0.5295062839357964,173,0.0029005131925305106,Rest
8,ADAT3,0.8542404428555065,0.8810076367315138,210,0.0029005131925305106,Rest
9,ADNP2,0.8430046601250508,0.9636726394337058,13,0.0029005131925305106,Rest
10,AHR,0.8701670391411426,0.8828508269200761,893,0.0029005131925305106,Rest
11,AHSA1,0.9583941075767995,0.861975701280142,3,0.0029005131925305106,Rest
12,AIP,0.6080683566153623,0.9073656431016928,31,0.0029005131925305106,Rest
13,AK9,0.9915837370822863,0.9434638905115856,4,0.0029005131925305106,Rest
14,ALDH18A1,0.6064013493573758,0.8989566234120081,82,0.0029005131925305106,Rest
15,ANKZF1,-0.0036916448294197694,0.544174360468876,326,0.0029005131925305106,Rest
16,ANP32B,0.6519788980079293,0.9161465185235783,20,0.0029005131925305106,Rest
17,APEX1,0.9147565701046799,0.9811891274396078,14,0.0029005131925305106,Rest
18,APOBEC3G,-0.17255573841725869,0.32187144563496556,970,0.0029005131925305106,Rest
19,ARF1,0.15007041044429778,0.9028411507678483,56,0.0029005131925305106,Rest
20,ARID2,0.8653240832759326,0.8961474234153357,3,0.0029005131925305106,Rest
21,ARNT,0.8471173044096576,0.881228650416526,1055,0.0029005131925305106,Rest
22,ARPC4-TTLL3,0.918166303761486,0.8696156430747621,14,0.0029005131925305106,Rest
23,ASXL1,0.8968583794859974,0.987499582071752,4,0.0029005131925305106,Rest
24,ATF4,0.6945812378533045,0.8371470095466704,70,0.0029005131925305106,Rest
25,ATF7IP2,-0.20945086274244235,,665,0.0029005131925305106,Rest
26,ATM,0.2292882313403184,0.8686892856334415,37,0.0029005131925305106,Rest
27,ATP2A2,0.75747895859506,0.8685077372741694,2681,0.0029005131925305106,Rest
28,ATP2B1,0.07456666660417569,0.7930312640976229,372,0.0029005131925305106,Rest
29,ATP5F1A,-0.2831806123955984,0.857183141409897,41,0.0029005131925305106,Rest
30,ATP5ME,0.20186658988482895,0.8753553165284189,107,0.0029005131925305106,Rest
31,ATP5MF,0.2726178365483858,0.823745831170085,40,0.0029005131925305106,Rest
32,ATP5PO,0.757981340550496,0.9108172263937194,22,0.0029005131925305106,Rest
33,ATPAF2,0.6361191125603783,0.9467316098528876,19,0.0029005131925305106,Rest
34,ATXN1L,-0.14327256739261374,,800,0.0029005131925305106,Rest
35,ATXN7L3,0.6611993460721775,0.7522300060566659,85,0.0029005131925305106,Rest
36,B3GAT1,0.19800550645909856,,16,0.0029005131925305106,Rest
37,B4GALT7,0.7814236316955021,0.9200163481227943,9,0.0029005131925305106,Rest
38,BCL3,0.6884711352984135,0.9209005855630786,9,0.0029005131925305106,Rest
39,BCS1L,0.901708163367395,0.9427632537529361,23,0.0029005131925305106,Rest
40,BEX3,0.2023147423253457,0.8214108078976747,36,0.0029005131925305106,Rest
41,BLZF1,0.17349117869092054,0.22909595885860723,1174,0.0029005131925305106,Rest
42,BRAT1,0.9779335327371942,0.9525476768405257,4,0.0029005131925305106,Rest
43,BRD1,0.14557819924712811,0.8759848355431421,45,0.0029005131925305106,Rest
44,BRD7,0.8773844484597331,0.953800528419681,4,0.0029005131925305106,Rest
45,BRD8,0.5948098340573007,0.844205612320855,714,0.0029005131925305106,Rest
46,BRD9,0.9242136303402705,0.9413242302527853,15,0.0029005131925305106,Rest
47,BRK1,0.7579264483580695,0.8043481913100745,67,0.0029005131925305106,Rest
48,BRPF1,0.7110551303524064,0.8780037038691744,90,0.0029005131925305106,Rest
49,C1orf21,-0.04831452207162934,0.1666510683561122,2420,0.0029005131925305106,Rest
50,C8orf33,0.17054180952903486,0.6117134653344417,277,0.0029005131925305106,Rest
51,CACHD1,0.4306263238543577,0.7297213535934381,82,0.0029005131925305106,Rest
52,CAMSAP1,0.5186076858294769,,22,0.0029005131925305106,Rest
53,CAND1,0.8816291852157058,0.9113946077997056,88,0.0029005131925305106,Rest
54,CARD6,0.9924409746065592,0.9434500857102783,3,0.0029005131925305106,Rest
55,CASC3,0.6399295734810856,0.8710091511554932,598,0.0029005131925305106,Rest
56,CASK,0.4378854167687284,0.8564673055259001,48,0.0029005131925305106,Rest
