,target_contrast,donors,variable,correlation,correlation_ceiling,n_signif,culture_condition,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category
0,ENSG00000032389,CE0008678_CE0010866,CE0008162_CE0006864,0.7647204441107153,0.8689666233665626,142,Rest,EIPR1,Rest,265.0,169,104,273,-9.122384527573589,True,39.1336142461027,True,>10 DE genes,on-target KD
1,ENSG00000032389,CE0008678_CE0008162,CE0010866_CE0006864,0.4447811943414578,0.8170350115421738,248,Rest,EIPR1,Rest,265.0,169,104,273,-9.122384527573589,True,39.1336142461027,True,>10 DE genes,on-target KD
2,ENSG00000032389,CE0008678_CE0006864,CE0010866_CE0008162,0.4780359905855052,0.6585168468748741,285,Rest,EIPR1,Rest,265.0,169,104,273,-9.122384527573589,True,39.1336142461027,True,>10 DE genes,on-target KD
3,ENSG00000048828,CE0008678_CE0010866,CE0008162_CE0006864,0.8731494341531042,0.9705023050611834,11,Rest,FAM120A,Rest,453.0,14,18,32,-20.71437641028227,True,112.95824254283012,True,>10 DE genes,on-target KD
4,ENSG00000048828,CE0008678_CE0008162,CE0010866_CE0006864,0.677681376110869,0.9560402584083978,16,Rest,FAM120A,Rest,453.0,14,18,32,-20.71437641028227,True,112.95824254283012,True,>10 DE genes,on-target KD
5,ENSG00000048828,CE0008678_CE0006864,CE0010866_CE0008162,0.7668328419941985,0.9683879786485379,10,Rest,FAM120A,Rest,453.0,14,18,32,-20.71437641028227,True,112.95824254283012,True,>10 DE genes,on-target KD
6,ENSG00000059573,CE0008678_CE0010866,CE0008162_CE0006864,0.48781294934800473,0.7939922044052538,322,Rest,ALDH18A1,Rest,561.0,94,25,119,-7.778280876637654,True,32.06202413007435,False,>10 DE genes,on-target KD
7,ENSG00000059573,CE0008678_CE0008162,CE0010866_CE0006864,0.6714967904827194,0.6981376426825602,335,Rest,ALDH18A1,Rest,561.0,94,25,119,-7.778280876637654,True,32.06202413007435,False,>10 DE genes,on-target KD
8,ENSG00000059573,CE0008678_CE0006864,CE0010866_CE0008162,0.5634778117468661,0.8615246776844018,238,Rest,ALDH18A1,Rest,561.0,94,25,119,-7.778280876637654,True,32.06202413007435,False,>10 DE genes,on-target KD
9,ENSG00000070444,CE0008678_CE0010866,CE0008162_CE0006864,-0.22434642796740825,,47,Rest,MNT,Rest,299.0,21,18,39,0.0,False,,False,>10 DE genes,no on-target KD
10,ENSG00000070444,CE0008678_CE0008162,CE0010866_CE0006864,0.1175513430487398,0.3600252397684762,632,Rest,MNT,Rest,299.0,21,18,39,0.0,False,,False,>10 DE genes,no on-target KD
11,ENSG00000070444,CE0008678_CE0006864,CE0010866_CE0008162,0.1757026945390433,0.777907789334111,201,Rest,MNT,Rest,299.0,21,18,39,0.0,False,,False,>10 DE genes,no on-target KD
