,target_contrast,donors,variable,correlation,correlation_ceiling,n_signif,culture_condition,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category
0,ENSG00000008256,CE0006864_CE0008162,CE0010866_CE0008678,0.9702660431304874,,3,Stim8hr,CYTH3,Stim8hr,267.0,19,80,99,-1.7587359446435953,True,1.688082443488632,False,>10 DE genes,on-target KD
1,ENSG00000008256,CE0006864_CE0010866,CE0008162_CE0008678,0.8300370348258339,0.729843180738891,23,Stim8hr,CYTH3,Stim8hr,267.0,19,80,99,-1.7587359446435953,True,1.688082443488632,False,>10 DE genes,on-target KD
2,ENSG00000008256,CE0006864_CE0008678,CE0008162_CE0010866,0.5582704126490181,0.5181220738546134,111,Stim8hr,CYTH3,Stim8hr,267.0,19,80,99,-1.7587359446435953,True,1.688082443488632,False,>10 DE genes,on-target KD
3,ENSG00000041353,CE0006864_CE0008162,CE0010866_CE0008678,-0.11422353834121492,,1063,Stim8hr,RAB27B,Stim8hr,1048.0,39,25,64,-0.887082048000494,False,0.3728468814338278,False,>10 DE genes,no on-target KD
4,ENSG00000041353,CE0006864_CE0010866,CE0008162_CE0008678,-0.3710875082565926,,570,Stim8hr,RAB27B,Stim8hr,1048.0,39,25,64,-0.887082048000494,False,0.3728468814338278,False,>10 DE genes,no on-target KD
5,ENSG00000041353,CE0006864_CE0008678,CE0008162_CE0010866,0.10662275971091047,,338,Stim8hr,RAB27B,Stim8hr,1048.0,39,25,64,-0.887082048000494,False,0.3728468814338278,False,>10 DE genes,no on-target KD
6,ENSG00000062582,CE0006864_CE0008162,CE0010866_CE0008678,0.4382251908589602,0.6187171758881655,327,Stim8hr,MRPS24,Stim8hr,245.0,90,73,163,0.0,False,,False,>10 DE genes,no on-target KD
7,ENSG00000062582,CE0006864_CE0010866,CE0008162_CE0008678,0.4425931950586862,0.7419110486548465,171,Stim8hr,MRPS24,Stim8hr,245.0,90,73,163,0.0,False,,False,>10 DE genes,no on-target KD
8,ENSG00000062582,CE0006864_CE0008678,CE0008162_CE0010866,0.44588241271419904,0.752875352960901,111,Stim8hr,MRPS24,Stim8hr,245.0,90,73,163,0.0,False,,False,>10 DE genes,no on-target KD
9,ENSG00000066044,CE0006864_CE0008162,CE0010866_CE0008678,0.6901788993887277,0.7138841117885731,2415,Stim8hr,ELAVL1,Stim8hr,1041.0,808,1362,2170,-51.408416087516684,True,305.26325223958025,False,>10 DE genes,on-target KD
10,ENSG00000066044,CE0006864_CE0010866,CE0008162_CE0008678,0.7140473276963522,0.8155237984459587,2304,Stim8hr,ELAVL1,Stim8hr,1041.0,808,1362,2170,-51.408416087516684,True,305.26325223958025,False,>10 DE genes,on-target KD
11,ENSG00000066044,CE0006864_CE0008678,CE0008162_CE0010866,0.6383651683640306,0.7772441156482486,2651,Stim8hr,ELAVL1,Stim8hr,1041.0,808,1362,2170,-51.408416087516684,True,305.26325223958025,False,>10 DE genes,on-target KD
12,ENSG00000075945,CE0006864_CE0008162,CE0010866_CE0008678,0.5615563080003866,0.8087674506378044,1587,Stim8hr,KIFAP3,Stim8hr,777.0,794,553,1347,-6.9150392496303645,True,10.16179382863565,False,>10 DE genes,on-target KD
13,ENSG00000075945,CE0006864_CE0010866,CE0008162_CE0008678,0.5010893160396904,0.7752868181918109,1788,Stim8hr,KIFAP3,Stim8hr,777.0,794,553,1347,-6.9150392496303645,True,10.16179382863565,False,>10 DE genes,on-target KD
14,ENSG00000075945,CE0006864_CE0008678,CE0008162_CE0010866,0.5652996303692323,0.8020456411972293,1748,Stim8hr,KIFAP3,Stim8hr,777.0,794,553,1347,-6.9150392496303645,True,10.16179382863565,False,>10 DE genes,on-target KD
15,ENSG00000100558,CE0006864_CE0008162,CE0010866_CE0008678,0.3999556312810001,0.6873341969902964,1789,Stim8hr,PLEK2,Stim8hr,580.0,772,133,905,0.0,False,,False,>10 DE genes,no on-target KD
16,ENSG00000100558,CE0006864_CE0010866,CE0008162_CE0008678,0.5497615756332794,0.7168911321859771,1390,Stim8hr,PLEK2,Stim8hr,580.0,772,133,905,0.0,False,,False,>10 DE genes,no on-target KD
17,ENSG00000100558,CE0006864_CE0008678,CE0008162_CE0010866,0.5962800736677113,0.793855216750776,1235,Stim8hr,PLEK2,Stim8hr,580.0,772,133,905,0.0,False,,False,>10 DE genes,no on-target KD
18,ENSG00000101417,CE0006864_CE0008162,CE0010866_CE0008678,-0.17961820695657485,,871,Stim8hr,PXMP4,Stim8hr,571.0,118,47,165,-5.127337381358948,True,5.304733527300367,False,>10 DE genes,on-target KD
19,ENSG00000101417,CE0006864_CE0010866,CE0008162_CE0008678,-0.22168283827787688,,526,Stim8hr,PXMP4,Stim8hr,571.0,118,47,165,-5.127337381358948,True,5.304733527300367,False,>10 DE genes,on-target KD
20,ENSG00000101417,CE0006864_CE0008678,CE0008162_CE0010866,0.0033339445098470146,,451,Stim8hr,PXMP4,Stim8hr,571.0,118,47,165,-5.127337381358948,True,5.304733527300367,False,>10 DE genes,on-target KD
21,ENSG00000101546,CE0006864_CE0008162,CE0010866_CE0008678,-0.12059264374289189,0.5933075758428652,286,Stim8hr,RBFA,Stim8hr,375.0,111,35,146,-10.544852934448777,True,40.63430410511465,False,>10 DE genes,on-target KD
22,ENSG00000101546,CE0006864_CE0010866,CE0008162_CE0008678,-0.13103065462434704,0.706079658618081,330,Stim8hr,RBFA,Stim8hr,375.0,111,35,146,-10.544852934448777,True,40.63430410511465,False,>10 DE genes,on-target KD
23,ENSG00000101546,CE0006864_CE0008678,CE0008162_CE0010866,-0.09337969252376727,0.77916684758953,401,Stim8hr,RBFA,Stim8hr,375.0,111,35,146,-10.544852934448777,True,40.63430410511465,False,>10 DE genes,on-target KD
24,ENSG00000102034,CE0006864_CE0008162,CE0010866_CE0008678,0.45197656325090907,0.7266506491774346,70,Stim8hr,ELF4,Stim8hr,332.0,27,40,67,-8.085328749527438,True,23.88670668996248,False,>10 DE genes,on-target KD
25,ENSG00000102034,CE0006864_CE0010866,CE0008162_CE0008678,0.30014880058919935,0.6991398277800305,466,Stim8hr,ELF4,Stim8hr,332.0,27,40,67,-8.085328749527438,True,23.88670668996248,False,>10 DE genes,on-target KD
26,ENSG00000102034,CE0006864_CE0008678,CE0008162_CE0010866,0.816770321298946,0.802335779173955,107,Stim8hr,ELF4,Stim8hr,332.0,27,40,67,-8.085328749527438,True,23.88670668996248,False,>10 DE genes,on-target KD
27,ENSG00000105486,CE0006864_CE0008162,CE0010866_CE0008678,0.34372593850345917,0.6893723073444132,1227,Stim8hr,LIG1,Stim8hr,92.0,440,272,712,-6.059690265673706,True,52.355005226644096,True,>10 DE genes,on-target KD
28,ENSG00000105486,CE0006864_CE0010866,CE0008162_CE0008678,0.530489802359689,0.7607471789826674,1211,Stim8hr,LIG1,Stim8hr,92.0,440,272,712,-6.059690265673706,True,52.355005226644096,True,>10 DE genes,on-target KD
29,ENSG00000105486,CE0006864_CE0008678,CE0008162_CE0010866,0.3865914221781431,0.7851561771982467,1180,Stim8hr,LIG1,Stim8hr,92.0,440,272,712,-6.059690265673706,True,52.355005226644096,True,>10 DE genes,on-target KD
30,ENSG00000105771,CE0006864_CE0008162,CE0010866_CE0008678,0.6588264654333078,0.8084001644470803,1123,Stim8hr,SMG9,Stim8hr,478.0,636,305,941,-9.756020232095496,True,20.9584562391206,False,>10 DE genes,on-target KD
31,ENSG00000105771,CE0006864_CE0010866,CE0008162_CE0008678,0.5875404844415127,0.8064920330212874,1109,Stim8hr,SMG9,Stim8hr,478.0,636,305,941,-9.756020232095496,True,20.9584562391206,False,>10 DE genes,on-target KD
32,ENSG00000105771,CE0006864_CE0008678,CE0008162_CE0010866,0.4600818830502408,0.813984828189086,1286,Stim8hr,SMG9,Stim8hr,478.0,636,305,941,-9.756020232095496,True,20.9584562391206,False,>10 DE genes,on-target KD
33,ENSG00000109971,CE0006864_CE0008162,CE0010866_CE0008678,0.1764146963074317,0.767311205991061,85,Stim8hr,HSPA8,Stim8hr,210.0,47,13,60,-19.75476047963793,True,2034.834971027488,False,>10 DE genes,on-target KD
34,ENSG00000109971,CE0006864_CE0010866,CE0008162_CE0008678,0.2328437198324611,0.33886017140575725,184,Stim8hr,HSPA8,Stim8hr,210.0,47,13,60,-19.75476047963793,True,2034.834971027488,False,>10 DE genes,on-target KD
35,ENSG00000109971,CE0006864_CE0008678,CE0008162_CE0010866,0.4886330039032422,0.8842735412766058,51,Stim8hr,HSPA8,Stim8hr,210.0,47,13,60,-19.75476047963793,True,2034.834971027488,False,>10 DE genes,on-target KD
36,ENSG00000110711,CE0006864_CE0008162,CE0010866_CE0008678,0.6131283025458517,0.6128442722843384,516,Stim8hr,AIP,Stim8hr,499.0,194,109,303,-29.68431258406681,True,360.6678024306967,False,>10 DE genes,on-target KD
37,ENSG00000110711,CE0006864_CE0010866,CE0008162_CE0008678,0.7265056458569911,0.8352082267178687,217,Stim8hr,AIP,Stim8hr,499.0,194,109,303,-29.68431258406681,True,360.6678024306967,False,>10 DE genes,on-target KD
38,ENSG00000110711,CE0006864_CE0008678,CE0008162_CE0010866,0.5433664751811533,0.8151463985206934,567,Stim8hr,AIP,Stim8hr,499.0,194,109,303,-29.68431258406681,True,360.6678024306967,False,>10 DE genes,on-target KD
39,ENSG00000112144,CE0006864_CE0008162,CE0010866_CE0008678,-0.04882602236453944,,304,Stim8hr,ICK,Stim8hr,681.0,34,8,42,-9.843272873904343,True,21.39059130002005,False,>10 DE genes,on-target KD
40,ENSG00000112144,CE0006864_CE0010866,CE0008162_CE0008678,-0.1252839248294003,0.522121093192545,147,Stim8hr,ICK,Stim8hr,681.0,34,8,42,-9.843272873904343,True,21.39059130002005,False,>10 DE genes,on-target KD
41,ENSG00000112144,CE0006864_CE0008678,CE0008162_CE0010866,-0.00023612694496952022,0.5192534675133071,331,Stim8hr,ICK,Stim8hr,681.0,34,8,42,-9.843272873904343,True,21.39059130002005,False,>10 DE genes,on-target KD
42,ENSG00000112282,CE0006864_CE0008162,CE0010866_CE0008678,0.7240620646430621,0.8568332276128219,802,Stim8hr,MED23,Stim8hr,754.0,551,461,1012,-16.087550336749366,True,44.10805531324587,False,>10 DE genes,on-target KD
43,ENSG00000112282,CE0006864_CE0010866,CE0008162_CE0008678,0.6211199684825396,0.8453315634854477,974,Stim8hr,MED23,Stim8hr,754.0,551,461,1012,-16.087550336749366,True,44.10805531324587,False,>10 DE genes,on-target KD
44,ENSG00000112282,CE0006864_CE0008678,CE0008162_CE0010866,0.7256130870986068,0.8594280332848869,919,Stim8hr,MED23,Stim8hr,754.0,551,461,1012,-16.087550336749366,True,44.10805531324587,False,>10 DE genes,on-target KD
45,ENSG00000112486,CE0006864_CE0008162,CE0010866_CE0008678,0.027212315207170868,0.805585143853735,41,Stim8hr,CCR6,Stim8hr,559.0,27,6,33,-0.1703855022258541,False,0.593605744316915,True,>10 DE genes,putative off-target
46,ENSG00000112486,CE0006864_CE0010866,CE0008162_CE0008678,0.21982934512879707,,136,Stim8hr,CCR6,Stim8hr,559.0,27,6,33,-0.1703855022258541,False,0.593605744316915,True,>10 DE genes,putative off-target
47,ENSG00000112486,CE0006864_CE0008678,CE0008162_CE0010866,-0.026326747096954664,0.7169635534325381,57,Stim8hr,CCR6,Stim8hr,559.0,27,6,33,-0.1703855022258541,False,0.593605744316915,True,>10 DE genes,putative off-target
48,ENSG00000112697,CE0006864_CE0008162,CE0010866_CE0008678,0.2996501531893372,0.7864828349061264,977,Stim8hr,TMEM30A,Stim8hr,754.0,522,269,791,-16.849529926321814,True,39.22913542650197,False,>10 DE genes,on-target KD
49,ENSG00000112697,CE0006864_CE0010866,CE0008162_CE0008678,0.3705196751252689,0.736536504994821,1860,Stim8hr,TMEM30A,Stim8hr,754.0,522,269,791,-16.849529926321814,True,39.22913542650197,False,>10 DE genes,on-target KD
50,ENSG00000112697,CE0006864_CE0008678,CE0008162_CE0010866,0.26628546182700874,0.6961844284998561,1971,Stim8hr,TMEM30A,Stim8hr,754.0,522,269,791,-16.849529926321814,True,39.22913542650197,False,>10 DE genes,on-target KD
51,ENSG00000116824,CE0006864_CE0008162,CE0010866_CE0008678,0.6209159054073606,0.8317245983769566,901,Stim8hr,CD2,Stim8hr,378.0,354,315,669,-50.578725404681904,True,1719.681607512678,False,>10 DE genes,on-target KD
52,ENSG00000116824,CE0006864_CE0010866,CE0008162_CE0008678,0.730476871436609,0.8718948489913967,699,Stim8hr,CD2,Stim8hr,378.0,354,315,669,-50.578725404681904,True,1719.681607512678,False,>10 DE genes,on-target KD
53,ENSG00000116824,CE0006864_CE0008678,CE0008162_CE0010866,0.7185248985030989,0.8651541325703161,762,Stim8hr,CD2,Stim8hr,378.0,354,315,669,-50.578725404681904,True,1719.681607512678,False,>10 DE genes,on-target KD
54,ENSG00000116898,CE0006864_CE0008162,CE0010866_CE0008678,0.5188025851827552,0.8164501133374881,646,Stim8hr,MRPS15,Stim8hr,722.0,501,302,803,0.0,False,,False,>10 DE genes,no on-target KD
55,ENSG00000116898,CE0006864_CE0010866,CE0008162_CE0008678,0.5926082862418788,0.7024676170395319,969,Stim8hr,MRPS15,Stim8hr,722.0,501,302,803,0.0,False,,False,>10 DE genes,no on-target KD
56,ENSG00000116898,CE0006864_CE0008678,CE0008162_CE0010866,0.4225106194502471,0.6737113097623325,1198,Stim8hr,MRPS15,Stim8hr,722.0,501,302,803,0.0,False,,False,>10 DE genes,no on-target KD
57,ENSG00000121067,CE0006864_CE0008162,CE0010866_CE0008678,0.29134578529129107,0.7287604972829365,194,Stim8hr,SPOP,Stim8hr,296.0,45,9,54,-10.31859066323362,True,36.10021382072887,False,>10 DE genes,on-target KD
58,ENSG00000121067,CE0006864_CE0010866,CE0008162_CE0008678,0.39469555900809755,0.8966894624541494,54,Stim8hr,SPOP,Stim8hr,296.0,45,9,54,-10.31859066323362,True,36.10021382072887,False,>10 DE genes,on-target KD
59,ENSG00000121067,CE0006864_CE0008678,CE0008162_CE0010866,0.44136101671824685,0.854573615177827,33,Stim8hr,SPOP,Stim8hr,296.0,45,9,54,-10.31859066323362,True,36.10021382072887,False,>10 DE genes,on-target KD
60,ENSG00000125534,CE0006864_CE0008162,CE0010866_CE0008678,-0.1885533346040385,,3795,Stim8hr,PPDPF,Stim8hr,1143.0,964,178,1142,-12.983979219784928,True,72.16987547869353,False,>10 DE genes,on-target KD
61,ENSG00000125534,CE0006864_CE0010866,CE0008162_CE0008678,-0.3474042207805551,,3562,Stim8hr,PPDPF,Stim8hr,1143.0,964,178,1142,-12.983979219784928,True,72.16987547869353,False,>10 DE genes,on-target KD
62,ENSG00000125534,CE0006864_CE0008678,CE0008162_CE0010866,-0.013283875409499987,,2877,Stim8hr,PPDPF,Stim8hr,1143.0,964,178,1142,-12.983979219784928,True,72.16987547869353,False,>10 DE genes,on-target KD
63,ENSG00000125870,CE0006864_CE0008162,CE0010866_CE0008678,0.7821075601278603,0.916073603662541,92,Stim8hr,SNRPB2,Stim8hr,386.0,67,87,154,-28.90615611507806,True,255.2857931924836,False,>10 DE genes,on-target KD
64,ENSG00000125870,CE0006864_CE0010866,CE0008162_CE0008678,0.5809415578319331,0.8161953093591342,242,Stim8hr,SNRPB2,Stim8hr,386.0,67,87,154,-28.90615611507806,True,255.2857931924836,False,>10 DE genes,on-target KD
65,ENSG00000125870,CE0006864_CE0008678,CE0008162_CE0010866,0.6361160420180909,0.8475434156033349,213,Stim8hr,SNRPB2,Stim8hr,386.0,67,87,154,-28.90615611507806,True,255.2857931924836,False,>10 DE genes,on-target KD
66,ENSG00000133246,CE0006864_CE0008162,CE0010866_CE0008678,-0.22331473332295765,,2186,Stim8hr,PRAM1,Stim8hr,525.0,196,16,212,-0.1351257496852463,False,0.134407555932907,False,>10 DE genes,no on-target KD
67,ENSG00000133246,CE0006864_CE0010866,CE0008162_CE0008678,-0.10817513985012264,,842,Stim8hr,PRAM1,Stim8hr,525.0,196,16,212,-0.1351257496852463,False,0.134407555932907,False,>10 DE genes,no on-target KD
68,ENSG00000133246,CE0006864_CE0008678,CE0008162_CE0010866,-0.2154940941352738,,2170,Stim8hr,PRAM1,Stim8hr,525.0,196,16,212,-0.1351257496852463,False,0.134407555932907,False,>10 DE genes,no on-target KD
69,ENSG00000133678,CE0006864_CE0008162,CE0010866_CE0008678,0.20560924940852626,0.8667039516434873,78,Stim8hr,TMEM254,Stim8hr,425.0,27,13,40,-4.429529310670999,True,5.844508583525926,False,>10 DE genes,on-target KD
70,ENSG00000133678,CE0006864_CE0010866,CE0008162_CE0008678,0.2595938191519376,0.4703268714021086,86,Stim8hr,TMEM254,Stim8hr,425.0,27,13,40,-4.429529310670999,True,5.844508583525926,False,>10 DE genes,on-target KD
71,ENSG00000133678,CE0006864_CE0008678,CE0008162_CE0010866,0.47484108426325383,0.40070143302309624,75,Stim8hr,TMEM254,Stim8hr,425.0,27,13,40,-4.429529310670999,True,5.844508583525926,False,>10 DE genes,on-target KD
72,ENSG00000135829,CE0006864_CE0008162,CE0010866_CE0008678,0.3735198713396298,0.8446331321182566,63,Stim8hr,DHX9,Stim8hr,168.0,42,25,67,-16.375934604684492,True,216.9525605208054,False,>10 DE genes,on-target KD
73,ENSG00000135829,CE0006864_CE0010866,CE0008162_CE0008678,0.4840616018159391,0.7355789558265904,81,Stim8hr,DHX9,Stim8hr,168.0,42,25,67,-16.375934604684492,True,216.9525605208054,False,>10 DE genes,on-target KD
74,ENSG00000135829,CE0006864_CE0008678,CE0008162_CE0010866,0.17969090905696025,0.6733990813431335,204,Stim8hr,DHX9,Stim8hr,168.0,42,25,67,-16.375934604684492,True,216.9525605208054,False,>10 DE genes,on-target KD
75,ENSG00000137770,CE0006864_CE0008162,CE0010866_CE0008678,0.5714602702432856,0.7329276188570532,479,Stim8hr,CTDSPL2,Stim8hr,467.0,169,309,478,-11.965771850805591,True,32.6132227458273,False,>10 DE genes,on-target KD
76,ENSG00000137770,CE0006864_CE0010866,CE0008162_CE0008678,0.6280998101621308,0.7805654339617771,289,Stim8hr,CTDSPL2,Stim8hr,467.0,169,309,478,-11.965771850805591,True,32.6132227458273,False,>10 DE genes,on-target KD
