,target_name,donor_correlation_mean,donor_correlation_min,target_contrast,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category
0,A2M,0.1705294487709448,-0.0025028764302191,ENSG00000175899,Stim8hr,292.0,67,97,164,0.0,False,,False,>10 DE genes,no on-target KD
1,AAGAB,0.8572962367784583,0.8148928653921688,ENSG00000103591,Stim8hr,535.0,27,7,34,-19.26220275480125,True,85.63344306620213,False,>10 DE genes,on-target KD
2,ABCA5,0.10136357624692988,0.062938794949138,ENSG00000154265,Stim8hr,784.0,28,5,33,-9.06194824942834,True,12.260059117255729,False,>10 DE genes,on-target KD
3,ABCC1,0.38405442042442545,0.1459051412452834,ENSG00000103222,Stim8hr,578.0,33,21,54,-25.20890566642898,True,167.93516349197793,False,>10 DE genes,on-target KD
4,ABHD13,0.08322345849891043,0.0098903144194805,ENSG00000139826,Stim8hr,640.0,124,70,194,-12.601001868074416,True,24.6119664647257,True,>10 DE genes,on-target KD
5,ABHD17A,0.1517412298879108,0.0500765675330797,ENSG00000129968,Stim8hr,441.0,101,22,123,0.0,False,,False,>10 DE genes,no on-target KD
6,ABI3,0.4986968461447434,0.4362000398183623,ENSG00000108798,Stim8hr,122.0,91,38,129,-5.44091023261793,True,34.44520761563291,True,>10 DE genes,on-target KD
7,ACAD11,0.45389508524134364,0.3892397455977319,ENSG00000240303,Stim8hr,378.0,265,146,411,-7.961079723779544,True,17.78572872538522,True,>10 DE genes,on-target KD
8,ACLY,0.5444400922264878,0.5004615545516545,ENSG00000131473,Stim8hr,396.0,822,499,1321,-20.366812167232048,True,124.76613909052988,False,>10 DE genes,on-target KD
9,ACTB,0.8551810566898528,0.7574689798238687,ENSG00000075624,Stim8hr,689.0,28,18,46,0.0,False,,False,>10 DE genes,no on-target KD
10,ACTR2,0.4861058768464627,0.4206600877825673,ENSG00000138071,Stim8hr,255.0,399,184,583,-18.894150489878704,True,157.8756744058086,False,>10 DE genes,on-target KD
11,ACTR3,0.0463835079828464,0.011074759771427,ENSG00000115091,Stim8hr,274.0,150,59,209,-9.826204141173958,True,77.59480203820787,False,>10 DE genes,on-target KD
12,ACTR5,0.5295898337231434,0.4123947931631402,ENSG00000101442,Stim8hr,1218.0,316,269,585,-17.366357008528972,True,31.54245178219749,False,>10 DE genes,on-target KD
13,ADAM19,0.2063225547088153,0.0983245589521909,ENSG00000135074,Stim8hr,223.0,256,146,402,-11.408513199886094,True,479.64599272603135,False,>10 DE genes,on-target KD
14,ADAT2,0.6650801784489485,0.5609574075600331,ENSG00000189007,Stim8hr,287.0,352,176,528,-14.048915256797576,True,93.76677572793136,True,>10 DE genes,on-target KD
15,ADAT3,0.7958840538704678,0.7408947656782054,ENSG00000213638,Stim8hr,439.0,322,276,598,0.0,False,,False,>10 DE genes,no on-target KD
16,ADGRG5,0.3282828481725865,0.2010596743714891,ENSG00000159618,Stim8hr,410.0,26,13,39,-6.29898815658574,True,49.7994860635952,False,>10 DE genes,on-target KD
17,ADNP,0.6728049319286624,0.4495040043276539,ENSG00000101126,Stim8hr,1221.0,29,21,50,-24.717937179150876,True,58.31272828978412,False,>10 DE genes,on-target KD
18,ADNP2,0.898666645351245,0.8740930220673018,ENSG00000101544,Stim8hr,1065.0,40,52,92,-21.222086777295576,True,47.50945460415405,False,>10 DE genes,on-target KD
19,ADRM1,0.21071298752928289,-0.0050955234151881,ENSG00000130706,Stim8hr,275.0,28,3,31,-15.315175177131987,True,201.3712268506109,False,>10 DE genes,on-target KD
20,AGRN,0.031572041908330434,-0.1572916755942505,ENSG00000188157,Stim8hr,301.0,10,21,31,-3.866036285141788,True,6.184390761446121,False,>10 DE genes,on-target KD
21,AHR,0.7328213696940385,0.6891478187950535,ENSG00000106546,Stim8hr,1080.0,949,828,1777,-17.84083577171312,True,136.4064462618078,False,>10 DE genes,on-target KD
22,AIFM1,0.7471997060079106,0.733258546791867,ENSG00000156709,Stim8hr,265.0,52,6,58,-11.633401624774432,True,61.22935505397964,True,>10 DE genes,on-target KD
23,AIP,0.627666807861332,0.5433664751811533,ENSG00000110711,Stim8hr,499.0,194,109,303,-29.68431258406681,True,360.6678024306967,False,>10 DE genes,on-target KD
24,AKAP17A,0.4778784887607393,0.396649777356474,ENSG00000197976,Stim8hr,761.0,35,36,71,-18.187131815363166,True,88.43306406071396,False,>10 DE genes,on-target KD
25,AKIRIN2,0.13934592843365692,0.1171285745739371,ENSG00000135334,Stim8hr,226.0,30,7,37,-12.345403246660622,True,119.3667975483939,False,>10 DE genes,on-target KD
26,ALDH18A1,0.7634331991308992,0.7512277103277931,ENSG00000059573,Stim8hr,538.0,127,48,175,-13.40345944541909,True,107.26653948996103,False,>10 DE genes,on-target KD
27,ALG12,0.5400487216749635,0.1917460021791307,ENSG00000182858,Stim8hr,710.0,57,11,68,-12.201052757642428,True,27.98570242121664,True,>10 DE genes,on-target KD
28,ALG2,0.4083605340569198,0.2910949075687558,ENSG00000119523,Stim8hr,213.0,75,32,107,-8.92134373745001,True,69.88814067521925,True,>10 DE genes,on-target KD
29,ALG3,0.22967568886877068,0.1691820549090211,ENSG00000214160,Stim8hr,457.0,116,6,122,-17.163613734046656,True,77.77743166788309,False,>10 DE genes,on-target KD
30,ALG6,0.6958766779276688,0.6852532228619774,ENSG00000088035,Stim8hr,687.0,193,67,260,-14.309553259613638,True,40.89355940042163,False,>10 DE genes,on-target KD
31,ALG8,0.6743077499507407,0.6084801600580467,ENSG00000159063,Stim8hr,711.0,355,195,550,-15.440598724370805,True,42.46544010401874,False,>10 DE genes,on-target KD
32,ALKBH2,-0.13332662936711595,-0.1877519278324077,ENSG00000189046,Stim8hr,363.0,74,33,107,-7.4482039918890175,True,20.70437878986672,False,>10 DE genes,on-target KD
33,AMD1,0.16511098467724716,0.1107236691657067,ENSG00000123505,Stim8hr,350.0,121,73,194,-19.733280421165944,True,136.78950225176212,False,>10 DE genes,on-target KD
34,ANKAR,-0.038758377030367934,-0.1946096294876463,ENSG00000151687,Stim8hr,375.0,123,13,136,-3.316479141939097,True,3.418955580232757,False,>10 DE genes,on-target KD
