variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
TMEM62,155.34097070194693,-2.0324392260208226,0.05319425042235003,-38.20787415714529,0.0,0.0,Th2_vs_Th1,-38.20787415714529
STOM,1518.826774562854,-3.7622991835512103,0.07399882797688474,-50.842686112899685,0.0,0.0,Th2_vs_Th1,-50.84268611289968
TIAM1,1241.8287788779862,1.9685996680644833,0.05173454479507646,38.05193755666008,0.0,0.0,Th2_vs_Th1,38.05193755666008
LYAR,416.14575817958746,-2.605521190548937,0.056090279783525446,-46.45227659060844,0.0,0.0,Th2_vs_Th1,-46.45227659060844
GBP5,2429.9526099959817,-2.782547551356358,0.07465050759996048,-37.2743286123058,4.277064297482361e-304,1.7448820596070676e-300,Th2_vs_Th1,-37.274328612305794
CBLB,819.5025528116264,-1.298024211865521,0.03482368609457397,-37.274176212717805,4.301447207215747e-304,1.7448820596070676e-300,Th2_vs_Th1,-37.274176212717805
IKZF3,1740.0715747694974,-1.7354148350116931,0.04658786233864596,-37.25036410550473,1.0452935221931231e-303,3.634485576665489e-300,Th2_vs_Th1,-37.25036410550473
DENND5A,1132.7725895391438,2.1185242892620284,0.057315963139885316,36.96220342824143,4.638002766845479e-299,1.4110543667781513e-295,Th2_vs_Th1,36.96220342824143
IFNGR2,382.95551049923324,2.096782313746208,0.05795528989416927,36.179308525159485,1.2880283968749188e-286,3.483258127948739e-283,Th2_vs_Th1,36.179308525159485
PKIA,666.646314162186,1.8579164494107046,0.05195910906169182,35.757280734062874,5.098454429388636e-280,1.2409128235689001e-276,Th2_vs_Th1,35.757280734062874
CCR4,795.2792589768768,5.27128316493435,0.15058738916375614,35.00481145338205,1.900850011234068e-268,4.205889856675089e-265,Th2_vs_Th1,35.00481145338205
YARS,997.3178800629853,-1.1983893162439212,0.034657688257464896,-34.57787799755516,5.433757338162682e-262,1.1021018321128462e-258,Th2_vs_Th1,-34.577877997555156
AP002884.3,150.77004260134044,3.6322201976175306,0.10525510457942536,34.508732019516096,5.933265574354204e-261,1.1108442370323613e-257,Th2_vs_Th1,34.50873201951609
IFNG-AS1,86.19123732051816,-8.612078083669587,0.254424576111196,-33.849238211585686,3.724065186271977e-251,6.4742873263338326e-248,Th2_vs_Th1,-33.849238211585686
GZMK,752.9772739806147,-9.832858055624941,0.29142746619361576,-33.74032716975373,1.48214115754672e-249,2.4049222422353076e-246,Th2_vs_Th1,-33.74032716975373
TBX21,285.55757015575404,-7.2443251401312025,0.21544566845631904,-33.624835402991486,7.274581692756695e-248,1.1066002738750325e-244,Th2_vs_Th1,-33.624835402991486
BTBD11,371.576110856226,-2.577705159375921,0.07669916734997091,-33.607994042674555,1.282033482450256e-247,1.835494878197458e-244,Th2_vs_Th1,-33.60799404267455
ZC2HC1A,168.42615149013412,2.581587289206694,0.07719750096171027,33.44133238830042,3.4401519463616398e-245,4.651658790138664e-242,Th2_vs_Th1,33.44133238830042
GZMA,852.4946286208732,-5.417900087165721,0.16588094266801695,-32.661377491739636,5.524551619793579e-234,7.076950624955574e-231,Th2_vs_Th1,-32.661377491739636
LAG3,104.3358094418425,-3.91694226173794,0.12234327462813674,-32.01599984668969,6.530754548713907e-225,7.947601748057388e-222,Th2_vs_Th1,-32.01599984668969
SNED1,187.8635727231439,2.970511115960323,0.09511012751332706,31.232332387989782,3.879277611746302e-214,4.496082752013964e-211,Th2_vs_Th1,31.232332387989782
IL6R,1420.1877407329634,1.1849874612611795,0.03893547023195782,30.434651339809793,1.9123310224975808e-203,2.115646579844028e-200,Th2_vs_Th1,30.434651339809797
C1orf162,1312.983827213327,1.8371539972710327,0.0606463848111277,30.29288560220893,1.4224114307595035e-201,1.5052205136198066e-198,Th2_vs_Th1,30.292885602208933
CCR10,56.85854659346412,4.253773158296604,0.14124406644483922,30.116473317184283,2.9490639107518427e-199,2.9907194384912126e-196,Th2_vs_Th1,30.11647331718428
ADRB2,152.11634524645524,-6.79048353159588,0.2259492499349757,-30.053135974339657,1.9867397179523887e-198,1.9342103198097273e-195,Th2_vs_Th1,-30.053135974339657
SEMA5A,86.75434753258442,8.017155654981917,0.2698807372921552,29.70629076910765,6.368552625734204e-194,5.961700090682492e-191,Th2_vs_Th1,29.706290769107646
DNAJC1,188.7437152539591,-1.5014178005461767,0.05071655484970487,-29.604096827860808,1.3234228597531433e-192,1.1929921845752502e-189,Th2_vs_Th1,-29.604096827860808
PAM,469.64540813949293,-1.9841568963085237,0.06711505116163807,-29.56351611101262,4.402277996868332e-192,3.8266801487777976e-189,Th2_vs_Th1,-29.563516111012625
PPP2R2B,105.5235120898618,-4.15851602177142,0.14501593928297904,-28.676268569737267,7.543140834756216e-181,6.33077602679764e-178,Th2_vs_Th1,-28.676268569737267
LUZP1,292.6189524976411,-1.1923572077837052,0.04225723071604979,-28.2166433431435,3.654484602005075e-175,2.9648833576067174e-172,Th2_vs_Th1,-28.2166433431435
ALS2CL,689.9041280351396,1.744310651699758,0.06231369314644089,27.992413282270462,2.009806170808497e-172,1.5779571739131614e-169,Th2_vs_Th1,27.992413282270466
PLCB1,90.85475145649485,-4.475851915795382,0.16009340809790884,-27.957752720574675,5.306360572200611e-172,4.035984686462208e-169,Th2_vs_Th1,-27.95775272057467
ABCB1,184.8954231903734,-4.48315259508642,0.1613909709479559,-27.778211933132933,7.953416605250648e-170,5.866006265308955e-167,Th2_vs_Th1,-27.778211933132937
PKM,4735.090985033135,0.6032070394724025,0.021716539979966407,27.77638795263257,8.367309161835469e-170,5.9897628732327496e-167,Th2_vs_Th1,27.77638795263257
EOMES,303.2403510155949,-5.802746974721789,0.21390662402654745,-27.127476772302398,4.669697454443322e-162,3.247307609819886e-159,Th2_vs_Th1,-27.1274767723024
TRPS1,131.2269108037195,-2.2075669912763187,0.08199614630137496,-26.92281394740744,1.187599553875664e-159,8.029162650494385e-157,Th2_vs_Th1,-26.92281394740744
PTGDR2,127.73545046341857,6.834609482426688,0.25453969934323856,26.85085862858052,8.242089091352673e-159,5.421735307957641e-156,Th2_vs_Th1,26.85085862858052
SLAMF1,1165.2131230599657,-1.0826121442700312,0.04034056679242798,-26.83681044544074,1.2023737651791765e-158,7.701203965972625e-156,Th2_vs_Th1,-26.836810445440744
IL17RB,70.23207273932013,4.386351698225042,0.16394256138931637,26.755417635623733,1.0679626276029482e-157,6.664908305955937e-155,Th2_vs_Th1,26.755417635623733
APOBEC3G,670.4941337574878,-1.6105006793153385,0.061294599663064456,-26.274756473951015,3.7272732944287235e-152,2.2679526178275175e-149,Th2_vs_Th1,-26.274756473951015
HRH4,48.673932972396344,5.705624697022622,0.2177609618320835,26.201320241330748,2.566916355276294e-151,1.5238091992943832e-148,Th2_vs_Th1,26.20132024133075
CSGALNACT1,1633.3118705554675,1.5706600790462841,0.06000179677664383,26.176884083872565,4.8724490982600305e-151,2.823584252441688e-148,Th2_vs_Th1,26.17688408387257
EEPD1,245.20296272399585,1.5014195965741137,0.05788577589183737,25.937625840579482,2.5078096133029824e-148,1.4194785622832858e-145,Th2_vs_Th1,25.937625840579482
HNRNPA1P21,56.53752532937997,4.798634383545494,0.1859669638924167,25.803692672648786,8.06009748112143e-147,4.4585161952957833e-144,Th2_vs_Th1,25.803692672648783
IFNG,31.9162919085873,-7.2682195888615855,0.2824664837429705,-25.731263732780697,5.224996623160697e-146,2.826026506913516e-143,Th2_vs_Th1,-25.731263732780697
FANK1,26.87092580014373,6.810503940436871,0.2660002245491312,25.60337665872514,1.3990171139995406e-144,7.402321203833656e-142,Th2_vs_Th1,25.60337665872514
PLAC8,1327.1580129810463,-1.4511184479814219,0.05673879931798156,-25.575416917952577,2.864323358951498e-144,1.4832928985855428e-141,Th2_vs_Th1,-25.57541691795258
IL4R,1137.4303624066956,1.1197974638790353,0.04384213287409615,25.541582730357096,6.810074070926035e-144,3.4531331835889327e-141,Th2_vs_Th1,25.541582730357096
DCBLD1,67.08719574765712,-2.304153833048364,0.090915567985341,-25.34388646639572,1.0495145795214566e-141,5.213088847137292e-139,Th2_vs_Th1,-25.34388646639572
ITGA4,5093.121642723718,-1.7259553031013262,0.06871176019984074,-25.11877585556783,3.101519183819186e-139,1.5097575082995033e-136,Th2_vs_Th1,-25.11877585556783
SIGMAR1,906.2848602107746,0.6437326915257789,0.025725115939769422,25.02350982724274,3.392350346615334e-138,1.6189493154170708e-135,Th2_vs_Th1,25.023509827242737
CXCR6,208.18807765754073,-5.266802225139175,0.2120761087969432,-24.834491046711857,3.803646408958029e-136,1.780325960531336e-133,Th2_vs_Th1,-24.834491046711854
IL11RA,486.70672871780084,1.0365565427349335,0.042042234544860356,24.655124875175126,3.2426686740012187e-134,1.4891191105002956e-131,Th2_vs_Th1,24.655124875175122
GATA3,1175.5670013472197,1.0189708370204345,0.04135802462603627,24.63780236687025,4.973062117646681e-134,2.2414696089148622e-131,Th2_vs_Th1,24.637802366870247
CDHR3,76.56907617454664,1.7915443074787056,0.0727472964391874,24.62695378619788,6.499342974821104e-134,2.8761365211667425e-131,Th2_vs_Th1,24.62695378619788
ARHGAP26,333.3822887870612,-1.8626797856721622,0.0760924938572488,-24.479152821125705,2.4632848075673223e-132,1.0706051594889475e-129,Th2_vs_Th1,-24.479152821125705
ZNF101,1119.6496733532092,-0.9474488403711353,0.03877452683583391,-24.434826616518244,7.296448202913887e-132,3.11558338264423e-129,Th2_vs_Th1,-24.43482661651824
CHDH,51.07141292167117,8.639860817610938,0.35414952734829824,24.396081740676234,1.8820431148062185e-131,7.89776678814975e-129,Th2_vs_Th1,24.396081740676234
CD2,3770.102879169649,-0.639985089753227,0.02635966746358503,-24.278951570134343,3.2714292488961367e-130,1.349547737099713e-127,Th2_vs_Th1,-24.278951570134346
ARAP2,1458.627076105528,-1.1715314237236014,0.048336341348531944,-24.237072791178118,9.050712376681743e-130,3.671421475600949e-127,Th2_vs_Th1,-24.237072791178118
