variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
LYAR,221.19423305876572,-2.886770444732214,0.17924793966218308,-16.104901680726275,2.3567233353585763e-58,2.938126982191537e-54,Th2_vs_Th1,-16.104901680726275
GBP5,7265.045023980632,-3.303719265557835,0.2421821084599256,-13.641467103274925,2.2694841917204763e-42,1.414682970908959e-38,Th2_vs_Th1,-13.641467103274925
SEMA5A,65.97265512766334,5.74166934372416,0.44921495818249063,12.781563122819353,2.0784973989153392e-37,8.637542357425845e-34,Th2_vs_Th1,12.781563122819353
TMEM62,287.7923463537302,-2.0957488224666943,0.1671027052232444,-12.541680995929026,4.415291239426244e-36,1.3761358970481746e-32,Th2_vs_Th1,-12.541680995929024
TBX21,204.06978321474168,-5.444901277332467,0.4760167686847631,-11.438465271668388,2.6859474468101854e-30,6.697141363876516e-27,Th2_vs_Th1,-11.438465271668388
F2R,119.18658992467745,-3.949582569767737,0.3531426461838177,-11.184099718480054,4.878311632525367e-29,1.0136318520448959e-25,Th2_vs_Th1,-11.184099718480054
NCALD,134.7976528669739,-2.8268116733830766,0.25670105960031536,-11.012076373133924,3.3421116149762234e-28,5.952300786272653e-25,Th2_vs_Th1,-11.012076373133926
PAM,262.0896205563862,-1.6701535992861114,0.16086983813089573,-10.382018274470754,2.993781403146665e-25,4.665434094128684e-22,Th2_vs_Th1,-10.382018274470752
CCR4,3984.2647446231354,2.501821656355248,0.24380883042660037,10.261407070358068,1.0516306510018828e-24,1.4567421473378303e-21,Th2_vs_Th1,10.261407070358066
IL11RA,1886.4065047618756,0.8676113519550886,0.08568552192305529,10.12553034028543,4.2566483763628565e-24,5.306763530811573e-21,Th2_vs_Th1,10.12553034028543
STOM,622.8304490217681,-2.406644999344632,0.23810996845823248,-10.107283684625695,5.1286512470652044e-24,5.8126268270147176e-21,Th2_vs_Th1,-10.107283684625694
CBLB,886.7930536495828,-0.8547050390758009,0.08888796384551244,-9.615531755922332,6.875317399062183e-22,7.14288183450902e-19,Th2_vs_Th1,-9.61553175592233
PACSIN1,28.51280118094812,-5.729277352537886,0.6083303973569005,-9.418035622468794,4.5960577203717684e-21,4.407619353836526e-18,Th2_vs_Th1,-9.418035622468794
BTBD11,384.4256891366918,-2.6396716835436216,0.28237748882565017,-9.34802449912517,8.929998989553629e-21,7.952164100197506e-18,Th2_vs_Th1,-9.34802449912517
SYNM,81.82661452878374,-2.75942615255452,0.29695942980474216,-9.292266470099664,1.51037241133325e-20,1.2553208568061085e-17,Th2_vs_Th1,-9.292266470099664
NCAPH,152.0314680704221,2.7270021592659472,0.3000501548124498,9.088487759556383,1.0042608482580834e-19,7.825074997020953e-17,Th2_vs_Th1,9.088487759556381
PKIA,296.99832581986004,1.5970717374382006,0.1771248137905678,9.016645964277915,1.9393594405939768e-19,1.4222349497579475e-16,Th2_vs_Th1,9.016645964277917
GBP4,1006.1767798631645,-1.0402764505737903,0.11703218144846485,-8.88880680252787,6.176862245828522e-19,4.2781634232635656e-16,Th2_vs_Th1,-8.888806802527869
CCR5,176.71115787728382,-4.713560967587015,0.540730377121615,-8.717026390634782,2.8560358992206025e-18,1.874010502925434e-15,Th2_vs_Th1,-8.71702639063478
GALT,977.3994907339253,0.7721673367468065,0.0889559068094703,8.680337983633496,3.945944544390431e-18,2.4597045317457753e-15,Th2_vs_Th1,8.680337983633494
CTSW,352.942004863196,-1.453396345522138,0.16834580075737396,-8.633398272979942,5.955562171227268e-18,3.535618742318588e-15,Th2_vs_Th1,-8.633398272979942
CXCR3,218.43734945012676,-9.482448200809332,1.1171114325808815,-8.488363760544344,2.0956672393314982e-17,1.1875765214884448e-14,Th2_vs_Th1,-8.488363760544345
MRC2,165.49918501022088,2.278358362901608,0.2730942333144877,8.34275530189579,7.257925185350036e-17,3.9341110124243e-14,Th2_vs_Th1,8.34275530189579
TRPS1,223.6790169932366,-2.048706524466172,0.24628067281438637,-8.318584243962233,8.902021636028898e-17,4.624229322348845e-14,Th2_vs_Th1,-8.318584243962231
ZCCHC18,48.69785720996249,-2.9557677020211472,0.3559840399145745,-8.303090505772234,1.0143754314918964e-16,5.058487401763789e-14,Th2_vs_Th1,-8.303090505772234
SMAD3,1484.623303964969,-1.1285338065697277,0.13673902459072182,-8.253194798979882,1.5421537610795981e-16,7.394627284376673e-14,Th2_vs_Th1,-8.253194798979884
GALNT10,1049.0300883193154,-0.8300078971630578,0.10172405577766823,-8.15940625663956,3.366754583814876e-16,1.5545677554229652e-13,Th2_vs_Th1,-8.15940625663956
ENC1,244.8806933643261,-3.651676418796871,0.4489052297726387,-8.134626590664515,4.1320999459409716e-16,1.8398175009302176e-13,Th2_vs_Th1,-8.134626590664515
PDZD8,803.6012918609746,-0.7797136350605816,0.09610492986493568,-8.11314920219367,4.932444596619875e-16,2.1204409236572406e-13,Th2_vs_Th1,-8.11314920219367
PPP2R2B,91.11182666746328,-3.0451238422795224,0.3821564675145963,-7.9682645751984165,1.6091806640088725e-15,6.687218446066204e-13,Th2_vs_Th1,-7.9682645751984165
CXCR6,296.96991315749375,-3.9249445421701594,0.4939333636744351,-7.946303754360674,1.921589073039536e-15,7.727887410833516e-13,Th2_vs_Th1,-7.946303754360674
ZNF532,217.75699004077725,-2.177313011931224,0.2761732867047267,-7.883865372754603,3.174062514285261e-15,1.2365949176748234e-12,Th2_vs_Th1,-7.883865372754602
IL12RB2,107.40315145653128,-4.654348217993146,0.5919885069118467,-7.862227329839408,3.773623707737029e-15,1.4256292958896225e-12,Th2_vs_Th1,-7.862227329839407
AKAP12,22.49342747321349,5.064117606994935,0.6448690894062726,7.852938976587387,4.063994341214872e-15,1.4901711015272296e-12,Th2_vs_Th1,7.852938976587387
FLT4,41.78148520129034,-3.6901892584354172,0.47186724541598163,-7.820397144078682,5.2656942436888696e-15,1.8756402896019754e-12,Th2_vs_Th1,-7.820397144078682
PRF1,265.94542833116213,-2.0506988502297334,0.2646288995374238,-7.749338238621681,9.237266831567347e-15,3.1989168219208364e-12,Th2_vs_Th1,-7.7493382386216805
ARHGEF12,458.58535242570827,-1.5115158450350967,0.19742853968803295,-7.656014917719197,1.9179145609575622e-14,6.462335359853494e-12,Th2_vs_Th1,-7.6560149177191965
ARHGAP26,216.92032330413755,-1.6829601718264589,0.226408642973328,-7.433285892821324,1.0593259920597966e-13,3.475425563949864e-11,Th2_vs_Th1,-7.433285892821324
IL18RAP,63.34607565793834,-7.055188526809301,0.9563266146734151,-7.377383854593071,1.6143008809375705e-13,5.1603818160637675e-11,Th2_vs_Th1,-7.377383854593071
PTPRM,161.13633259288383,-2.2720132700908895,0.3116926248230942,-7.2892750394091115,3.1162730021069125e-13,9.71264387931672e-11,Th2_vs_Th1,-7.289275039409112
SMAD7,920.8707420305943,-1.4527749990613241,0.20213660775790104,-7.1870949808424225,6.618437135088232e-13,2.0124891649547555e-10,Th2_vs_Th1,-7.1870949808424225
SLAMF1,1191.177974039563,-1.0525618339394582,0.14686882938436108,-7.166679535416365,7.68386121880585e-13,2.2808261384488696e-10,Th2_vs_Th1,-7.166679535416365
DFNB31,138.2917275685955,-2.5228875776558755,0.3553408420961739,-7.099908816485129,1.2483922807223573e-12,3.619466642736193e-10,Th2_vs_Th1,-7.09990881648513
CASK,822.9093128975194,-0.6493922488535605,0.09259619498253005,-7.01316343480507,2.3298901573941012e-12,6.601531952780059e-10,Th2_vs_Th1,-7.013163434805071
TULP4,813.168078894421,-0.7767592973223599,0.11133462371278019,-6.976799053331647,3.01981144998083e-12,8.215716932079379e-10,Th2_vs_Th1,-6.976799053331646
ALS2CL,773.6263105050955,1.1368673309767974,0.16296226307329242,6.976261310666079,3.0313866918717527e-12,8.215716932079379e-10,Th2_vs_Th1,6.976261310666079
CCSAP,683.8873422786538,1.3341829013727713,0.1921569875139186,6.943192223369612,3.83337242148927e-12,1.0168224250788665e-09,Th2_vs_Th1,6.943192223369612
GZMA,74.12210254508798,-5.522599023175044,0.8034901805846725,-6.873262619284826,6.2749889627430064e-12,1.6297976541357721e-09,Th2_vs_Th1,-6.873262619284826
SLC22A23,123.1711842991629,2.119255704973021,0.30855441357488234,6.8683370314477905,6.495461905580908e-12,1.6526310934056567e-09,Th2_vs_Th1,6.8683370314477905
IKZF3,2920.4071601979995,-1.305150786682573,0.19253215246959832,-6.778871840061426,1.2111790547393436e-11,3.0199538550870794e-09,Th2_vs_Th1,-6.778871840061425
ZBTB49,255.13381077962566,-0.9989625186236036,0.14783182974860049,-6.757425111509592,1.4046560218963341e-11,3.3748656790315727e-09,Th2_vs_Th1,-6.757425111509592
E2F3,158.63456874807335,-1.2759040615450923,0.18882377739031353,-6.757115439480372,1.4076603457900199e-11,3.3748656790315727e-09,Th2_vs_Th1,-6.757115439480372
PPP1R9B,1344.2565988867539,0.8719503325016995,0.13038223324962445,6.687646857776239,2.267875855723928e-11,5.334643074209474e-09,Th2_vs_Th1,6.6876468577762385
ARAP3,112.99343435030262,-2.5444024423106995,0.38278843527680223,-6.647020149578943,2.9908610007791365e-11,6.9050118697617585e-09,Th2_vs_Th1,-6.6470201495789425
PLCB1,54.98328238155219,-3.167111726657297,0.4789489969795611,-6.61262837302163,3.775554501639755e-11,8.531505475402373e-09,Th2_vs_Th1,-6.61262837302163
AGAP1,42.88573922919629,-2.8645816575335297,0.4333431635203244,-6.610423098088581,3.8322315442571014e-11,8.531505475402373e-09,Th2_vs_Th1,-6.610423098088582
PTPRJ,1419.5495377367051,-0.6663644673779927,0.1009706383118469,-6.599586558222323,4.123059705587434e-11,9.017927254308517e-09,Th2_vs_Th1,-6.599586558222323
