old_name,gene_id
HIST1H3E,ENSG00000274750
HIST1H1B,ENSG00000184357
KIAA0391,ENSG00000100890
H3F3C,ENSG00000188375
DIRC2,ENSG00000138463
HEXDC,ENSG00000169660
HIST1H4F,ENSG00000274618
MARCH2,ENSG00000099785
FAM208B,ENSG00000108021
SPATA5,ENSG00000145375
ASNA1,ENSG00000198356
SSSCA1,ENSG00000173465
KIAA1841,ENSG00000162929
KIAA1324,ENSG00000116299
HIST1H4J,ENSG00000197238
HIST1H4K,ENSG00000273542
C6orf106,ENSG00000196821
HIST1H3J,ENSG00000197153
C6orf48,ENSG00000204387
BTBD11,ENSG00000151136
KDELC2,ENSG00000178202
C16orf58,ENSG00000140688
SGK494,ENSG00000167524
TSTA3,ENSG00000104522
FAM122B,ENSG00000156504
C18orf25,ENSG00000152242
TTC26,ENSG00000105948
WDR92,ENSG00000243667
TMEM251,ENSG00000153485
NUPL2,ENSG00000136243
FUK,ENSG00000157353
MTRNR2L4,MTRNR2L4
FAM172A,ENSG00000113391
FAM86C1,ENSG00000158483
H2AFV,ENSG00000105968
OCLM,OCLM
FAM104B,ENSG00000182518
SMIM11B,ENSG00000205670
TMEM206,ENSG00000065600
ST5,ENSG00000166444
SEPT5,ENSG00000184702
TIAF1,ENSG00000196535
TMEM99,ENSG00000167920
WDYHV1,ENSG00000156795
FAM129A,ENSG00000135842
FAM69B,ENSG00000165716
C19orf48,ENSG00000293495
FAM57A,ENSG00000167695
HIST1H2AC,ENSG00000180573
FAM214B,ENSG00000005238
PLA2G16,ENSG00000176485
HIST1H2AE,ENSG00000277075
LRMP,ENSG00000118308
HIST1H4I,ENSG00000276180
FAM49A,ENSG00000197872
FAM160A2,ENSG00000051009
WDR61,ENSG00000140395
FOPNL,ENSG00000133393
GRASP,ENSG00000161835
CLECL1,ENSG00000184293
TWISTNB,ENSG00000105849
HIST1H4A,ENSG00000278637
H3F3B,ENSG00000132475
C1orf189,ENSG00000163263
HIST1H3F,ENSG00000277775
ZADH2,ENSG00000180011
DDX58,ENSG00000107201
FAM129C,ENSG00000167483
C11orf74,ENSG00000166352
ARNTL2,ENSG00000029153
CXorf40B,ENSG00000197021
EPRS,ENSG00000136628
SEPT10,ENSG00000186522
LRRC6,ENSG00000129295
TMEM159,ENSG00000011638
HIST1H2AH,ENSG00000274997
HARS,ENSG00000170445
ATP5S,ENSG00000125375
APOPT1,ENSG00000256053
CCDC173,ENSG00000154479
HIST1H4C,ENSG00000197061
MPP5,ENSG00000072415
PPP1R32,ENSG00000162148
HIST1H2BK,ENSG00000197903
HIST1H1D,ENSG00000124575
C9orf16,ENSG00000171159
C5orf30,ENSG00000181751
HIST3H2A,ENSG00000181218
C11orf95,ENSG00000188070
RNF219,ENSG00000152193
FAM122C,ENSG00000156500
C16orf72,ENSG00000182831
VARS,ENSG00000204394
C15orf53,ENSG00000175779
C5orf51,ENSG00000205765
FAM192A,ENSG00000172775
TARSL2,ENSG00000185418
KIAA0895,ENSG00000164542
CARS,ENSG00000110619
CBWD1,ENSG00000172785
SKIV2L,ENSG00000204351
C19orf24,ENSG00000228300
C2orf40,ENSG00000119147
MARCH7,ENSG00000136536
CARD17,ENSG00000255221
C17orf53,ENSG00000125319
GBA,ENSG00000177628
ZNF705E,ENSG00000214534
FAM126A,ENSG00000122591
BHLHB9,ENSG00000198908
HIST1H2BN,ENSG00000233822
RARS,ENSG00000113643
SEPT9,ENSG00000184640
HIST1H3I,ENSG00000275379
C4orf47,ENSG00000205129
LARS,ENSG00000133706
C1orf123,ENSG00000162384
NFE4,ENSG00000230257
KIAA0556,ENSG00000047578
LRRC29,ENSG00000125122
FGFR1OP,ENSG00000213066
H1F0,ENSG00000189060
CXorf21,ENSG00000120280
ICK,ENSG00000112144
KDELC1,ENSG00000134901
C19orf71,ENSG00000183397
TMEM189-UBE2V1,ENSG00000124208
LUZP6,ENSG00000105887
HIST1H1C,ENSG00000187837
C9orf64,ENSG00000165118
CCDC84,ENSG00000186166
HIST1H2BO,ENSG00000274641
CD3EAP,ENSG00000117877
HIST1H2AM,ENSG00000278677
HIST2H2BF,ENSG00000203814
CXorf57,ENSG00000147231
FAM160B1,ENSG00000151553
CBWD5,ENSG00000147996
FAM153B,ENSG00000289731
MARCH5,ENSG00000198060
HIST4H4,ENSG00000197837
C16orf91,ENSG00000174109
CYR61,ENSG00000142871
C17orf51,ENSG00000212719
ALS2CR12,ENSG00000155749
C7orf26,ENSG00000146576
KIAA0355,ENSG00000166398
ADSS,ENSG00000035687
FAM19A2,ENSG00000198673
IMPAD1,ENSG00000104331
HIST1H2AB,ENSG00000278463
UHRF1BP1,ENSG00000065060
TLDC1,ENSG00000140950
C11orf1,ENSG00000137720
ARIH2OS,ENSG00000221883
HIST2H3A,ENSG00000203852
HSPB11,ENSG00000081870
C12orf29,ENSG00000133641
C19orf70,ENSG00000174917
FAM104A,ENSG00000133193
HIST1H4E,ENSG00000276966
FAM45A,ENSG00000119979
CXorf40A,ENSG00000197620
C12orf66,ENSG00000174206
HIST1H2BC,ENSG00000180596
IARS,ENSG00000196305
KIAA1147,ENSG00000257093
MYLPF,ENSG00000180209
HIST1H2AI,ENSG00000196747
C6orf203,ENSG00000130349
H2AFJ,ENSG00000246705
MTSS1L,ENSG00000132613
ZNF286B,ENSG00000290687
HIST1H1E,ENSG00000168298
CCDC130,ENSG00000104957
FAM126B,ENSG00000155744
H1FX,ENSG00000184897
HIST1H2AL,ENSG00000276903
FAM207A,ENSG00000160256
RARRES3,ENSG00000133321
C1orf112,ENSG00000000460
FAM102A,ENSG00000167106
C11orf49,ENSG00000149179
SOGA3,ENSG00000214338
C7orf55-LUC7L2,ENSG00000269955
HIST3H2BB,ENSG00000196890
HIST1H2BD,ENSG00000158373
AARS,ENSG00000090861
FAM173A,ENSG00000103254
H2AFX,ENSG00000188486
KARS,ENSG00000065427
C12orf10,ENSG00000139637
HIST1H3G,ENSG00000273983
SEPT11,ENSG00000138758
KIAA1551,ENSG00000174718
HKR1,ENSG00000181666
UHRF1BP1L,ENSG00000111647
HIST1H2BF,ENSG00000277224
ARNTL,ENSG00000133794
TTC30B,ENSG00000196659
C7orf31,ENSG00000153790
SEPT2,ENSG00000168385
CBWD3,ENSG00000196873
CXorf56,ENSG00000018610
TMEM136,ENSG00000181264
SARS,ENSG00000031698
CCDC58,ENSG00000160124
TAZ,ENSG00000102125
C12orf49,ENSG00000111412
ADPRHL2,ENSG00000116863
LRP5L,ENSG00000100068
C19orf66,ENSG00000130813
C7orf43,ENSG00000146826
SEPT6,ENSG00000125354
HIST1H4H,ENSG00000158406
TMEM189,ENSG00000240849
TCTEX1D4,ENSG00000188396
PHB,ENSG00000167085
C22orf46,ENSG00000293428
HIST2H2AA3,ENSG00000288825
SEPT1,ENSG00000180096
MTRNR2L1,MTRNR2L1
KIAA2026,ENSG00000183354
HIST2H2BE,ENSG00000184678
KIAA0895L,ENSG00000196123
C3orf14,ENSG00000114405
TEX45,ENSG00000198723
AES,ENSG00000104964
H3F3A,ENSG00000163041
FAM49B,ENSG00000153310
FAM102B,ENSG00000162636
DARS,ENSG00000115866
C20orf27,ENSG00000101220
C11orf80,ENSG00000173715
CBWD2,ENSG00000136682
FAM208A,ENSG00000163946
PQLC1,ENSG00000122490
GARS,ENSG00000106105
FAM19A1,ENSG00000183662
AKAP2,ENSG00000157654
ZBED6CL,ENSG00000188707
SEPT7,ENSG00000122545
SLC9A3R2,ENSG00000065054
MARCH8,ENSG00000165406
QARS,ENSG00000172053
C6orf201,ENSG00000185689
C16orf70,ENSG00000125149
