cluster,cluster_size,autoimmune_count,autoimmune_genes,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,p_value,enrichment_fold,p_adj_fdr
66,36,13,"['IL12RB2', 'SLAMF7', 'CACHD1', 'IFI30', 'C8orf33', 'ICOS', 'MFHAS1', 'TM2D1', 'ADAM19', 'SMAD3', 'RASGRP1', 'PLA2G4A', 'CIP2A']",2.3110626154104414,1.1550807682909636,4.623928091409756,0.017509106217550068,1.7975898692810457,0.36769123056855146
17,36,13,"['MED13', 'SGF29', 'CHD7', 'SCYL3', 'MED1', 'SUPT20H', 'CD274', 'TADA2B', 'TSPYL5', 'PSMB9', 'RNFT1', 'MED15', 'UBE2L3']",2.3110626154104414,1.1550807682909636,4.623928091409756,0.017509106217550068,1.7975898692810457,0.36769123056855146
101,195,48,"['IL4R', 'CD2', 'ADAT2', 'PRKRA', 'NR4A3', 'MALT1', 'GPS2', 'DOT1L', 'TBX21', 'MAF', 'PRKCQ', 'INPP5D', 'DDX60L', 'BCL10', 'TBCA', 'CD28', 'DMRTA2', 'PDCD5', 'ICE2', 'ANKRD49', 'PIBF1', 'ITK', 'CAAP1', 'RAVER1', 'TPGS2', 'SIK3', 'DNAAF5', 'FIGNL1', 'CCN1', 'PKN3', 'FAM98B', 'MEN1', 'CEPT1', 'PTPRC', 'STAT6', 'FOXO1', 'CD247', 'RNF8', 'CARMIL2', 'COG6', 'CREBBP', 'OSR1', 'CEP89', 'IRF4', 'MYO9A', 'HTT', 'RAD51B', 'IKBKB']",1.3629737609329446,0.9538031740659448,1.94767382149984,0.05598082395661124,1.2253393665158372,0.42606581462255144
98,5,3,"['THAP12', 'HRAS', 'USP24']",6.022304832713755,1.001265896783583,36.222301802781324,0.05826074407702937,2.9867647058823525,0.42606581462255144
57,26,9,"['INSR', 'NAA40', 'LAT2', 'IL21', 'MLKL', 'VWF', 'HPS1', 'RAD50', 'IGF2']",2.1438157011854173,0.9449909607015408,4.86348118847316,0.05887019761888896,1.7231334841628958,0.42606581462255144
49,19,7,"['INSR', 'DAP', 'LAT2', 'IL21', 'ATM', 'HPS1', 'KIFAP3']",2.3553459119496853,0.9183929711707869,6.04061065261184,0.06759299126791644,1.8339783281733744,0.42606581462255144
18,49,14,"['MED13', 'SGF29', 'CHD7', 'SCYL3', 'MED1', 'SUPT20H', 'CD274', 'TAF11', 'TADA2B', 'TSPYL5', 'PSMB9', 'RNFT1', 'UBE2L3', 'KLF10']",1.6232558139534883,0.8605637229051746,3.0618992730003187,0.09540194885085149,1.422268907563025,0.42606581462255144
32,6,3,"['MEN1', 'DOT1L', 'ARRDC4']",4.011152416356877,0.8050754277666939,19.98488980327966,0.09951649054810166,2.488970588235294,0.42606581462255144
96,111,28,"['RAF1', 'CDK5RAP3', 'UBN1', 'TPD52', 'RIPK1', 'MAU2', 'SEC24A', 'B4GALNT3', 'BCL6', 'SP3', 'BPNT2', 'NFKB1', 'BMP8A', 'NKX2-2', 'NSUN6', 'CTH', 'UBE2V2', 'TM2D1', 'LBH', 'RHBDF2', 'PARK7', 'TYK2', 'ACTMAP', 'ITPR1', 'PAN3', 'GCN1', 'PTPN11', 'ARID2']",1.3811969188228324,0.8801288861007527,2.1675290502251525,0.10119658540065272,1.255696873343932,0.42606581462255144
34,58,16,"['NSD1', 'ZBTB1', 'PHF3', 'AP3D1', 'PRXL2B', 'ICOS', 'MAU2', 'IL21', 'METRN', 'BRD1', 'DEF8', 'HIVEP3', 'BRD10', 'NPAS2', 'NPEPPS', 'ANKZF1']",1.5476190476190477,0.8563160621658737,2.797010148910809,0.10144424157679796,1.3732251521298173,0.42606581462255144
62,26,8,"['IL12RB2', 'CACHD1', 'MFHAS1', 'ADAM19', 'PDIA3', 'NEMP2', 'SMAD3', 'RASGRP1']",1.7912457912457913,0.7704644777491433,4.164450895944409,0.13170681051070196,1.5316742081447965,0.5028805492226802
69,7,3,"['PPA2', 'METTL1', 'RTRAF']",3.0055762081784385,0.6686771937646783,13.509490718996105,0.14905093095124006,2.133403361344538,0.5216782583293402
63,11,4,"['TM2D1', 'NDRG1', 'TPD52', 'ARID2']",2.2921108742004264,0.6661176952901962,7.887153121399997,0.16228737364222226,1.8101604278074865,0.5243130533056412
28,19,5,"['WARS1', 'RTRAF', 'METTL1', 'FAM98B', 'ADAT2']",1.4285714285714286,0.5100582211772628,4.001143872988097,0.3297520237357259,1.309984520123839,0.8890004190636005
46,66,15,"['MTMR3', 'GZMB', 'ATP2A2', 'MMP9', 'MYT1L', 'FBXO38', 'PHF19', 'NFKBIL1', 'NPHP4', 'DET1', 'COG6', 'MAN2A1', 'RAD54L2', 'CISD1', 'SIK2']",1.1799038681620508,0.6529434971130113,2.1321494804056735,0.3391637270297594,1.1313502673796791,0.8890004190636005
91,72,16,"['NAA40', 'GNPDA2', 'DMRTA2', 'TBCA', 'C8orf33', 'ZC3HC1', 'ANKRD49', 'GPS2', 'LMNA', 'PPP1R3B', 'BRD7', 'PPHLN1', 'MED15', 'RPS6KB1', 'TASOR', 'ADO']",1.1450892857142858,0.6461327545284322,2.0293499487030795,0.3679557199195858,1.1062091503267972,0.8890004190636005
29,11,3,"['CD247', 'ZAP70', 'CD3E']",1.4972118959107807,0.3945404060723898,5.681657510246137,0.38555252313733396,1.3576203208556148,0.8890004190636005
31,7,2,"['ING5', 'BRPF1']",1.5955555555555556,0.30787896729452796,8.26882574420486,0.4259301067157452,1.422268907563025,0.8890004190636005
36,134,28,"['ARPC2', 'PHF19', 'MALT1', 'KPNA4', 'DDX60L', 'ACO2', 'BCL10', 'CD28', 'IKZF1', 'BRPF1', 'ITK', 'RAVER1', 'THAP12', 'ELP6', 'ATP2A2', 'PTPRC', 'SYK', 'ING5', 'TASOR', 'CARMIL2', 'COG6', 'ARHGAP27', 'DIPK1A', 'RREB1', 'UBE2E2', 'ACTR2', 'PDIA3', 'DEF6']",1.0566037735849056,0.6808613983545527,1.6397045522802585,0.4404420973254674,1.0401668129938542,0.8890004190636005
52,17,4,"['ADAT2', 'PRELID1', 'PELO', 'MPI']",1.227324913892078,0.39700502198999427,3.7942251629707617,0.45516449981896046,1.1712802768166088,0.8890004190636005
24,3,1,['PPCDC'],1.992619926199262,0.1800104576758263,22.0572416822401,0.4899842855452113,1.659313725490196,0.8890004190636005
0,8,2,"['INTS15', 'ARID5B']",1.328395061728395,0.26662475481042497,6.618415612905384,0.4997234430924767,1.244485294117647,0.8890004190636005
25,8,2,"['CS', 'PDHB']",1.328395061728395,0.26662475481042497,6.618415612905384,0.4997234430924767,1.244485294117647,0.8890004190636005
58,19,4,"['UBE2E2', 'SYK', 'DRAP1', 'CARD6']",1.061691542288557,0.3495213123076356,3.2249505002285677,0.54976959993293,1.047987616099071,0.8890004190636005
97,9,2,"['PPCDC', 'ADAM19']",1.1375661375661377,0.23497906301648014,5.50711497750071,0.5671415113933582,1.1062091503267972,0.8890004190636005
72,4,1,['ZNF644'],1.3271832718327183,0.13750855687192529,12.809496929512331,0.5926669460424003,1.244485294117647,0.8890004190636005
78,4,1,['ZNF644'],1.3271832718327183,0.13750855687192529,12.809496929512331,0.5926669460424003,1.244485294117647,0.8890004190636005
48,4,1,['RCOR1'],1.3271832718327183,0.13750855687192529,12.809496929512331,0.5926669460424003,1.244485294117647,0.8890004190636005
83,5,1,['TESPA1'],0.9944649446494465,0.11069895349141957,8.933783879115731,0.6747370132101537,0.9955882352941177,0.9106577505541315
35,197,37,"['SP140L', 'HNF4A', 'STIP1', 'TMEM87B', 'CTSF', 'IL23R', 'STARD10', 'CD2BP2', 'GBA1', 'RIPK1', 'ZNF18', 'CSK', 'ZBTB9', 'DCTPP1', 'TNS1', 'DRAP1', 'CAV1', 'AHR', 'DOCK2', 'ZNF512B', 'CKAP4', 'INSR', 'COX5B', 'CRTAP', 'CARD6', 'TAOK2', 'UBL3', 'BAZ1A', 'SLC27A3', 'CCR4', 'CEP43', 'PIGH', 'PDK1', 'PIK3C2B', 'USP13', 'PPIF', 'C1orf115']",0.9072872340425532,0.6172632979614453,1.3335802205884635,0.7198363881156677,0.9349432666467602,0.9106577505541315
27,12,2,"['FOXO1', 'FOXK1']",0.794074074074074,0.17296902540677225,3.6454713994816217,0.7288891417457115,0.829656862745098,0.9106577505541315
22,6,1,['DNAJC24'],0.7948339483394834,0.09247450226269843,6.831731882570694,0.7403200616955786,0.829656862745098,0.9106577505541315
90,127,23,"['ASXL1', 'TMEM131', 'IFNLR1', 'BCL3', 'NIPAL4', 'ITPK1', 'STAT5B', 'ARID1A', 'CCND2', 'ZBED6', 'TRIM14', 'BATF', 'CSNK2A2', 'ZDHHC12', 'NKX2-2', 'FAM98B', 'PTP4A1', 'HHAT', 'SMAD7', 'ACTMAP', 'STAT3', 'OSR1', 'IRF4']",0.868628359592215,0.5415022368192236,1.3933741650263052,0.7552070593669418,0.9015169059749885,0.9106577505541315
85,7,1,['ARHGAP27'],0.6617466174661747,0.07933296209400498,5.519881952838561,0.7927183875255508,0.7111344537815125,0.9106577505541315
9,7,1,['DNAJC24'],0.6617466174661747,0.07933296209400498,5.519881952838561,0.7927183875255508,0.7111344537815125,0.9106577505541315
41,26,4,"['ATM', 'LAT2', 'PTPN2', 'RAD50']",0.7191316146540027,0.24574069273070878,2.1044552021409992,0.7989004622885222,0.7658371040723982,0.9106577505541315
84,32,5,"['PLEKHH2', 'GMEB2', 'FANCE', 'RIPOR1', 'RNF8']",0.7317242335968928,0.2791498636340362,1.9180391029489912,0.8022461135834015,0.7778033088235294,0.9106577505541315
