,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,leiden
ENSG00000176208_Stim48hr,ATAD5,Stim48hr,ENSG00000176208,375,1182.0,32
ENSG00000176208_Rest,ATAD5,Rest,ENSG00000176208,544,1342.0,32
ENSG00000176208_Stim8hr,ATAD5,Stim8hr,ENSG00000176208,366,1299.0,32
ENSG00000112237_Stim48hr,CCNC,Stim48hr,ENSG00000112237,627,3051.0,32
ENSG00000120217_Stim48hr,CD274,Stim48hr,ENSG00000120217,8,1514.0,32
ENSG00000171316_Stim48hr,CHD7,Stim48hr,ENSG00000171316,573,503.0,32
ENSG00000172301_Stim48hr,COPRS,Stim48hr,ENSG00000172301,168,885.0,32
ENSG00000139726_Stim48hr,DENR,Stim48hr,ENSG00000139726,266,703.0,32
ENSG00000178202_Stim48hr,KDELC2,Stim48hr,ENSG00000178202,565,184.0,32
ENSG00000184634_Stim48hr,MED12,Stim48hr,ENSG00000184634,552,191.0,32
ENSG00000108510_Stim48hr,MED13,Stim48hr,ENSG00000108510,55,1501.0,32
ENSG00000099917_Stim48hr,MED15,Stim48hr,ENSG00000099917,565,835.0,32
ENSG00000156603_Stim48hr,MED19,Stim48hr,ENSG00000156603,338,660.0,32
ENSG00000130150_Stim48hr,MOSPD2,Stim48hr,ENSG00000130150,353,1444.0,32
ENSG00000213281_Stim48hr,NRAS,Stim48hr,ENSG00000213281,643,1660.0,32
ENSG00000173193_Stim48hr,PARP14,Stim48hr,ENSG00000173193,102,1995.0,32
ENSG00000069943_Stim48hr,PIGB,Stim48hr,ENSG00000069943,327,1752.0,32
ENSG00000125534_Stim48hr,PPDPF,Stim48hr,ENSG00000125534,613,929.0,32
ENSG00000240065_Stim48hr,PSMB9,Stim48hr,ENSG00000240065,415,612.0,32
ENSG00000189050_Stim48hr,RNFT1,Stim48hr,ENSG00000189050,319,1698.0,32
ENSG00000000457_Stim48hr,SCYL3,Stim48hr,ENSG00000000457,552,299.0,32
ENSG00000119231_Stim48hr,SENP5,Stim48hr,ENSG00000119231,463,2184.0,32
ENSG00000176476_Stim48hr,SGF29,Stim48hr,ENSG00000176476,449,993.0,32
ENSG00000124222_Stim48hr,STX16,Stim48hr,ENSG00000124222,270,806.0,32
ENSG00000119760_Stim48hr,SUPT7L,Stim48hr,ENSG00000119760,11,2293.0,32
ENSG00000102710_Stim48hr,SUPT20H,Stim48hr,ENSG00000102710,534,731.0,32
ENSG00000152382_Stim48hr,TADA1,Stim48hr,ENSG00000152382,210,372.0,32
ENSG00000173011_Stim48hr,TADA2B,Stim48hr,ENSG00000173011,35,1178.0,32
ENSG00000135801_Stim48hr,TAF5L,Stim48hr,ENSG00000135801,454,161.0,32
ENSG00000162227_Stim48hr,TAF6L,Stim48hr,ENSG00000162227,268,672.0,32
ENSG00000135426_Stim48hr,TESPA1,Stim48hr,ENSG00000135426,384,785.0,32
ENSG00000180543_Stim48hr,TSPYL5,Stim48hr,ENSG00000180543,661,204.0,32
ENSG00000185651_Stim48hr,UBE2L3,Stim48hr,ENSG00000185651,409,1866.0,32
ENSG00000179588_Stim48hr,ZFPM1,Stim48hr,ENSG00000179588,606,176.0,32
ENSG00000137871_Stim48hr,ZNF280D,Stim48hr,ENSG00000137871,451,1097.0,32
ENSG00000176024_Stim48hr,ZNF613,Stim48hr,ENSG00000176024,598,991.0,32
