,cluster,complex_corum,overlap_genes_corum,overlap_fraction_corum,raw_p_value_corum,complex_size_corum,complex_stringdb,overlap_genes_stringdb,overlap_fraction_stringdb,raw_p_value_stringdb,complex_size_stringdb,best_described_by,complex_kegg,overlap_genes_kegg,overlap_fraction_kegg,raw_p_value_kegg,complex_size_kegg,complex_reactome,overlap_genes_reactome,overlap_fraction_reactome,raw_p_value_reactome,complex_size_reactome,intracluster_corr,cluster_size,cluster_gene_size,cluster_member,related_cluster,rest_count,stim8hr_count,stim48hr_count,cluster_member_with_condition
0,0,Integrator complex,['INTS10'],0.125,0.04805081170182976,12.0,CL:35457,"['INTS13', 'INTS10', 'INTS14']",0.375,4.4589669776101307e-07,5,Integrator complex,,,,,,REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,"['INTS13', 'INTS10', 'INTS14']",0.375,0.003282767889575919,81,0.3872036978946182,21.0,8.0,"['SLC24A1', 'ARID5B', 'INTS13', 'INTS15', 'FGFR1OP2', 'INTS14', 'INTS10', 'EBF3']",,6.0,8.0,7.0,"['SLC24A1_Stim8hr', 'SLC24A1_Rest', 'ARID5B_Stim8hr', 'INTS13_Stim48hr', 'INTS15_Stim8hr', 'FGFR1OP2_Stim8hr', 'INTS14_Rest', 'INTS13_Stim8hr', 'INTS10_Stim8hr', 'INTS13_Rest', 'EBF3_Stim48hr', 'EBF3_Rest', 'INTS14_Stim48hr', 'SLC24A1_Stim48hr', 'FGFR1OP2_Stim48hr', 'INTS14_Stim8hr', 'INTS15_Stim48hr', 'INTS10_Rest', 'EBF3_Stim8hr', 'INTS10_Stim48hr', 'FGFR1OP2_Rest']"
1,2,PAGR1-PAXIP1 complex,"['PAGR1', 'PAXIP1']",0.6666666666666666,1.5642426640929663e-06,2.0,CL:4998,"['PAGR1', 'PAXIP1']",0.6666666666666666,1.5626440512528096e-05,5,MLL3/4 complex,KEGG_CELL_CYCLE,['STAG2'],0.3333333333333333,0.17955529498663608,125.0,REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,"['PAGR1', 'PAXIP1']",0.6666666666666666,0.0013284608583790487,42,0.3191695990776948,9.0,3.0,"['PAGR1', 'STAG2', 'PAXIP1']",,3.0,3.0,3.0,"['PAGR1_Stim48hr', 'PAGR1_Rest', 'PAGR1_Stim8hr', 'STAG2_Stim8hr', 'PAXIP1_Stim8hr', 'STAG2_Stim48hr', 'STAG2_Rest', 'PAXIP1_Stim48hr', 'PAXIP1_Rest']"
2,3,INO80 chromatin remodeling complex,"['INO80B', 'INO80C', 'ACTR5', 'INO80', 'ACTR8', 'INO80E', 'NFRKB']",0.6363636363636364,2.5775077216781468e-14,13.0,CL:5066,"['INO80B', 'INO80C', 'ACTR5', 'INO80', 'ACTR8', 'INO80E', 'NFRKB']",0.6363636363636364,1.8122000967878484e-15,10,Ino80 complex,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,['RO60'],0.09090909090909091,0.5559092012761911,139.0,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,"['INO80B', 'INO80C', 'ACTR5', 'INO80', 'ACTR8', 'INO80E', 'NFRKB']",0.6363636363636364,1.8118184817460368e-10,38,0.24052364812556706,30.0,11.0,"['INO80B', 'ACTR5', 'INO80', 'INO80E', 'RO60', 'HEY1', 'NFRKB', 'HIRIP3', 'INO80C', 'UCHL5', 'ACTR8']",,9.0,11.0,10.0,"['INO80B_Stim8hr', 'ACTR5_Rest', 'INO80_Rest', 'INO80E_Stim8hr', 'RO60_Stim48hr', 'HEY1_Stim48hr', 'NFRKB_Stim48hr', 'NFRKB_Stim8hr', 'INO80B_Rest', 'HIRIP3_Stim48hr', 'HEY1_Rest', 'INO80C_Stim8hr', 'UCHL5_Rest', 'NFRKB_Rest', 'INO80E_Stim48hr', 'INO80B_Stim48hr', 'HIRIP3_Stim8hr', 'UCHL5_Stim48hr', 'ACTR5_Stim48hr', 'ACTR8_Stim8hr', 'RO60_Rest', 'INO80C_Stim48hr', 'INO80C_Rest', 'ACTR5_Stim8hr', 'RO60_Stim8hr', 'HEY1_Stim8hr', 'UCHL5_Stim8hr', 'ACTR8_Rest', 'INO80_Stim48hr', 'INO80_Stim8hr']"
3,4,HDAC9-SIN3B complex,['SIN3B'],0.2,0.00509943108494307,2.0,CL:5169,"['GATAD1', 'SIN3B', 'PHF12']",0.6,8.99368944930802e-06,20,Sin3 complex,KEGG_ACUTE_MYELOID_LEUKEMIA,['PIM1'],0.2,0.13739128419937666,57.0,REACTOME_STAT5_ACTIVATION_DOWNSTREAM_OF_FLT3_ITD_MUTANTS,['PIM1'],0.2,0.02528954718862507,10,0.31918381658011286,9.0,5.0,"['PHF12', 'SIN3B', 'SLF1', 'GATAD1', 'PIM1']",,2.0,5.0,2.0,"['PHF12_Stim8hr', 'SIN3B_Stim8hr', 'PHF12_Rest', 'SLF1_Stim8hr', 'GATAD1_Stim8hr', 'SIN3B_Stim48hr', 'PHF12_Stim48hr', 'SIN3B_Rest', 'PIM1_Stim8hr']"
4,7,SMG1 complex,"['SMG8', 'SMG1', 'SMG9']",0.3333333333333333,6.714173928656574e-08,3.0,CL:2516,"['SMG9', 'CASC3', 'SMG8', 'SMG7', 'SMG1', 'UPF2']",0.6666666666666666,1.4171940756574147e-10,24,"Nonsense-mediated mRNA decay, and ASAP complex",KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,['SRR'],0.1111111111111111,0.13398653818628706,31.0,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,"['SMG9', 'CASC3', 'SMG8', 'SMG7', 'SMG1', 'UPF2']",0.6666666666666666,2.7583743440663924e-06,116,0.309051916299438,26.0,9.0,"['CASC3', 'SMG7', 'SMG9', 'SRR', 'XRN1', 'UPF2', 'SMG1', 'SMG8', 'TMEM79']",,9.0,9.0,8.0,"['CASC3_Rest', 'SMG7_Stim8hr', 'CASC3_Stim8hr', 'SMG9_Stim48hr', 'SMG9_Rest', 'SRR_Rest', 'XRN1_Stim8hr', 'CASC3_Stim48hr', 'UPF2_Stim48hr', 'SMG1_Stim48hr', 'UPF2_Rest', 'SMG8_Stim8hr', 'UPF2_Stim8hr', 'SMG7_Rest', 'TMEM79_Stim8hr', 'SMG9_Stim8hr', 'XRN1_Stim48hr', 'SMG8_Rest', 'TMEM79_Rest', 'SMG8_Stim48hr', 'SMG1_Rest', 'SRR_Stim8hr', 'XRN1_Rest', 'TMEM79_Stim48hr', 'SMG1_Stim8hr', 'SMG7_Stim48hr']"
5,9,,,,,,CL:7638,"['DPH6', 'DPH2', 'DPH5', 'DPH1']",0.5714285714285714,2.856991932727774e-10,5,Peptidyl-diphthamide metabolic process,,,,,,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH5', 'DNAJC24', 'DPH6', 'DPH2', 'DPH1']",0.7142857142857143,4.903687379564227e-12,8,0.23019468901933995,12.0,7.0,"['DPH5', 'TTC4', 'DPH2', 'DNAJC24', 'TPT1', 'DPH6', 'DPH1']",{22},6.0,0.0,6.0,"['DPH5_Rest', 'TTC4_Rest', 'DPH2_Stim48hr', 'DNAJC24_Stim48hr', 'TPT1_Rest', 'DPH6_Stim48hr', 'DPH1_Stim48hr', 'DPH1_Rest', 'DPH5_Stim48hr', 'DNAJC24_Rest', 'DPH2_Rest', 'TPT1_Stim48hr']"
6,10,ATRX-SETDB1-TRIM28-ZNF274 complex,"['ZNF274', 'SETDB1']",0.3333333333333333,4.6799464451382e-05,4.0,CL:7128,"['ATF7IP2', 'SETDB1']",0.3333333333333333,7.789277831531277e-05,5,"Fibronectin-III type domain, and ARF7 effector protein, C-terminal",KEGG_LYSINE_DEGRADATION,['SETDB1'],0.16666666666666666,0.12757218520529842,44.0,REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9,['UBE2I'],0.16666666666666666,0.021275823131198073,7,0.23049392544976774,17.0,6.0,"['UBE2I', 'UBR1', 'ZNF274', 'SETDB1', 'PCNX3', 'ATF7IP2']",,6.0,5.0,6.0,"['UBE2I_Stim48hr', 'UBR1_Stim48hr', 'ZNF274_Rest', 'UBE2I_Stim8hr', 'SETDB1_Stim48hr', 'UBR1_Stim8hr', 'ZNF274_Stim48hr', 'PCNX3_Stim8hr', 'SETDB1_Stim8hr', 'UBR1_Rest', 'PCNX3_Stim48hr', 'ATF7IP2_Stim48hr', 'SETDB1_Rest', 'PCNX3_Rest', 'UBE2I_Rest', 'ZNF274_Stim8hr', 'ATF7IP2_Rest']"
7,12,PID complex,"['MTA2', 'MBD3', 'CHD4']",1.0,7.993064200781634e-09,5.0,CL:5219,"['MTA2', 'MBD3', 'CHD4']",1.0,9.591677040937962e-08,10,NuRD complex,,,,,,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,"['MTA2', 'MBD3', 'CHD4']",1.0,3.2451840655173444e-06,30,0.25780664975544304,9.0,3.0,"['MBD3', 'CHD4', 'MTA2']",,3.0,3.0,3.0,"['MBD3_Stim8hr', 'MBD3_Rest', 'MBD3_Stim48hr', 'CHD4_Stim8hr', 'MTA2_Stim48hr', 'MTA2_Stim8hr', 'MTA2_Rest', 'CHD4_Rest', 'CHD4_Stim48hr']"
8,17,"STAGA complex, SPT3-linked","['TAF5L', 'SUPT20H', 'SUPT7L', 'TADA2B', 'TAF6L', 'SGF29', 'TADA1']",0.19444444444444445,1.6537109378906662e-08,19.0,CL:6029,"['TAF5L', 'SUPT20H', 'SUPT7L', 'TADA2B', 'TAF6L', 'SGF29', 'TADA1']",0.19444444444444445,1.6537109378906662e-08,19,SAGA complex,KEGG_BASAL_TRANSCRIPTION_FACTORS,"['TAF6L', 'TAF5L']",0.05555555555555555,0.1340130654830687,35.0,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,"['MED19', 'MED1', 'MED15', 'MED12', 'MED13', 'CCNC']",0.16666666666666666,0.003594020358341136,84,0.352637317268764,36.0,36.0,"['CD274', 'SUPT7L', 'MEST', 'TADA2B', 'MED13', 'GBA2', 'COPRS', 'ECHS1', 'GLIPR2', 'TADA1', 'TAF6L', 'STX16', 'RNFT1', 'MED19', 'PEX6', 'MOSPD2', 'UBE2L3', 'PSMB9', 'SGF29', 'ZNF280D', 'MED1', 'TAF5L', 'SENP5', 'EID2', 'SUPT20H', 'ARPC4-TTLL3', 'SCYL3', 'MED12', 'MED15', 'POGLUT3', 'CHD7', 'ZNF613', 'ZFPM1', 'CCNC', 'NRAS', 'TSPYL5']",{18},0.0,0.0,36.0,"['CD274_Stim48hr', 'SUPT7L_Stim48hr', 'MEST_Stim48hr', 'TADA2B_Stim48hr', 'MED13_Stim48hr', 'GBA2_Stim48hr', 'COPRS_Stim48hr', 'ECHS1_Stim48hr', 'GLIPR2_Stim48hr', 'TADA1_Stim48hr', 'TAF6L_Stim48hr', 'STX16_Stim48hr', 'RNFT1_Stim48hr', 'MED19_Stim48hr', 'PEX6_Stim48hr', 'MOSPD2_Stim48hr', 'UBE2L3_Stim48hr', 'PSMB9_Stim48hr', 'SGF29_Stim48hr', 'ZNF280D_Stim48hr', 'MED1_Stim48hr', 'TAF5L_Stim48hr', 'SENP5_Stim48hr', 'EID2_Stim48hr', 'SUPT20H_Stim48hr', 'ARPC4-TTLL3_Stim48hr', 'SCYL3_Stim48hr', 'MED12_Stim48hr', 'MED15_Stim48hr', 'POGLUT3_Stim48hr', 'CHD7_Stim48hr', 'ZNF613_Stim48hr', 'ZFPM1_Stim48hr', 'CCNC_Stim48hr', 'NRAS_Stim48hr', 'TSPYL5_Stim48hr']"
9,18,"STAGA complex, SPT3-linked","['TAF5L', 'SUPT20H', 'SUPT7L', 'TADA2B', 'TAF6L', 'SGF29', 'TADA3', 'USP22', 'TRRAP', 'TADA1']",0.20408163265306123,2.870038304232346e-12,19.0,CL:6029,"['TAF5L', 'SUPT20H', 'SUPT7L', 'TADA2B', 'TAF6L', 'SGF29', 'TADA3', 'USP22', 'TRRAP', 'TADA1']",0.20408163265306123,2.870038304232346e-12,19,SAGA complex,KEGG_BASAL_TRANSCRIPTION_FACTORS,"['TAF11', 'TAF5L', 'TAF6L', 'TAF13']",0.08163265306122448,0.010227826095679968,35.0,REACTOME_HATS_ACETYLATE_HISTONES,"['TAF5L', 'SUPT20H', 'SUPT7L', 'TADA2B', 'SGF29', 'TAF6L', 'TADA3', 'USP22', 'TRRAP', 'TADA1']",0.20408163265306123,0.002058695217022937,142,0.3080187134977555,81.0,49.0,"['MED19', 'MED13', 'STX16', 'POGLUT3', 'PEX6', 'ARPC4-TTLL3', 'TAF6L', 'TMX2', 'MED1', 'TADA1', 'MOSPD2', 'EID2', 'SINHCAF', 'TRRAP', 'GLIPR2', 'NRAS', 'RNFT1', 'TAF5L', 'SLC4A1AP', 'COPRS', 'CHD7', 'MED12', 'CDCA2', 'ZNF613', 'SCYL3', 'SENP5', 'ZFPM1', 'UBE2L3', 'USP22', 'PSMB9', 'SGF29', 'TADA3', 'MED24', 'ZNF280D', 'CD274', 'KLF10', 'TAF11', 'SUPT20H', 'SUPT7L', 'UBAC1', 'TSPYL5', 'MEST', 'TAF13', 'PAPOLA', 'URB2', 'TADA2B', 'MED14', 'GIPC3', 'CHMP4A']",{17},33.0,48.0,0.0,"['MED19_Rest', 'MED13_Stim8hr', 'STX16_Rest', 'POGLUT3_Rest', 'PEX6_Stim8hr', 'ARPC4-TTLL3_Rest', 'TAF6L_Rest', 'TMX2_Stim8hr', 'MED1_Stim8hr', 'ARPC4-TTLL3_Stim8hr', 'MED1_Rest', 'TADA1_Rest', 'MOSPD2_Stim8hr', 'EID2_Stim8hr', 'SINHCAF_Rest', 'TRRAP_Stim8hr', 'GLIPR2_Rest', 'NRAS_Rest', 'RNFT1_Stim8hr', 'TAF5L_Stim8hr', 'SLC4A1AP_Rest', 'COPRS_Rest', 'CHD7_Rest', 'MED12_Rest', 'CDCA2_Stim8hr', 'MED19_Stim8hr', 'SLC4A1AP_Stim8hr', 'ZNF613_Stim8hr', 'SCYL3_Rest', 'COPRS_Stim8hr', 'PEX6_Rest', 'SENP5_Rest', 'ZFPM1_Rest', 'UBE2L3_Rest', 'USP22_Rest', 'PSMB9_Stim8hr', 'SGF29_Rest', 'TADA3_Rest', 'MED24_Stim8hr', 'ZNF280D_Stim8hr', 'CD274_Stim8hr', 'KLF10_Stim8hr', 'TAF11_Rest', 'SUPT20H_Stim8hr', 'SUPT7L_Stim8hr', 'UBAC1_Stim8hr', 'ZNF280D_Rest', 'TSPYL5_Stim8hr', 'TAF5L_Rest', 'TAF6L_Stim8hr', 'MEST_Stim8hr', 'TAF13_Rest', 'ZFPM1_Stim8hr', 'UBE2L3_Stim8hr', 'PAPOLA_Stim8hr', 'SUPT20H_Rest', 'TAF11_Stim8hr', 'SUPT7L_Rest', 'SCYL3_Stim8hr', 'POGLUT3_Stim8hr', 'MED12_Stim8hr', 'URB2_Stim8hr', 'TADA2B_Rest', 'MEST_Rest', 'TSPYL5_Rest', 'STX16_Stim8hr', 'TADA3_Stim8hr', 'MED14_Stim8hr', 'SENP5_Stim8hr', 'SINHCAF_Stim8hr', 'TADA2B_Stim8hr', 'EID2_Rest', 'GIPC3_Stim8hr', 'CHD7_Stim8hr', 'GLIPR2_Stim8hr', 'SGF29_Stim8hr', 'TAF13_Stim8hr', 'MED14_Rest', 'CHMP4A_Stim8hr', 'NRAS_Stim8hr', 'TADA1_Stim8hr']"
