,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,37,VPS35-VPS29-VPS26A complex,"['VPS35', 'VPS29']",0.016129032258064516,0.008096259301149149,3,2,124
1,37,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)","['VPS35', 'VPS29']",0.016129032258064516,0.025150889031316112,5,2,124
2,37,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)","['VPS35', 'VPS29']",0.016129032258064516,0.025150889031316112,5,2,124
3,37,BCL10-MALT1 complex,"['BCL10', 'MALT1']",0.016129032258064516,0.0027961925434865508,2,2,124
4,37,CASP8-FADD-MALT1-BCL10 complex,"['BCL10', 'MALT1']",0.016129032258064516,0.015630623382498484,4,2,124
5,37,CASP8-CHUK-IKBKB-MALT1-BCL10 complex,"['BCL10', 'MALT1']",0.016129032258064516,0.025150889031316112,5,2,124
6,37,CRKL-WAS-WIPF1-ZAP70 complex,"['ZAP70', 'WAS']",0.016129032258064516,0.015630623382498484,4,2,124
7,37,LAT-VAV1 multiprotein complex,"['VAV1', 'LCP2', 'LAT', 'PLCG1']",0.03225806451612903,0.0002339241862695122,7,4,124
8,37,LAT-LCP2-PLCG1-SOS1 complex,"['LCP2', 'LAT', 'PLCG1']",0.024193548387096774,0.0005618952197998111,4,3,124
9,37,"Ubiquitin ligase complex (BCL10, CARD11, MALT1, TRAF6)","['BCL10', 'MALT1']",0.016129032258064516,0.015630623382498484,4,2,124
10,37,CARMA1-BCL10-MALT1 complex,"['BCL10', 'MALT1']",0.016129032258064516,0.008096259301149149,3,2,124
11,37,FYB-CARMA1-BCL-10-MALT1 complex,"['BCL10', 'MALT1']",0.016129032258064516,0.015630623382498484,4,2,124
12,37,PLC-gamma-2-Syk-LAT-FcR-gamma complex,"['LAT', 'SYK']",0.016129032258064516,0.015630623382498484,4,2,124
13,37,LAT-SOS1 multiprotein complex,"['LAT', 'PLCG1']",0.016129032258064516,0.025150889031316112,5,2,124
14,37,LAT-LCK-LCP2-PLCG1 complex,"['LCK', 'LAT', 'LCP2', 'PLCG1']",0.03225806451612903,7.580479607066242e-06,4,4,124
15,37,CBL-LAT-PLCG1 complex,"['LAT', 'PLCG1']",0.016129032258064516,0.008096259301149149,3,2,124
16,37,ITK-LCP2-PLCG1 complex,"['LCP2', 'ITK', 'PLCG1']",0.024193548387096774,0.00014615916465525244,3,3,124
17,37,LCP2-PLCG1-VAV1 complex,"['VAV1', 'LCP2', 'PLCG1']",0.024193548387096774,0.00014615916465525244,3,3,124
18,37,ITK-LCP2 complex,"['LCP2', 'ITK']",0.016129032258064516,0.0027961925434865508,2,2,124
19,37,USP22-SAGA complex,"['USP22', 'ATXN7L3']",0.016129032258064516,0.06343082831662522,8,2,124
20,37,"SAGA complex, GCN5-linked","['USP22', 'ATXN7L3']",0.016129032258064516,0.26731670273177927,19,2,124
21,37,"STAGA complex, SPT3-linked","['USP22', 'ATXN7L3']",0.016129032258064516,0.26731670273177927,19,2,124
22,37,BCL10-CARD14-MALT1 complex,"['BCL10', 'MALT1']",0.016129032258064516,0.008096259301149149,3,2,124
23,37,BCL10-CARD9-CASP8-MALT1-PYCARD inflammasome complex,"['BCL10', 'MALT1']",0.016129032258064516,0.025150889031316112,5,2,124
24,37,SIX3-LSD1-NuRD(MTA3) complex,"['MBD2', 'MTA3']",0.016129032258064516,0.07878516394970356,9,2,124
25,37,CD4 receptor complex,"['LCK', 'PTPRC']",0.016129032258064516,0.07878516394970356,9,2,124
26,37,GRB2-p36/p38-PLCG1-SOS1-ZAP70 complex,"['ZAP70', 'PLCG1']",0.016129032258064516,0.015630623382498484,4,2,124
27,37,CD3-LAG3-TCR complex,"['CD3E', 'CD3G', 'CD3D']",0.024193548387096774,0.0025959053137719866,6,3,124
28,37,TCR-CD3 complex,"['CD3E', 'CD3G', 'CD3D', 'CD247']",0.03225806451612903,0.00010454450477209288,6,4,124
29,39,FOSB-JUND-SMAD3-SMAD4 complex,"['JUND', 'SMAD3']",0.06666666666666667,0.0009417562959124645,4,2,30
30,15,Elongator holo complex,"['ELP1', 'ELP3', 'ELP2', 'ELP4']",0.3076923076923077,5.777526812844431e-10,4,4,13
31,15,Elongator core complex,"['ELP1', 'ELP3', 'ELP2']",0.23076923076923078,1.3478970054366058e-07,3,3,13
32,15,"Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)","['ELP5', 'ELP3', 'ELP4', 'ELP1', 'ELP2']",0.38461538461538464,1.3340230092639e-11,6,5,13
33,84,"Respiratory chain complex I (holoenzyme), mitochondrial","['NDUFB4', 'NDUFS8', 'NDUFB6', 'NDUFB2', 'NDUFB9', 'NDUFC1', 'NDUFV1', 'NDUFB11', 'NDUFS5', 'NDUFA9', 'NDUFS7', 'NDUFS2', 'NDUFA8', 'NDUFA6']",0.08045977011494253,1.5358747864786117e-06,44,14,174
34,84,"28S ribosomal subunit, mitochondrial","['MRPS35', 'MRPS31', 'MRPS9', 'MRPS15', 'MRPS23', 'MRPS10', 'MRPS22', 'MRPS11', 'MRPS12', 'MRPS27', 'MRPS5', 'MRPS25', 'MRPS17', 'MRPS14', 'MRPS16', 'MRPS21', 'MRPS7', 'MRPS26', 'MRPS34', 'MRPS24', 'MRPS18B']",0.1206896551724138,5.096670909072997e-18,30,21,174
35,84,"55S ribosome, mitochondrial","['MRPS35', 'MRPL52', 'MRPS31', 'MRPS9', 'MRPS15', 'MRPL39', 'MRPL2', 'MRPS23', 'MRPL18', 'MRPS10', 'MRPS22', 'MRPS11', 'MRPS12', 'MRPL49', 'MRPL11', 'MRPS27', 'MRPS5', 'MRPS25', 'MRPS17', 'MRPL3', 'MRPS14', 'MRPS21', 'MRPL16', 'MRPS16', 'MRPL42', 'MRPL45', 'MRPL50', 'MRPL21', 'MRPL46', 'MRPL37', 'MRPS26', 'MRPS7', 'MRPL9', 'MRPL34', 'MRPL43', 'MRPS34', 'MRPL17', 'MRPL33', 'MRPS24', 'MRPS18B']",0.22988505747126436,2.3146465167102458e-26,78,40,174
36,84,"39S ribosomal subunit, mitochondrial","['MRPL52', 'MRPL2', 'MRPL18', 'MRPL49', 'MRPL11', 'MRPL3', 'MRPL16', 'MRPL42', 'MRPL45', 'MRPL50', 'MRPL46', 'MRPL21', 'MRPL37', 'MRPL43', 'MRPL34', 'MRPL9', 'MRPL17', 'MRPL33', 'MRPL39']",0.10919540229885058,2.4609014591463485e-10,48,19,174
37,84,"F1F0-ATPase, mitochondrial","['ATP5ME', 'ATP5MF', 'ATP5PO', 'ATP5F1E']",0.022988505747126436,0.026634504059127078,16,4,174
38,84,"Respiratory chain complex I (early intermediate NDUFAF1 assembly), mitochondrial","['NDUFS7', 'NDUFB6', 'NDUFA6', 'NDUFA9']",0.022988505747126436,0.0008715751197500966,7,4,174
39,84,"Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial","['NDUFS2', 'NDUFA9']",0.011494252873563218,0.015742676357147538,3,2,174
40,84,"Respiratory chain complex I (intermediate IV/310kD), mitochondrial","['NDUFS2', 'NDUFA9']",0.011494252873563218,0.029948020148493158,4,2,174
41,84,"Respiratory chain complex I (intermediate V/380kD and VI/480kD), mitochondrial","['NDUFS2', 'NDUFA9']",0.011494252873563218,0.047491497901098384,5,2,174
42,84,"Respiratory chain complex I (intermediate VII/650kD), mitochondrial","['NDUFS5', 'NDUFS7', 'NDUFA9', 'NDUFS2', 'NDUFA6']",0.028735632183908046,0.00040138305467586095,10,5,174
43,84,"Respiratory chain complex I (intermediate), mitochondrial","['NDUFB6', 'NDUFS5', 'NDUFS7', 'NDUFA9', 'NDUFS2', 'NDUFA6']",0.034482758620689655,5.2943705697594434e-05,11,6,174
44,84,"Respiratory chain complex I (beta subunit), mitochondrial","['NDUFB4', 'NDUFB6', 'NDUFB2', 'NDUFB9', 'NDUFB11']",0.028735632183908046,0.004808616674531973,16,5,174
45,84,"Respiratory chain complex I (gamma subunit), mitochondrial","['NDUFC1', 'NDUFS5', 'NDUFA9', 'NDUFA8', 'NDUFA6']",0.028735632183908046,0.0017034022096761084,13,5,174
46,84,"Respiratory chain complex I (lambda subunit), mitochondrial","['NDUFS8', 'NDUFS7', 'NDUFS2', 'NDUFV1']",0.022988505747126436,0.026634504059127078,16,4,174
47,84,"Respiratory chain complex I (incomplete intermediate), mitochondrial","['NDUFS7', 'NDUFS2', 'NDUFA9', 'NDUFV1']",0.022988505747126436,0.006478575229502685,11,4,174
48,84,TNFalpha-NFkappa B signaling complex 5,"['LRPPRC', 'MTIF2']",0.011494252873563218,0.5663366275462194,25,2,174
49,84,protein complex (DDX28; DHX30; GRSF1; FASTKD2; FASTKD5),"['DHX30', 'FASTKD5', 'GRSF1']",0.017241379310344827,0.003632803519585318,5,3,174
50,84,GATB-GATC-QRSL1 complex,"['GATB', 'QRSL1']",0.011494252873563218,0.015742676357147538,3,2,174
51,84,"Cytochrome c oxidase including assembly factors (COX, PET100, PET117, MR-1S)","['COX6C', 'COX7C']",0.011494252873563218,0.3924949555266868,18,2,174
52,84,mtRNase P,"['HSD17B10', 'PRORP', 'TRMT10C']",0.017241379310344827,0.0004066897466850971,3,3,174
53,84,HSD17B10-TRMT10C complex,"['HSD17B10', 'TRMT10C']",0.011494252873563218,0.005518685283505911,2,2,174
54,84,NGRN complex,"['TRUB2', 'NGRN', 'RPUSD3', 'RCC1L']",0.022988505747126436,0.00039655494231365514,6,4,174
55,84,"MITRAC complex, mitochondrial","['COX15', 'COA3', 'COX16', 'COX6C']",0.022988505747126436,0.016467861630026632,14,4,174
56,40,HRD1 complex,"['SEL1L', 'FAF2']",0.058823529411764705,0.01450934461437872,13,2,34
57,40,AUP1-OS9-SEL1L-UBC6e-UBXD8 complex,"['SEL1L', 'FAF2']",0.058823529411764705,0.002001150389806925,5,2,34
58,77,ATG101-ATG13-RB1CC1-ULK1 complex,"['ATG101', 'RB1CC1']",0.01818181818181818,0.012389244767767326,4,2,110
59,77,WDR41-(C9orf72-SMCR8)-(FIP200-ULK1-ATG13-ATG101) complex,"['ATG101', 'RB1CC1']",0.01818181818181818,0.03951371484524922,7,2,110
60,77,MAU2-NIPBL complex,"['MAU2', 'NIPBL']",0.01818181818181818,0.00219816080490452,2,2,110
61,77,"Spliceosome, E complex","['ARID2', 'HNRNPD']",0.01818181818181818,0.9871475342066545,129,2,110
62,77,RXRB-THRA complex,"['RXRB', 'THRA']",0.01818181818181818,0.00219816080490452,2,2,110
