,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,37,CCT complex (chaperonin containing TCP1 complex),"['CCT2', 'CCT6A']",0.02040816326530612,0.0050560832917730305,8,2,98
1,37,17S U2 snRNP,"['HSPD1', 'TRAP1']",0.02040816326530612,0.07626146889811324,33,2,98
2,37,Nop56p-associated pre-rRNA complex,"['TUFM', 'ILF2', 'LYAR', 'BRIX1']",0.04081632653061224,0.05608948167471227,104,4,98
3,37,DNA-PK-Ku-eIF2-NF90-NF45 complex,"['ILF2', 'EIF2S1']",0.02040816326530612,0.0050560832917730305,8,2,98
4,37,TNF-alpha/NF-kappa B signaling complex 8,"['IKBKE', 'HSP90AB1']",0.02040816326530612,0.00275817038092151,6,2,98
5,37,"TOM complex (TOMM5, TOMM6, TOMM7, TOMM20, TOMM22, TOMM40, TOMM70), mitochondrial","['TOMM5', 'TOMM40']",0.02040816326530612,0.003826574929299845,7,2,98
6,37,"Spliceosome, A complex","['HNRNPAB', 'ILF2']",0.02040816326530612,0.4629346165624436,112,2,98
7,39,Nup 107-160 subcomplex,"['NUP133', 'NUP85', 'NUP43']",0.030612244897959183,0.0002049903226955017,9,3,98
8,39,CEN complex,"['CBX3', 'SSRP1']",0.02040816326530612,0.09287109023404778,37,2,98
9,39,C complex spliceosome,"['ALYREF', 'HNRNPM']",0.02040816326530612,0.30522641448421234,80,2,98
10,39,Emerin complex 52,"['LMNB1', 'DDX39A']",0.02040816326530612,0.0399266115633117,23,2,98
11,39,Core clock complex,"['BMAL1', 'CLOCK']",0.02040816326530612,0.00019068955155257725,2,2,98
12,39,CRY1-Core clock complex,"['BMAL1', 'CLOCK']",0.02040816326530612,0.0005668820285211552,3,2,98
13,39,"Spliceosome, A complex","['RBM17', 'SNRPA', 'SRSF4']",0.030612244897959183,0.20318637310188206,112,3,98
14,39,PRC1.6a complex,"['CBX3', 'TFDP1']",0.02040816326530612,0.013462940979234363,13,2,98
15,39,PRC1.6b complex,"['CBX3', 'TFDP1']",0.02040816326530612,0.013462940979234363,13,2,98
16,39,"Spliceosome, E complex","['HNRNPM', 'SRSF4', 'DDX39A', 'RBM17', 'SNRPA', 'ALYREF']",0.061224489795918366,0.008850479820550707,129,6,98
17,39,Nuclear pore complex,"['NUP155', 'NUP43', 'NUP133', 'NUP85', 'NUP205']",0.05102040816326531,5.93247479820682e-05,31,5,98
18,39,BMAL1-CLOCK-NR3C1 complex,"['BMAL1', 'CLOCK']",0.02040816326530612,0.0005668820285211552,3,2,98
19,39,NR3C2-SSRP1 complex,"['NR3C2', 'SSRP1']",0.02040816326530612,0.00019068955155257725,2,2,98
20,39,BMAL1-CLOCK-RARA complex,"['BMAL1', 'CLOCK']",0.02040816326530612,0.0005668820285211552,3,2,98
21,39,BMAL1-CLOCK-RXRA complex,"['BMAL1', 'CLOCK']",0.02040816326530612,0.0005668820285211552,3,2,98
22,58,Condensin II,"['SMC4', 'NCAPG2']",0.02040816326530612,0.0018555509805276392,5,2,98
23,58,BIRC5-AURKB-INCENP-EVI5 complex,"['BIRC5', 'AURKB']",0.02040816326530612,0.0011234955220012996,4,2,98
24,58,AURKB-BIRC5-XPO1 complex,"['BIRC5', 'AURKB']",0.02040816326530612,0.0005668820285211552,3,2,98
25,58,"Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)","['BIRC5', 'AURKB']",0.02040816326530612,0.0011234955220012996,4,2,98
26,58,ASCOM complex,"['TUBB', 'TUBA4A']",0.02040816326530612,0.003826574929299845,7,2,98
27,58,"Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)","['BIRC5', 'AURKB']",0.02040816326530612,0.0005668820285211552,3,2,98
