,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,41,Condensin I complex,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,4.3004744669918275e-05,5,3,53
1,41,Condensin I-PARP-1-XRCC1 complex,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,0.00014698138149568337,7,3,53
2,41,CEN complex,"['CENPO', 'SHCBP1', 'CENPI', 'CENPL']",0.07547169811320754,0.0030480309016768427,37,4,53
3,41,CENP-A NAC-CAD complex,"['CENPO', 'CENPN', 'CENPL']",0.05660377358490566,0.0014068900414373339,14,3,53
4,41,ASCOM complex,"['TUBB', 'TUBA4A']",0.03773584905660377,0.0054492851939929475,7,2,53
5,41,CENP-A nucleosomal complex,"['CENPI', 'CENPN', 'CENPL']",0.05660377358490566,0.0017379373115269444,15,3,53
6,41,CENP-H-I complex,"['CENPO', 'CENPI', 'CENPN', 'CENPL']",0.07547169811320754,2.10118862421879e-05,11,4,53
7,41,PLK4-STIL complex,"['STIL', 'PLK4']",0.03773584905660377,0.00027382680712776346,2,2,53
8,0,DHCR24-DHCR7 complex,"['DHCR24', 'DHCR7']",0.06060606060606061,0.00010492057631600808,2,2,33
9,0,HMGCR-INSIG1 complex,"['INSIG1', 'HMGCR']",0.06060606060606061,0.00010492057631600808,2,2,33
10,24,Arp2/3 protein complex,"['ARPC5', 'ARPC2', 'ARPC3', 'ACTR2', 'ARPC1B', 'ACTR3', 'ARPC4']",0.11475409836065574,6.835533755634222e-13,7,7,61
11,24,WIP-WASp-actin-myosin-IIa complex,"['MYL6', 'MYH9']",0.03278688524590164,0.005189554207316481,6,2,61
12,24,Kinase maturation complex 1,"['MAP3K3', 'YWHAZ']",0.03278688524590164,0.03669801871106856,16,2,61
13,24,CXCR4-GNAI2-GNB1-IGF1R complex,"['GNB1', 'GNAI2']",0.03278688524590164,0.0021281142592424326,4,2,61
14,24,PP1c-Gbeta1 complex,"['PPP1CA', 'GNB1']",0.03278688524590164,0.0021281142592424326,4,2,61
15,24,CD4 receptor complex,"['MYH9', 'VIM']",0.03278688524590164,0.01200022281019511,9,2,61
16,24,"Adenosine A1 receptor-Gi complex, adenosine-bound","['GNB1', 'GNAI2']",0.03278688524590164,0.0021281142592424326,4,2,61
17,13,PA28 complex,"['PSME1', 'PSME2']",0.021052631578947368,0.0008872544947935153,2,2,95
18,13,PA28-20S proteasome,"['PSME1', 'PSME2']",0.021052631578947368,0.08109431321702754,16,2,95
19,13,PA700-20S-PA28 complex,"['PSME1', 'PSME2']",0.021052631578947368,0.29336029245229395,36,2,95
20,13,IFP35-NMI complex,"['NMI', 'IFI35']",0.021052631578947368,0.0008872544947935153,2,2,95
21,13,ERAP1-ERAP2 complex,"['ERAP1', 'ERAP2']",0.021052631578947368,0.0008872544947935153,2,2,95
22,13,DTX3L-PARP9 complex,"['DTX3L', 'PARP9']",0.021052631578947368,0.0008872544947935153,2,2,95
23,13,DTX3L-PARP9-STAT1 complex,"['DTX3L', 'STAT1', 'PARP9']",0.031578947368421054,2.6021655003404895e-05,3,3,95
24,13,IFI1-IFI2-IFI3 complex,"['IFIT3', 'IFIT1']",0.021052631578947368,0.002609720174373736,3,2,95
25,13,IRF1-STAT1 complex,"['STAT1', 'IRF1']",0.021052631578947368,0.0008872544947935153,2,2,95
26,13,AR-DTX3L-PARP9 complex,"['DTX3L', 'PARP9']",0.021052631578947368,0.002609720174373736,3,2,95
