,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size
0,0,AR-HEY1 complex,['HEY1'],0.09090909090909091,0.011752035551758959,2
1,0,SRC-1 complex,['RO60'],0.09090909090909091,0.023378381859392276,4
2,0,SRC-3 complex,['RO60'],0.09090909090909091,0.04058488049316716,7
3,0,INO80 chromatin remodeling complex,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,3.609347526931148e-14,13
4,1,DSS1 complex,['INTS10'],0.14285714285714285,0.04781014399888712,13
5,1,Integrator complex,['INTS10'],0.14285714285714285,0.044203364241307136,12
6,4,UMPS homodimer,['UMPS'],0.015151515151515152,0.035350830208891265,1
7,4,IMPDH2 homotetramer,['IMPDH2'],0.015151515151515152,0.035350830208891265,1
8,4,"MITRAC complex, mitochondrial","['COX4I1', 'COA3', 'COX15', 'COX6C']",0.06060606060606061,0.0010925041814249066,14
9,4,"Cytochrome c oxidase including assembly factors (COX, PET100, PET117, MR-1S)","['COX4I1', 'COX6B1', 'COX6C']",0.045454545454545456,0.02354786301451068,18
10,6,NCOR-SIN3-RPD3 complex,['SIN3B'],0.2,0.010677964790338947,4
11,6,HDAC9-SIN3B complex,['SIN3B'],0.2,0.0053504455738553796,2
12,6,GBP1-PIM1-TUBB3 complex,['PIM1'],0.2,0.008017066363201613,3
13,6,BRMS1-mSin3A corepressor complex,['SIN3B'],0.2,0.021264519023444988,8
14,6,SMAR1-HDAC1-SIN3A-SIN3B repressor complex,['SIN3B'],0.2,0.010677964790338947,4
15,6,HCF-1 complex,['SIN3B'],0.2,0.04733483700997114,18
16,6,NCOR-SIN3-HDAC-HESX1 complex,['SIN3B'],0.2,0.01598263140710507,6
17,6,SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex,['SIN3B'],0.2,0.01598263140710507,6
18,8,SMG1 complex,"['SMG1', 'SMG8', 'SMG9']",0.3333333333333333,7.757034856065287e-08,3
19,8,SMG1-UPF2-Y14-MAGOH-UPF3B-EIF4A3 complex,"['UPF2', 'SMG1']",0.2222222222222222,0.0003069127633134916,6
20,8,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)","['UPF2', 'XRN1']",0.2222222222222222,0.0009115528188927872,10
21,8,"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)",['CASC3'],0.1111111111111111,0.019158579311822493,4
22,8,"Upf complex (UPF1, UPF2, UPF3b)",['UPF2'],0.1111111111111111,0.014399779966165569,3
23,8,"Upf complex (UPF1, UPF2, UPF3a)",['UPF2'],0.1111111111111111,0.014399779966165569,3
24,8,SURF complex,['SMG1'],0.1111111111111111,0.019158579311822493,4
25,8,CASC3-EIF4A3 complex,['CASC3'],0.1111111111111111,0.00962046855436357,2
26,8,"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)",['CASC3'],0.1111111111111111,0.028614949842905024,6
27,8,"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)",['CASC3'],0.1111111111111111,0.023896943662973114,5
28,8,Postsplicing complex,['UPF2'],0.1111111111111111,0.03331267442722199,7
29,22,INSR-SNX2 complex,['INSR'],0.05263157894736842,0.020255340255615817,2
30,22,INSR-SNX1A complex,['INSR'],0.05263157894736842,0.020255340255615817,2
31,22,VPS34-VPS15-BECLIN1-SLAMF1 complex,['PIK3R4'],0.05263157894736842,0.04012157996191252,4
32,22,VPS34-VPS15-BECLIN1-UVRAG-SLAMF1 complex,['PIK3R4'],0.05263157894736842,0.04991100024142066,5
33,22,IL-21 receptor-IL-21 complex,['IL21'],0.05263157894736842,0.030236653143092124,3
34,22,DNAJB14-HSPA1-HSPH8-SGTA complex,['HSPH1'],0.05263157894736842,0.04012157996191252,4
35,22,Vps34 Complex I,['PIK3R4'],0.05263157894736842,0.04991100024142066,5
36,22,Shieldin complex,['SHLD1'],0.05263157894736842,0.04012157996191252,4
37,22,ATM homodimer,['ATM'],0.05263157894736842,0.010176754151044456,1
38,22,ATM-NBN complex,['ATM'],0.05263157894736842,0.020255340255615817,2
39,22,INSR-SNX1 complex,['INSR'],0.05263157894736842,0.020255340255615817,2
40,22,ZNF198-SUMO1 complex,['ZMYM2'],0.05263157894736842,0.020255340255615817,2
41,22,ZNF198-PML complex,['ZMYM2'],0.05263157894736842,0.020255340255615817,2
42,22,PIK3C3-PIK3R4 complex,['PIK3R4'],0.05263157894736842,0.020255340255615817,2
43,22,BLOC-3 (biogenesis of lysosome-related organelles complex 3),['HPS1'],0.05263157894736842,0.020255340255615817,2
44,22,TNNC1-TNNI3-TNNT2 complex,['TNNC1'],0.05263157894736842,0.030236653143092124,3
45,22,VPS34-VPS15-BECLIN1-UVRAG-BCL2 complex,['PIK3R4'],0.05263157894736842,0.04991100024142066,5
46,22,Insulin receptor-insulin complex,['INSR'],0.05263157894736842,0.020255340255615817,2
47,22,INSR-SNX4 complex,['INSR'],0.05263157894736842,0.020255340255615817,2
48,23,"Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)","['ELP1', 'ELP4', 'ELP2', 'ELP5', 'ELP3']",0.38461538461538464,4.092227387128153e-11,6
49,23,"IkappaB kinase complex (IKBKB, CHUK, IKBKAP, NFKBIA, RELA, MAP3K14)",['ELP1'],0.07692307692307693,0.04111183873481002,6
50,23,Elongator holo complex,"['ELP1', 'ELP3', 'ELP4', 'ELP2']",0.3076923076923077,1.4168914577168098e-09,4
51,23,DPM1-DPM2-DPM3 complex,['DPM1'],0.07692307692307693,0.02075505582869579,3
52,23,Elongator core complex,"['ELP1', 'ELP3', 'ELP2']",0.23076923076923078,2.641085677184133e-07,3
53,25,MED15-WWTR1 complex,['MED15'],0.029411764705882353,0.03610000740565964,2
54,25,PCAF complex,"['TAF6L', 'TAF5L']",0.058823529411764705,0.013222902695392462,10
55,25,CD274-PDCD1 complex,['CD274'],0.029411764705882353,0.03610000740565964,2
56,25,STAGA complex,"['TADA1', 'SUPT7L', 'TAF6L', 'TAF5L']",0.11764705882352941,5.847507723306912e-05,13
57,25,TRAP complex,"['MED13', 'MED12', 'MED1', 'CCNC']",0.11764705882352941,0.00014317303421586562,16
58,25,DRIP complex,"['MED13', 'MED12', 'MED1']",0.08823529411764706,0.001752571800084134,14
59,25,TRAP-SMCC mediator complex,"['MED1', 'MED19']",0.058823529411764705,0.013222902695392462,10
60,25,CDK8-CyclinC-Mediator complex,['CCNC'],0.029411764705882353,0.03610000740565964,2
61,25,ARC92-Mediator complex,"['MED13', 'MED12', 'MED1', 'MED15']",0.11764705882352941,5.847507723306912e-05,13
62,25,TFTC complex (TATA-binding protein-free TAF-II-containing complex),"['TAF6L', 'TAF5L']",0.058823529411764705,0.0369057950530739,17
63,25,CCNC-CDK8-MED1-MED6-MED7 complex,"['MED1', 'CCNC']",0.058823529411764705,0.0031114541521196767,5
64,25,CCNC-CDK3 complex,['CCNC'],0.029411764705882353,0.03610000740565964,2
65,25,"SAGA complex, GCN5-linked","['TADA2B', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'SUPT20H']",0.17647058823529413,5.281566258807603e-07,19
66,25,CD274-STAT3 complex,['CD274'],0.029411764705882353,0.03610000740565964,2
67,25,CD274-CMTM4 complex,['CD274'],0.029411764705882353,0.03610000740565964,2
68,25,CD274-CMTM6 complex,['CD274'],0.029411764705882353,0.03610000740565964,2
69,25,BRD4 complex,"['MED1', 'MED12']",0.058823529411764705,0.00841774543200853,8
70,25,TFTC-type histone acetyl transferase complex,"['MED13', 'MED12', 'MED1']",0.08823529411764706,0.000824798792462939,11
71,25,Mediator complex,"['MED13', 'MED1', 'MED15', 'MED19']",0.11764705882352941,0.0011974280283582237,27
72,25,ARC complex,"['MED13', 'MED1', 'MED12', 'MED15']",0.11764705882352941,0.00010877943036786042,15
73,25,ESR1-MED1 complex,['MED1'],0.029411764705882353,0.03610000740565964,2
74,25,ESR2-MED1 complex,['MED1'],0.029411764705882353,0.03610000740565964,2
75,25,MED1-PPARA complex,['MED1'],0.029411764705882353,0.03610000740565964,2
76,25,MED1-THRA complex,['MED1'],0.029411764705882353,0.03610000740565964,2
77,25,MED1-THRB complex,['MED1'],0.029411764705882353,0.03610000740565964,2
78,25,MED1-VDR complex,['MED1'],0.029411764705882353,0.03610000740565964,2
79,25,VDR-DRIP complex,"['MED13', 'MED12', 'MED1']",0.08823529411764706,0.001752571800084134,14
80,25,ARC-L complex,"['MED13', 'MED12', 'MED1', 'MED15', 'CCNC']",0.14705882352941177,2.63401253715089e-06,14
81,25,AR-MED1 complex,['MED1'],0.029411764705882353,0.03610000740565964,2
82,25,"CDK8 subcomplex (CCNC, CDK8, MED13)","['MED13', 'CCNC']",0.058823529411764705,0.0009551283191099712,3
83,25,"CDK8 subcomplex (CCNC, CDK8, MED12)","['MED12', 'CCNC']",0.058823529411764705,0.0009551283191099712,3
84,25,"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)","['MED13', 'MED12', 'CCNC']",0.08823529411764706,2.182815023432256e-05,4
85,25,ESR2-Mediator complex,"['MED13', 'MED1', 'MED12', 'CCNC']",0.11764705882352941,0.0002345658687766041,18
86,25,ESR1-Mediator complex,"['MED13', 'MED1', 'MED12', 'CCNC']",0.11764705882352941,0.0002345658687766041,18
87,25,THRA-TRAP complex,"['MED1', 'MED12']",0.058823529411764705,0.010699803632626424,9
88,25,SMCC complex,"['MED13', 'MED12', 'MED1', 'CCNC']",0.11764705882352941,8.081150311143643e-05,14
89,25,SOX9-TRAP complex,"['MED13', 'MED12', 'MED1', 'CCNC']",0.11764705882352941,4.101061469153195e-05,12
90,25,"STAGA complex, SPT3-linked","['TADA1', 'TADA2B', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'SUPT20H']",0.20588235294117646,1.4985471457390383e-08,19
91,25,COPRS-PRMT5 complex,['COPRS'],0.029411764705882353,0.03610000740565964,2
92,26,CRSP complex,"['MED14', 'MED1']",0.045454545454545456,0.01389171466270465,8
93,26,COPRS-PRMT5 complex,['COPRS'],0.022727272727272728,0.0465913585711325,2
94,26,KAT2A-TRRAP complex,['TRRAP'],0.022727272727272728,0.0465913585711325,2
95,26,ESR1-Mediator complex,"['MED14', 'MED13', 'MED1', 'MED12', 'CCNC']",0.11363636363636363,3.936595935709633e-05,18
96,26,ESR2-Mediator complex,"['MED14', 'MED13', 'MED1', 'MED12', 'CCNC']",0.11363636363636363,3.936595935709633e-05,18
97,26,"CDK8 subcomplex (CCNC, CDK8, MED12, MED13)","['MED13', 'MED12', 'CCNC']",0.06818181818181818,4.811399358293303e-05,4
98,26,"CDK8 subcomplex (CCNC, CDK8, MED12)","['MED12', 'CCNC']",0.045454545454545456,0.0016047846055880916,3
99,26,"CDK8 subcomplex (CCNC, CDK8, MED13)","['MED13', 'CCNC']",0.045454545454545456,0.0016047846055880916,3
100,26,SOX9-TRAP complex,"['MED14', 'MED13', 'MED12', 'MED1', 'CCNC']",0.11363636363636363,4.044116322750225e-06,12
101,26,AR-MED1 complex,['MED1'],0.022727272727272728,0.0465913585711325,2
102,26,ESR1-MED1 complex,['MED1'],0.022727272727272728,0.0465913585711325,2
103,26,ESR2-MED1 complex,['MED1'],0.022727272727272728,0.0465913585711325,2
104,26,MED1-PPARA complex,['MED1'],0.022727272727272728,0.0465913585711325,2
105,26,MED1-THRA complex,['MED1'],0.022727272727272728,0.0465913585711325,2
106,26,MED1-THRB complex,['MED1'],0.022727272727272728,0.0465913585711325,2
107,26,MED1-VDR complex,['MED1'],0.022727272727272728,0.0465913585711325,2
108,26,VDR-DRIP complex,"['MED14', 'MED13', 'MED12', 'MED1']",0.09090909090909091,0.00022649715023000648,14
109,26,CD274-PDCD1 complex,['CD274'],0.022727272727272728,0.0465913585711325,2
110,26,CD274-STAT3 complex,['CD274'],0.022727272727272728,0.0465913585711325,2
111,26,CD274-CMTM4 complex,['CD274'],0.022727272727272728,0.0465913585711325,2
112,26,CD274-CMTM6 complex,['CD274'],0.022727272727272728,0.0465913585711325,2
113,26,THRA-TRAP complex,"['MED14', 'MED1', 'MED12']",0.06818181818181818,0.0009299210040428434,9
114,26,"ATAC complex, YEATS2-linked","['TADA3', 'SGF29']",0.045454545454545456,0.0412801670659545,14
115,26,"STAGA complex, SPT3-linked","['TADA1', 'TADA2B', 'TADA3', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'TRRAP', 'SUPT20H']",0.20454545454545456,7.407256976747373e-11,19
116,26,ARC-L complex,"['MED14', 'MED13', 'MED12', 'MED1', 'CCNC']",0.11363636363636363,9.86903355758632e-06,14
117,26,"SAGA complex, GCN5-linked","['TADA2B', 'TADA3', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'TRRAP', 'SUPT20H']",0.18181818181818182,3.0675458740019637e-09,19
118,26,SMCC complex,"['MED14', 'MED13', 'MED12', 'MED1', 'CCNC']",0.11363636363636363,9.86903355758632e-06,14
119,26,NAT complex,"['MED14', 'CCNC']",0.045454545454545456,0.010576363202680938,7
120,26,Mediator complex,"['MED14', 'MED13', 'MED1', 'MED19']",0.09090909090909091,0.0031738371454128338,27
121,26,ARC complex,"['MED14', 'MED13', 'MED1', 'MED12']",0.09090909090909091,0.00030357054973490703,15
122,26,"Ubiquitin E3 ligase (UBADC1, RNF123)",['UBAC1'],0.022727272727272728,0.0465913585711325,2
123,26,TFTC-type histone acetyl transferase complex,"['MED14', 'MED13', 'MED12', 'MED1', 'TRRAP']",0.11363636363636363,2.4009611995066e-06,11
124,26,TFTC complex (TATA-binding protein-free TAF-II-containing complex),"['TADA3', 'TAF6L', 'TRRAP', 'TAF5L']",0.09090909090909091,0.0005113378971809217,17
125,26,PCAF complex,"['TADA3', 'TAF6L', 'TRRAP', 'TAF5L']",0.09090909090909091,5.0918850656736514e-05,10
126,26,STAGA complex,"['TADA1', 'TADA3', 'TAF5L', 'SUPT7L', 'TAF6L', 'TRRAP']",0.13636363636363635,1.8345471135129763e-07,13
127,26,TRAP complex,"['MED14', 'MED13', 'MED12', 'MED1', 'CCNC']",0.11363636363636363,2.078774755574937e-05,16
128,26,GCN5-TRRAP histone acetyltransferase complex,"['TADA3', 'TRRAP', 'TAF5L']",0.06818181818181818,0.001306636212636889,10
129,26,TRAP-SMCC mediator complex,"['MED1', 'MED19']",0.045454545454545456,0.021667196296172222,10
130,26,USP22-SAGA complex,"['TADA3', 'TADA2B', 'TRRAP']",0.06818181818181818,0.0006303088226098243,8
131,26,DRIP complex,"['MED14', 'MED13', 'MED12', 'MED1']",0.09090909090909091,0.00022649715023000648,14
132,26,CCNC-CDK3 complex,['CCNC'],0.022727272727272728,0.0465913585711325,2
133,26,CCNC-CDK8-MED1-MED6-MED7 complex,"['MED1', 'CCNC']",0.045454545454545456,0.005190224002321387,5
134,26,BRD4 complex,"['MED14', 'MED1', 'MED12']",0.06818181818181818,0.0006303088226098243,8
135,26,"ATAC complex, GCN5-linked","['TADA3', 'SGF29']",0.045454545454545456,0.021667196296172222,10
136,26,TRRAP-BAF53-HAT complex,['TRRAP'],0.022727272727272728,0.0465913585711325,2
137,26,ARC92-Mediator complex,"['MED14', 'MED13', 'MED12', 'MED1']",0.09090909090909091,0.00016460340260931498,13
138,26,Mediator complex 1,"['MED14', 'CCNC']",0.045454545454545456,0.005190224002321387,5
139,26,CDK8-CyclinC-Mediator complex,['CCNC'],0.022727272727272728,0.0465913585711325,2
140,29,APP(AICD)-FOXO1 complex,['FOXO1'],0.07142857142857142,0.01494508043177866,2
141,29,FOXO1-THRB complex,['FOXO1'],0.07142857142857142,0.01494508043177866,2
142,29,FOXO1-RARA complex,['FOXO1'],0.07142857142857142,0.01494508043177866,2
143,29,AR-FOXO1 complex,['FOXO1'],0.07142857142857142,0.01494508043177866,2
144,29,mTORC1-PRAS40 complex,['RPTOR'],0.07142857142857142,0.029682537532522896,4
145,29,Ragulator-Rag complex,"['LAMTOR3', 'RRAGA', 'RRAGC', 'LAMTOR4', 'LAMTOR2']",0.35714285714285715,2.2180165082412442e-10,7
146,29,Ragulator complex,"['LAMTOR3', 'LAMTOR4', 'LAMTOR2']",0.21428571428571427,3.3316909359547493e-06,5
147,29,PTEN-PP1MA-SMAD2-SMAD3 complex,['PTEN'],0.07142857142857142,0.029682537532522896,4
148,29,FOXK1-PLK1-SPAG9 complex,['FOXK1'],0.07142857142857142,0.02233959457330955,3
149,29,HTR6-RPTOR complex,['RPTOR'],0.07142857142857142,0.01494508043177866,2
150,29,FOXO1-PPIA complex,['FOXO1'],0.07142857142857142,0.01494508043177866,2
151,29,SOG complex,"['WDR59', 'WDR24', 'MIOS']",0.21428571428571427,1.8410735038950467e-05,8
152,29,ESR1-FOXO1 complex,['FOXO1'],0.07142857142857142,0.01494508043177866,2
153,29,SMAD3-SMAD4-FOXO1 complex,['FOXO1'],0.07142857142857142,0.02233959457330955,3
154,29,"mTORC1 complex (MLST8, MTOR, RAPTOR)",['RPTOR'],0.07142857142857142,0.02233959457330955,3
155,29,"mTOR complex (MTOR, RAPTOR)",['RPTOR'],0.07142857142857142,0.01494508043177866,2
156,29,LAMTOR2-LAMTOR3-MAP2K1 complex,"['LAMTOR3', 'LAMTOR2']",0.14285714285714285,0.0001560521487168934,3
157,29,LAMTOR2-LAMTOR3-MAPK1 complex,"['LAMTOR3', 'LAMTOR2']",0.14285714285714285,0.0001560521487168934,3
158,29,GATOR2 complex,"['WDR24', 'WDR59', 'MIOS']",0.21428571428571427,3.3316909359547493e-06,5
159,29,GATOR complex,"['WDR59', 'WDR24', 'MIOS']",0.21428571428571427,1.8410735038950467e-05,8
160,29,EGFR-NHERF1-PTEN complex,['PTEN'],0.07142857142857142,0.02233959457330955,3
161,29,v-ATPase-Ragulator-AXIN/LKB1-AMPK complex,"['LAMTOR3', 'LAMTOR4', 'LAMTOR2']",0.21428571428571427,0.00011652376621170583,14
162,29,AKT1-FOXO1-WDFY2 complex,['FOXO1'],0.07142857142857142,0.02233959457330955,3
163,29,FHL2-FOXO1-SIRT1 complex,['FOXO1'],0.07142857142857142,0.02233959457330955,3
164,30,NuA4/Tip60 HAT complex,"['BRD8', 'EPC1']",0.5,0.0003107656956695246,14
165,30,H2A.Z histone-exchange complex p400/TIP60,"['BRD8', 'EPC1']",0.5,0.0011875124453268073,27
166,30,KIF4A-KIF14-KIF20A-KIF23-PRC1 complex,['KIF20A'],0.25,0.010677964790338947,5
167,30,TIP60-C complex,"['BRD8', 'EPC1']",0.5,0.0008584258040957505,23
168,30,NuA4/Tip60-HAT complex A,"['BRD8', 'EPC1']",0.5,0.0003583184833168857,15
169,30,NuA4/Tip60-HAT complex B,['EPC1'],0.25,0.017043557380419416,8
170,30,DMAP1-associated complex,"['BRD8', 'EPC1']",0.5,0.0001541169088222844,10
171,30,NuA4/Tip60-HAT complex,"['BRD8', 'EPC1']",0.5,0.0004092128776864579,16
172,31,CS-MAP3K7IP1-MAP3K7IP2 complex,['CS'],0.14285714285714285,0.01121185657606393,3
173,31,ACLY homotetramer,['ACLY'],0.14285714285714285,0.003749330476700589,1
174,33,"ING5 complex (ING5, JADE3, KAT7, MEAF6)",['ING5'],0.2,0.010677964790338947,4
175,33,"ING5 complex (ING5, JADE2, KAT7, MEAF6)",['ING5'],0.2,0.010677964790338947,4
176,33,"ING5 (BRPF3, MOZ, MORF) complex","['KAT6A', 'ING5']",0.4,5.722367160936037e-05,5
177,33,"ING5 (BRPF1, MOZ, MORF) complex","['KAT6A', 'BRPF1', 'ING5']",0.6,9.219705998120576e-08,5
178,33,"ING5 complex (ING5, JADE1, KAT7, MEAF6)",['ING5'],0.2,0.010677964790338947,4
179,33,"Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)",['COP1'],0.2,0.013333150070021341,5
180,33,"ING5 (BRPF2, MOZ, MORF) complex","['KAT6A', 'ING5']",0.4,5.722367160936037e-05,5
181,34,DOT1L-MLLT10 complex,['DOT1L'],0.16666666666666666,0.006418812442197104,2
182,34,MLL-HCF complex,['MEN1'],0.16666666666666666,0.022315792364988013,7
183,34,MLL2 complex,"['PSIP1', 'MEN1']",0.3333333333333333,0.00038309154985706413,10
184,34,MLL1 complex,['MEN1'],0.16666666666666666,0.02546961238961708,8
185,34,ADRB2-ARRDC4 complex,['ARRDC4'],0.16666666666666666,0.006418812442197104,2
186,34,Menin-associated histone methyltransferase complex,['MEN1'],0.16666666666666666,0.022315792364988013,7
187,36,NCOA1-NR3C2-UBE2I complex,['UBE2I'],0.25,0.006417093889593873,3
188,36,Replication-coupled CAF-1-MBD1-ETDB1 complex,['SETDB1'],0.25,0.006417093889593873,3
189,36,MBD1-MCAF1-SETDB1 complex,['SETDB1'],0.25,0.006417093889593873,3
190,36,SETDB1-containing HMTase complex,['SETDB1'],0.25,0.004281504623370539,2
191,36,ZNF304-corepressor complex,['SETDB1'],0.25,0.008549246048629082,4
192,36,DNMT3A-SETDB1 complex,['SETDB1'],0.25,0.004281504623370539,2
193,36,DNMT3B-SETDB1 complex,['SETDB1'],0.25,0.004281504623370539,2
194,36,PIAS1-SUMO1-UBC9 complex,['UBE2I'],0.25,0.006417093889593873,3
195,36,CDYL-complex,['SETDB1'],0.25,0.019158579311822493,9
