,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr
66,-1,CCT complex (chaperonin containing TCP1 complex),"['CCT5', 'CCT4', 'CCT6A', 'TCP1']",0.04081632653061224,1.7359353953835823e-05,8,4,98,0.0005571792640021498
73,-1,BBS-chaperonin complex,"['CCT4', 'CCT5', 'TCP1']",0.030612244897959183,0.0012694028647608421,10,3,98,0.006196273349029975
71,-1,Kinase maturation complex 2,"['TANK', 'HSP90AA1']",0.02040816326530612,0.01346766586219806,8,2,98,0.02533143200923832
79,-1,GID/CTLH ubiquitin E3 ligase complex,"['WDR26', 'YPEL5']",0.02040816326530612,0.021004377217222096,10,2,98,0.035124966943085686
74,-1,"CTLH complex, submodule of the IFT/lebercilin complex","['WDR26', 'YPEL5']",0.02040816326530612,0.029898660449475735,12,2,98,0.04684908212161946
76,-1,PRC1.6a complex,"['CBX3', 'TFDP1']",0.02040816326530612,0.03481172787162497,13,2,98,0.05216516450642597
77,-1,PRC1.6b complex,"['CBX3', 'TFDP1']",0.02040816326530612,0.03481172787162497,13,2,98,0.05216516450642597
67,-1,CEN complex,"['CBX3', 'SHCBP1', 'SSRP1']",0.030612244897959183,0.05253402141298624,37,3,98,0.07073254574549569
72,-1,Emerin complex 52,"['LMNB1', 'PDCD4']",0.02040816326530612,0.0974208090387962,23,2,98,0.11996745667525027
78,-1,"Spliceosome, E complex","['ALYREF', 'DHX15', 'SRSF2', 'SNRNP40', 'HNRNPD']",0.05102040816326531,0.17585791923318067,129,5,98,0.20424616818740177
69,-1,17S U2 snRNP,"['DHX15', 'HSPD1']",0.02040816326530612,0.1759185589312596,33,2,98,0.20424616818740177
75,-1,"Spliceosome, A complex","['DHX15', 'SRSF2', 'HNRNPAB']",0.030612244897959183,0.4809661243750767,112,3,98,0.5156910493030187
68,-1,C complex spliceosome,"['SNRNP40', 'ALYREF']",0.02040816326530612,0.5556408217780362,80,2,98,0.5850398070572974
70,-1,Nop56p-associated pre-rRNA complex,"['LYAR', 'BRIX1']",0.02040816326530612,0.6985655205399913,104,2,98,0.7217784973388279
145,0,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)","['EIF3M', 'EIF3D']",0.02040816326530612,0.03481172787162497,13,2,98,0.05216516450642597
146,0,"Spliceosome, A complex","['SNRPC', 'CIRBP']",0.02040816326530612,0.7370370492574143,112,2,98,0.7490825985813353
147,0,"Spliceosome, E complex","['SMARCD1', 'SNRPC']",0.02040816326530612,0.805181022659643,129,2,98,0.805181022659643
750,1,TULP3-Intraflagellar transport complex A,"['IFT43', 'WDR19', 'WDR35']",0.030612244897959183,0.00038942869028147704,7,3,98,0.004532429990624558
740,1,4E-T-DDX6-CNOT1 complex,"['EIF4ENIF1', 'CNOT1']",0.02040816326530612,0.001556157066148265,3,2,98,0.006196273349029975
748,1,Intraflagellar transport complex A peripheral subcomplex,"['IFT43', 'WDR35']",0.02040816326530612,0.001556157066148265,3,2,98,0.006196273349029975
753,1,CALM1-CCP110-CETN2 complex,"['CCP110', 'CETN2']",0.02040816326530612,0.001556157066148265,3,2,98,0.006196273349029975
749,1,PP1c-Gbeta1 complex,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.0030654947135490508,4,2,98,0.009414096419695388
741,1,Intraflagellar transport complex A,"['WDR19', 'WDR35']",0.02040816326530612,0.00503243366888972,5,2,98,0.01274114885634929
742,1,BBS1-BBS4-BBS5-PKD1-TTC8 complex,"['TTC8', 'BBS1']",0.02040816326530612,0.00503243366888972,5,2,98,0.01274114885634929
754,1,Pericentrin complex,"['IFT57', 'IFT88']",0.02040816326530612,0.00503243366888972,5,2,98,0.01274114885634929
737,1,BBSome,"['TTC8', 'BBS1']",0.02040816326530612,0.01346766586219806,8,2,98,0.02533143200923832
743,1,CCR4-NOT complex,"['CNOT9', 'CNOT1']",0.02040816326530612,0.01346766586219806,8,2,98,0.02533143200923832
751,1,CCR4-NOT-TOB1 complex,"['CNOT9', 'CNOT1']",0.02040816326530612,0.01346766586219806,8,2,98,0.02533143200923832
744,1,"CCR4-NOT complex, CNOT7-CNOT6-specific","['CNOT9', 'CNOT1']",0.02040816326530612,0.017057382346729842,9,2,98,0.03041594163977812
745,1,"CCR4-NOT complex, CNOT7-CNOT6L-specific","['CNOT9', 'CNOT1']",0.02040816326530612,0.017057382346729842,9,2,98,0.03041594163977812
746,1,"CCR4-NOT complex, CNOT8-CNOT6-specific","['CNOT9', 'CNOT1']",0.02040816326530612,0.017057382346729842,9,2,98,0.03041594163977812
747,1,"CCR4-NOT complex, CNOT8-CNOT6L-specific","['CNOT9', 'CNOT1']",0.02040816326530612,0.017057382346729842,9,2,98,0.03041594163977812
738,1,Intraflagellar transport complex B core complex,"['IFT22', 'IFT88']",0.02040816326530612,0.021004377217222096,10,2,98,0.035124966943085686
739,1,"Dynein-2 complex, cytoplasmic","['DYNC2H1', 'DYNLT2B']",0.02040816326530612,0.029898660449475735,12,2,98,0.04684908212161946
