,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,Multisubunit ACTR coactivator complex,"['KAT2B', 'NCOA3']",0.00796812749003984,0.014612444130921847,4,2,251
1,21,Arp2/3 protein complex,"['ACTR2', 'ARPC1B']",0.00796812749003984,0.04618485326034249,7,2,251
2,21,WIP-WASp-actin-myosin-IIa complex,"['MYL6', 'WIPF1', 'MYH9', 'MYL12A']",0.01593625498007968,9.260077813862359e-05,6,4,251
3,21,"CIN85 complex (BCAR1, CBL, CRK, GRB2, PIK3R1, SH3KBP1, SOS1)","['SH3KBP1', 'SOS1']",0.00796812749003984,0.04618485326034249,7,2,251
4,21,RSmad complex,"['SMAD3', 'NCOA3']",0.00796812749003984,0.08949481725044699,10,2,251
5,21,"TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)","['NFKB2', 'IKBKE']",0.00796812749003984,0.12283913451988042,12,2,251
6,21,CASP8-CASP10-FADD-FAS complex,"['CASP10', 'CASP8']",0.00796812749003984,0.014612444130921847,4,2,251
7,21,DOCK8-WIP-WASp complex,"['WIPF1', 'DOCK8']",0.00796812749003984,0.007561135189810449,3,2,251
8,21,Calpain 1,"['CAPN1', 'CAPNS1']",0.00796812749003984,0.002608700713225011,2,2,251
9,21,IL-10 receptor-Il-10 complex,"['IL10RB', 'IL10RA']",0.00796812749003984,0.007561135189810449,3,2,251
10,21,NLRP3-NLRC4 inflammasome,"['CASP8', 'PYCARD']",0.00796812749003984,0.023536524711497298,5,2,251
11,21,AIM2 inflammasome (CASP8),"['CASP8', 'PYCARD']",0.00796812749003984,0.007561135189810449,3,2,251
12,21,DDX58-PYCARD complex,"['PYCARD', 'RIGI']",0.00796812749003984,0.002608700713225011,2,2,251
13,21,BCL10-CARD9-CASP8-MALT1-PYCARD inflammasome complex,"['CASP8', 'PYCARD']",0.00796812749003984,0.023536524711497298,5,2,251
14,21,MALT1-ASC-CASP8 inflammasome,"['CASP8', 'PYCARD']",0.00796812749003984,0.007561135189810449,3,2,251
15,21,CASP8-CASP10-FADD-FLIP(S)-RIPK1 complex,"['CASP10', 'CASP8']",0.00796812749003984,0.023536524711497298,5,2,251
16,21,CD4 receptor complex,"['MYH9', 'PTPRC']",0.00796812749003984,0.07402625967132045,9,2,251
17,21,AIM2 PANoptosome complex,"['CASP8', 'PYCARD']",0.00796812749003984,0.07402625967132045,9,2,251
18,21,"Pro-death complex II, cytosolic","['CASP8', 'TRADD']",0.00796812749003984,0.034124764196256575,6,2,251
19,21,PANoptosome,"['CASP8', 'PYCARD']",0.00796812749003984,0.04618485326034249,7,2,251
20,21,ISGF3 complex,"['STAT1', 'IRF9', 'STAT2']",0.01195219123505976,0.00013248347493229198,3,3,251
21,21,"TNFR1 signaling complex, TNF-induced","['TRADD', 'IKBKE']",0.00796812749003984,0.3497906818030168,24,2,251
22,21,TLR3 death-signaling complex,"['CASP10', 'CASP8']",0.00796812749003984,0.04618485326034249,7,2,251
23,21,IL2RG-JAK3 complex,"['JAK3', 'IL2RG']",0.00796812749003984,0.002608700713225011,2,2,251
24,21,MSN-SELPLG-SYK complex,"['MSN', 'SELPLG']",0.00796812749003984,0.007561135189810449,3,2,251
25,21,GPR68-LPAR2 complex,"['LPAR2', 'GPR68']",0.00796812749003984,0.002608700713225011,2,2,251
26,35,"Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)","['TGFBR1', 'SMAD7']",0.01282051282051282,0.005781765906857435,4,2,156
27,35,"Ubiquitin E3 ligase (SMAD7, SMURF1) - TGFBR1","['TGFBR1', 'SMAD7']",0.01282051282051282,0.00295255217229386,3,2,156
28,35,ITGA3-ITGB1-BSG complex,"['BSG', 'ITGB1']",0.01282051282051282,0.00295255217229386,3,2,156
29,35,Ubiquitin E3 ligase (SMAD7-SMURF1) - TGF(beta),"['TGFBR1', 'SMAD7']",0.01282051282051282,0.005781765906857435,4,2,156
30,35,NG2-galectin-3-alpha3beta1-integrin complex,"['LGALS3', 'ITGB1']",0.01282051282051282,0.005781765906857435,4,2,156
31,35,Core clock complex,"['BMAL1', 'CLOCK']",0.01282051282051282,0.0010052331991359483,2,2,156
32,35,CRY1-Core clock complex,"['BMAL1', 'CLOCK']",0.01282051282051282,0.00295255217229386,3,2,156
33,35,BMAL1-CLOCK-NR3C1 complex,"['BMAL1', 'CLOCK']",0.01282051282051282,0.00295255217229386,3,2,156
34,35,BMAL1-CLOCK-RARA complex,"['BMAL1', 'CLOCK']",0.01282051282051282,0.00295255217229386,3,2,156
35,35,BMAL1-CLOCK-RXRA complex,"['BMAL1', 'CLOCK']",0.01282051282051282,0.00295255217229386,3,2,156
36,33,"Respiratory chain complex I (holoenzyme), mitochondrial","['NDUFA1', 'NDUFA13']",0.015384615384615385,0.3261355343794827,44,2,130
37,33,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)","['EIF3D', 'EIF3L']",0.015384615384615385,0.03866859449343716,12,2,130
38,33,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)","['EIF3D', 'EIF3L']",0.015384615384615385,0.044920614542349156,13,2,130
39,33,"Cytochrome c oxidase including assembly factors (COX, PET100, PET117, MR-1S)","['COX6A1', 'COX6C', 'COX4I1']",0.023076923076923078,0.01109248871786758,18,3,130
40,33,"Spliceosome, E complex","['DDX39A', 'HNRNPA0']",0.015384615384615385,0.8624508211121681,129,2,130
41,33,"MITRAC complex, mitochondrial","['COX6C', 'COX4I1']",0.015384615384615385,0.05151641901341107,14,2,130
42,58,BCL6-HDAC4 complex,"['BCL6', 'HDAC4']",0.008928571428571428,0.002076650486486307,2,2,224
43,58,BCL6-HDAC7 complex,"['BCL6', 'HDAC7']",0.008928571428571428,0.002076650486486307,2,2,224
44,58,"DNA synthesome complex, leukemia cells","['TOP2A', 'RPA1']",0.008928571428571428,0.21437134441622432,19,2,224
45,58,"DNA synthesome complex, breast cancer MCF7 cells","['TOP2A', 'RPA1']",0.008928571428571428,0.2831360818363606,23,2,224
46,58,CDC5L complex,"['TOP2A', 'SFI1']",0.008928571428571428,0.40112615455965805,30,2,224
47,58,Mis12 centromere complex,"['PMF1', 'CBX5']",0.008928571428571428,0.027574895781404492,6,2,224
48,58,PML-SMAD2/3-SARA complex,"['SMAD3', 'SMAD2']",0.008928571428571428,0.011720400905536641,4,2,224
49,58,RSmad complex,"['SMAD3', 'SMAD2']",0.008928571428571428,0.07337017677192997,10,2,224
50,58,TIF1gamma-SMAD2-SMAD3 complex,"['SMAD3', 'SMAD2']",0.008928571428571428,0.0060418966326182275,3,2,224
51,58,SMAD4-SMAD2-SMAD3 complex,"['SMAD3', 'SMAD2']",0.008928571428571428,0.0060418966326182275,3,2,224
52,58,ITK-LCP2-PLCG1 complex,"['ITK', 'PLCG1']",0.008928571428571428,0.0060418966326182275,3,2,224
53,58,Ferritin complex,"['FTL', 'FTH1']",0.008928571428571428,0.002076650486486307,2,2,224
54,58,"CCR4-NOT complex, CNOT8-CNOT6L-specific","['CNOT6L', 'CNOT8']",0.008928571428571428,0.06047277722436042,9,2,224
55,58,FYN-KHDRBS1-PLCG1 complex,"['FYN', 'PLCG1']",0.008928571428571428,0.0060418966326182275,3,2,224
