,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,37,KEGG_ADHERENS_JUNCTION,"['RAC2', 'WAS']",0.016129032258064516,0.908524463744653,73,2,124
1,37,KEGG_ALZHEIMERS_DISEASE,"['PPP3R1', 'ATP2A2']",0.016129032258064516,0.9991322862360446,167,2,124
2,37,KEGG_AXON_GUIDANCE,"['RAC2', 'PPP3R1']",0.016129032258064516,0.993789108665699,129,2,124
3,37,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,"['PPP3R1', 'SOS2', 'BCL10', 'MALT1', 'SYK', 'RAC2', 'VAV1']",0.056451612903225805,0.0995453010064144,75,7,124
4,37,KEGG_CALCIUM_SIGNALING_PATHWAY,"['PLCG1', 'PPP3R1', 'ATP2A2']",0.024193548387096774,0.9971529050415545,178,3,124
5,37,KEGG_CELL_ADHESION_MOLECULES_CAMS,"['CD28', 'CD2', 'PTPRC']",0.024193548387096774,0.9773608150076025,133,3,124
6,37,KEGG_CHEMOKINE_SIGNALING_PATHWAY,"['WAS', 'ITK', 'SOS2', 'RAC2', 'VAV1']",0.04032258064516129,0.977590761918705,188,5,124
7,37,KEGG_ERBB_SIGNALING_PATHWAY,"['SOS2', 'PLCG1']",0.016129032258064516,0.9518430221394811,87,2,124
8,37,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,"['PLCG1', 'LCP2', 'SOS2', 'SYK', 'RAC2', 'VAV1', 'LAT']",0.056451612903225805,0.12246670324830125,79,7,124
9,37,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,"['WAS', 'PTPRC', 'PLCG1', 'ARPC2', 'SYK', 'RAC2', 'VAV1', 'LAT']",0.06451612903225806,0.13341194848599677,96,8,124
10,37,KEGG_FOCAL_ADHESION,"['RAC2', 'VAV1', 'TLN1', 'SOS2']",0.03225806451612903,0.9955377829566665,199,4,124
11,37,KEGG_GLIOMA,"['SOS2', 'PLCG1']",0.016129032258064516,0.8696508826899355,65,2,124
12,37,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,"['GPD1L', 'CDIPT']",0.016129032258064516,0.9236446563933511,77,2,124
13,37,KEGG_HEMATOPOIETIC_CELL_LINEAGE,"['CD3E', 'CD3G', 'CD2', 'CD3D']",0.03225806451612903,0.6893177664670629,87,4,124
14,37,KEGG_INOSITOL_PHOSPHATE_METABOLISM,"['CDIPT', 'PLCG1']",0.016129032258064516,0.7917201826767203,54,2,124
15,37,KEGG_JAK_STAT_SIGNALING_PATHWAY,"['CSH1', 'SOS2']",0.016129032258064516,0.9983685964267364,155,2,124
16,37,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,"['PLCG1', 'RAC2', 'VAV1', 'ITK']",0.03225806451612903,0.8757311505771669,116,4,124
17,37,KEGG_MAPK_SIGNALING_PATHWAY,"['RAC2', 'PPP3R1', 'SOS2']",0.024193548387096774,0.999969782166328,267,3,124
18,37,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,"['LCK', 'PLCG1', 'LCP2', 'ZAP70', 'PPP3R1', 'CD247', 'SOS2', 'SYK', 'RAC2', 'VAV1', 'LAT']",0.08870967741935484,0.10644610186577243,137,11,124
19,37,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,"['SOS2', 'PLCG1']",0.016129032258064516,0.9927749171092003,126,2,124
20,37,KEGG_NON_SMALL_CELL_LUNG_CANCER,"['SOS2', 'PLCG1']",0.016129032258064516,0.7917201826767203,54,2,124
21,37,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,"['WAS', 'ARPC2']",0.016129032258064516,0.8083932104050127,56,2,124
22,37,KEGG_PATHWAYS_IN_CANCER,"['SOS2', 'RAC2', 'PLCG1']",0.024193548387096774,0.9999987759490478,325,3,124
23,37,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,"['CDIPT', 'PLCG1']",0.016129032258064516,0.9200999215495486,76,2,124
24,37,KEGG_PRIMARY_IMMUNODEFICIENCY,"['CD3E', 'LCK', 'CD3D', 'PTPRC', 'ZAP70']",0.04032258064516129,0.03506142136618078,35,5,124
25,37,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,"['WAS', 'SOS2', 'ARPC2', 'RAC2', 'VAV1']",0.04032258064516129,0.9917219538339361,213,5,124
26,37,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,"['CD3E', 'LCK', 'CD3D', 'ITK', 'PLCG1', 'CD3G', 'PTPRC', 'LCP2', 'CD28', 'ZAP70', 'PPP3R1', 'CD247', 'SOS2', 'BCL10', 'MALT1', 'VAV1', 'LAT']",0.13709677419354838,3.235641554915739e-05,108,17,124
27,37,KEGG_VEGF_SIGNALING_PATHWAY,"['RAC2', 'PPP3R1', 'PLCG1']",0.024193548387096774,0.7795871628908604,76,3,124
28,37,KEGG_VIRAL_MYOCARDITIS,"['RAC2', 'CD28']",0.016129032258064516,0.89540976214692,70,2,124
29,37,KEGG_WNT_SIGNALING_PATHWAY,"['RAC2', 'PPP3R1']",0.016129032258064516,0.9979903340920254,151,2,124
30,39,KEGG_MAPK_SIGNALING_PATHWAY,"['RASGRP1', 'JUND']",0.06666666666666667,0.8739233806463691,267,2,30
31,58,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,"['TP73', 'ATF4']",0.07407407407407407,0.4325554982228816,126,2,27
32,58,KEGG_NUCLEOTIDE_EXCISION_REPAIR,"['ERCC4', 'LIG1']",0.07407407407407407,0.09044707835937973,44,2,27
33,58,KEGG_P53_SIGNALING_PATHWAY,"['TP73', 'PPM1D']",0.07407407407407407,0.18447803795580855,68,2,27
34,84,KEGG_ALZHEIMERS_DISEASE,"['NDUFB4', 'NDUFS8', 'CYC1', 'NDUFB9', 'NDUFS5', 'NDUFA9', 'NDUFS2', 'COX7C', 'NDUFA6', 'UQCRQ', 'NDUFS7', 'ATP5PO', 'UQCRB', 'NDUFB6', 'NDUFB2', 'NDUFC1', 'NDUFV1', 'HSD17B10', 'COX6C', 'ATP5F1E', 'NDUFA8']",0.1206896551724138,0.01017049094615088,167,21,174
35,84,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,"['LARS2', 'FARS2', 'NARS2', 'VARS2', 'WARS2', 'EARS2', 'CARS2', 'SARS2', 'PARS2', 'TARS2']",0.05747126436781609,0.0005969355852385222,41,10,174
36,84,KEGG_CARDIAC_MUSCLE_CONTRACTION,"['UQCRQ', 'CYC1', 'SLC9A6', 'COX6C', 'COX7C', 'UQCRB']",0.034482758620689655,0.5435763249441854,79,6,174
37,84,KEGG_DNA_REPLICATION,"['SSBP1', 'RNASEH1']",0.011494252873563218,0.7621506647687666,36,2,174
38,84,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,"['ADPRM', 'PTDSS1']",0.011494252873563218,0.9827317779743973,77,2,174
39,84,KEGG_HUNTINGTONS_DISEASE,"['NDUFB4', 'NDUFS8', 'CYC1', 'NDUFB9', 'NDUFS5', 'NDUFA9', 'NDUFS2', 'COX7C', 'NDUFA6', 'UQCRQ', 'TFAM', 'NDUFS7', 'ATP5PO', 'UQCRB', 'NDUFB6', 'NDUFB2', 'NDUFC1', 'NDUFV1', 'COX6C', 'ATP5F1E', 'NDUFA8']",0.1206896551724138,0.0268838104905096,183,21,174
40,84,KEGG_OXIDATIVE_PHOSPHORYLATION,"['NDUFB4', 'NDUFS8', 'CYC1', 'NDUFB9', 'COX17', 'NDUFS5', 'NDUFA9', 'NDUFS2', 'COX7C', 'NDUFA6', 'UQCRQ', 'NDUFS7', 'ATP5PO', 'UQCRB', 'ATP5ME', 'NDUFB6', 'ATP5MF', 'NDUFB2', 'NDUFC1', 'NDUFV1', 'COX15', 'COX6C', 'ATP5F1E', 'NDUFA8']",0.13793103448275862,2.4347211604168547e-05,133,24,174
41,84,KEGG_PARKINSONS_DISEASE,"['NDUFB4', 'NDUFS8', 'CYC1', 'NDUFB9', 'NDUFS5', 'NDUFA9', 'NDUFS2', 'COX7C', 'NDUFA6', 'UQCRQ', 'NDUFS7', 'ATP5PO', 'UQCRB', 'NDUFB6', 'NDUFB2', 'NDUFC1', 'NDUFV1', 'COX6C', 'ATP5F1E', 'NDUFA8']",0.11494252873563218,0.0012246003467060165,131,20,174
42,84,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,"['HMBS', 'HCCS', 'COX15', 'EARS2']",0.022988505747126436,0.3651698029983111,41,4,174
43,84,KEGG_PURINE_METABOLISM,"['PNPT1', 'ADPRM']",0.011494252873563218,0.9999575371890048,159,2,174
44,84,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,"['PMVK', 'PDSS1', 'PDSS2']",0.017241379310344827,0.09523926703702108,15,3,174
45,84,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,"['LARS2', 'VARS2']",0.011494252873563218,0.19515739720519942,11,2,174
46,40,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,"['GPI', 'PMM2', 'MPI']",0.08823529411764706,0.02484596011623321,44,3,34
47,40,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,"['PMM2', 'MPI']",0.058823529411764705,0.08636026542688036,34,2,34
48,40,KEGG_N_GLYCAN_BIOSYNTHESIS,"['ALG6', 'ALG8', 'DOLPP1', 'ALG3', 'GANAB']",0.14705882352941177,0.0004308314494148718,46,5,34
49,77,KEGG_ADHERENS_JUNCTION,"['PTPN1', 'SMAD3']",0.01818181818181818,0.8679239679374366,73,2,110
50,77,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,"['RXRB', 'RXRG']",0.01818181818181818,0.8338776317962724,67,2,110
51,77,KEGG_APOPTOSIS,"['RIPK1', 'TP53']",0.01818181818181818,0.9240668891387802,87,2,110
52,77,KEGG_BASAL_CELL_CARCINOMA,"['WNT9A', 'TP53']",0.01818181818181818,0.7416960414952823,55,2,110
53,77,KEGG_BLADDER_CANCER,"['DAPK2', 'TP53', 'RAF1']",0.02727272727272727,0.3169164151399703,42,3,110
54,77,KEGG_CALCIUM_SIGNALING_PATHWAY,"['ADCY4', 'GNAS', 'ITPR1']",0.02727272727272727,0.9927041754979293,178,3,110
55,77,KEGG_CELL_CYCLE,"['TP53', 'SMAD3']",0.01818181818181818,0.9846860204272273,125,2,110
56,77,KEGG_CHEMOKINE_SIGNALING_PATHWAY,"['CSK', 'ADCY4', 'RAF1']",0.02727272727272727,0.9951919166603723,188,3,110
57,77,KEGG_CHRONIC_MYELOID_LEUKEMIA,"['TP53', 'SMAD3', 'RAF1']",0.02727272727272727,0.6782957813728971,73,3,110
58,77,KEGG_COLORECTAL_CANCER,"['TP53', 'SMAD3', 'RAF1']",0.02727272727272727,0.5664145324330369,62,3,110
59,77,KEGG_DILATED_CARDIOMYOPATHY,"['ADCY4', 'GNAS']",0.01818181818181818,0.9327587184418927,90,2,110
60,77,KEGG_ENDOMETRIAL_CANCER,"['TP53', 'RAF1']",0.01818181818181818,0.712760046687115,52,2,110
61,77,KEGG_GAP_JUNCTION,"['ADCY4', 'GNAS', 'ITPR1', 'RAF1']",0.03636363636363636,0.6214652364738352,90,4,110
62,77,KEGG_GLIOMA,"['TP53', 'RAF1']",0.01818181818181818,0.8208937606250621,65,2,110
63,77,KEGG_GNRH_SIGNALING_PATHWAY,"['ADCY4', 'GNAS', 'ITPR1', 'RAF1']",0.03636363636363636,0.711492630998952,101,4,110
64,77,KEGG_HEDGEHOG_SIGNALING_PATHWAY,"['WNT9A', 'BMP8A']",0.01818181818181818,0.7507786412544176,56,2,110
65,77,KEGG_HUNTINGTONS_DISEASE,"['ITPR1', 'TP53']",0.01818181818181818,0.9989028759257718,183,2,110
66,77,KEGG_INSULIN_SIGNALING_PATHWAY,"['PTPN1', 'RAF1']",0.01818181818181818,0.9909765158930648,137,2,110
67,77,KEGG_LONG_TERM_DEPRESSION,"['ITPR1', 'GNAS', 'RAF1']",0.02727272727272727,0.6500129357275906,70,3,110
68,77,KEGG_LONG_TERM_POTENTIATION,"['ITPR1', 'RAF1']",0.01818181818181818,0.8517793418998141,70,2,110
69,77,KEGG_LYSOSOME,"['GGA3', 'SMPD1']",0.01818181818181818,0.9817737169739392,121,2,110
70,77,KEGG_MAPK_SIGNALING_PATHWAY,"['TP53', 'RAF1']",0.01818181818181818,0.9999819472266723,267,2,110
71,77,KEGG_MELANOGENESIS,"['ADCY4', 'WNT9A', 'GNAS', 'RAF1']",0.03636363636363636,0.711492630998952,101,4,110
