,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,41,KEGG_CELL_CYCLE,"['MAD2L1', 'DBF4', 'CDC27']",0.05660377358490566,0.34766327160312577,125,3,53
1,41,KEGG_GAP_JUNCTION,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.18902222079927522,90,3,53
2,41,KEGG_LYSINE_DEGRADATION,"['KMT5A', 'SUV39H1']",0.03773584905660377,0.1665329217302849,44,2,53
3,41,KEGG_OOCYTE_MEIOSIS,"['MAD2L1', 'CDC27']",0.03773584905660377,0.5693767916645088,113,2,53
4,41,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.06561714133833146,56,3,53
5,41,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,"['MAD2L1', 'CDC27']",0.03773584905660377,0.4180852454414779,85,2,53
6,41,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,"['SAE1', 'CDC27']",0.03773584905660377,0.6675303848995436,135,2,53
7,0,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,"['FADS2', 'SCD', 'FADS1']",0.09090909090909091,0.001380043925408153,22,3,33
8,0,KEGG_BUTANOATE_METABOLISM,"['HMGCS1', 'ACAT2']",0.06060606060606061,0.04784142731821733,34,2,33
9,0,KEGG_FATTY_ACID_METABOLISM,"['ACSL3', 'ACAT2']",0.06060606060606061,0.06976305936590903,42,2,33
10,0,KEGG_PEROXISOME,"['MVK', 'ACSL3']",0.06060606060606061,0.19396068607295697,78,2,33
11,0,KEGG_PPAR_SIGNALING_PATHWAY,"['SCD', 'FADS2', 'DBI', 'ACSL3']",0.12121212121212122,0.005210013145109223,69,4,33
12,0,KEGG_STEROID_BIOSYNTHESIS,"['FDFT1', 'SQLE', 'CYP51A1', 'LSS', 'EBP', 'NSDHL', 'MSMO1', 'SC5D', 'DHCR24', 'DHCR7']",0.30303030303030304,6.114395602036755e-17,17,10,33
13,0,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,"['MVK', 'FDPS', 'IDI1', 'MVD', 'HMGCS1', 'ACAT2', 'HMGCR']",0.21212121212121213,4.06565513240771e-11,15,7,33
14,0,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,"['HMGCS1', 'ACAT2']",0.06060606060606061,0.07567934972108259,44,2,33
15,24,KEGG_ADHERENS_JUNCTION,"['ACTG1', 'IQGAP1']",0.03278688524590164,0.4122457117256852,73,2,61
16,24,KEGG_ALZHEIMERS_DISEASE,"['BAD', 'APAF1', 'CALM1', 'ATP2A3']",0.06557377049180328,0.40140140629091653,167,4,61
17,24,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,"['BAD', 'APAF1']",0.03278688524590164,0.27124436569537774,53,2,61
18,24,KEGG_APOPTOSIS,"['BAD', 'APAF1']",0.03278688524590164,0.5031153799155021,87,2,61
19,24,KEGG_AXON_GUIDANCE,"['CFL1', 'GNAI2']",0.03278688524590164,0.7178724334312045,129,2,61
20,24,KEGG_CALCIUM_SIGNALING_PATHWAY,"['CALM1', 'ATP2A3']",0.03278688524590164,0.8658784580694765,178,2,61
21,24,KEGG_CHEMOKINE_SIGNALING_PATHWAY,"['GRK2', 'GNB1', 'GNB2', 'GNAI2']",0.06557377049180328,0.4929591516169541,188,4,61
