,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size
0,18,KEGG_BASAL_TRANSCRIPTION_FACTORS,"['TAF11', 'TAF5L', 'TAF6L', 'TAF13']",0.08163265306122448,0.010227826095679968,35
1,21,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,"['VARS2', 'LARS2', 'PARS2', 'WARS2', 'TARS2']",0.08771929824561403,0.005872686282220964,41
2,21,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,"['LARS2', 'VARS2']",0.03508771929824561,0.03865971815871748,11
3,21,KEGG_CARDIAC_MUSCLE_CONTRACTION,"['CYC1', 'UQCRQ', 'UQCRB', 'COX6C', 'COX4I1', 'COX5A']",0.10526315789473684,0.024959994105035854,79
4,24,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,"['PPCDC', 'PPCS']",0.6666666666666666,0.00018681389650066838,16
5,24,KEGG_CITRATE_CYCLE_TCA_CYCLE,['ACLY'],0.3333333333333333,0.04823269437915791,32
6,25,KEGG_PYRUVATE_METABOLISM,"['PDHA1', 'PDHB', 'MDH2', 'DLAT']",0.5,9.854337284438466e-06,40
7,25,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,"['PDHA1', 'PDHB']",0.25,0.0007883195623970335,11
8,25,KEGG_BUTANOATE_METABOLISM,"['PDHA1', 'PDHB']",0.25,0.007670333915139964,34
9,25,KEGG_CITRATE_CYCLE_TCA_CYCLE,"['DLAT', 'PDHB', 'PDHA1', 'ACLY', 'CS', 'MDH2']",0.75,3.1831941434142865e-10,32
10,25,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,"['PDHA1', 'PDHB', 'DLAT']",0.375,0.0015102521546478986,62
11,25,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,"['CS', 'MDH2']",0.25,0.0017024399431281804,16
12,29,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,"['PLCG1', 'VAV1', 'LAT']",0.2727272727272727,0.014124097287370716,96
