,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr
126,-1,KEGG_P53_SIGNALING_PATHWAY,"['CASP8', 'RRM2', 'CYCS', 'BBC3']",0.04081632653061224,0.07071142341071918,68,4,98,0.9965150726943937
133,-1,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,"['RAB5B', 'VAMP2']",0.02040816326530612,0.2697238787669622,44,2,98,0.9965150726943937
129,-1,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,"['CCNA2', 'PLK1', 'HSP90AA1']",0.030612244897959183,0.31230192049842626,85,3,98,0.9965150726943937
132,-1,KEGG_SPLICEOSOME,"['DHX15', 'SNRNP40', 'ALYREF', 'SRSF2']",0.04081632653061224,0.3363629117630653,127,4,98,0.9965150726943937
127,-1,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,"['TUBB', 'TUBA1B']",0.02040816326530612,0.37203739984252937,56,2,98,0.9965150726943937
131,-1,KEGG_RNA_DEGRADATION,"['HSPD1', 'EXOSC8']",0.02040816326530612,0.39685466453950297,59,2,98,0.9965150726943937
125,-1,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,"['CASP8', 'HSP90AA1']",0.02040816326530612,0.4212236623244327,62,2,98,0.9965150726943937
134,-1,KEGG_VIRAL_MYOCARDITIS,"['CASP8', 'CYCS']",0.02040816326530612,0.4836416707669797,70,2,98,0.9965150726943937
130,-1,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,"['CASP8', 'TANK']",0.02040816326530612,0.49115578780573055,71,2,98,0.9965150726943937
121,-1,KEGG_CELL_CYCLE,"['CCNA2', 'PLK1', 'TFDP1']",0.030612244897959183,0.5555232653442534,125,3,98,0.9965150726943937
120,-1,KEGG_APOPTOSIS,"['CASP8', 'CYCS']",0.02040816326530612,0.6017198638577907,87,2,98,0.9965150726943937
123,-1,KEGG_GAP_JUNCTION,"['TUBB', 'TUBA1B']",0.02040816326530612,0.6203532669397913,90,2,98,0.9965150726943937
124,-1,KEGG_HUNTINGTONS_DISEASE,"['CASP8', 'CYCS', 'BBC3']",0.030612244897959183,0.8021928138195451,183,3,98,0.9965150726943937
119,-1,KEGG_ALZHEIMERS_DISEASE,"['CASP8', 'CYCS']",0.02040816326530612,0.904187775448735,167,2,98,0.9965150726943937
122,-1,KEGG_ENDOCYTOSIS,"['CHMP1B', 'RAB5B']",0.02040816326530612,0.9270520065999187,181,2,98,0.9965150726943937
128,-1,KEGG_PATHWAYS_IN_CANCER,"['CASP8', 'STAT3', 'HSP90AA1', 'CYCS']",0.04081632653061224,0.9492941483436597,325,4,98,0.9965150726943937
290,0,KEGG_GLUTATHIONE_METABOLISM,"['GSS', 'RRM2']",0.02040816326530612,0.32132162215238613,50,2,98,0.9965150726943937
291,0,KEGG_HEMATOPOIETIC_CELL_LINEAGE,"['CD44', 'CD3G']",0.02040816326530612,0.6017198638577907,87,2,98,0.9965150726943937
294,0,KEGG_PYRIMIDINE_METABOLISM,"['ENTPD5', 'RRM2']",0.02040816326530612,0.6667872856959874,98,2,98,0.9965150726943937
292,0,KEGG_LYSOSOME,"['AP4S1', 'PPT1']",0.02040816326530612,0.7752971383809468,121,2,98,0.9965150726943937
293,0,KEGG_PURINE_METABOLISM,"['ENTPD5', 'RRM2']",0.02040816326530612,0.8883133569147309,159,2,98,0.9965150726943937
1857,1,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,"['PYCARD', 'CXCL10']",0.02040816326530612,0.36367595152922716,55,2,98,0.9965150726943937
1865,1,KEGG_RNA_DEGRADATION,"['CNOT9', 'CNOT1']",0.02040816326530612,0.39685466453950297,59,2,98,0.9965150726943937
1861,1,KEGG_LONG_TERM_POTENTIATION,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.4836416707669797,70,2,98,0.9965150726943937
1862,1,KEGG_OOCYTE_MEIOSIS,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.7415438734454146,113,2,98,0.9965150726943937
1866,1,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.7503621951755575,115,2,98,0.9965150726943937
1859,1,KEGG_HUNTINGTONS_DISEASE,"['DNAL1', 'DNAL4', 'IFT57']",0.030612244897959183,0.8021928138195451,183,3,98,0.9965150726943937
1860,1,KEGG_INSULIN_SIGNALING_PATHWAY,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.8315199033062286,137,2,98,0.9965150726943937
1863,1,KEGG_PURINE_METABOLISM,"['NME7', 'ATIC']",0.02040816326530612,0.8883133569147309,159,2,98,0.9965150726943937
1856,1,KEGG_CHEMOKINE_SIGNALING_PATHWAY,"['GNB5', 'CXCL10']",0.02040816326530612,0.9364717917903896,188,2,98,0.9965150726943937
1858,1,KEGG_FOCAL_ADHESION,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.9490023947296687,199,2,98,0.9965150726943937
1864,1,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,"['PPP1CA', 'PPP1CC']",0.02040816326530612,0.9615975699513579,213,2,98,0.9965150726943937
342,2,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,"['HS2ST1', 'HS3ST3B1']",0.02040816326530612,0.11979141651186968,26,2,98,0.9965150726943937
344,2,KEGG_MTOR_SIGNALING_PATHWAY,"['CAB39L', 'EIF4E']",0.02040816326530612,0.3383610198314352,52,2,98,0.9965150726943937
350,2,KEGG_STEROID_HORMONE_BIOSYNTHESIS,"['HSD17B8', 'HSD17B6']",0.02040816326530612,0.36367595152922716,55,2,98,0.9965150726943937
