,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,"['NARS2', 'FARSA']",0.00796812749003984,0.7227529697206158,41,2,251
1,21,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,"['CYCS', 'TOMM40']",0.00796812749003984,0.8426571572973176,53,2,251
2,21,KEGG_ARGININE_AND_PROLINE_METABOLISM,"['ODC1', 'PYCR1', 'ALDH18A1', 'SRM']",0.01593625498007968,0.41881228902958995,54,4,251
3,21,KEGG_BLADDER_CANCER,"['CDK4', 'MYC', 'CXCL8']",0.01195219123505976,0.47545514539385453,42,3,251
4,21,KEGG_CELL_CYCLE,"['MCM2', 'MCM7', 'MYC', 'E2F4', 'CDK4']",0.0199203187250996,0.8869367640958085,125,5,251
5,21,KEGG_CHRONIC_MYELOID_LEUKEMIA,"['CDK4', 'MYC']",0.00796812749003984,0.9429273453322109,73,2,251
6,21,KEGG_COLORECTAL_CANCER,"['MYC', 'CYCS']",0.00796812749003984,0.8994104569976257,62,2,251
7,21,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,"['AHCY', 'SRM']",0.00796812749003984,0.6221972454181227,34,2,251
8,21,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,"['POLR3H', 'POLR3K']",0.00796812749003984,0.8573392882372719,55,2,251
9,21,KEGG_DNA_REPLICATION,"['MCM2', 'MCM7', 'PRIM1', 'RFC3']",0.01593625498007968,0.17290240097607867,36,4,251
10,21,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,"['UCK2', 'IMPDH2']",0.00796812749003984,0.8266230657615474,51,2,251
11,21,KEGG_GLUTATHIONE_METABOLISM,"['ODC1', 'SRM']",0.00796812749003984,0.8180688153327595,50,2,251
12,21,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,"['PGAM1', 'HK2']",0.00796812749003984,0.8994104569976257,62,2,251
13,21,KEGG_HUNTINGTONS_DISEASE,"['POLR2H', 'POLR2K', 'CYCS', 'TFAM']",0.01593625498007968,0.9968563831884446,183,4,251
14,21,KEGG_INSULIN_SIGNALING_PATHWAY,"['PPP1CC', 'HK2', 'EIF4E']",0.01195219123505976,0.9917592173605299,137,3,251
15,21,KEGG_LYSINE_DEGRADATION,"['SUV39H2', 'DOT1L']",0.00796812749003984,0.7584462771232211,44,2,251
16,21,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,"['HSP90AB1', 'CXCL8']",0.00796812749003984,0.8994104569976257,62,2,251
17,21,KEGG_P53_SIGNALING_PATHWAY,"['CDK4', 'CYCS']",0.00796812749003984,0.9259794541089835,68,2,251
18,21,KEGG_PATHWAYS_IN_CANCER,"['CYCS', 'MYC', 'CXCL8', 'CDK4', 'HSP90AB1']",0.0199203187250996,0.9999923149927857,325,5,251
19,21,KEGG_PROTEASOME,"['PSMB5', 'PSMA2']",0.00796812749003984,0.7799830938223875,46,2,251
20,21,KEGG_PURINE_METABOLISM,"['PAICS', 'GART', 'NME1', 'POLR3H', 'PPAT', 'POLR3K', 'IMPDH2', 'POLR2H', 'PRIM1', 'POLR2K']",0.0398406374501992,0.5051261683225428,159,10,251
21,21,KEGG_PYRIMIDINE_METABOLISM,"['NME1', 'POLR3H', 'DTYMK', 'CTPS1', 'UCK2', 'POLR3K', 'POLR2H', 'PRIM1', 'POLR2K']",0.035856573705179286,0.13979910330786838,98,9,251
22,21,KEGG_RNA_DEGRADATION,"['HSPA9', 'EXOSC8', 'EXOSC2', 'HSPD1']",0.01593625498007968,0.4874454943271303,59,4,251
23,21,KEGG_RNA_POLYMERASE,"['POLR2H', 'POLR3K', 'POLR2K', 'POLR3H']",0.01593625498007968,0.09618282527792457,29,4,251
24,21,KEGG_SMALL_CELL_LUNG_CANCER,"['CDK4', 'MYC', 'CYCS']",0.01195219123505976,0.8943906161610621,84,3,251
25,21,KEGG_SPLICEOSOME,"['PRPF4', 'PRPF19', 'SRSF2', 'SNRPE', 'SF3A3', 'PPIL1', 'RBM17', 'SNU13', 'EFTUD2']",0.035856573705179286,0.3674956586505201,127,9,251
26,21,KEGG_TGF_BETA_SIGNALING_PATHWAY,"['E2F4', 'MYC']",0.00796812749003984,0.9714336504586419,86,2,251
27,21,KEGG_VIRAL_MYOCARDITIS,"['EIF4G1', 'CYCS']",0.00796812749003984,0.9332608563776903,70,2,251
28,21,KEGG_WNT_SIGNALING_PATHWAY,"['MYC', 'RUVBL1']",0.00796812749003984,0.9992884903260784,151,2,251
29,35,KEGG_BASE_EXCISION_REPAIR,"['POLD1', 'PCNA', 'POLE3']",0.019230769230769232,0.1445428992322329,35,3,156
30,35,KEGG_BUTANOATE_METABOLISM,"['ALDH3A2', 'BDH1']",0.01282051282051282,0.37045691097725575,34,2,156
31,35,KEGG_CELL_CYCLE,"['PCNA', 'CDK2']",0.01282051282051282,0.9545329530263327,125,2,156
32,35,KEGG_CHEMOKINE_SIGNALING_PATHWAY,"['GRK3', 'ARRB1']",0.01282051282051282,0.9947578144021577,188,2,156
33,35,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,"['DNMT3A', 'ENOPH1']",0.01282051282051282,0.37045691097725575,34,2,156
34,35,KEGG_DNA_REPLICATION,"['POLD1', 'PCNA', 'PRIM1', 'POLE3']",0.02564102564102564,0.045302758783522634,36,4,156
35,35,KEGG_ENDOCYTOSIS,"['GRK3', 'ARRB1']",0.01282051282051282,0.993285353402879,181,2,156
36,35,KEGG_GLYCEROLIPID_METABOLISM,"['ALDH3A2', 'LCLAT1']",0.01282051282051282,0.5589952530080823,49,2,156
37,35,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,"['PLA2G12A', 'LCLAT1']",0.01282051282051282,0.7959265477403343,77,2,156
