,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,KEGG_ADHERENS_JUNCTION,"['SMAD3', 'RAC2']",0.00796812749003984,0.8950758872933655,73,2,251
1,21,KEGG_ALZHEIMERS_DISEASE,"['PLCB2', 'ATP2A3', 'CAPN2', 'CASP8', 'CAPN1']",0.0199203187250996,0.9359139060879769,167,5,251
2,21,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,"['CTSS', 'B2M', 'PSME1', 'TAPBP']",0.01593625498007968,0.6671634192615625,88,4,251
3,21,KEGG_APOPTOSIS,"['PRKACB', 'CASP10', 'TRADD', 'CAPN2', 'CASP8', 'CAPN1']",0.02390438247011952,0.2854312775824698,87,6,251
4,21,KEGG_AXON_GUIDANCE,"['RAC2', 'FES', 'CXCR4']",0.01195219123505976,0.9652244247667832,129,3,251
5,21,KEGG_BLADDER_CANCER,"['TYMP', 'CDKN1A']",0.00796812749003984,0.6416507662078469,42,2,251
6,21,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,"['SOS1', 'RAC2']",0.00796812749003984,0.9035937770578312,75,2,251
7,21,KEGG_CALCIUM_SIGNALING_PATHWAY,"['PLCB2', 'ATP2A3', 'PRKACB', 'ATP2B4']",0.01593625498007968,0.9839012137779721,178,4,251
8,21,KEGG_CELL_ADHESION_MOLECULES_CAMS,"['PTPRC', 'SELPLG', 'ITGAL', 'ITGB7']",0.01593625498007968,0.9161733305846864,133,4,251
9,21,KEGG_CELL_CYCLE,"['CDKN1A', 'CDC14A', 'YWHAZ', 'RBL2', 'SMAD3']",0.0199203187250996,0.7753870331973921,125,5,251
10,21,KEGG_CHEMOKINE_SIGNALING_PATHWAY,"['CXCR4', 'PRKACB', 'STAT2', 'PLCB2', 'SOS1', 'STAT1', 'JAK3', 'RAC2']",0.03187250996015936,0.7556515202684804,188,8,251
11,21,KEGG_CHRONIC_MYELOID_LEUKEMIA,"['SOS1', 'SMAD3', 'CDKN1A']",0.01195219123505976,0.7302466523078605,73,3,251
12,21,KEGG_COLORECTAL_CANCER,"['SMAD3', 'RAC2']",0.00796812749003984,0.834501169695259,62,2,251
13,21,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,"['FLT3LG', 'LTB', 'TNFSF12', 'IL2RG', 'CXCR4', 'IL10RB', 'IL10RA']",0.027888446215139442,0.9851156883218648,264,7,251
14,21,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,"['RIGI', 'PYCARD', 'ADAR', 'IKBKE', 'IRF7']",0.0199203187250996,0.14851647458325923,55,5,251
15,21,KEGG_DILATED_CARDIOMYOPATHY,"['PRKACB', 'ITGB7']",0.00796812749003984,0.9496609485126899,90,2,251
16,21,KEGG_ENDOCYTOSIS,"['RAB5B', 'IL2RG', 'SH3GLB1', 'IQSEC1', 'ACAP1', 'SH3KBP1', 'CXCR4']",0.027888446215139442,0.828194276028254,181,7,251
17,21,KEGG_ENDOMETRIAL_CANCER,"['ILK', 'SOS1']",0.00796812749003984,0.7538544297365315,52,2,251
18,21,KEGG_ERBB_SIGNALING_PATHWAY,"['SOS1', 'CDKN1A']",0.00796812749003984,0.9425647786646026,87,2,251
19,21,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,"['SOS1', 'RAC2']",0.00796812749003984,0.9187320769721257,79,2,251
20,21,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,"['PTPRC', 'RAC2', 'ARPC1B']",0.01195219123505976,0.8769680336409229,96,3,251
21,21,KEGG_FOCAL_ADHESION,"['ILK', 'PARVG', 'ITGB7', 'MYL12A', 'SOS1', 'CAPN2', 'RAC2']",0.027888446215139442,0.8922628105980058,199,7,251
