,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr
155,-1,KEGG_THYROID_CANCER,"['MYC', 'CCDC6', 'TP53', 'TPR']",0.009876543209876543,0.9054038523985732,29,4,405,1.0
145,-1,KEGG_PROTEIN_EXPORT,"['IMMP1L', 'IMMP2L']",0.0049382716049382715,0.9794079787157166,24,2,405,1.0
93,-1,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,"['CYCS', 'CCS', 'MAPK14', 'TP53', 'MAP3K5', 'APAF1']",0.014814814814814815,0.9851151043797026,53,6,405,1.0
152,-1,KEGG_SMALL_CELL_LUNG_CANCER,"['CYCS', 'NFKB1', 'E2F1', 'MYC', 'MAX', 'TP53', 'RELA', 'PTEN', 'TRAF3', 'TRAF6', 'APAF1']",0.027160493827160494,0.9865109502658634,84,11,405,1.0
91,-1,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,"['PPAT', 'GPT2']",0.0049382716049382715,0.9963782853495641,32,2,405,1.0
149,-1,KEGG_RENAL_CELL_CARCINOMA,"['ELOB', 'CREBBP', 'VHL', 'EP300', 'PAK2', 'FLCN', 'EGLN1']",0.01728395061728395,0.997382439254552,70,7,405,1.0
97,-1,KEGG_BLADDER_CANCER,"['TP53', 'MYC', 'E2F1']",0.007407407407407408,0.9975725574985412,42,3,405,1.0
114,-1,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,"['ALDOA', 'MPI']",0.0049382716049382715,0.9976791361825468,34,2,405,1.0
96,-1,KEGG_BASAL_TRANSCRIPTION_FACTORS,"['TAF11', 'TAF13']",0.0049382716049382715,0.9981445606798177,35,2,405,1.0
128,-1,KEGG_LYSINE_DEGRADATION,"['NSD2', 'KMT5B', 'SETD2']",0.007407407407407408,0.9983974843070891,44,3,405,1.0
89,-1,KEGG_ADHERENS_JUNCTION,"['SMAD4', 'CSNK2A1', 'PTPN1', 'CREBBP', 'ACTB', 'EP300', 'WASF2']",0.01728395061728395,0.9984341100888613,73,7,405,1.0
102,-1,KEGG_CHRONIC_MYELOID_LEUKEMIA,"['SMAD4', 'NFKB1', 'E2F1', 'MYC', 'TP53', 'RELA', 'CBLB']",0.01728395061728395,0.9984341100888613,73,7,405,1.0
108,-1,KEGG_ENDOMETRIAL_CANCER,"['MYC', 'PTEN', 'TP53', 'APC']",0.009876543209876543,0.9984863817469064,52,4,405,1.0
144,-1,KEGG_PROSTATE_CANCER,"['NFKB1', 'FOXO1', 'E2F1', 'CREBBP', 'EP300', 'ATF4', 'TP53', 'RELA', 'PTEN']",0.022222222222222223,0.9990159720668392,89,9,405,1.0
103,-1,KEGG_COLORECTAL_CANCER,"['CYCS', 'SMAD4', 'APC', 'MYC', 'TP53']",0.012345679012345678,0.9990874988486751,62,5,405,1.0
147,-1,KEGG_PYRUVATE_METABOLISM,"['ME3', 'PKM']",0.0049382716049382715,0.9994011486403016,40,2,405,1.0
134,-1,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,"['MAPK14', 'TRAF6', 'RELA', 'NFKB1']",0.009876543209876543,0.9997996757770358,62,4,405,1.0
139,-1,KEGG_PANCREATIC_CANCER,"['SMAD4', 'NFKB1', 'E2F1', 'TP53', 'RELA']",0.012345679012345678,0.9998079403053706,70,5,405,1.0
150,-1,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,"['NFKB1', 'MAPK14', 'RELA', 'TRAF3', 'TRAF6']",0.012345679012345678,0.9998426133133848,71,5,405,1.0
154,-1,KEGG_TGF_BETA_SIGNALING_PATHWAY,"['ID2', 'SMAD4', 'SP1', 'CREBBP', 'EP300', 'MYC', 'PPP2R1A']",0.01728395061728395,0.9998495153807416,86,7,405,1.0
136,-1,KEGG_NOTCH_SIGNALING_PATHWAY,"['CREBBP', 'EP300']",0.0049382716049382715,0.9998804672121173,47,2,405,1.0
158,-1,KEGG_TYPE_II_DIABETES_MELLITUS,"['PKM', 'SOCS3']",0.0049382716049382715,0.9998804672121173,47,2,405,1.0
88,-1,KEGG_ACUTE_MYELOID_LEUKEMIA,"['MYC', 'RELA', 'NFKB1']",0.007407407407407408,0.9999015411949649,57,3,405,1.0
109,-1,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,"['CSK', 'MAPK14', 'RELA', 'NFKB1']",0.009876543209876543,0.999942970523841,68,4,405,1.0
138,-1,KEGG_P53_SIGNALING_PATHWAY,"['CYCS', 'PTEN', 'TP53', 'APAF1']",0.009876543209876543,0.999942970523841,68,4,405,1.0
132,-1,KEGG_MTOR_SIGNALING_PATHWAY,"['MLST8', 'RHEB']",0.0049382716049382715,0.9999628219961799,52,2,405,1.0
117,-1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,"['PGK1', 'ALDOA', 'PKM']",0.007407407407407408,0.9999674658384102,62,3,405,1.0
124,-1,KEGG_LEISHMANIA_INFECTION,"['MAPK14', 'TRAF6', 'RELA', 'NFKB1']",0.009876543209876543,0.9999756938226064,72,4,405,1.0
121,-1,KEGG_INOSITOL_PHOSPHATE_METABOLISM,"['PTEN', 'ITPK1']",0.0049382716049382715,0.9999767779323653,54,2,405,1.0
135,-1,KEGG_NON_SMALL_CELL_LUNG_CANCER,"['TP53', 'E2F1']",0.0049382716049382715,0.9999767779323653,54,2,405,1.0
95,-1,KEGG_BASAL_CELL_CARCINOMA,"['TP53', 'APC']",0.0049382716049382715,0.9999816597278296,55,2,405,1.0
105,-1,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,"['RELA', 'NFKB1']",0.0049382716049382715,0.9999816597278296,55,2,405,1.0
115,-1,KEGG_GLIOMA,"['TP53', 'PTEN', 'E2F1']",0.007407407407407408,0.9999833861964043,65,3,405,1.0
160,-1,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,"['FBXW7', 'KEAP1', 'UBA2', 'ELOB', 'UBE2E1', 'VHL', 'SOCS3', 'UBR5', 'UBE2G2', 'TRAF6', 'CBLB', 'UBE2H']",0.02962962962962963,0.9999887499146757,135,12,405,1.0
90,-1,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,"['RELA', 'SOCS3', 'NFKB1']",0.007407407407407408,0.9999894171482363,67,3,405,1.0
151,-1,KEGG_RNA_DEGRADATION,"['CNOT4', 'XRN1']",0.0049382716049382715,0.9999928959268902,59,2,405,1.0
