,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
0,21,-0.15095578747496308,0.7154927903298094,0.16599008492892786,1.0,0.0,0.0,135,1.0,0.0,0.0
1,35,0.5100315106200543,0.5487294124275555,0.2673478436752733,0.0,0.0,0.0,37,0.0,0.0,0.0
2,33,0.41900135259067683,0.49416568762126867,0.13267613930974495,0.0,0.0,0.0,13,0.0,0.0,0.0
3,58,0.224505526026773,0.2357878253579601,0.7409530084360672,0.0,0.0,0.0,174,0.0,0.0,0.0
4,41,0.2351807488858033,0.43757482158971983,-0.1538626414202211,0.0,0.0,1.0,52,0.0,0.0,1.0
5,77,0.010534401213097646,-0.023264489461170757,0.8383520363644198,0.33953395339533954,0.8138813881388138,0.0,84,0.9999284182441683,0.9994202330074721,0.0
6,-1,0.4363798876035656,0.26483918754868385,0.4227279372341494,0.0,0.0,0.0,405,0.0,0.0,0.0
7,16,0.2567987718849757,0.29197357902704435,0.29419993674730777,0.0044004400440044,0.0,0.0,2,0.16541123260131468,0.0,0.0
8,99,-0.054917797236589926,0.05345080306471844,0.6988129309485407,1.0,0.0,0.0,195,1.0,0.0,0.0
9,60,0.5185441741379839,0.831137584893861,0.09854460770402775,0.0,0.0,0.00010001000100010001,50,0.0,0.0,0.005485723293347646
10,15,0.30998908301752237,0.6212666168574958,0.6360961159853711,0.0,0.0,0.0,88,0.0,0.0,0.0
11,88,0.5662893451800742,0.6501762909585215,-0.09135300075845285,0.0,0.0,1.0,99,0.0,0.0,1.0
12,68,0.27337167455410916,0.6559386363236794,0.06176437667113783,0.0,0.0,0.0848084808480848,22,0.0,0.0,0.971127826501198
13,97,0.5845891588320606,0.6208848935616555,0.16255782643069355,0.0,0.0,0.10641064106410641,8,0.0,0.0,0.9844365608119601
14,0,0.0982612346512266,0.3058625502181351,0.27421734320428043,0.011301130113011301,0.0,0.0,7,0.3432964007788185,0.0,0.0
15,43,0.2867419161757804,0.3467553382589431,0.45410913699297495,0.0537053705370537,0.013101310131013101,0.0,2,0.8290598775843395,0.37796817114381165,0.0
16,2,0.17920820643373744,0.3191351841785076,0.24487121170988396,0.00010001000100010001,0.0,0.0,11,0.005187279479181324,0.0,0.0
17,54,0.7522732940511848,0.6735899739770179,-0.045125908405577175,0.0,0.0,0.9221922192219222,43,0.0,0.0,0.9999999999230206
18,106,0.7532290445606021,0.03569803121026852,-0.03368994623008807,0.0,0.015101510151015102,0.9771977197719772,70,0.0,0.4129142974678623,0.9999999999230206
19,8,0.3802036451067183,0.5454805520907132,0.33504734386075236,0.0,0.0,0.0,7,0.0,0.0,0.0
20,30,0.7875804669800692,0.6375909673418202,0.08248018317697285,0.0,0.0,0.0,87,0.0,0.0,0.0
21,10,0.25917558696421594,0.4897758219490515,0.20698672894897913,0.0,0.0,0.0,42,0.0,0.0,0.0
22,24,-0.027634263918364408,0.4889594190935512,-0.006415900362079816,0.5964596459645964,0.0,0.5273527352735273,7,0.9999475953762901,0.0,0.9999999766552421
