,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,37,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,"['ADRM1', 'ABCC1']",0.016129032258064516,0.9581608852154411,90,2,124
1,37,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,"['BCL10', 'ADRM1', 'MALT1']",0.024193548387096774,0.5540518596781645,54,3,124
2,37,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,"['CD3D', 'PLCG1', 'PTPRC', 'ADRM1', 'RNF19B', 'LAT', 'ITK', 'PPP3R1', 'MALT1', 'FBXW2', 'SYK', 'CD3E', 'LCK', 'CD3G', 'LCP2', 'CD28', 'ZAP70', 'CD247', 'ORAI1', 'UBE2E2', 'ORAI2', 'WAS', 'BCL10', 'VAV1']",0.1935483870967742,0.999978273478957,824,24,124
3,37,REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,"['SLC3A2', 'SLC7A6']",0.016129032258064516,0.5304313242634929,33,2,124
4,37,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,"['ORAI1', 'ORAI2', 'VAV1', 'SYK']",0.03225806451612903,0.6804011296514121,86,4,124
5,37,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,"['RNF19B', 'ADRM1', 'UBE2E2', 'FBXW2']",0.03225806451612903,0.9999567684784533,295,4,124
6,37,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,"['KPNA4', 'PLCG1']",0.016129032258064516,0.9979903340920254,151,2,124
7,37,REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,"['PLCG1', 'CD3G', 'SYK', 'CD247']",0.03225806451612903,0.9324090541342842,133,4,124
8,37,REACTOME_APOPTOSIS,"['ADRM1', 'PPP3R1']",0.016129032258064516,0.9990851195053535,166,2,124
9,37,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,"['COG6', 'MCFD2', 'TMED9']",0.024193548387096774,0.9999974510019162,312,3,124
