,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,41,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.08346487306811762,29,2,53
1,41,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,"['MAD2L1', 'CDC27']",0.03773584905660377,0.29000552891578113,64,2,53
2,41,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.4696749730983713,94,2,53
3,41,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,"['TUBA4A', 'CDC27', 'TUBA1B']",0.05660377358490566,0.9999797497542252,824,3,53
4,41,REACTOME_AGGREPHAGY,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.1665329217302849,44,2,53
5,41,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,"['CENPJ', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.09433962264150944,0.021664169075979817,97,5,53
6,41,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.7272722488672995,151,2,53
7,41,REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,"['MAD2L1', 'CDC27']",0.03773584905660377,0.06894344952123288,26,2,53
8,41,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,"['MAD2L1', 'CDC27']",0.03773584905660377,0.35812204347959853,75,2,53
9,41,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9727893558796196,312,2,53
10,41,REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.1665329217302849,44,2,53
11,41,REACTOME_AURKA_ACTIVATION_BY_TPX2,"['CENPJ', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.09433962264150944,0.006437327649014874,72,5,53
12,41,REACTOME_AUTOPHAGY,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.7536713710480107,159,2,53
13,41,REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.1785124595233148,46,2,53
14,41,REACTOME_CDC42_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.7407507860722906,155,2,53
15,41,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,"['TUBA4A', 'CDC27', 'TUBA1B']",0.05660377358490566,0.9999971078264036,920,3,53
16,41,REACTOME_CELL_CYCLE,"['CENPW', 'CENPJ', 'DBF4', 'CENPN', 'MAD2L1', 'ODF2', 'CDC27', 'OIP5', 'PLK4', 'CDCA5', 'TUBB', 'TUBA4A', 'CENPL', 'TICRR', 'SKA1', 'CENPO', 'SPDL1', 'TUBA1B', 'ERCC6L', 'NCAPH', 'CENPI', 'NCAPG', 'LBR', 'SMC2', 'KMT5A']",0.4716981132075472,2.543221074138431e-05,683,25,53
17,41,REACTOME_CELL_CYCLE_CHECKPOINTS,"['CENPI', 'SKA1', 'CENPO', 'CENPN', 'SPDL1', 'MAD2L1', 'DBF4', 'ERCC6L', 'CDC27', 'CENPL']",0.18867924528301888,0.01485791642176012,278,10,53
18,41,REACTOME_CELL_CYCLE_MITOTIC,"['CENPJ', 'DBF4', 'CENPN', 'MAD2L1', 'ODF2', 'CDC27', 'PLK4', 'CDCA5', 'TUBB', 'TUBA4A', 'CENPL', 'TICRR', 'SKA1', 'CENPO', 'SPDL1', 'TUBA1B', 'ERCC6L', 'NCAPH', 'CENPI', 'NCAPG', 'LBR', 'SMC2', 'KMT5A']",0.4339622641509434,7.506027442086765e-06,552,23,53
19,41,REACTOME_CHROMATIN_ORGANIZATION,"['SUV39H1', 'KMT5A', 'SAP30']",0.05660377358490566,0.8713495388734417,287,3,53
20,41,REACTOME_CHROMOSOME_MAINTENANCE,"['CENPI', 'CENPW', 'CENPO', 'CENPN', 'OIP5', 'CENPL']",0.11320754716981132,0.026735655369548198,139,6,53
21,41,REACTOME_CILIUM_ASSEMBLY,"['CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.11320754716981132,0.11560751479219634,201,6,53
22,41,REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,0.0006607981658319425,11,3,53
23,41,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,"['SMC2', 'KMT5A']",0.03773584905660377,0.34586540646652747,73,2,53
24,41,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.10411582867484344,33,2,53
25,41,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.5025844548983837,100,2,53
26,41,REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.2213541721295528,53,2,53
27,41,REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.5132705350510465,102,2,53
28,41,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9999953281028661,785,2,53
29,41,REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,"['CENPI', 'CENPW', 'CENPO', 'CENPN', 'OIP5', 'CENPL']",0.11320754716981132,0.0010926512048628257,72,6,53
30,41,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,"['POLQ', 'GEN1']",0.03773584905660377,0.786441334631354,170,2,53
31,41,REACTOME_DNA_REPAIR,"['POLQ', 'GEN1', 'FANCI', 'UBE2T']",0.07547169811320754,0.8211210096108569,332,4,53
32,41,REACTOME_DNA_REPLICATION,"['DBF4', 'CDC27']",0.03773584905660377,0.8226877332804692,184,2,53
33,41,REACTOME_DNA_REPLICATION_PRE_INITIATION,"['DBF4', 'CDC27']",0.03773584905660377,0.7203196090385744,149,2,53
34,41,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,"['PHF19', 'SUV39H1', 'SAP30']",0.05660377358490566,0.9116917756743818,317,3,53
35,41,REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.7440327097467019,156,2,53
36,41,REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.786441334631354,170,2,53
37,41,REACTOME_FANCONI_ANEMIA_PATHWAY,"['UBE2T', 'FANCI']",0.03773584905660377,0.1373203522349459,39,2,53
38,41,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.06894344952123288,26,2,53
39,41,REACTOME_GAP_JUNCTION_ASSEMBLY,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.1316289936975542,38,2,53
40,41,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.20899863821716447,51,2,53
41,41,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.6634769801979337,134,2,53
42,41,REACTOME_HCMV_EARLY_EVENTS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.6794612642792219,138,2,53
43,41,REACTOME_HCMV_INFECTION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.7630039763848975,162,2,53
44,41,REACTOME_HEDGEHOG_OFF_STATE,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.5025844548983837,100,2,53
45,41,REACTOME_HEMOSTASIS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9999599586173653,679,2,53
46,41,REACTOME_HOMOLOGY_DIRECTED_REPAIR,"['POLQ', 'GEN1']",0.03773584905660377,0.6872253664872536,140,2,53
47,41,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.24623888124329552,57,2,53
48,41,REACTOME_INFECTIOUS_DISEASE,"['TUBB', 'TUBA1B', 'TUBA4A', 'SAP30']",0.07547169811320754,0.9999990093137956,1071,4,53
49,41,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,"['MAD2L1', 'CDC27']",0.03773584905660377,0.046952974722982925,21,2,53
50,41,REACTOME_INNATE_IMMUNE_SYSTEM,"['TUBB', 'GGH']",0.03773584905660377,0.9999999973361781,1114,2,53
51,41,REACTOME_INTERFERON_SIGNALING,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9554220357652641,280,2,53
52,41,REACTOME_INTRAFLAGELLAR_TRANSPORT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.22755692900802862,54,2,53
53,41,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.8632135464660992,203,2,53
54,41,REACTOME_KINESINS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.27124436569537774,61,2,53
55,41,REACTOME_L1CAM_INTERACTIONS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.6072554183030264,121,2,53
56,41,REACTOME_MEMBRANE_TRAFFICKING,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9998960987696124,630,2,53
57,41,REACTOME_METABOLISM_OF_NUCLEOTIDES,"['NUDT1', 'RRM1']",0.03773584905660377,0.4862865446428605,97,2,53
58,41,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.629658595757691,126,2,53
59,41,REACTOME_MITOTIC_G2_G2_M_PHASES,"['TICRR', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.1320754716981132,0.03936692000262605,193,7,53
60,41,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,"['CENPI', 'SKA1', 'CENPO', 'LBR', 'CENPN', 'SPDL1', 'MAD2L1', 'TUBA1B', 'TUBA4A', 'CDCA5', 'ERCC6L', 'CDC27', 'CENPL']",0.24528301886792453,4.842987202691361e-05,223,13,53
61,41,REACTOME_MITOTIC_PROMETAPHASE,"['CENPI', 'NCAPG', 'SKA1', 'CENPO', 'CENPJ', 'SMC2', 'CENPN', 'SPDL1', 'MAD2L1', 'ODF2', 'TUBA1B', 'NCAPH', 'CDCA5', 'PLK4', 'TUBA4A', 'TUBB', 'ERCC6L', 'CENPL']",0.33962264150943394,1.4698530388271614e-09,204,18,53
62,41,REACTOME_MITOTIC_PROPHASE,"['SMC2', 'KMT5A']",0.03773584905660377,0.6948389383754109,142,2,53
63,41,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,"['CENPI', 'SKA1', 'CENPO', 'CENPN', 'SPDL1', 'MAD2L1', 'ERCC6L', 'CDC27', 'CENPL']",0.16981132075471697,6.909465553368845e-05,111,9,53
64,41,REACTOME_M_PHASE,"['CENPJ', 'CENPN', 'MAD2L1', 'ODF2', 'CDC27', 'PLK4', 'CDCA5', 'TUBB', 'TUBA4A', 'CENPL', 'SKA1', 'CENPO', 'SPDL1', 'TUBA1B', 'ERCC6L', 'NCAPH', 'CENPI', 'NCAPG', 'LBR', 'SMC2', 'KMT5A']",0.39622641509433965,6.187526088871564e-07,404,21,53
65,41,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,"['SUV39H1', 'SAP30']",0.03773584905660377,0.5444424358993782,108,2,53
66,41,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9996254693099635,562,2,53
67,41,REACTOME_NEURONAL_SYSTEM,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9945723677942274,411,2,53
68,41,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.8669582204571468,205,2,53
69,41,REACTOME_NEUTROPHIL_DEGRANULATION,"['TUBB', 'GGH']",0.03773584905660377,0.9982917757292593,478,2,53
70,41,REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,"['LBR', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.13243102543016058,76,3,53
71,41,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,"['CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.11320754716981132,0.3764845223226338,297,6,53
72,41,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,"['KMT5A', 'SUV39H1']",0.03773584905660377,0.3273546544995529,70,2,53
73,41,REACTOME_PKR_MEDIATED_SIGNALING,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.36422180072417815,76,2,53
74,41,REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.05538774038763628,23,2,53
75,41,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,"['UBE2T', 'SAE1', 'TUBA4A', 'TUBA1B']",0.07547169811320754,0.9999999999682957,1491,4,53
76,41,REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS,"['TUBB', 'SAP30']",0.03773584905660377,0.7374339868072496,154,2,53
77,41,REACTOME_PROTEIN_FOLDING,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.4917545555017762,98,2,53
78,41,REACTOME_RAC1_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.8226877332804692,184,2,53
79,41,REACTOME_RAC2_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.43555957403800144,88,2,53
80,41,REACTOME_RAC3_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.4696749730983713,94,2,53
81,41,REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES,"['CENPJ', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.09433962264150944,0.01052678439997989,81,5,53
82,41,REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,"['CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.11320754716981132,0.0045309361905844555,95,6,53
83,41,REACTOME_RECYCLING_PATHWAY_OF_L1,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.19672525617388195,49,2,53
84,41,REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,"['CENPJ', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A']",0.09433962264150944,0.014079485715128183,87,5,53
85,41,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,"['CENPI', 'SKA1', 'CENPO', 'CENPN', 'SPDL1', 'MAD2L1', 'TUBA1B', 'TUBA4A', 'CDCA5', 'ERCC6L', 'CENPL']",0.20754716981132076,4.982967736011977e-06,127,11,53
86,41,REACTOME_RHOA_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.7203196090385744,149,2,53
87,41,REACTOME_RHOC_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.3520028812529962,74,2,53
88,41,REACTOME_RHOD_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.2213541721295528,53,2,53
89,41,REACTOME_RHOG_GTPASE_CYCLE,"['DIAPH3', 'LBR']",0.03773584905660377,0.3520028812529962,74,2,53
90,41,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,"['DIAPH3', 'CENPI', 'SKA1', 'CENPO', 'CENPN', 'SPDL1', 'MAD2L1', 'TUBA1B', 'TUBA4A', 'ERCC6L', 'CENPL']",0.20754716981132076,1.2902086316606812e-05,140,11,53
91,41,REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.09882788209296511,32,2,53
92,41,REACTOME_RHO_GTPASE_CYCLE,"['DIAPH3', 'LBR', 'TUBA1B']",0.05660377358490566,0.986267833800421,450,3,53
93,41,REACTOME_RHO_GTPASE_EFFECTORS,"['DIAPH3', 'CENPI', 'SKA1', 'CENPO', 'CENPN', 'SPDL1', 'MAD2L1', 'TUBA1B', 'TUBA4A', 'ERCC6L', 'CENPL']",0.20754716981132076,0.015544236187879397,323,11,53
94,41,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,"['LBR', 'CENPJ', 'FANCI', 'CDC27', 'KMT5A']",0.09433962264150944,0.9999999923470337,1374,5,53
95,41,REACTOME_SARS_COV_INFECTIONS,"['TUBB', 'SAP30']",0.03773584905660377,0.998199130287239,475,2,53
96,41,REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.09882788209296511,32,2,53
97,41,REACTOME_SELECTIVE_AUTOPHAGY,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.44705877313846826,90,2,53
98,41,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,"['CENPI', 'SKA1', 'CENPO', 'CENPN', 'SPDL1', 'MAD2L1', 'TUBA1B', 'TUBA4A', 'CDCA5', 'ERCC6L', 'CDC27', 'CENPL']",0.22641509433962265,2.3657895435324735e-05,178,12,53
99,41,REACTOME_SIGNALING_BY_HEDGEHOG,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.6755224022507842,137,2,53
100,41,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,"['DIAPH3', 'CENPI', 'SKA1', 'CENPO', 'LBR', 'CENPN', 'SPDL1', 'MAD2L1', 'TUBA1B', 'TUBA4A', 'ERCC6L', 'CENPL']",0.22641509433962265,0.5576899318610449,720,12,53
101,41,REACTOME_S_PHASE,"['CDC27', 'CDCA5']",0.03773584905660377,0.7238138763393065,150,2,53
102,41,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.3024910023563894,66,2,53
103,41,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,"['CENPJ', 'FANCI', 'KMT5A']",0.05660377358490566,0.9500304615389743,360,3,53
104,41,REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.33971075269574336,72,2,53
105,41,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9481465994389392,270,2,53
106,41,REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.046952974722982925,21,2,53
107,41,REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.8297167754534187,187,2,53
108,41,REACTOME_VESICLE_MEDIATED_TRANSPORT,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.9999840076739822,725,2,53
109,41,REACTOME_VIRAL_INFECTION_PATHWAYS,"['TUBB', 'TUBA1B', 'TUBA4A', 'SAP30']",0.07547169811320754,0.9999527175798503,879,4,53
110,0,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,"['MVK', 'FDFT1', 'SCD', 'FDPS', 'SQLE', 'CYP51A1', 'LSS', 'IDI1', 'MVD', 'SREBF2', 'SREBF1', 'HMGCS1', 'SC5D', 'HMGCR', 'DHCR7']",0.45454545454545453,3.596074790835125e-21,42,15,33
111,0,REACTOME_ADIPOGENESIS,"['SREBF2', 'SREBF1']",0.06060606060606061,0.3181662532362592,110,2,33
112,0,REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,"['FADS2', 'FADS1']",0.06060606060606061,0.007617467795611796,13,2,33
113,0,REACTOME_CHOLESTEROL_BIOSYNTHESIS,"['IDI1', 'SREBF2', 'SREBF1', 'SQLE', 'LSS', 'MSMO1', 'DHCR24', 'MVK', 'FDFT1', 'FDPS', 'MVD', 'EBP', 'NSDHL', 'SC5D', 'ACAT2', 'HMGCR', 'DHCR7', 'HMGCS1', 'CYP51A1']",0.5757575757575758,6.690636365121911e-35,27,19,33
114,0,REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,"['SREBF2', 'HMGCR', 'CYP51A1']",0.09090909090909091,0.0031160168021472684,29,3,33
115,0,REACTOME_FATTY_ACID_METABOLISM,"['SCD', 'DBI', 'FADS1', 'FADS2', 'ACSL3']",0.15151515151515152,0.032541123771361424,175,5,33
116,0,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,"['SCD', 'ACSL3']",0.06060606060606061,0.05571466710154247,37,2,33
117,0,REACTOME_LINOLEIC_ACID_LA_METABOLISM,"['FADS2', 'FADS1']",0.06060606060606061,0.002824914908178582,8,2,33
118,0,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,"['LDLR', 'RDH11']",0.06060606060606061,0.08797226310748897,48,2,33
119,0,REACTOME_METABOLISM_OF_LIPIDS,"['DBI', 'IDI1', 'SREBF2', 'SREBF1', 'SQLE', 'LSS', 'PCYT2', 'MSMO1', 'DHCR24', 'MVK', 'FDFT1', 'SCD', 'FDPS', 'MVD', 'EBP', 'FADS1', 'NSDHL', 'ACSL3', 'ACAT2', 'SC5D', 'HMGCR', 'DHCR7', 'INSIG1', 'FADS2', 'HMGCS1', 'CYP51A1']",0.7878787878787878,3.322790033987407e-11,756,26,33
120,0,REACTOME_METABOLISM_OF_STEROIDS,"['IDI1', 'SREBF2', 'SREBF1', 'SQLE', 'LSS', 'MSMO1', 'DHCR24', 'MVK', 'FDFT1', 'SCD', 'FDPS', 'MVD', 'EBP', 'NSDHL', 'SC5D', 'ACAT2', 'HMGCR', 'DHCR7', 'INSIG1', 'HMGCS1', 'CYP51A1']",0.6363636363636364,1.4156766384133284e-20,154,21,33
121,0,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,"['PANK3', 'MMAB', 'LDLR', 'RDH11']",0.12121212121212122,0.1431017167850684,196,4,33
122,0,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,"['PANK3', 'MMAB']",0.06060606060606061,0.3757989322401582,125,2,33
123,0,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,"['SREBF2', 'HMGCR', 'CYP51A1']",0.09090909090909091,0.9485120658148092,562,3,33
124,0,REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,"['SCD', 'SREBF1']",0.06060606060606061,0.08484415219507106,47,2,33
125,0,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,"['SCD', 'SREBF1']",0.06060606060606061,0.0036084456900417456,9,2,33
126,0,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,"['INSIG1', 'MVK', 'FDFT1', 'SCD', 'FDPS', 'SQLE', 'CYP51A1', 'LSS', 'IDI1', 'MVD', 'SREBF2', 'SREBF1', 'HMGCS1', 'SC5D', 'HMGCR', 'DHCR7']",0.48484848484848486,5.8546379896659826e-21,55,16,33
127,0,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,"['FDFT1', 'FADS1', 'SREBF2', 'SREBF1', 'HMGCS1', 'HMGCR']",0.18181818181818182,0.0011320111756837811,118,6,33
128,0,REACTOME_SENSORY_PERCEPTION,"['LDLR', 'RDH11']",0.06060606060606061,0.9943394972686426,635,2,33
129,0,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,"['SREBF1', 'SCD', 'RDH11']",0.09090909090909091,0.6020960441718908,294,3,33
130,0,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,"['SREBF2', 'SREBF1']",0.06060606060606061,0.21693414004867803,84,2,33
