,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr
946,-1,REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,"['CCT6A', 'CCT4', 'CCT5', 'TCP1']",0.04081632653061224,5.025387001420127e-05,10,4,98,0.018645302527935653
947,-1,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,"['CCT4', 'CCT6A', 'CCT5', 'TUBA1B', 'TCP1']",0.05102040816326531,0.0002638191941895411,26,5,98,0.0518202972492774
923,-1,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,"['CCT4', 'CCT6A', 'CCT5', 'TUBA1B', 'TCP1']",0.05102040816326531,0.0008375988414249994,33,5,98,0.11277863110025638
906,-1,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,"['BMF', 'STAT3', 'BBC3']",0.030612244897959183,0.00090365816633685,9,3,98,0.11879902948944919
974,-1,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,"['CYCS', 'BBC3', 'CASP8', 'STAT3', 'BMF', 'TFDP1']",0.061224489795918366,0.0015015512535606714,55,6,98,0.15286524225273762
901,-1,REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,"['CCT4', 'CCT6A', 'CCT5', 'STAT3', 'TCP1']",0.05102040816326531,0.001821510348919843,39,5,98,0.16090971844214658
1063,-1,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,"['TP53INP1', 'BNIP3L', 'BBC3']",0.030612244897959183,0.010201483177383576,20,3,98,0.37616239571298393
922,-1,REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,"['CCT6A', 'CCT4', 'CCT5', 'TCP1']",0.04081632653061224,0.010771943757606638,38,4,98,0.3802291183446098
905,-1,REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,"['CCT4', 'CCT5', 'TCP1']",0.030612244897959183,0.01507741730829794,23,3,98,0.4485024065343067
889,-1,REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,"['TFDP1', 'BBC3']",0.02040816326530612,0.017057382346729842,9,2,98,0.45348734977866473
