,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,"['ABCD2', 'OS9']",0.00796812749003984,0.9496609485126899,90,2,251
1,21,REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,"['IKBKE', 'OPTN', 'IRF7']",0.01195219123505976,0.061162955005417956,18,3,251
2,21,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,"['FYB1', 'RNF213', 'SOCS1', 'VAMP8', 'PRKACB', 'CTSS', 'PJA2', 'HERC6', 'LNPEP', 'EVL', 'CYBA', 'CD96', 'ITGB7', 'TRIM21', 'ITGAL', 'PTPRC', 'RNF19B', 'CTSC', 'SH3KBP1', 'TAPBP', 'PSME1', 'YWHAZ', 'B2M', 'SOS1', 'RASGRP1']",0.099601593625498,0.9994127573065045,824,25,251
3,21,REACTOME_AMYLOID_FIBER_FORMATION,"['B2M', 'ITM2B', 'FURIN']",0.01195219123505976,0.9268276876102487,110,3,251
4,21,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,"['SH3KBP1', 'SOS1']",0.00796812749003984,0.9399956659969081,86,2,251
5,21,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,"['B2M', 'TAPBP']",0.00796812749003984,0.44151573959224644,29,2,251
6,21,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,"['LNPEP', 'TAPBP', 'PSME1', 'CYBA', 'VAMP8', 'B2M', 'CTSS']",0.027888446215139442,0.2345477908433414,98,7,251
7,21,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,"['HERC6', 'LNPEP', 'RNF19B', 'RNF213', 'SOCS1', 'TRIM21', 'PJA2']",0.027888446215139442,0.9949142870916386,295,7,251
8,21,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,"['RIGI', 'ISG15', 'ADAR', 'STAT1', 'OAS1', 'OAS3', 'MX1', 'EIF4E3']",0.03187250996015936,0.5126419363116737,151,8,251
9,21,REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,"['MYH9', 'FURIN', 'PRKACB']",0.01195219123505976,0.9704096558750726,133,3,251
10,21,REACTOME_APOPTOSIS,"['YWHAZ', 'TRADD', 'GSDMD', 'CASP8', 'ADD1']",0.0199203187250996,0.9337923044598775,166,5,251
11,21,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,"['CASP8', 'ADD1']",0.00796812749003984,0.5866715450114837,38,2,251
12,21,REACTOME_APOPTOTIC_EXECUTION_PHASE,"['CASP8', 'ADD1']",0.00796812749003984,0.7538544297365315,52,2,251
13,21,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,"['ST3GAL1', 'OS9', 'CTSC']",0.01195219123505976,0.9999921217678488,312,3,251
14,21,REACTOME_AUTOPHAGY,"['GABARAP', 'SQSTM1', 'OPTN']",0.01195219123505976,0.9899905708998519,159,3,251
