,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr
808,-1,REACTOME_REGULATION_OF_NFE2L2_GENE_EXPRESSION,"['NFKB1', 'CREBBP', 'EP300', 'MYC', 'RELA']",0.012345679012345678,0.014896461421790604,8,5,405,0.18152241058295598
545,-1,REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,"['NFKB2', 'DHX36', 'RELA', 'NFKB1']",0.009876543209876543,0.04424173617428746,7,4,405,0.4190845536743674
726,-1,REACTOME_NFE2L2_REGULATING_ER_STRESS_ASSOCIATED_GENES,"['ATF4', 'CREBBP', 'EP300']",0.007407407407407408,0.07218918596889744,5,3,405,0.5943676036799345
644,-1,REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,"['NFKB2', 'RELA', 'NFKB1']",0.007407407407407408,0.17950739318019962,7,3,405,1.0
679,-1,REACTOME_LOSS_OF_MECP2_BINDING_ABILITY_TO_THE_NCOR_SMRT_COMPLEX,"['TBL1XR1', 'NCOR1', 'HDAC3']",0.007407407407407408,0.17950739318019962,7,3,405,1.0
455,-1,REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,"['TP53', 'E2F1']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0
611,-1,REACTOME_G2_PHASE,"['CCNA2', 'E2F1']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0
680,-1,REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION,"['CREBBP', 'EP300']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0
727,-1,REACTOME_NFE2L2_REGULATING_INFLAMMATION_ASSOCIATED_GENES,"['CREBBP', 'EP300']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0
678,-1,REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,"['TBL1XR1', 'SIN3A', 'NCOR1', 'HDAC3']",0.009876543209876543,0.3084159464667079,13,4,405,1.0
662,-1,REACTOME_INTERLEUKIN_1_PROCESSING,"['NFKB2', 'RELA', 'NFKB1']",0.007407407407407408,0.3094028425181893,9,3,405,1.0
798,-1,REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION,"['FOXO1', 'CREBBP', 'EP300']",0.007407407407407408,0.37617616441651863,10,3,405,1.0
452,-1,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,"['CYCS', 'APAF1']",0.0049382716049382715,0.3882317480000279,6,2,405,1.0
515,-1,REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,"['RELA', 'NFKB1']",0.0049382716049382715,0.3882317480000279,6,2,405,1.0
729,-1,REACTOME_NFE2L2_REGULATING_TUMORIGENIC_GENES,"['SP1', 'CREBBP', 'EP300']",0.007407407407407408,0.44150573881434296,11,3,405,1.0
791,-1,REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,"['TRAF6', 'RELA', 'NFKB1']",0.007407407407407408,0.44150573881434296,11,3,405,1.0
918,-1,REACTOME_STAT3_NUCLEAR_EVENTS_DOWNSTREAM_OF_ALK_SIGNALING,"['SIN3A', 'HDAC3', 'EP300']",0.007407407407407408,0.44150573881434296,11,3,405,1.0
516,-1,REACTOME_COBALAMIN_CBL_METABOLISM,"['MMAB', 'MTRR']",0.0049382716049382715,0.4717214899279592,7,2,405,1.0
856,-1,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS,"['CBFB', 'CREBBP']",0.0049382716049382715,0.4717214899279592,7,2,405,1.0
859,-1,REACTOME_RUNX3_REGULATES_CDKN1A_TRANSCRIPTION,"['TP53', 'SMAD4']",0.0049382716049382715,0.4717214899279592,7,2,405,1.0
817,-1,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,"['MBD3', 'BRD1', 'ING5', 'EP300', 'KAT6A', 'TP53', 'BRPF1']",0.01728395061728395,0.48916117878544124,30,7,405,1.0
490,-1,REACTOME_CD209_DC_SIGN_SIGNALING,"['NFKB1', 'CREBBP', 'EP300', 'PAK2', 'RELA']",0.012345679012345678,0.4952063377721312,21,5,405,1.0
850,-1,REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION,"['TBL1XR1', 'CREBBP', 'EP300', 'NCOA6', 'HDAC3', 'NCOR1']",0.014814814814814815,0.5128186275480353,26,6,405,1.0
724,-1,REACTOME_NFE2L2_REGULATES_PENTOSE_PHOSPHATE_PATHWAY_GENES,"['CREBBP', 'EP300']",0.0049382716049382715,0.547942112393196,8,2,405,1.0
728,-1,REACTOME_NFE2L2_REGULATING_MDR_ASSOCIATED_ENZYMES,"['CREBBP', 'EP300']",0.0049382716049382715,0.547942112393196,8,2,405,1.0
855,-1,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,"['CBFB', 'SOCS3']",0.0049382716049382715,0.547942112393196,8,2,405,1.0
914,-1,REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,"['CYCS', 'APAF1']",0.0049382716049382715,0.547942112393196,8,2,405,1.0
730,-1,REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,"['TRAF6', 'RELA', 'NFKB1']",0.007407407407407408,0.5626661412381353,13,3,405,1.0
456,-1,REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,"['TP53', 'E2F1']",0.0049382716049382715,0.616096189500341,9,2,405,1.0
763,-1,REACTOME_PI5P_REGULATES_TP53_ACETYLATION,"['TP53', 'EP300']",0.0049382716049382715,0.616096189500341,9,2,405,1.0
812,-1,REACTOME_REGULATION_OF_PTEN_LOCALIZATION,"['PTEN', 'USP7']",0.0049382716049382715,0.616096189500341,9,2,405,1.0
803,-1,REACTOME_REGULATION_OF_IFNG_SIGNALING,"['PTPN2', 'PTPN1', 'SOCS3']",0.007407407407407408,0.6169150261293168,14,3,405,1.0
