,gene,functional_group
0,CEP350,1
1,WTAP,23
2,ACAD11,51
3,RARB,31
4,SARS2,34
5,EIF4H,44
6,DPH5,41
7,ARMH3,29
8,ECHS1,5
9,MED19,33
10,NIPBL,12
11,ARHGAP45,28
12,ZBED5,9
13,MRPS6,27
14,FBXO42,20
15,PIBF1,4
16,CASC3,11
17,RHOF,5
18,PFKM,32
19,GNPDA2,24
20,ARIH1,13
21,PFAS,1
22,BBS10,52
23,NCBP3,0
24,ATXN7L3,26
25,APEX1,6
26,STX16,33
27,ARRDC4,27
28,LEO1,0
29,TCEAL1,3
30,HHAT,32
31,DDX17,3
32,PIGF,21
33,NPAS2,21
34,NAA20,6
35,KDELC2,50
36,CALR,17
37,TENT5C,22
38,ALG6,39
39,PXMP4,12
40,SMS,8
41,CDK5RAP3,17
42,PCGF1,17
43,COMMD4,36
44,FLI1,16
45,RNF111,38
46,ZNF221,15
47,RELL2,1
48,SOCS3,1
49,TGDS,51
50,TSTD2,43
51,VARS2,2
52,TARS2,2
53,PDIA3,12
54,CNBP,8
55,ST7L,31
56,NFKB2,35
57,DNAJB11,39
58,CHORDC1,32
59,SLC9A5,2
60,MRPL49,2
61,BAP1,6
62,NUDT5,1
63,MRPS11,2
64,HIST1H2BI,5
65,GOLGA5,29
66,EARS2,2
67,NOP53,8
68,TNFRSF10B,20
69,ZSWIM4,37
70,GNS,10
71,COX5B,14
72,IL9,23
73,KAT14,34
74,SP5,1
75,RBM27,6
76,C1orf216,31
77,INPPL1,20
78,RBPJ,19
79,DHX36,0
80,STAP1,21
81,LRP6,15
82,SLC35C2,15
83,SGK3,1
84,HPS1,27
85,PRKAR1A,40
86,DMRTC2,47
87,MVD,1
88,ZRSR2,32
89,IFFO2,5
90,UFL1,51
91,GOLGA3,14
92,NFAT5,18
93,LRRC29,5
94,CKAP2,4
95,LRPPRC,34
96,U2SURP,29
97,ITSN1,29
98,PRB4,3
99,KMT2C,30
100,SENP1,22
101,TWNK,34
102,DCPS,4
103,NDUFB11,17
104,ZNF554,41
105,TRRAP,8
106,ACTR5,43
107,KPNA1,35
108,MYT1L,7
109,TSC22D2,8
110,FAM209B,11
111,ERCC1,3
