,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,best_described_by
0,37,CL:35838,"['ZNF790', 'ZSCAN23', 'PGBD2']",0.024193548387096774,0.9999999999875516,513,3,124,"mixed, incl. Krueppel associated box, and Leucine rich region"
1,37,CL:35839,"['ZNF790', 'ZSCAN23', 'PGBD2']",0.024193548387096774,0.9999999998802797,478,3,124,"mixed, incl. Krueppel associated box, and Leucine rich region"
2,37,CL:35840,"['ZNF790', 'ZSCAN23', 'PGBD2']",0.024193548387096774,0.9999999997432085,466,3,124,"mixed, incl. Krueppel associated box, and Leucine rich region"
3,37,CL:35841,"['ZNF790', 'ZSCAN23', 'PGBD2']",0.024193548387096774,0.9999999706262843,389,3,124,"mixed, incl. Krueppel associated box, and Leucine rich region"
4,37,CL:35842,"['ZNF790', 'ZSCAN23']",0.016129032258064516,0.9999995088059863,300,2,124,"Krueppel associated box, and Leucine rich region"
5,37,CL:35843,"['ZNF790', 'ZSCAN23']",0.016129032258064516,0.9999919955217329,252,2,124,"Krueppel associated box, and Leucine rich region"
6,37,CL:31128,"['HELT', 'TBC1D31']",0.016129032258064516,0.9992195830730087,169,2,124,"mostly uncharacterized, incl. Homeodomain, and FAM83, N-terminal"
7,37,CL:31129,"['HELT', 'TBC1D31']",0.016129032258064516,0.9956470699653828,136,2,124,"mostly uncharacterized, incl. Homeodomain, and FAM83, N-terminal"
8,37,CL:29498,"['GPRASP1', 'BRWD1']",0.016129032258064516,0.9973955457342879,146,2,124,"mostly uncharacterized, incl. Brain expressed X-linked like family , and Bromodomain"
9,37,CL:25742,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,1.0,977,3,124,"mixed, incl. Cilium, and Microtubule-based process"
10,37,CL:25743,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,1.0,771,3,124,"mixed, incl. Microtubule-based process, and Cilium"
11,37,CL:25744,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,1.0,744,3,124,"Microtubule-based process, and Cilium"
12,37,CL:25745,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,1.0,716,3,124,"Microtubule-based process, and Cilium"
13,37,CL:25746,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,1.0,700,3,124,"mixed, incl. Microtubule-based process, and Ciliopathies"
14,37,CL:25747,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,0.9999999999999999,680,3,124,"mixed, incl. Microtubule-based process, and Ciliopathies"
15,37,CL:25748,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,0.9999999999999997,664,3,124,"mixed, incl. Microtubule-based process, and Ciliopathies"
16,37,CL:25749,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,0.999999999999997,635,3,124,"Microtubule-based process, and Ciliopathies"
17,37,CL:25750,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,0.9999999999999813,609,3,124,"Microtubule-based process, and Ciliopathies"
18,37,CL:25751,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,0.9999999999999347,591,3,124,"Microtubule-based process, and Ciliopathies"
19,37,CL:26208,"['CAMSAP1', 'KIF16B']",0.016129032258064516,0.9991322862360446,167,2,124,"mixed, incl. Golgi-to-ER retrograde transport, and Cytoplasmic dynein complex"
20,37,CL:25752,"['KIF16B', 'CAMSAP1', 'APPL2']",0.024193548387096774,0.9999999794970169,395,3,124,"mixed, incl. Cilium Assembly, and Microtubule"
21,37,CL:26209,"['CAMSAP1', 'KIF16B']",0.016129032258064516,0.9985306640959193,157,2,124,"mixed, incl. Golgi-to-ER retrograde transport, and Cytoplasmic dynein complex"
22,37,CL:25574,"['ZBED3', 'FITM2']",0.016129032258064516,0.9446292083941078,84,2,124,"mostly uncharacterized, incl. Autosomal dominant cerebellar ataxia, and Peptidase family M28"
23,37,CL:25575,"['ZBED3', 'FITM2']",0.016129032258064516,0.7002710451006646,45,2,124,"mostly uncharacterized, incl. C2 calcium-dependent domain-containing protein 4, and Glutamate carboxypeptidase 2-like"
24,37,CL:25576,"['ZBED3', 'FITM2']",0.016129032258064516,0.4965397485960239,31,2,124,"mostly uncharacterized, incl. Zinc finger, A20-type, and Mas-related G protein-coupled receptor family"
25,37,CL:25578,"['ZBED3', 'FITM2']",0.016129032258064516,0.24717622945847287,18,2,124,"mostly uncharacterized, incl. Zinc finger, A20-type, and GON domain"
