,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,best_described_by
0,41,CL:25742,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.9975532675861124,977,8,53,"mixed, incl. Cilium, and Microtubule-based process"
1,41,CL:25743,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.9647380151008303,771,8,53,"mixed, incl. Microtubule-based process, and Cilium"
2,41,CL:25744,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.9524794456590323,744,8,53,"Microtubule-based process, and Cilium"
3,41,CL:25745,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.9360921084021563,716,8,53,"Microtubule-based process, and Cilium"
4,41,CL:25746,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.9247625479266876,700,8,53,"mixed, incl. Microtubule-based process, and Ciliopathies"
5,41,CL:25747,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.9083181353601437,680,8,53,"mixed, incl. Microtubule-based process, and Ciliopathies"
6,41,CL:25748,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.8931601220560916,664,8,53,"mixed, incl. Microtubule-based process, and Ciliopathies"
7,41,CL:25749,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.8606735791443133,635,8,53,"Microtubule-based process, and Ciliopathies"
8,41,CL:25750,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.8255547542401268,609,8,53,"Microtubule-based process, and Ciliopathies"
9,41,CL:25751,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.797700604720503,591,8,53,"Microtubule-based process, and Ciliopathies"
10,41,CL:26208,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.5346692769105545,167,3,53,"mixed, incl. Golgi-to-ER retrograde transport, and Cytoplasmic dynein complex"
11,41,CL:25752,"['STIL', 'CENPJ', 'TUBA1B', 'ODF2', 'PLK4', 'TUBB', 'TUBA4A', 'POC1A']",0.1509433962264151,0.336603733716006,395,8,53,"mixed, incl. Cilium Assembly, and Microtubule"
12,41,CL:26373,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.12865345998200786,75,3,53,"mixed, incl. Post-chaperonin tubulin folding pathway, and Microtubule end"
13,41,CL:26209,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.49236997251512116,157,3,53,"mixed, incl. Golgi-to-ER retrograde transport, and Cytoplasmic dynein complex"
14,41,CL:26380,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.02633886075580829,39,3,53,"Post-chaperonin tubulin folding pathway, and Calponin repeat"
15,41,CL:26377,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.0403321311902528,46,3,53,"mixed, incl. Post-chaperonin tubulin folding pathway, and Calponin repeat"
16,41,CL:26384,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.006952583621996283,24,3,53,Post-chaperonin tubulin folding pathway
17,41,CL:26381,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.014223163969793437,31,3,53,"Post-chaperonin tubulin folding pathway, and Vasohibin"
18,41,CL:26388,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.0008706879931652039,12,3,53,"Tubulin/FtsZ-like, C-terminal domain"
19,41,CL:26385,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.003008311714624033,18,3,53,"Tubulin/FtsZ-like, C-terminal domain"
20,41,CL:25753,"['STIL', 'CENPJ', 'ODF2', 'PLK4', 'POC1A']",0.09433962264150944,0.3318228501040372,228,5,53,"Cilium Assembly, and Ciliopathies"
21,41,CL:25990,"['STIL', 'CENPJ', 'ODF2', 'PLK4', 'POC1A']",0.09433962264150944,0.018368152274207284,93,5,53,"Centrosome maturation, and Centriole"
22,41,CL:25754,"['STIL', 'CENPJ', 'ODF2', 'PLK4', 'POC1A']",0.09433962264150944,0.2750398881311823,211,5,53,"Cilium Assembly, and Centriole"
23,41,CL:25991,"['STIL', 'CENPJ', 'ODF2', 'PLK4', 'POC1A']",0.09433962264150944,0.013437887816374824,86,5,53,"Centrosome maturation, and Centriole"
24,41,CL:25992,"['STIL', 'CENPJ', 'ODF2', 'PLK4', 'POC1A']",0.09433962264150944,0.006824235505683411,73,5,53,"mixed, incl. Centrosome cycle, and Centriolar subdistal appendage"
25,41,CL:25993,"['ODF2', 'CENPJ', 'STIL', 'PLK4']",0.07547169811320754,0.017937751096836818,61,4,53,"Anchoring of the basal body to the plasma membrane, and Centriolar subdistal appendage"
26,41,CL:25994,"['ODF2', 'CENPJ', 'STIL', 'PLK4']",0.07547169811320754,0.008436119631144151,49,4,53,"mixed, incl. Centriole replication, and Centriolar subdistal appendage"
27,41,CL:25995,"['ODF2', 'CENPJ', 'STIL', 'PLK4']",0.07547169811320754,0.004064655860984574,40,4,53,"mixed, incl. Centriole replication, and Centriolar subdistal appendage"
28,41,CL:25996,"['CENPJ', 'STIL', 'PLK4']",0.05660377358490566,0.0078083333821097846,25,3,53,"mixed, incl. Centriole replication, and Ciliary rootlet component, centrosome cohesion"
29,41,CL:26003,"['CENPJ', 'STIL', 'PLK4']",0.05660377358490566,8.499314235269772e-05,6,3,53,Procentriole replication complex
30,41,CL:26000,"['CENPJ', 'STIL', 'PLK4']",0.05660377358490566,0.0006607981658319425,11,3,53,"Procentriole replication complex, and Microcephalic osteodysplastic primordial dwarfism type II"
