,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,best_described_by
0,0,CL:4757,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.00017033109374177944,256,"DNA packaging complex, and Histone deacetylase complex"
1,0,CL:4750,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.003045112448793511,403,"Chromatin organization, and Structural constituent of chromatin"
2,0,CL:4751,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.002335320928975875,386,"Chromatin organization, and Structural constituent of chromatin"
3,0,CL:4752,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.001984783583469838,376,"Chromatin organization, and Structural constituent of chromatin"
4,0,CL:4753,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.0018262701419488193,371,"Chromatin organization, and Structural constituent of chromatin"
5,0,CL:4754,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.001594144750973122,363,"Chromatin organization, and Structural constituent of chromatin"
6,0,CL:4755,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.00047628067579605924,300,"mixed, incl. DNA packaging complex, and Histone deacetylase complex"
7,0,CL:4756,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.0002846464687949095,277,"DNA packaging complex, and Histone deacetylase complex"
8,0,CL:32624,['HIRIP3'],0.09090909090909091,0.029144800431344334,5,"Spondylocostal dysostosis, and Synapse maturation"
9,0,CL:4758,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,3.79297510058063e-05,204,"DNA packaging complex, and Histone methyltransferase complex"
10,0,CL:5064,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,4.0597880643566183e-13,17,INO80-type complex
11,0,CL:5013,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,6.402135069683097e-10,43,"H4 histone acetyltransferase complex, and INO80-type complex"
12,0,CL:4759,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,1.1111853296789e-05,170,"Nucleosome, and Histone methyltransferase complex"
13,0,CL:5069,"['ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.45454545454545453,2.457138660725298e-12,5,Ino80 complex
14,0,CL:5066,"['ACTR8', 'INO80C', 'ACTR5', 'INO80B', 'NFRKB', 'INO80E', 'INO80']",0.6363636363636364,2.538347303942758e-15,10,Ino80 complex
15,0,CL:4749,"['ACTR8', 'INO80C', 'ACTR5', 'NFRKB', 'INO80B', 'INO80E', 'INO80']",0.6363636363636364,0.006435812640600016,456,"Chromatin organization, and Structural constituent of chromatin"
16,0,CL:27808,['RO60'],0.09090909090909091,0.034880250052856256,6,"Congenital heart block, and Adult dermatomyositis"
17,1,CL:31059,['EBF3'],0.14285714285714285,0.018626417996554002,5,"Transcription factor COE1 DNA-binding domain, and Protein O-mannosyl-transferase TMTC, DUF1736"
18,1,CL:5615,['ARID5B'],0.14285714285714285,0.04058488049316716,11,"Histone H3-K9 demethylation, and Lysine-specific demethylase 6, GATA-like domain superfamily"
19,1,CL:35432,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,9.094089183687431e-05,27,Integrator complex
