,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr,best_described_by
0,-1,CL:1880,"['CCT4', 'CCT5', 'CCT6A', 'PSMG1', 'TCP1']",0.05102040816326531,0.00011364092343351377,22,5,98,0.006778173333345734,"Chaperonin-containing T-complex, and Cellular proteostasis"
1,-1,CL:1883,"['CCT5', 'CCT4', 'CCT6A', 'TCP1']",0.04081632653061224,0.0001622041985612283,13,4,98,0.009095771776784145,"Chaperonin TCP-1, conserved site, and Cellular proteostasis"
2,-1,CL:1885,"['CCT5', 'CCT4', 'CCT6A']",0.030612244897959183,0.00022631751269680097,6,3,98,0.011824941536102931,"Chaperonin TCP-1, conserved site"
3,-1,CL:1879,"['CCT4', 'CCT5', 'CCT6A', 'PSMG1', 'TCP1']",0.05102040816326531,0.0007237772640802229,32,5,98,0.0313242001126224,"Chaperone complex, and Prefoldin"
4,-1,CL:1759,"['CCT4', 'CCT6A', 'CCT5', 'HSPD1', 'HSPE1', 'PSMG1', 'TCP1', 'HSP90AA1']",0.08163265306122448,0.0023534159034279863,103,8,98,0.07803086626306104,"Chaperone, and RPAP3/R2TP/prefoldin-like complex"
5,-1,CL:1758,"['CCT4', 'CCT6A', 'CCT5', 'HSPD1', 'HSPE1', 'PSMG1', 'TCP1', 'HSP90AA1']",0.08163265306122448,0.0031703137877394875,108,8,98,0.09405579220943364,"Chaperone, and RPAP3/R2TP/prefoldin-like complex"
6,-1,CL:1761,"['CCT4', 'CCT6A', 'CCT5', 'HSPD1', 'HSPE1', 'PSMG1', 'TCP1']",0.07142857142857142,0.0046585307861480305,91,7,98,0.11407476189713765,"Unfolded protein binding, and Chaperone complex"
7,-1,CL:6946,"['CCNA2', 'CKS2']",0.02040816326530612,0.00503243366888972,5,2,98,0.11407476189713765,"Cyclin-dependent kinase, regulatory subunit, and Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes"
8,-1,CL:1834,"['HSPD1', 'HSPE1']",0.02040816326530612,0.00503243366888972,5,2,98,0.11407476189713765,"GrpE, and Hypomyelinating leukodystrophy 4"
9,-1,CL:31470,"['WDR26', 'HBP1', 'YPEL5']",0.030612244897959183,0.006397149870358655,17,3,98,0.13348853508305006,"CTLH, C-terminal LisH motif, and Zinc finger, MYND-type"
10,-1,CL:14319,"['SQSTM1', 'NBR1', 'BNIP3L']",0.030612244897959183,0.006397149870358655,17,3,98,0.13348853508305006,"mixed, incl. Cellular response to nitrogen levels, and Atg12 transferase activity"
11,-1,CL:5618,"['JMJD1C', 'KDM4B']",0.02040816326530612,0.0074354917469861784,6,2,98,0.13731201284116734,Histone H3-K9 demethylation
12,-1,CL:31474,"['WDR26', 'YPEL5']",0.02040816326530612,0.021004377217222096,10,2,98,0.2856153724543517,"CTLH, C-terminal LisH motif, and GID complex"
13,-1,CL:31468,"['YPEL5', 'HBP1', 'WDR26']",0.030612244897959183,0.021062107136333365,26,3,98,0.2856153724543517,"mixed, incl. CTLH, C-terminal LisH motif, and Yippee family"
14,-1,CL:5615,"['JMJD1C', 'KDM4B']",0.02040816326530612,0.02529060818061739,11,2,98,0.3170403885715053,"Histone H3-K9 demethylation, and Lysine-specific demethylase 6, GATA-like domain superfamily"
15,-1,CL:1831,"['HSPD1', 'HSPE1']",0.02040816326530612,0.02529060818061739,11,2,98,0.3170403885715053,"mixed, incl. GrpE, and CODAS syndrome"
16,-1,CL:6608,"['SHCBP1', 'PLK1', 'CEP55', 'TRIP13']",0.04081632653061224,0.02907807279890504,51,4,98,0.3428528995205723,"mixed, incl. Regulation of mitotic sister chromatid segregation, and Kinesin motor domain, conserved site"
17,-1,CL:26388,"['TUBB', 'TUBA1B']",0.02040816326530612,0.029898660449475735,12,2,98,0.3428528995205723,"Tubulin/FtsZ-like, C-terminal domain"
18,-1,CL:14318,"['SQSTM1', 'NBR1', 'BNIP3L']",0.030612244897959183,0.033531303077210965,31,3,98,0.3718705573025285,"mixed, incl. Host-pathogen interaction of human coronaviruses - autophagy, and Cellular response to nitrogen levels"
19,-1,CL:16892,"['BMF', 'BBC3']",0.02040816326530612,0.03481172787162497,13,2,98,0.37257906814002056,"Bcl-2 family protein complex, and Gingival recession"
20,-1,CL:16888,"['BMF', 'CASP8', 'BBC3']",0.030612244897959183,0.045722502921593314,35,3,98,0.4463942450515733,"Apoptosis - multiple species, and TRAIL  signaling"
