,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,best_described_by
0,21,CL:37496,"['FAM216A', 'ATAD3A']",0.00796812749003984,0.9714336504586419,86,2,251,"mostly uncharacterized, incl. Krueppel associated box, and NEMP family"
1,21,CL:37497,"['FAM216A', 'ATAD3A']",0.00796812749003984,0.8426571572973176,53,2,251,"mostly uncharacterized, incl. UBA-like domain-containing protein 1/2, and ATPase family AAA domain-containing protein 3, N-terminal"
2,21,CL:37498,"['FAM216A', 'ATAD3A']",0.00796812749003984,0.5712274658117523,31,2,251,"mostly uncharacterized, incl. UBA-like domain-containing protein 1/2, and ATPase family AAA domain-containing protein 3, N-terminal"
3,21,CL:37499,"['FAM216A', 'ATAD3A']",0.00796812749003984,0.36855914129892225,21,2,251,"mostly uncharacterized, incl. UBA-like domain-containing protein 1/2, and ATPase family AAA domain-containing protein 3, N-terminal"
4,21,CL:34108,"['TMX2', 'BZW2']",0.00796812749003984,0.9999999999988236,465,2,251,"mixed, incl. Keratinization, and Snake toxin-like superfamily"
5,21,CL:34817,"['TMX2', 'BZW2']",0.00796812749003984,0.9605779920041234,80,2,251,"mixed, incl. Snake toxin-like superfamily, and CCDC85 family"
6,21,CL:34109,"['TMX2', 'BZW2']",0.00796812749003984,0.9999999999902316,434,2,251,"mixed, incl. Keratinization, and Snake toxin-like superfamily"
7,21,CL:34818,"['TMX2', 'BZW2']",0.00796812749003984,0.747011875397773,43,2,251,"mixed, incl. Snake toxin-like superfamily, and Thioredoxin"
8,21,CL:33301,"['NUDCD1', 'C8orf33']",0.00796812749003984,0.9874475316685984,101,2,251,"mixed, incl. MFS transporter superfamily, and ELMO domain"
9,21,CL:33302,"['NUDCD1', 'C8orf33']",0.00796812749003984,0.9091235785298314,64,2,251,"mixed, incl. MFS transporter superfamily, and Protein of unknown function DUF5588"
10,21,CL:33303,"['NUDCD1', 'C8orf33']",0.00796812749003984,0.6827281565326554,38,2,251,"mostly uncharacterized, incl. Protein of unknown function DUF5588, and Bax inhibitor 1-related"
11,21,CL:33304,"['NUDCD1', 'C8orf33']",0.00796812749003984,0.5712274658117523,31,2,251,"mostly uncharacterized, incl. Protein of unknown function DUF5588, and Bax inhibitor 1-related"
12,21,CL:29789,"['NACC1', 'TMEM33']",0.00796812749003984,0.999949251267282,195,2,251,"mostly uncharacterized, incl. CD20-like family, and GTPase GIMA/IAN/Toc"
13,21,CL:29790,"['NACC1', 'TMEM33']",0.00796812749003984,0.997279678699853,128,2,251,"mostly uncharacterized, incl. GTPase GIMA/IAN/Toc, and Zinc finger protein "
14,21,CL:29791,"['NACC1', 'TMEM33']",0.00796812749003984,0.9924127481807583,110,2,251,"mostly uncharacterized, incl. GTPase GIMA/IAN/Toc, and Zinc finger protein "
15,21,CL:20248,"['FKBP4', 'THOP1', 'IRF4', 'CARM1']",0.01593625498007968,1.0,733,4,251,"Pattern specification process, and DNA-binding transcription factor activity, RNA polymerase II-specific"
16,21,CL:20249,"['FKBP4', 'THOP1', 'IRF4', 'CARM1']",0.01593625498007968,1.0,704,4,251,"mixed, incl. Pattern specification process, and Chromatin"
17,21,CL:20250,"['FKBP4', 'THOP1', 'IRF4', 'CARM1']",0.01593625498007968,1.0,697,4,251,"mixed, incl. Pattern specification process, and Chromatin"
18,21,CL:20251,"['FKBP4', 'THOP1', 'IRF4', 'CARM1']",0.01593625498007968,0.9999999999999999,685,4,251,"mixed, incl. Pattern specification process, and Chromatin"
19,21,CL:20252,"['FKBP4', 'THOP1', 'IRF4', 'CARM1']",0.01593625498007968,0.9999999999999996,662,4,251,"mixed, incl. Pattern specification process, and Wnt signaling pathway"
20,21,CL:20253,"['FKBP4', 'IRF4', 'CARM1']",0.01195219123505976,0.9999999999999963,592,3,251,"mixed, incl. Pattern specification process, and Wnt signaling pathway"
21,21,CL:20254,"['FKBP4', 'IRF4', 'CARM1']",0.01195219123505976,0.999999998253015,397,3,251,"Homeobox, and RNA polymerase II cis-regulatory region sequence-specific DNA binding"
22,21,CL:20713,"['FKBP4', 'IRF4', 'CARM1']",0.01195219123505976,0.9976660802346822,161,3,251,"mixed, incl. Transcription coregulator binding, and DNA-binding transcription repressor activity"
23,21,CL:20255,"['FKBP4', 'IRF4', 'CARM1']",0.01195219123505976,0.999999997262558,390,3,251,"mixed, incl. Homeobox, and DNA-binding transcription activator activity, RNA polymerase II-specific"
24,21,CL:20714,"['FKBP4', 'IRF4', 'CARM1']",0.01195219123505976,0.986286313683615,127,3,251,"mixed, incl. Transcription coregulator binding, and Activation of the TFAP2 (AP-2) family of transcription factors"
25,21,CL:20823,"['FKBP4', 'CARM1']",0.00796812749003984,0.8180688153327595,50,2,251,"mixed, incl. Activation of the TFAP2 (AP-2) family of transcription factors, and Loss of MECP2 binding ability to the NCoR/SMRT complex"
26,21,CL:20715,"['FKBP4', 'IRF4', 'CARM1']",0.01195219123505976,0.957700726785224,104,3,251,"mixed, incl. Transcription coregulator binding, and Activation of the TFAP2 (AP-2) family of transcription factors"
27,21,CL:20824,"['FKBP4', 'CARM1']",0.00796812749003984,0.6535106468878958,36,2,251,"mixed, incl. Loss of MECP2 binding ability to the NCoR/SMRT complex, and c4 zinc finger in nuclear hormone receptors"
28,21,CL:20825,"['FKBP4', 'CARM1']",0.00796812749003984,0.3232479034249539,19,2,251,"mixed, incl. Steroid-binding, and Steroid receptor coactivator"
29,21,CL:17317,"['DOK5', 'POU2AF1', 'FAM136A']",0.01195219123505976,1.0,702,3,251,"mixed, incl. Signaling by Receptor Tyrosine Kinases, and Axon guidance"
30,21,CL:17318,"['DOK5', 'FAM136A']",0.00796812749003984,0.9999999999999931,539,2,251,"mixed, incl. Transmembrane receptor protein tyrosine kinase signaling pathway, and Small GTPase mediated signal transduction"
31,21,CL:17319,"['DOK5', 'FAM136A']",0.00796812749003984,0.9999999999999631,515,2,251,"mixed, incl. Transmembrane receptor protein tyrosine kinase signaling pathway, and Small GTPase mediated signal transduction"
32,21,CL:15526,"['PGAM5', 'TAGAP', 'CXCL8', 'C1QBP', 'CD200']",0.0199203187250996,1.0,896,5,251,"Immune response, and Apoptosis modulation and signaling"
33,21,CL:17143,"['TAGAP', 'C1QBP']",0.00796812749003984,0.5712274658117523,31,2,251,"mixed, incl. Rheumatic disease, and Celiac disease"
34,21,CL:15527,"['PGAM5', 'TAGAP', 'CXCL8', 'C1QBP', 'CD200']",0.0199203187250996,1.0,839,5,251,"Immune response, and Apoptosis modulation and signaling"
35,21,CL:15528,"['CD200', 'PGAM5', 'CXCL8']",0.01195219123505976,1.0,808,3,251,"Immune response, and Apoptosis modulation and signaling"
36,21,CL:15529,"['CD200', 'PGAM5', 'CXCL8']",0.01195219123505976,1.0,733,3,251,"mixed, incl. Cytokine-cytokine receptor interaction, and Immunity"
37,21,CL:15530,"['CD200', 'CXCL8']",0.00796812749003984,0.9999999999999829,526,2,251,"mixed, incl. Cytokine-cytokine receptor interaction, and Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
38,21,CL:15531,"['CD200', 'CXCL8']",0.00796812749003984,0.9999999999991063,469,2,251,"mixed, incl. Cytokine-cytokine receptor interaction, and Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
39,21,CL:15532,"['CD200', 'CXCL8']",0.00796812749003984,0.9999999999976654,455,2,251,"Cytokine-cytokine receptor interaction, and Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
40,21,CL:15533,"['CD200', 'CXCL8']",0.00796812749003984,0.9999999965110596,346,2,251,"Cytokine-cytokine receptor interaction, and Adaptive immunity"
41,21,CL:15534,"['CD200', 'CXCL8']",0.00796812749003984,0.9999688788090874,203,2,251,"mixed, incl. Chemokine-mediated signaling pathway, and Adaptive immunity"
42,21,CL:15535,"['CD200', 'CXCL8']",0.00796812749003984,0.9999068200114718,185,2,251,"mixed, incl. Chemokine-mediated signaling pathway, and Adaptive immunity"
43,21,CL:15732,"['CD200', 'CXCL8']",0.00796812749003984,0.9398628095578778,72,2,251,"Chemokine receptors bind chemokines, and Chemokine beta/gamma/delta"
44,21,CL:15536,"['CD200', 'CXCL8']",0.00796812749003984,0.9997700114090414,170,2,251,"mixed, incl. Chemokine-mediated signaling pathway, and Adaptive immunity"
45,21,CL:13119,"['ATL2', 'AGFG1', 'RABGGTB']",0.01195219123505976,1.0,980,3,251,"mixed, incl. Vesicle-mediated transport, and mTOR signaling pathway"
46,21,CL:13120,"['ATL2', 'AGFG1', 'RABGGTB']",0.01195219123505976,1.0,930,3,251,"mixed, incl. Vesicle-mediated transport, and Amino acids regulate mTORC1"
47,21,CL:13121,"['ATL2', 'AGFG1', 'RABGGTB']",0.01195219123505976,1.0,889,3,251,"mixed, incl. Vesicle-mediated transport, and Amino acids regulate mTORC1"
48,21,CL:13122,"['ATL2', 'AGFG1', 'RABGGTB']",0.01195219123505976,1.0,846,3,251,"Vesicle-mediated transport, and Amino acids regulate mTORC1"
49,21,CL:13123,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999999999999998,590,2,251,"Membrane Trafficking, and Protein transport"
50,21,CL:13124,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999999999999817,525,2,251,"Membrane Trafficking, and Protein transport"
51,21,CL:13125,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999999999998174,492,2,251,"Membrane Trafficking, and Protein transport"
52,21,CL:13126,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999999999925564,438,2,251,"Membrane Trafficking, and Vesicle fusion"
53,21,CL:13127,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999999809326653,320,2,251,"Golgi vesicle transport, and SNARE binding"
54,21,CL:13128,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999999100461954,296,2,251,"Golgi vesicle transport, and SNARE binding"
55,21,CL:13437,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9951765684760832,118,2,251,"mixed, incl. RAB geranylgeranylation, and Vesicle tethering complex"
56,21,CL:13129,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9999995825533554,272,2,251,"Golgi vesicle transport, and SNARE binding"
57,21,CL:13438,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9905021007689334,106,2,251,"mixed, incl. RAB geranylgeranylation, and Vesicle tethering complex"
58,21,CL:13518,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.36855914129892225,21,2,251,"RAB geranylgeranylation, and Martsolf syndrome"
59,21,CL:13516,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.4958592146705735,27,2,251,"RAB geranylgeranylation, and Martsolf syndrome"
60,21,CL:13439,"['AGFG1', 'RABGGTB']",0.00796812749003984,0.9259794541089835,68,2,251,"mixed, incl. RAB geranylgeranylation, and Regulation of SNARE complex assembly"
61,21,CL:12186,"['ATP1B3', 'ATP13A3', 'SLC43A3', 'SLC1A5', 'PRMT3', 'SLC29A1', 'SLC38A5', 'SLC16A1', 'SLC7A5']",0.035856573705179286,0.9999666736017394,406,9,251,"mixed, incl. SLC-mediated transmembrane transport, and Lipid transporter activity"
62,21,CL:12187,"['ATP1B3', 'ATP13A3', 'SLC43A3', 'SLC1A5', 'PRMT3', 'SLC29A1', 'SLC38A5', 'SLC16A1', 'SLC7A5']",0.035856573705179286,0.9996657240526807,357,9,251,"mixed, incl. SLC-mediated transmembrane transport, and Lipid transporter activity"
63,21,CL:12188,"['ATP1B3', 'ATP13A3', 'SLC43A3', 'SLC1A5', 'PRMT3', 'SLC29A1', 'SLC38A5', 'SLC16A1', 'SLC7A5']",0.035856573705179286,0.9993160812995172,341,9,251,"mixed, incl. SLC-mediated transmembrane transport, and Lipid transporter activity"
64,21,CL:12697,"['PRMT3', 'SLC16A1']",0.00796812749003984,0.5887526092869608,32,2,251,"mixed, incl. Carbonate dehydratase activity, and Proton-coupled monocarboxylate transport"
65,21,CL:12531,"['PRMT3', 'SLC16A1']",0.00796812749003984,0.9942802564304488,115,2,251,"mixed, incl. Transport of inorganic cations/anions and amino acids/oligopeptides, and Carbonate dehydratase activity"
66,21,CL:12189,"['ATP13A3', 'SLC43A3', 'SLC1A5', 'PRMT3', 'SLC29A1', 'SLC38A5', 'SLC16A1', 'SLC7A5']",0.03187250996015936,0.9973372374432674,286,8,251,"mixed, incl. SLC-mediated transmembrane transport, and Monocarboxylic acid transmembrane transporter activity"
67,21,CL:12458,"['ATP13A3', 'SLC43A3']",0.00796812749003984,0.6683782779925218,37,2,251,"mixed, incl. Nucleotide-sugar transmembrane transport, and Sodium Bile acid symporter family"
68,21,CL:12190,"['ATP13A3', 'SLC43A3', 'SLC1A5', 'SLC29A1', 'SLC38A5', 'SLC7A5']",0.02390438247011952,0.9550867530299967,171,6,251,"SLC-mediated transmembrane transport, and Monocarboxylic acid transmembrane transporter activity"
69,21,CL:12191,"['SLC1A5', 'SLC7A5', 'SLC29A1', 'SLC38A5']",0.01593625498007968,0.9678828883794104,134,4,251,"SLC-mediated transmembrane transport, and ABC transporters"
70,21,CL:12334,"['SLC1A5', 'SLC7A5', 'SLC38A5']",0.01195219123505976,0.6720198242510717,56,3,251,"Amino acid transport across the plasma membrane, and Hexose transmembrane transporter activity"
