,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,best_described_by
0,21,CL:38472,"['EMP3', 'PLCB2', 'CDC42SE2']",0.011952191,0.999998249,342,3,251,"Detection of chemical stimulus involved in sensory perception, and Cadherin, N-terminal"
1,21,CL:38473,"['PLCB2', 'CDC42SE2']",0.007968127,0.999991203,267,2,251,"Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity"
2,21,CL:38474,"['PLCB2', 'CDC42SE2']",0.007968127,0.999984454,256,2,251,"Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity"
3,21,CL:38475,"['PLCB2', 'CDC42SE2']",0.007968127,0.999915812,223,2,251,"Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity"
4,21,CL:38476,"['PLCB2', 'CDC42SE2']",0.007968127,0.999238981,179,2,251,"Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity"
5,21,CL:36902,"['FGD3', 'SUSD1']",0.007968127,0.969181156,101,2,251,"mixed, incl. Dbl homology (DH) domain, and FERM domain"
6,21,CL:35838,"['PBXIP1', 'CMTM3']",0.007968127,1,513,2,251,"mixed, incl. Krueppel associated box, and Leucine rich region"
7,21,CL:35839,"['PBXIP1', 'CMTM3']",0.007968127,1,478,2,251,"mixed, incl. Krueppel associated box, and Leucine rich region"
8,21,CL:35840,"['PBXIP1', 'CMTM3']",0.007968127,1,466,2,251,"mixed, incl. Krueppel associated box, and Leucine rich region"
9,21,CL:35841,"['PBXIP1', 'CMTM3']",0.007968127,0.999999987,389,2,251,"mixed, incl. Krueppel associated box, and Leucine rich region"
10,21,CL:35037,"['APOL6', 'GOLGA8B']",0.007968127,0.955918548,93,2,251,"mostly uncharacterized, incl. TLV/ENV coat polyprotein, and PRAME family"
11,21,CL:35038,"['APOL6', 'GOLGA8B']",0.007968127,0.870643308,68,2,251,"mostly uncharacterized, incl. PRAME family, and Apolipoprotein L"
12,21,CL:34108,"['MAL', 'LY6E']",0.007968127,1,465,2,251,"mixed, incl. Keratinization, and Snake toxin-like superfamily"
13,21,CL:34109,"['MAL', 'LY6E']",0.007968127,0.999999999,434,2,251,"mixed, incl. Keratinization, and Snake toxin-like superfamily"
14,21,CL:33429,"['RETREG3', 'LRP10']",0.007968127,0.571990838,37,2,251,"mostly uncharacterized, incl. ELMO domain, and Mitoguardin"
15,21,CL:33301,"['RETREG3', 'LRP10']",0.007968127,0.969181156,101,2,251,"mixed, incl. MFS transporter superfamily, and ELMO domain"
16,21,CL:33430,"['RETREG3', 'LRP10']",0.007968127,0.311611968,22,2,251,"mixed, incl. ELMO domain, and Mitoguardin"
17,21,CL:32795,"['TMEM71', 'ARL6IP5']",0.007968127,0.865169421,67,2,251,"mostly uncharacterized, incl. Yip1 domain, and PRA1 family protein"
18,21,CL:32246,"['YPEL3', 'KLF13']",0.007968127,0.999994197,275,2,251,"mostly uncharacterized, incl. Ankyrin repeats, and Chromosomal deletion syndrome"
19,21,CL:30777,"['RESF1', 'NLRC3', 'CLDND1', 'SEPTIN1', 'TC2N', 'SEPTIN6']",0.023904382,0.895269885,176,6,251,"mixed, incl. Protein palmitoylation, and Septin ring"
20,21,CL:30906,"['NLRC3', 'CLDND1']",0.007968127,0.789518896,56,2,251,"mixed, incl. Palmitoyltransferase, DHHC domain, and Tis11B-like protein, N-terminal"
21,21,CL:30778,"['RESF1', 'NLRC3', 'CLDND1', 'SEPTIN1', 'SEPTIN6']",0.019920319,0.743849928,120,5,251,"mixed, incl. Palmitoyltransferase, DHHC domain, and Septin ring"
22,21,CL:30907,"['NLRC3', 'CLDND1']",0.007968127,0.702097416,47,2,251,"mixed, incl. Palmitoyltransferase, DHHC domain, and Positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
23,21,CL:30908,"['NLRC3', 'CLDND1']",0.007968127,0.586671545,38,2,251,"mixed, incl. Palmitoyltransferase, DHHC domain, and Positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
24,21,CL:30779,"['SEPTIN6', 'SEPTIN1', 'RESF1']",0.011952191,0.643998116,64,3,251,"mixed, incl. Septin ring, and Cdc42 effector"
25,21,CL:30780,"['SEPTIN6', 'SEPTIN1', 'RESF1']",0.011952191,0.350544399,41,3,251,"mixed, incl. Septin ring, and Cdc42 effector"
26,21,CL:30781,"['SEPTIN6', 'SEPTIN1']",0.007968127,0.423702053,28,2,251,"Septin ring, and Cdc42 effector"
27,21,CL:30782,"['SEPTIN6', 'SEPTIN1']",0.007968127,0.292335371,21,2,251,"Septin ring, and Cdc42 effector"
28,21,CL:30783,"['SEPTIN6', 'SEPTIN1']",0.007968127,0.195981008,16,2,251,Septin ring
29,21,CL:30270,"['CAST', 'CAPNS1', 'CAPN2', 'CAPN1', 'RNPEPL1']",0.019920319,0.021845484,32,5,251,"mixed, incl. Calcium-dependent cysteine-type endopeptidase activity, and Xin repeat"
