,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,fdr,best_described_by
0,-1,CL:2265,"['RBM10', 'CCAR1', 'DNAJC8', 'SUGP1']",0.009876543209876543,0.02284197461727186,6,4,405,0.1727448163877154,"mixed, incl. TARP syndrome, and BURAN domain"
1,-1,CL:5313,"['KAT6A', 'ING5', 'BRPF1', 'BRD1']",0.009876543209876543,0.04424173617428746,7,4,405,0.2887825142212136,H3 histone acetyltransferase complex
2,-1,CL:20897,"['CREBBP', 'MYB', 'EP300']",0.007407407407407408,0.07218918596889744,5,3,405,0.4174101118840956,"KIX domain, and CITED"
3,-1,CL:1998,"['EIF5A', 'DHPS', 'DOHH']",0.007407407407407408,0.07218918596889744,5,3,405,0.4174101118840956,Hypusine synthesis from eIF5A-lysine
4,-1,CL:7115,"['PPHLN1', 'TASOR', 'MORC2']",0.007407407407407408,0.17950739318019962,7,3,405,0.8383180320683549,"Morc, S5 domain 2-like, and Protein localization to heterochromatin"
5,-1,CL:2264,"['RBM10', 'CCAR1', 'DNAJC8', 'SUGP1']",0.009876543209876543,0.20196396602231928,11,4,405,0.9148967660811064,"mixed, incl. SWAP/Surp, and TARP syndrome"
6,-1,CL:5310,"['KAT6A', 'ING5', 'BRPF1', 'BRD1']",0.009876543209876543,0.2540438971539545,12,4,405,1.0,"H3 histone acetyltransferase complex, and Enhancer of polycomb-like"
7,-1,CL:4976,"['KMT2C', 'NCOA6', 'WDR82', 'KMT2B', 'CXXC1']",0.012345679012345678,0.2570782815815383,16,5,405,1.0,"MLL3/4 complex, and Histone H3-K4 dimethylation"
8,-1,CL:36521,"['THAP12', 'THAP11']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,THAP-type zinc finger
9,-1,CL:31478,"['GID8', 'RMND5A']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"GID complex, and CRA domain"
10,-1,CL:20866,"['TBL1XR1', 'HDAC3']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,Loss of MECP2 binding ability to the NCoR/SMRT complex
11,-1,CL:16647,"['RELA', 'REL']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"NF-kappa-B/Dorsal, and D-serine transport"
12,-1,CL:10161,"['GABPA', 'GABPB1']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"PGC-1, and Mitochondrial gene expression"
13,-1,CL:9992,"['SREBF2', 'INSIG1']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"SREBP-SCAP-Insig complex, and Coenzyme A binding"
14,-1,CL:6796,"['SKA2', 'SKA3']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,Outer kinetochore
15,-1,CL:6080,"['DR1', 'BTAF1']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"Negative cofactor 2 complex, and TATA-box binding protein"
16,-1,CL:5457,"['L3MBTL2', 'MGA']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"E2F-DP heterodimerization region, and Zinc finger, FCS-type"
17,-1,CL:4998,"['KMT2C', 'NCOA6']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,MLL3/4 complex
18,-1,CL:4329,"['COMMD5', 'COMMD10']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,COMM domain
19,-1,CL:3837,"['ELOB', 'VHL']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"VCB complex, and VHL beta domain"
20,-1,CL:3053,"['G3BP1', 'UBAP2L']",0.0049382716049382715,0.2993332977735263,5,2,405,1.0,"Ras GTPase-activating protein-binding protein, and Caprin"
21,-1,CL:16644,"['NFKB2', 'REL', 'RELA', 'NFKB1']",0.009876543209876543,0.3084159464667079,13,4,405,1.0,"mixed, incl. NF-kappa-B/Dorsal, and D domain of beta-TrCP"
22,-1,CL:11270,"['ATP5ME', 'ATP5PO', 'ATP5F1A']",0.007407407407407408,0.3094028425181893,9,3,405,1.0,Formation of ATP by chemiosmotic coupling
23,-1,CL:31474,"['GID8', 'MAEA', 'RMND5A']",0.007407407407407408,0.37617616441651863,10,3,405,1.0,"CTLH, C-terminal LisH motif, and GID complex"
24,-1,CL:20896,"['CREBBP', 'MYB', 'EP300']",0.007407407407407408,0.37617616441651863,10,3,405,1.0,Activation of the TFAP2 (AP-2) family of transcription factors
25,-1,CL:20863,"['TBL1XR1', 'HDAC3', 'NCOR1']",0.007407407407407408,0.37617616441651863,10,3,405,1.0,"Loss of MECP2 binding ability to the NCoR/SMRT complex, and Y-linked deafness 2"
26,-1,CL:5447,"['L3MBTL2', 'ZNF644', 'MGA']",0.007407407407407408,0.37617616441651863,10,3,405,1.0,"mixed, incl. Histone-lysine N-methyltransferase EHMT1/EHMT2, and E2F-DP heterodimerization region"
27,-1,CL:7019,"['MYC', 'ZBTB17']",0.0049382716049382715,0.3882317480000279,6,2,405,1.0,"mixed, incl. Myc amino-terminal region, and RTP801-like"
28,-1,CL:5709,"['TAF11', 'TAF13']",0.0049382716049382715,0.3882317480000279,6,2,405,1.0,"mixed, incl. Spermine transport, and protein-DNA complex remodeling"
29,-1,CL:2710,"['RANBP1', 'RANBP3']",0.0049382716049382715,0.3882317480000279,6,2,405,1.0,"mixed, incl. snRNA import into nucleus, and Exportin-1/5"
30,-1,CL:2347,"['HNRNPA2B1', 'PTBP1']",0.0049382716049382715,0.3882317480000279,6,2,405,1.0,"Multisystem proteinopathy, and HnRNP-L/PTB"
31,-1,CL:4327,"['COMMD5', 'CCDC93', 'COMMD10']",0.007407407407407408,0.44150573881434296,11,3,405,1.0,COMM domain
32,-1,CL:29689,"['TENT5C', 'PHIP']",0.0049382716049382715,0.4717214899279592,7,2,405,1.0,"mixed, incl. Nuclear body protein Sp140, bromodomain, and ATPase family AAA domain-containing protein ATAD2-like"
33,-1,CL:4978,"['CXXC1', 'WDR82']",0.0049382716049382715,0.4717214899279592,7,2,405,1.0,Set1C/COMPASS complex
34,-1,CL:3234,"['CBLL1', 'METTL3']",0.0049382716049382715,0.4717214899279592,7,2,405,1.0,RNA N6-methyladenosine methyltransferase complex
35,-1,CL:7114,"['PPHLN1', 'TASOR', 'MORC2']",0.007407407407407408,0.5039930193678057,12,3,405,1.0,"Positive regulation of DNA methylation-dependent heterochromatin assembly, and Morc, S5 domain 2-like"
36,-1,CL:3823,"['ELOB', 'EGLN1', 'VHL']",0.007407407407407408,0.5039930193678057,12,3,405,1.0,Type 2 papillary renal cell carcinoma
37,-1,CL:2337,"['HNRNPDL', 'KHDRBS1', 'HNRNPD', 'HNRNPA2B1', 'ELAVL1', 'PTBP1']",0.014814814814814815,0.5128186275480353,26,6,405,1.0,"mixed, incl. Zinc finger, CHHC-type, and Multisystem proteinopathy"
38,-1,CL:4324,"['COMMD5', 'CCDC93', 'COMMD7', 'COMMD10']",0.009876543209876543,0.5247656531266974,17,4,405,1.0,"COMM domain, and Ritscher-Schinzel syndrome 1"
39,-1,CL:20744,"['FOXO1', 'IRF1']",0.0049382716049382715,0.547942112393196,8,2,405,1.0,"mixed, incl. Follicular B cell differentiation, and C/EBP complex"
40,-1,CL:4914,"['CBX3', 'ATRX']",0.0049382716049382715,0.547942112393196,8,2,405,1.0,"Primary hyperoxaluria type 1, and Chromo shadow domain binding"
41,-1,CL:2336,"['HNRNPDL', 'KHDRBS1', 'HNRNPD', 'CSDE1', 'HNRNPA2B1', 'ELAVL1', 'PTBP1']",0.01728395061728395,0.5646398134721335,32,7,405,1.0,"mixed, incl. CRD-mediated mRNA stabilization, and Zinc finger, CHHC-type"
42,-1,CL:20722,"['BATF', 'GATA3', 'IRF1', 'FOXO1']",0.009876543209876543,0.6204498445559854,19,4,405,1.0,"mixed, incl. CD4-positive, alpha-beta T cell lineage commitment, and pro-T cell differentiation"
43,-1,CL:33001,"['ZNF710', 'DNTTIP1']",0.0049382716049382715,0.6760761957712966,10,2,405,1.0,"mixed, incl. ELM2 domain, and RPK118-like, kinase domain"
44,-1,CL:10159,"['GABPA', 'GABPB1']",0.0049382716049382715,0.6760761957712966,10,2,405,1.0,"Mitochondrial gene expression, and Lysine transport"
45,-1,CL:8539,"['ME3', 'PKM']",0.0049382716049382715,0.6760761957712966,10,2,405,1.0,"Lactate dehydrogenase activity, and Malic oxidoreductase"
46,-1,CL:5219,"['MBD3', 'MBD2']",0.0049382716049382715,0.6760761957712966,10,2,405,1.0,NuRD complex
47,-1,CL:2339,"['PTBP1', 'HNRNPA2B1', 'KHDRBS1', 'HNRNPD']",0.009876543209876543,0.7030787786740531,21,4,405,1.0,"mixed, incl. Zinc finger, CHHC-type, and Multisystem proteinopathy"
48,-1,CL:33000,"['C16orf87', 'ZNF710', 'DNTTIP1']",0.007407407407407408,0.7111004827559166,16,3,405,1.0,"mixed, incl. ELM2 domain, and RPK118-like, kinase domain"
49,-1,CL:11268,"['ATP5ME', 'ATP5PO', 'ATP5F1A']",0.007407407407407408,0.7111004827559166,16,3,405,1.0,Mitochondrial proton-transporting ATP synthase complex
50,-1,CL:3541,"['NAA20', 'NAA40', 'NAA25']",0.007407407407407408,0.7111004827559166,16,3,405,1.0,N-terminal protein amino acid acetylation
51,-1,CL:2342,"['HNRNPA2B1', 'HNRNPD', 'PTBP1']",0.007407407407407408,0.7111004827559166,16,3,405,1.0,"mixed, incl. Multisystem proteinopathy, and Zinc finger, CHHC-type"
52,-1,CL:36518,"['THAP12', 'THAP11']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,THAP-type zinc finger
53,-1,CL:20723,"['BATF', 'GATA3']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,"mixed, incl. CD4-positive, alpha-beta T cell lineage commitment, and RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)"
54,-1,CL:20394,"['HOXB2', 'PKNOX1']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,"mixed, incl. PBX, PBC domain, and Homeobox protein PKNOX/Meis, N-terminal"
55,-1,CL:15951,"['IL2RB', 'IL7R']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,"Interleukin-2 signaling, and Interleukins 4 and 13"
56,-1,CL:5708,"['TAF11', 'TAF13']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,Basal transcription factors
57,-1,CL:3544,"['NAA20', 'NAA25']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,N-terminal protein acetyltransferase complex
58,-1,CL:2931,"['CNOT11', 'CNOT4']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,CCR4-NOT complex
59,-1,CL:2709,"['RANBP1', 'RANBP3']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,"Nucleocytoplasmic transport complex, and Exportin-1/5"
60,-1,CL:2344,"['HNRNPA2B1', 'PTBP1']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,"mixed, incl. Zinc finger, CHHC-type, and Multisystem proteinopathy"
61,-1,CL:1831,"['CLPB', 'HSPE1']",0.0049382716049382715,0.7282029639839529,11,2,405,1.0,"mixed, incl. GrpE, and CODAS syndrome"
62,-1,CL:31470,"['GID8', 'MAEA', 'RMND5A']",0.007407407407407408,0.7510293748193209,17,3,405,1.0,"CTLH, C-terminal LisH motif, and Zinc finger, MYND-type"
63,-1,CL:20862,"['TBL1XR1', 'HDAC3', 'NCOR1']",0.007407407407407408,0.7510293748193209,17,3,405,1.0,"mixed, incl. Loss of MECP2 binding ability to the NCoR/SMRT complex, and Acute promyelocytic leukemia"
64,-1,CL:2928,"['CNOT11', 'CNOT4', 'RC3H1']",0.007407407407407408,0.7510293748193209,17,3,405,1.0,"CCR4-NOT complex, and Roquin II"
65,-1,CL:1974,"['EIF5A', 'DHPS', 'DOHH']",0.007407407407407408,0.7510293748193209,17,3,405,1.0,"Polyamine metabolic process, and Hypusine synthesis from eIF5A-lysine"
66,-1,CL:2795,"['UBE3D', 'CPSF6', 'SCAF8', 'RPRD2', 'SCAF4', 'ZC3H4', 'PHF3']",0.01728395061728395,0.7533718041683065,38,7,405,1.0,"mRNA cleavage factor complex, and CID domain"
67,-1,CL:5309,"['BRPF1', 'ING5', 'KAT6A', 'BRD1']",0.009876543209876543,0.7718994871576044,23,4,405,1.0,"H3 histone acetyltransferase complex, and NUT midline carcinoma"
68,-1,CL:35889,"['ZNF470', 'ZNF829']",0.0049382716049382715,0.7730449529071823,12,2,405,1.0,KRAB domain superfamily
69,-1,CL:17886,"['ACTB', 'TWF1']",0.0049382716049382715,0.7730449529071823,12,2,405,1.0,"mixed, incl. Sequestering of actin monomers, and Baraitser-Winter syndrome"
70,-1,CL:9990,"['SREBF2', 'INSIG1']",0.0049382716049382715,0.7730449529071823,12,2,405,1.0,"Cellular response to sterol depletion, and Vitellogenin, N-terminal"
71,-1,CL:3231,"['CBLL1', 'METTL3']",0.0049382716049382715,0.7730449529071823,12,2,405,1.0,"RNA N6-methyladenosine methyltransferase complex, and mRNA N6-methyladenosine dioxygenase activity"
72,-1,CL:6995,"['MYC', 'ZBTB17', 'TP53']",0.007407407407407408,0.7864114717220957,18,3,405,1.0,"mixed, incl. P53 DNA-binding domain, and SWIB/MDM2 domain"
73,-1,CL:26221,"['KIF5C', 'KIFAP3']",0.0049382716049382715,0.811295645937918,13,2,405,1.0,"RHO GTPases activate KTN1, and Kinesin II complex"
74,-1,CL:6029,"['ENY2', 'USP22', 'TRRAP']",0.007407407407407408,0.8175292768157414,19,3,405,1.0,SAGA complex
75,-1,CL:3820,"['ELOB', 'EGLN1', 'VHL']",0.007407407407407408,0.8175292768157414,19,3,405,1.0,"Type 2 papillary renal cell carcinoma, and Ajuba-like"
76,-1,CL:3228,"['CBLL1', 'YTHDF2', 'METTL3']",0.007407407407407408,0.8175292768157414,19,3,405,1.0,"mixed, incl. RNA N6-methyladenosine methyltransferase complex, and rRNA (adenine-N6-)-methyltransferase activity"
77,-1,CL:2335,"['HNRNPDL', 'KHDRBS1', 'HNRNPD', 'CSDE1', 'HNRNPA2B1', 'ELAVL1', 'PTBP1', 'SRSF10']",0.019753086419753086,0.8360421120381597,47,8,405,1.0,"mRNA processing, and CRD-mediated mRNA stability complex"
78,-1,CL:4323,"['COMMD5', 'COMMD7', 'COMMD10', 'CAND1', 'CCDC93']",0.012345679012345678,0.8384084336332278,31,5,405,1.0,"COMM domain, and Protein neddylation"
79,-1,CL:11477,"['PARL', 'MFN2']",0.0049382716049382715,0.8436924159060183,14,2,405,1.0,"mixed, incl. Mitochondrial fusion, and Mitochondrial dynamics protein MID49/MID51"
80,-1,CL:3429,"['ANKZF1', 'GIGYF2']",0.0049382716049382715,0.8436924159060183,14,2,405,1.0,"mixed, incl. Ribosome-associated ubiquitin-dependent protein catabolic process, and GYF domain"
81,-1,CL:11266,"['ATP5ME', 'ATP5PO', 'ATP5F1A']",0.007407407407407408,0.868319558119583,21,3,405,1.0,Mitochondrial proton-transporting ATP synthase complex
