,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,41,SKA3,"['SKA1', 'SKA3']",0.03773584905660377,0.0026512252124943365,5,2,53
1,41,TUBA1B,"['TUBB', 'TUBA1B']",0.03773584905660377,0.013673967460494143,11,2,53
2,41,TUBB,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,8.499314235269772e-05,6,3,53
3,41,SMC2,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,0.00014698138149568337,7,3,53
4,41,CENPM,"['SKA3', 'CENPI', 'CENPN', 'CENPL']",0.07547169811320754,8.224644758680629e-06,9,4,53
5,41,TUBB4A,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.009143611543451398,9,2,53
6,41,TUBB1,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.00718824880485091,8,2,53
7,41,CENPL,"['CENPI', 'CENPN', 'CENPL']",0.05660377358490566,1.7407712496914032e-05,4,3,53
8,41,TUBA4A,"['TUBB', 'TUBA4A']",0.03773584905660377,0.016234623353959924,12,2,53
9,41,TUBB3,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.00718824880485091,8,2,53
10,41,SMC4,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,0.00014698138149568337,7,3,53
11,41,CENPK,"['SKA3', 'CENPI']",0.03773584905660377,0.00718824880485091,8,2,53
12,41,TUBB2B,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.003934341247565156,6,2,53
13,41,NCAPH,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,4.3004744669918275e-05,5,3,53
14,41,TUBB6,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.009143611543451398,9,2,53
15,41,SKA2,"['SKA1', 'SKA3']",0.03773584905660377,0.0008126723689307417,3,2,53
16,41,CENPT,"['CENPI', 'CENPW']",0.03773584905660377,0.011307936679646472,10,2,53
17,41,TUBB4B,"['TUBB', 'TUBA4A', 'TUBA1B']",0.05660377358490566,0.00023239436141904416,8,3,53
18,41,RB1,"['CDC27', 'SUV39H1']",0.03773584905660377,0.03904928932065138,19,2,53
19,41,CDC7,"['DBF4B', 'DBF4']",0.03773584905660377,0.003934341247565156,6,2,53
20,41,BUB1B,"['MAD2L1', 'HASPIN', 'CDC27']",0.05660377358490566,0.02633886075580829,39,3,53
21,41,TOPBP1,"['TICRR', 'CIP2A']",0.03773584905660377,0.06894344952123288,26,2,53
22,41,PLK4,"['STIL', 'PLK4']",0.03773584905660377,0.0008126723689307417,3,2,53
23,41,CENPN,"['CENPO', 'CENPN', 'CENPL']",0.05660377358490566,4.3004744669918275e-05,5,3,53
24,41,NCAPG,"['NCAPG', 'SMC2', 'NCAPH']",0.05660377358490566,0.000344479219749226,9,3,53
25,41,CENPI,"['CENPO', 'CENPI', 'CENPL']",0.05660377358490566,0.00014698138149568337,7,3,53
26,41,TBCB,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.018982996364346257,13,2,53
27,41,TUBB8,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.00718824880485091,8,2,53
28,41,STIL,"['STIL', 'PLK4']",0.03773584905660377,0.0016079370253645692,4,2,53
29,41,TUBB2A,"['TUBA4A', 'TUBA1B']",0.03773584905660377,0.00718824880485091,8,2,53
30,41,SKA1,"['SKA1', 'SKA3']",0.03773584905660377,0.0008126723689307417,3,2,53
31,41,CENPO,"['CENPO', 'CENPI', 'CENPN']",0.05660377358490566,4.3004744669918275e-05,5,3,53
32,0,HMGCR,"['INSIG1', 'HMGCR']",0.06060606060606061,0.0010288367416164588,5,2,33
33,0,INSIG2,"['INSIG1', 'SREBF2', 'HMGCR']",0.09090909090909091,1.0112063078581518e-05,5,3,33
34,0,CYB5B,"['MSMO1', 'SQLE', 'CYP51A1']",0.09090909090909091,0.004522867863765848,33,3,33
35,0,SCAP,"['INSIG1', 'SREBF2', 'SREBF1']",0.09090909090909091,2.0080644213264027e-05,6,3,33
36,0,INSIG1,"['INSIG1', 'HMGCR']",0.06060606060606061,0.0010288367416164588,5,2,33
37,0,HSD17B7,"['LSS', 'ERG28', 'MSMO1', 'SC5D']",0.12121212121212122,1.1789746260936079e-06,9,4,33
38,24,ACTR3,"['ARPC2', 'ARPC3', 'ACTR3', 'ACTR2', 'ARPC4']",0.08196721311475409,1.5895962292296357e-06,12,5,61
39,24,EGFR,"['ACTR2', 'IQGAP1']",0.03278688524590164,0.5736776660290498,99,2,61
40,24,ARPC1A,"['ACTR2', 'ARPC5', 'ARPC4', 'ACTR3']",0.06557377049180328,1.4508477167088318e-05,9,4,61
41,24,GNAZ,"['GNB1', 'GNB2']",0.03278688524590164,0.04565920968171113,18,2,61
42,24,GNGT2,"['GNB1', 'GNB2']",0.03278688524590164,0.0035029793059162223,5,2,61
43,24,ARPC3,"['ACTR2', 'ARPC5', 'ACTR3', 'ARPC3']",0.06557377049180328,1.8038753477866237e-06,6,4,61
44,24,ARPC5L,"['ARPC5', 'ACTR3', 'ARPC1B', 'ACTR2', 'ARPC4']",0.08196721311475409,1.5895962292296357e-06,12,5,61
