,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,ORAI1,"['STIM1', 'ORAI1']",0.014814814814814815,0.045219193715917615,5,2,135
1,21,PTK2,"['TLN1', 'TSC1']",0.014814814814814815,0.5063272739356702,23,2,135
2,21,GATAD2A,"['MTA3', 'MBD2']",0.014814814814814815,0.21466054913759666,12,2,135
3,21,MTA3,"['MTA3', 'MBD2']",0.014814814814814815,0.18732933363251517,11,2,135
4,21,ATXN7L1,"['USP22', 'ATXN7L3']",0.014814814814814815,0.045219193715917615,5,2,135
5,21,BRPF3,"['ING5', 'KAT6A']",0.014814814814814815,0.24233058136381544,13,2,135
6,21,BRPF1,"['BRPF1', 'ING5', 'KAT6A']",0.022222222222222223,0.030749505897793204,10,3,135
7,21,USP22,"['USP22', 'ATXN7L3']",0.014814814814814815,0.13459551791863056,9,2,135
8,21,COG7,"['COG5', 'COG6']",0.014814814814814815,0.10973211496292361,8,2,135
9,21,ACTR3,"['ARPC3', 'ARPC2', 'ACTR2']",0.022222222222222223,0.05067325610710807,12,3,135
10,21,VAMP4,"['TMEM205', 'SNAP29']",0.014814814814814815,0.8323553475196181,43,2,135
11,21,SKAP1,"['PTPRC', 'SYK']",0.014814814814814815,0.06464958397290368,6,2,135
12,21,ATXN7,"['USP22', 'ATXN7L3']",0.014814814814814815,0.21466054913759666,12,2,135
13,21,MTA1,"['MTA3', 'MBD2']",0.014814814814814815,0.10973211496292361,8,2,135
14,21,LAMP1,"['GPR137', 'UBIAD1']",0.014814814814814815,0.24233058136381544,13,2,135
15,21,ATXN7L3,"['USP22', 'ATXN7L3']",0.014814814814814815,0.29794672704007236,15,2,135
16,21,PXN,"['TLN1', 'CAMSAP1']",0.014814814814814815,0.5063272739356702,23,2,135
17,21,MTA2,"['MTA3', 'MBD2']",0.014814814814814815,0.10973211496292361,8,2,135
18,21,ACTR3B,"['ARPC3', 'ARPC2', 'ACTR2']",0.022222222222222223,0.02271020461794956,9,3,135
19,21,STIM2,"['STIM1', 'ORAI1']",0.014814814814814815,0.014946222301178534,3,2,135
20,21,ARPC5,"['ARPC3', 'ACTR2']",0.014814814814814815,0.16055702092383986,10,2,135
21,21,RYK,"['KIDINS220', 'FZD6']",0.014814814814814815,0.16055702092383986,10,2,135
22,21,COG5,"['COG5', 'COG6']",0.014814814814814815,0.08629340379961764,7,2,135
23,21,CREB3L1,"['UBIAD1', 'CYB561D2']",0.014814814814814815,0.21466054913759666,12,2,135
24,21,ACTR2,"['ARPC3', 'ACTR2']",0.014814814814814815,0.24233058136381544,13,2,135
25,21,CD80,"['CD2', 'CD28']",0.014814814814814815,0.24233058136381544,13,2,135
26,21,SHC1,"['SOS2', 'MEMO1']",0.014814814814814815,0.16055702092383986,10,2,135
27,21,ARPC4,"['ARPC2', 'ACTR2']",0.014814814814814815,0.13459551791863056,9,2,135
28,21,ARPC3,"['ARPC3', 'ACTR2']",0.014814814814814815,0.06464958397290368,6,2,135
29,21,SRP14,"['SRP14', 'SRP9']",0.014814814814814815,0.005231740963750889,2,2,135
30,21,SNAP29,"['SNAP29', 'COG6']",0.014814814814814815,0.5295831081076215,24,2,135
31,21,ING5,"['BRPF1', 'ING5']",0.014814814814814815,0.16055702092383986,10,2,135
32,21,ENY2,"['USP22', 'ATXN7L3']",0.014814814814814815,0.13459551791863056,9,2,135
33,21,SLC7A6,"['SLC3A2', 'SLC7A6']",0.014814814814814815,0.014946222301178534,3,2,135
34,21,SLC3A2,"['SLC3A2', 'SLC7A6']",0.014814814814814815,0.16055702092383986,10,2,135
35,21,KAT6A,"['BRPF1', 'KAT6A']",0.014814814814814815,0.045219193715917615,5,2,135
36,21,EGFR,"['KIDINS220', 'SOS2', 'LRIG1', 'ACTR2']",0.02962962962962963,0.9395224271841505,99,4,135
37,21,KIDINS220,"['KIDINS220', 'XPR1']",0.014814814814814815,0.06464958397290368,6,2,135
38,21,RNF5,"['YIPF1', 'UBE2E2']",0.014814814814814815,0.5738396756814504,26,2,135
39,21,ING4,"['BRPF1', 'KAT6A']",0.014814814814814815,0.18732933363251517,11,2,135
40,21,KCMF1,"['NKAPD1', 'PGGT1B']",0.014814814814814815,0.014946222301178534,3,2,135
41,21,KAT2A,"['MBD5', 'ATXN7L3']",0.014814814814814815,0.13459551791863056,9,2,135
42,21,COG6,"['COG5', 'SNAP29', 'COG6']",0.022222222222222223,0.006358413201945429,6,3,135
43,21,CD28,"['CD2', 'CD28']",0.014814814814814815,0.10973211496292361,8,2,135
44,21,MBD2,"['MTA3', 'MBD2']",0.014814814814814815,0.13459551791863056,9,2,135
45,21,ACTR3C,"['ARPC3', 'ARPC2']",0.014814814814814815,0.045219193715917615,5,2,135
46,21,COG8,"['COG5', 'COG6']",0.014814814814814815,0.06464958397290368,6,2,135
47,21,CD2,"['CD2', 'CD28']",0.014814814814814815,0.13459551791863056,9,2,135
48,21,SRP9,"['SRP14', 'SRP9']",0.014814814814814815,0.08629340379961764,7,2,135
49,21,ATXN7L2,"['USP22', 'ATXN7L3']",0.014814814814814815,0.06464958397290368,6,2,135
50,21,XPR1,"['KIDINS220', 'XPR1']",0.014814814814814815,0.005231740963750889,2,2,135
51,21,VAMP3,"['TLN1', 'SNAP29']",0.014814814814814815,0.9409075167452182,60,2,135
52,21,STIM1,"['STIM1', 'ORAI1']",0.014814814814814815,0.02847430455136049,4,2,135
53,21,MEAF6,"['BRPF1', 'ING5']",0.014814814814814815,0.21466054913759666,12,2,135
54,21,VAMP2,"['TLN1', 'SNAP29']",0.014814814814814815,0.8116152894089222,41,2,135
55,21,BRD1,"['ING5', 'KAT6A']",0.014814814814814815,0.08629340379961764,7,2,135
56,21,DPP4,"['SLC3A2', 'PTPRC', 'LRIG1']",0.022222222222222223,0.29112203676860243,26,3,135
57,35,FOXO1,"['CCNC', 'RB1CC1']",0.05405405405405406,0.04823864526541075,18,2,37
58,33,URM1,"['CTU1', 'URM1', 'MOCS3']",0.23076923076923078,2.671032915138613e-07,3,3,13
59,33,ELP5,"['ELP3', 'ELP5', 'ELP4']",0.23076923076923078,5.277590461233538e-06,6,3,13
60,33,ELP6,"['ELP5', 'ELP4']",0.15384615384615385,0.00013481431586226893,3,2,13
61,33,ELP3,"['ELP3', 'ELP5', 'KTI12', 'ELP4']",0.3076923076923077,4.975878972647663e-08,7,4,13
