,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,SEPTIN3,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.14047325537119393,13,2,251
1,21,MYO3A,"['MYL6', 'MYL12A']",0.00796812749003984,0.3872314715094278,26,2,251
2,21,CASP8,"['CASP10', 'CASP8']",0.00796812749003984,0.08949481725044699,10,2,251
3,21,CAPN1,"['CAST', 'CAPNS1', 'MAT2B', 'CAPN2', 'CAPN1']",0.0199203187250996,3.588426449630572e-05,9,5,251
4,21,MYL9,"['STK17B', 'PRKACB']",0.00796812749003984,0.21505813275978305,17,2,251
5,21,ARPC4,"['ACTR2', 'ARPC1B']",0.00796812749003984,0.07402625967132045,9,2,251
6,21,ARF3,"['CYTH1', 'CYTH4']",0.00796812749003984,0.2729904479556243,20,2,251
7,21,DR1,"['KAT2B', 'DRAP1']",0.00796812749003984,0.08949481725044699,10,2,251
8,21,SEPTIN9,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.12283913451988042,12,2,251
9,21,ADD1,"['ADD3', 'ADD1']",0.00796812749003984,0.023536524711497298,5,2,251
10,21,CAPNS2,"['CAPN1', 'CAPN2', 'CAPNS1']",0.01195219123505976,0.012152029354814228,10,3,251
11,21,CSF1,"['FLT3LG', 'IL10RA']",0.00796812749003984,0.12283913451988042,12,2,251
12,21,TLN1,"['RSU1', 'HCLS1']",0.00796812749003984,0.5569368929570705,36,2,251
13,21,SQSTM1,"['GABARAP', 'SQSTM1', 'TENT5C']",0.01195219123505976,0.48878559338624283,51,3,251
14,21,GZMA,"['APOL3', 'GZMA']",0.00796812749003984,0.44151573959224644,29,2,251
15,21,ADD3,"['ADD3', 'ADD1']",0.00796812749003984,0.007561135189810449,3,2,251
16,21,CASP3,"['CASP10', 'CASP8']",0.00796812749003984,0.08949481725044699,10,2,251
17,21,ARF4,"['CYTH1', 'CYTH4']",0.00796812749003984,0.05953967422170587,8,2,251
18,21,ACTR3,"['HCLS1', 'ACTR2']",0.00796812749003984,0.12283913451988042,12,2,251
19,21,APOL3,"['APOL3', 'GZMA']",0.00796812749003984,0.002608700713225011,2,2,251
20,21,IL10,"['IL10RB', 'IL10RA']",0.00796812749003984,0.034124764196256575,6,2,251
21,21,EGF,"['PTGER2', 'GZMA']",0.00796812749003984,0.29233537056594017,21,2,251
22,21,ITGAX,"['ITGAL', 'ITGB7']",0.00796812749003984,0.21505813275978305,17,2,251
23,21,ARF6,"['CYTH1', 'ACAP1']",0.00796812749003984,0.2342950299790787,18,2,251
24,21,SEPTIN4,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.05953967422170587,8,2,251
25,21,AP1B1,"['NECAP2', 'AP1G2']",0.00796812749003984,0.21505813275978305,17,2,251
26,21,OSTF1,"['OSTF1', 'MYO1F']",0.00796812749003984,0.04618485326034249,7,2,251
27,21,PRMT6,"['OAS1', 'STARD10']",0.00796812749003984,0.15860452241371986,14,2,251
28,21,CD2AP,"['SH3KBP1', 'SOS1']",0.00796812749003984,0.15860452241371986,14,2,251
29,21,VAMP4,"['EVI2B', 'VAMP8', 'RETREG3']",0.01195219123505976,0.37894890389015395,43,3,251
30,21,HLA-A,"['B2M', 'LY6E']",0.00796812749003984,0.05953967422170587,8,2,251
31,21,CAST,"['CAPN1', 'CAST']",0.00796812749003984,0.002608700713225011,2,2,251
32,21,EGFR,"['SOS1', 'ACTR2']",0.00796812749003984,0.9662791293444031,99,2,251
33,21,CYTH4,"['CYTIP', 'CYTH4']",0.00796812749003984,0.14047325537119393,13,2,251
34,21,EVA1B,"['EMP3', 'ITGAL']",0.00796812749003984,0.2729904479556243,20,2,251
35,21,EVI2A,"['EVI2B', 'MAL']",0.00796812749003984,0.08949481725044699,10,2,251
36,21,ARPC5,"['ACTR2', 'ARPC1B']",0.00796812749003984,0.08949481725044699,10,2,251
37,21,MYO3B,"['MYL6', 'TWF2']",0.00796812749003984,0.4930617784704081,32,2,251
38,21,SETDB1,"['BHLHE40', 'WASHC3']",0.00796812749003984,0.2536257047278801,19,2,251
39,21,HADHA,"['SQSTM1', 'FLT3LG']",0.00796812749003984,0.3116119680503289,22,2,251
40,21,GABARAP,"['GABARAP', 'SQSTM1']",0.00796812749003984,0.21505813275978305,17,2,251
41,21,PTPRC,"['PTPRC', 'ITGAL']",0.00796812749003984,0.14047325537119393,13,2,251
42,21,CLEC7A,"['CD37', 'IL10RB']",0.00796812749003984,0.2536257047278801,19,2,251
43,21,TLR4,"['CTSS', 'XAF1']",0.00796812749003984,0.6149089035206303,40,2,251
44,21,ITGB7,"['ITGAL', 'ITGB7']",0.00796812749003984,0.17713643790307507,15,2,251
45,21,ROCK1,"['MYL12A', 'ADD1']",0.00796812749003984,0.3116119680503289,22,2,251
46,21,PARVG,"['ILK', 'PARVG']",0.00796812749003984,0.014612444130921847,4,2,251
47,21,ARPC1A,"['GMFG', 'ACTR2']",0.00796812749003984,0.07402625967132045,9,2,251
48,21,ACTR3B,"['HCLS1', 'ACTR2']",0.00796812749003984,0.07402625967132045,9,2,251
49,21,CCDC120,"['CYTH1', 'CYTH4']",0.00796812749003984,0.034124764196256575,6,2,251
50,21,CYTH1,"['CYTH1', 'CYTIP']",0.00796812749003984,0.29233537056594017,21,2,251
51,21,MYL12A,"['STK17B', 'MYL12A', 'MYO1F']",0.01195219123505976,0.016086320301905654,11,3,251
52,21,MYH14,"['MYL6', 'MYL12A']",0.00796812749003984,0.21505813275978305,17,2,251
53,21,CAPNS1,"['CAPN1', 'CAPNS1', 'CAPN2']",0.01195219123505976,0.012152029354814228,10,3,251
54,21,GMFG,"['GMFG', 'ACTR2', 'ARPC1B']",0.01195219123505976,0.0005098262486990527,4,3,251
55,21,NCK2,"['RASAL3', 'SOS1']",0.00796812749003984,0.10580781657234506,11,2,251
56,21,AP2B1,"['NECAP2', 'SYNRG', 'AP1G2']",0.01195219123505976,0.052902575772644345,17,3,251
57,21,SEPTIN1,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.10580781657234506,11,2,251
58,21,PLEKHA2,"['PLEKHA2', 'YWHAZ']",0.00796812749003984,0.023536524711497298,5,2,251
59,21,CDK2,"['CDKN1A', 'ARPC1B']",0.00796812749003984,0.3686191894584619,25,2,251
60,21,SEPTIN5,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.10580781657234506,11,2,251
61,21,IL17A,"['GZMA', 'IL10RB']",0.00796812749003984,0.3497906818030168,24,2,251
62,21,CAPZB,"['SH3KBP1', 'TWF2']",0.00796812749003984,0.15860452241371986,14,2,251
63,21,CYTH3,"['CYTH1', 'CYTIP']",0.00796812749003984,0.29233537056594017,21,2,251
64,21,FERMT2,"['ILK', 'ITGB7']",0.00796812749003984,0.08949481725044699,10,2,251
65,21,ICAM2,"['SELPLG', 'ITGAL']",0.00796812749003984,0.034124764196256575,6,2,251
66,21,FERMT3,"['ILK', 'ITGB7']",0.00796812749003984,0.07402625967132045,9,2,251
67,21,SEPTIN10,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.12283913451988042,12,2,251
68,21,REL,"['NFKBIZ', 'NFKB2']",0.00796812749003984,0.14047325537119393,13,2,251
69,21,CD81,"['CD53', 'CD37']",0.00796812749003984,0.1959810084083549,16,2,251
70,21,CASP1,"['PYCARD', 'CASP4']",0.00796812749003984,0.05953967422170587,8,2,251
71,21,ARF1,"['CYTH1', 'CYTH4']",0.00796812749003984,0.14047325537119393,13,2,251
72,21,MYO1F,"['MYL6', 'OSTF1', 'MYL12A', 'MYO1F']",0.01593625498007968,0.0033170834913764133,13,4,251
73,21,CD37,"['CD53', 'CD37']",0.00796812749003984,0.034124764196256575,6,2,251
74,21,TXN,"['GABARAP', 'GLRX']",0.00796812749003984,0.1959810084083549,16,2,251
75,21,CAPN8,"['CAPN1', 'CAPNS1']",0.00796812749003984,0.023536524711497298,5,2,251
76,21,PARVA,"['ILK', 'RSU1']",0.00796812749003984,0.08949481725044699,10,2,251
77,21,SEPTIN2,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.12283913451988042,12,2,251
78,21,MYL6,"['MYL6', 'MYO1F']",0.00796812749003984,0.15860452241371986,14,2,251
79,21,CASP10,"['CASP10', 'CASP8']",0.00796812749003984,0.014612444130921847,4,2,251
80,21,VSIR,"['SELPLG', 'ITGAL']",0.00796812749003984,0.04618485326034249,7,2,251
81,21,SEPTIN6,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.08949481725044699,10,2,251
82,21,ADD2,"['ADD3', 'ADD1']",0.00796812749003984,0.007561135189810449,3,2,251
83,21,MYO7B,"['MYL6', 'SH3KBP1']",0.00796812749003984,0.2729904479556243,20,2,251
84,21,FRMD4B,"['CYTH1', 'CYTH4']",0.00796812749003984,0.023536524711497298,5,2,251
85,21,STAT1,"['STAT1', 'STAT4']",0.00796812749003984,0.007561135189810449,3,2,251
86,21,YWHAZ,"['PLEKHA2', 'YWHAZ']",0.00796812749003984,0.3116119680503289,22,2,251
87,21,KITLG,"['SOS1', 'CXCR4']",0.00796812749003984,0.034124764196256575,6,2,251
88,21,BNIP3,"['RNASEK', 'GABARAP']",0.00796812749003984,0.21505813275978305,17,2,251
89,21,TENT5C,"['SQSTM1', 'TENT5C']",0.00796812749003984,0.04618485326034249,7,2,251
90,21,ARPC1B,"['GMFG', 'ACTR2', 'ARPC1B']",0.01195219123505976,0.008836625148055019,9,3,251
91,21,ACTR2,"['GMFG', 'ACTR2', 'ARPC1B']",0.01195219123505976,0.025851469837655624,13,3,251
92,21,LIMS1,"['ILK', 'RSU1', 'PARVG']",0.01195219123505976,0.002360045741978712,6,3,251
93,21,GMFB,"['ACTR2', 'ARPC1B']",0.00796812749003984,0.034124764196256575,6,2,251
94,21,LIMS2,"['ILK', 'RSU1', 'PARVG']",0.01195219123505976,0.0012263232600586685,5,3,251
95,21,NCOA3,"['NCOA3', 'KAT2B']",0.00796812749003984,0.40560037098305224,27,2,251
96,21,MAT2B,"['CAPN1', 'MAT2B']",0.00796812749003984,0.014612444130921847,4,2,251
