,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
13,0,complex 4609,"['SMG8', 'UPF2', 'SMG9']",0.3333333333333333,3.65496376436508e-08,3,3,9
16,0,complex 4599,"['SMG8', 'SMG9']",0.2222222222222222,3.747382133835454e-05,3,2,9
21,0,complex 4879,"['SMG8', 'UPF2']",0.2222222222222222,0.00018627673167690638,6,2,9
25,1,complex 11449,"['INTS10', 'INTS15']",0.25,9.734386825758996e-06,2,2,8
26,1,complex 14166,"['INTS13', 'INTS14', 'INTS10']",0.375,2.4366425095767197e-08,3,3,8
29,1,complex 12280,"['INTS13', 'INTS10']",0.25,5.821154209818534e-05,4,2,8
31,1,complex 11450,"['INTS10', 'INTS14', 'INTS15']",0.375,2.429020385129893e-07,5,3,8
34,1,complex 8266,"['INTS13', 'INTS14']",0.25,9.685730213796695e-05,5,2,8
49,2,complex 5180,"['INO80B', 'ACTR8', 'INO80']",0.2727272727272727,2.48770591785335e-06,7,3,11
52,2,complex 3937,"['NFRKB', 'UCHL5']",0.18181818181818182,0.0002839557677060867,6,2,11
60,2,complex 16596,"['ACTR8', 'INO80']",0.18181818181818182,1.9121116979169456e-05,2,2,11
65,2,complex 13458,"['INO80C', 'ACTR5']",0.18181818181818182,1.9121116979169456e-05,2,2,11
70,2,complex 11952,"['INO80B', 'ACTR8']",0.18181818181818182,5.721976307533688e-05,3,2,11
78,2,complex 10581,"['UCHL5', 'NFRKB', 'INO80']",0.2727272727272727,7.143478252162224e-07,5,3,11
82,2,complex 8897,"['INO80E', 'NFRKB', 'INO80']",0.2727272727272727,2.48770591785335e-06,7,3,11
88,2,complex 11061,"['UCHL5', 'INO80E', 'NFRKB', 'INO80']",0.36363636363636365,1.1957606375014267e-09,5,4,11
89,2,complex 3320,"['INO80E', 'INO80']",0.18181818181818182,5.721976307533688e-05,3,2,11
91,2,complex 3247,"['NFRKB', 'INO80E']",0.18181818181818182,0.00011415306956420477,4,2,11
92,2,complex 1003,"['NFRKB', 'INO80', 'INO80B', 'ACTR8', 'INO80E']",0.45454545454545453,5.8416799327720215e-09,18,5,11
99,2,complex 2062,"['INO80B', 'INO80']",0.18181818181818182,0.001028205461394971,11,2,11
104,2,complex 3246,"['INO80E', 'NFRKB', 'INO80']",0.2727272727272727,2.48770591785335e-06,7,3,11
111,4,complex 4656,"['GATAD1', 'SIN3B']",0.5,0.00011415306956420477,11,2,4
112,4,complex 3385,"['PHF12', 'GATAD1']",0.5,2.082460205823229e-05,5,2,4
117,4,complex 5695,"['PHF12', 'SIN3B']",0.5,0.00011415306956420477,11,2,4
124,4,complex 15560,"['GATAD1', 'SIN3B']",0.5,6.254339184402816e-06,3,2,4
127,4,complex 11984,"['PHF12', 'GATAD1']",0.5,2.085940034091213e-06,2,2,4
140,6,complex 10302,"['CCNC', 'MED14']",0.0392156862745098,0.014501999425836649,9,2,51
143,6,complex 10547,"['SGF29', 'TADA2B', 'TADA3']",0.058823529411764705,0.00017318409396758849,6,3,51
144,6,complex 10593,"['MED19', 'MED14']",0.0392156862745098,0.002587628012305504,4,2,51
147,6,complex 11096,"['TADA2B', 'TADA3']",0.0392156862745098,0.00044326225724438284,2,2,51
175,6,complex 16458,"['TAF6L', 'TADA1']",0.0392156862745098,0.00044326225724438284,2,2,51
202,6,complex 8626,"['TAF5L', 'SUPT20H']",0.0392156862745098,0.004254105953923197,5,2,51
203,6,complex 6212,"['MED19', 'MED14']",0.0392156862745098,0.006294566883901002,6,2,51
204,6,complex 8442,"['MED1', 'TADA3']",0.0392156862745098,0.02156249186264991,11,2,51
208,6,complex 2769,"['TADA1', 'SUPT7L', 'SUPT20H', 'TADA3', 'TAF5L']",0.09803921568627451,1.4939202844897118e-06,11,5,51
209,6,complex 2768,"['TAF6L', 'TADA1', 'SUPT7L']",0.058823529411764705,0.00017318409396758849,6,3,51
213,6,complex 2678,"['TAF6L', 'TADA1']",0.0392156862745098,0.02156249186264991,11,2,51
220,6,complex 2453,"['TADA1', 'SUPT20H']",0.0392156862745098,0.0013116642430681716,3,2,51
223,6,complex 2113,"['TAF5L', 'SUPT7L']",0.0392156862745098,0.02156249186264991,11,2,51
228,6,complex 2929,"['MED19', 'MED14']",0.0392156862745098,0.006294566883901002,6,2,51
230,6,complex 3673,"['SGF29', 'TADA1']",0.0392156862745098,0.004254105953923197,5,2,51
236,6,complex 3517,"['MED1', 'CCNC']",0.0392156862745098,0.11805393479644713,28,2,51
241,6,complex 3415,"['TAF6L', 'TADA1', 'TAF5L', 'SUPT7L']",0.0784313725490196,7.918326709823302e-05,12,4,51
253,6,complex 3674,"['TAF5L', 'SUPT7L', 'TADA2B', 'TADA3']",0.0784313725490196,0.000999568501603426,22,4,51
280,6,complex 922,"['MED19', 'MED1', 'MED14']",0.058823529411764705,0.007997622639312607,20,3,51
283,6,complex 1761,"['MED1', 'MED14']",0.0392156862745098,0.014501999425836649,9,2,51
294,6,complex 1500,"['MED1', 'MED14']",0.0392156862745098,0.2161403781732424,41,2,51
296,6,complex 1437,"['TAF6L', 'SUPT20H']",0.0392156862745098,0.02156249186264991,11,2,51
297,6,complex 1337,"['TAF5L', 'SUPT20H']",0.0392156862745098,0.025526946206239295,12,2,51
298,6,complex 1336,"['TADA1', 'SUPT7L', 'SUPT20H', 'TAF6L', 'TAF5L']",0.09803921568627451,6.167875236963066e-06,14,5,51
313,6,complex 5866,"['SGF29', 'TADA2B']",0.0392156862745098,0.004254105953923197,5,2,51
316,6,complex 5710,"['MED1', 'CCNC']",0.0392156862745098,0.02156249186264991,11,2,51
323,6,complex 5075,"['TAF6L', 'TADA1', 'SUPT7L']",0.058823529411764705,3.5700473830839216e-05,4,3,51
328,6,complex 8328,"['SUPT7L', 'TAF5L']",0.0392156862745098,0.0013116642430681716,3,2,51
330,6,complex 8156,"['TAF5L', 'SUPT7L', 'MED14']",0.058823529411764705,0.00029852791206484605,7,3,51
334,6,complex 7441,"['CCNC', 'MED14']",0.0392156862745098,0.002587628012305504,4,2,51
355,6,complex 5016,"['TADA2B', 'TADA3']",0.0392156862745098,0.008692982472635464,7,2,51
366,6,complex 4347,"['SGF29', 'TADA1', 'TADA2B', 'TADA3']",0.0784313725490196,1.1927944486835829e-05,8,4,51
367,6,complex 3916,"['MED1', 'CCNC']",0.0392156862745098,0.034257867578369856,14,2,51
370,6,complex 4384,"['MED1', 'MED14']",0.0392156862745098,0.017882940783132073,10,2,51
372,6,complex 4416,"['TAF6L', 'TADA1', 'SUPT20H']",0.058823529411764705,0.00017318409396758849,6,3,51
384,7,complex 5710,"['MED1', 'CCNC']",0.06451612903225806,0.008268049861683578,11,2,31
386,7,complex 5866,"['SGF29', 'TADA2B']",0.06451612903225806,0.0015778285247028674,5,2,31
400,7,complex 3517,"['MED1', 'CCNC']",0.06451612903225806,0.04960066400335523,28,2,31
404,7,complex 5075,"['TAF6L', 'TADA1', 'SUPT7L']",0.0967741935483871,7.75479420799546e-06,4,3,31
417,7,complex 4347,"['SGF29', 'TADA1', 'TADA2B']",0.0967741935483871,0.00010481306822266371,8,3,31
423,7,complex 3916,"['MED1', 'CCNC']",0.06451612903225806,0.013353855320607396,14,2,31
424,7,complex 3674,"['SUPT7L', 'TADA2B']",0.06451612903225806,0.03179500495571972,22,2,31
425,7,complex 3673,"['SGF29', 'TADA1']",0.06451612903225806,0.0015778285247028674,5,2,31
428,7,complex 4416,"['TAF6L', 'TADA1', 'SUPT20H']",0.0967741935483871,3.8097532089624604e-05,6,3,31
434,7,complex 1437,"['TAF6L', 'SUPT20H']",0.06451612903225806,0.008268049861683578,11,2,31
436,7,complex 1336,"['TAF6L', 'TADA1', 'SUPT7L', 'SUPT20H']",0.12903225806451613,2.0897734954070408e-05,14,4,31
440,7,complex 922,"['MED19', 'MED1', 'MED15']",0.0967741935483871,0.001920361057143008,20,3,31
458,7,complex 3516,"['MED1', 'MED15']",0.06451612903225806,0.0032603369127448094,7,2,31
461,7,complex 3415,"['TAF6L', 'TADA1', 'SUPT7L']",0.0967741935483871,0.00039754238270928134,12,3,31
474,7,complex 2769,"['TADA1', 'SUPT7L', 'SUPT20H']",0.0967741935483871,0.00030078752179777025,11,3,31
475,7,complex 2768,"['TAF6L', 'TADA1', 'SUPT7L']",0.0967741935483871,3.8097532089624604e-05,6,3,31
477,7,complex 2678,"['TAF6L', 'TADA1', 'MED15']",0.0967741935483871,0.00030078752179777025,11,3,31
481,7,complex 2453,"['TADA1', 'SUPT20H']",0.06451612903225806,0.00048106937646886887,3,2,31
490,7,complex 10302,"['MED15', 'CCNC']",0.06451612903225806,0.005499702413369325,9,2,31
493,7,complex 10547,"['SGF29', 'TADA2B']",0.06451612903225806,0.0023476940210094884,6,2,31
509,7,complex 16458,"['TAF6L', 'TADA1']",0.06451612903225806,0.00016166035264206902,2,2,31
539,9,complex 4733,"['ZC3H3', 'ZFC3H1']",0.4,1.0420997875779008e-05,3,2,5
551,9,complex 501,"['ZFC3H1', 'ZC3H3']",0.4,0.00015540351383292784,10,2,5
570,11,complex 836,"['SMARCB1', 'SMARCE1']",0.6666666666666666,0.00017750462056059164,19,2,3
595,11,complex 5921,"['SMARCB1', 'SMARCE1']",0.6666666666666666,0.00017750462056059164,19,2,3
598,13,complex 15043,"['MRPL16', 'MRPS23']",0.02247191011235955,0.0013614235289168652,2,2,89
611,13,complex 14129,"['PDSS2', 'PDSS1']",0.02247191011235955,0.0013614235289168652,2,2,89
615,13,complex 13816,"['MRPL45', 'MRPL37', 'MRPS23']",0.033707865168539325,0.0015510175192362627,7,3,89
628,13,complex 16251,"['SCO1', 'SCO2']",0.02247191011235955,0.003985443847480035,3,2,89
640,13,complex 13683,"['ATP5MF', 'ATP5PO']",0.02247191011235955,0.007778555021663482,4,2,89
646,13,complex 4136,"['MRPL11', 'MRPL16']",0.02247191011235955,0.007778555021663482,4,2,89
