,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,0,complex 4609,"['SMG8', 'UPF2', 'SMG9']",0.3333333333333333,3.65496376436508e-08,3,3,9
1,1,complex 14166,"['INTS13', 'INTS14', 'INTS10']",0.375,2.4366425095767197e-08,3,3,8
2,2,complex 11061,"['UCHL5', 'INO80E', 'NFRKB', 'INO80']",0.36363636363636365,1.1957606375014267e-09,5,4,11
3,4,complex 11984,"['PHF12', 'GATAD1']",0.5,2.085940034091213e-06,2,2,4
4,6,complex 2769,"['TADA1', 'SUPT7L', 'SUPT20H', 'TADA3', 'TAF5L']",0.09803921568627451,1.4939202844897118e-06,11,5,51
5,7,complex 5075,"['TAF6L', 'TADA1', 'SUPT7L']",0.0967741935483871,7.75479420799546e-06,4,3,31
6,9,complex 4733,"['ZC3H3', 'ZFC3H1']",0.4,1.0420997875779008e-05,3,2,5
7,11,complex 836,"['SMARCB1', 'SMARCE1']",0.6666666666666666,0.00017750462056059164,19,2,3
8,13,complex 1433,"['MRPS27', 'MRPS23', 'MRPL18', 'MRPS16', 'MRPS26']",0.056179775280898875,7.044138953273467e-06,9,5,89
9,14,complex 4217,"['FAM98B', 'RTRAF', 'DDX1']",0.14285714285714285,1.137952259909422e-05,6,3,21
10,15,complex 9039,"['ELP5', 'ELP4', 'KTI12', 'ELP3']",0.3076923076923077,7.743883973847998e-09,6,4,13
11,18,complex 2624,"['UBE3D', 'DNAAF2']",0.5,1.2501718712269663e-05,4,2,4
12,20,complex 7841,"['CHD4', 'MTA2']",0.6666666666666666,3.747382133835454e-05,9,2,3
13,22,complex 5023,"['KDM1A', 'RCOR1']",0.6666666666666666,4.682922323092758e-05,10,2,3
14,23,complex 12528,"['SAMD1', 'L3MBTL3']",0.6666666666666666,6.254339184402816e-06,4,2,3
16,25,complex 1507,"['MRPL35', 'MRPL21', 'MRPS2', 'MRPS21', 'RBFA', 'MRPS16', 'MRPS9', 'MRPS18C']",0.07692307692307693,9.217518414254357e-08,16,8,104
18,27,complex 16820,"['PAGR1', 'PAXIP1']",0.6666666666666666,1.0429700170456066e-06,2,2,3
22,32,complex 5868,"['ELOC', 'ELOB']",0.6666666666666666,3.1280398216691136e-06,3,2,3
24,36,complex 2867,"['LAMTOR2', 'LAMTOR3', 'RRAGA', 'RRAGC']",0.36363636363636365,2.985214984925599e-08,9,4,11
25,37,complex 3421,"['LCP2', 'ZAP70', 'SYK']",0.024193548387096774,0.0005193144114329068,4,3,124
26,38,complex 14245,"['PSIP1', 'MEN1']",0.5,2.085940034091213e-06,2,2,4
28,40,complex 4841,"['FAF2', 'UBE2G2', 'SEL1L']",0.08823529411764706,5.057372866727827e-05,6,3,34
30,43,complex 206,"['DNAJC24', 'DPH1']",0.3333333333333333,7.78751495942593e-05,6,2,6
31,44,complex 1550,"['BRD8', 'EPC1']",0.5,5.821154209818534e-05,8,2,4
35,49,complex 2636,"['RMND5A', 'GID8', 'MAEA']",1.0,4.351147338529857e-09,5,3,3
38,53,complex 9607,"['UFM1', 'DDRGK1', 'UBA5']",0.3333333333333333,1.4592397065908327e-07,4,3,9
39,54,complex 9787,"['PDHB', 'PDHA1', 'DLAT']",0.42857142857142855,6.083979054066245e-08,4,3,7
43,58,complex 11848,"['GPS2', 'YEATS2']",0.07407407407407407,0.0017800746993318767,6,2,27
44,59,complex 10023,"['EMC3', 'EMC4', 'EMC2']",1.0,4.351147338529857e-09,5,3,3
45,60,complex 2867,"['LAMTOR5', 'LAMTOR3', 'RRAGA', 'LAMTOR2', 'RRAGC']",0.3333333333333333,5.65857983024359e-10,9,5,15
46,61,complex 3235,"['PKN1', 'PAK1']",0.02857142857142857,0.03894407849904596,11,2,70
50,66,complex 10857,"['ITM2A', 'HLA-DOA']",0.028985507246376812,0.0077094289607600825,5,2,69
51,67,complex 2867,"['LAMTOR2', 'LAMTOR3', 'RRAGA', 'RRAGC']",0.4444444444444444,1.1436320741286302e-08,9,4,9
53,69,complex 6249,"['EMC4', 'EMC6', 'EMC7']",0.23076923076923078,4.962131234675241e-07,4,3,13
55,71,complex 206,"['DNAJC24', 'DPH1', 'DPH2']",0.75,3.477649062305792e-08,6,3,4
56,72,complex 15562,"['ETNK1', 'MIA3']",0.010471204188481676,0.006308230319764178,2,2,191
57,73,complex 10434,"['INIP', 'INTS6']",0.03389830508474576,0.008371498542205926,6,2,59
58,74,complex 11213,"['IST1', 'CHMP1A']",0.0425531914893617,0.0011133398176074484,3,2,47
60,76,complex 4210,"['DLD', 'GCSH', 'FDX1']",1.0,7.179393108574263e-08,11,3,3
61,77,complex 4478,"['ATG9A', 'ATG101', 'ATG14']",0.02727272727272727,0.0016960152958407195,6,3,110
63,79,complex 4278,"['DNAJC24', 'DPH2']",0.4,3.476566723485356e-06,2,2,5
