,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
3,0,complex 7878,"['SMG8', 'UPF2']",0.2222222222222222,1.2515640204547281e-05,2,2,9
9,0,complex 4628,"['SMG8', 'SMG9']",0.2222222222222222,1.2515640204547281e-05,2,2,9
13,1,complex 3628,"['INTS10', 'INTS15']",0.25,9.734386825758996e-06,2,2,8
21,1,complex 1791,"['INTS13', 'INTS14']",0.25,9.734386825758996e-06,2,2,8
25,1,complex 15134,"['INTS10', 'INTS14']",0.25,9.734386825758996e-06,2,2,8
36,2,complex 14931,"['ACTR8', 'INO80']",0.18181818181818182,1.9121116979169456e-05,2,2,11
38,2,complex 7803,"['INO80E', 'INO80']",0.18181818181818182,1.9121116979169456e-05,2,2,11
45,2,complex 3255,"['NFRKB', 'INO80E']",0.18181818181818182,1.9121116979169456e-05,2,2,11
51,2,complex 5502,"['INO80C', 'ACTR5']",0.18181818181818182,1.9121116979169456e-05,2,2,11
52,2,complex 6274,"['NFRKB', 'INO80']",0.18181818181818182,1.9121116979169456e-05,2,2,11
55,2,complex 7134,"['NFRKB', 'UCHL5']",0.18181818181818182,1.9121116979169456e-05,2,2,11
71,4,complex 5069,"['GATAD1', 'SIN3B']",0.5,2.085940034091213e-06,2,2,4
74,4,complex 6801,"['PHF12', 'GATAD1']",0.5,2.085940034091213e-06,2,2,4
101,6,complex 17489,"['TAF6L', 'TADA1']",0.0392156862745098,0.00044326225724438284,2,2,51
114,6,complex 16361,"['TADA1', 'TADA3']",0.0392156862745098,0.00044326225724438284,2,2,51
137,6,complex 8109,"['MED1', 'CCNC']",0.0392156862745098,0.00044326225724438284,2,2,51
141,6,complex 7353,"['TAF5L', 'SUPT7L']",0.0392156862745098,0.00044326225724438284,2,2,51
150,6,complex 6795,"['TADA1', 'SUPT20H']",0.0392156862745098,0.00044326225724438284,2,2,51
155,6,complex 11405,"['TAF6L', 'SUPT7L']",0.0392156862745098,0.00044326225724438284,2,2,51
161,6,complex 10618,"['SGF29', 'TADA2B']",0.0392156862745098,0.00044326225724438284,2,2,51
165,6,complex 10049,"['TADA1', 'SUPT7L']",0.0392156862745098,0.00044326225724438284,2,2,51
183,6,complex 9384,"['SGF29', 'TADA3']",0.0392156862745098,0.00044326225724438284,2,2,51
190,6,complex 14303,"['TAF5L', 'SUPT20H']",0.0392156862745098,0.00044326225724438284,2,2,51
192,6,complex 4294,"['TAF6L', 'TAF5L']",0.0392156862745098,0.00044326225724438284,2,2,51
199,6,complex 14521,"['MED19', 'MED14']",0.0392156862745098,0.00044326225724438284,2,2,51
237,6,complex 13288,"['TADA1', 'TAF5L']",0.0392156862745098,0.00044326225724438284,2,2,51
238,6,complex 13172,"['TADA2B', 'TADA3']",0.0392156862745098,0.00044326225724438284,2,2,51
242,7,complex 6795,"['TADA1', 'SUPT20H']",0.06451612903225806,0.00016166035264206902,2,2,31
252,7,complex 8109,"['MED1', 'CCNC']",0.06451612903225806,0.00016166035264206902,2,2,31
253,7,complex 10049,"['TADA1', 'SUPT7L']",0.06451612903225806,0.00016166035264206902,2,2,31
275,7,complex 10618,"['SGF29', 'TADA2B']",0.06451612903225806,0.00016166035264206902,2,2,31
