,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,41,complex 2745,"['CENPO', 'CENPI']",0.03773584905660377,0.00027382680712776346,2,2,53
1,41,complex 4615,"['TUBB', 'TUBA4A']",0.03773584905660377,0.00027382680712776346,2,2,53
2,41,complex 9718,"['NCAPG', 'NCAPH']",0.03773584905660377,0.00027382680712776346,2,2,53
3,41,complex 10197,"['TUBB', 'TUBA1B']",0.03773584905660377,0.00027382680712776346,2,2,53
4,41,complex 10265,"['CENPI', 'CENPL']",0.03773584905660377,0.00027382680712776346,2,2,53
5,41,complex 12815,"['SMC2', 'NCAPH']",0.03773584905660377,0.00027382680712776346,2,2,53
6,41,complex 14413,"['STIL', 'PLK4']",0.03773584905660377,0.00027382680712776346,2,2,53
7,41,complex 16616,"['NCAPG', 'SMC2']",0.03773584905660377,0.00027382680712776346,2,2,53
8,41,complex 21317,"['SKA1', 'SKA3']",0.03773584905660377,0.00027382680712776346,2,2,53
9,41,complex 22123,"['CENPO', 'CENPN']",0.03773584905660377,0.00027382680712776346,2,2,53
10,41,complex 24090,"['CENPN', 'CENPL']",0.03773584905660377,0.00027382680712776346,2,2,53
11,0,complex 13957,"['INSIG1', 'HMGCR']",0.06060606060606061,0.00010492057631600808,2,2,33
12,24,complex 221,"['ACTR2', 'ARPC4']",0.03278688524590164,0.00036364517927707344,2,2,61
13,24,complex 2439,"['ACTR2', 'ARPC5']",0.03278688524590164,0.00036364517927707344,2,2,61
14,24,complex 4620,"['ARPC5', 'ARPC3']",0.03278688524590164,0.00036364517927707344,2,2,61
15,24,complex 5385,"['ACTR3', 'ARPC3']",0.03278688524590164,0.00036364517927707344,2,2,61
16,24,complex 6199,"['ACTR2', 'ARPC3']",0.03278688524590164,0.00036364517927707344,2,2,61
17,24,complex 10475,"['ACTR3', 'ARPC2']",0.03278688524590164,0.00036364517927707344,2,2,61
18,24,complex 10811,"['ARPC4', 'ARPC1B']",0.03278688524590164,0.00036364517927707344,2,2,61
19,24,complex 10856,"['GNB1', 'GNAI2']",0.03278688524590164,0.00036364517927707344,2,2,61
20,24,complex 18000,"['GNB2', 'GNAI2']",0.03278688524590164,0.00036364517927707344,2,2,61
21,24,complex 19003,"['ACTR2', 'ARPC1B']",0.03278688524590164,0.00036364517927707344,2,2,61
22,24,complex 20137,"['ARPC5', 'ARPC4']",0.03278688524590164,0.00036364517927707344,2,2,61
23,24,complex 20515,"['ARPC5', 'ARPC1B']",0.03278688524590164,0.00036364517927707344,2,2,61
24,24,complex 24949,"['ACTR3', 'ACTR2']",0.03278688524590164,0.00036364517927707344,2,2,61
25,24,complex 28734,"['ACTR3', 'ARPC4']",0.03278688524590164,0.00036364517927707344,2,2,61
26,24,complex 29060,"['ARPC2', 'ARPC4']",0.03278688524590164,0.00036364517927707344,2,2,61
27,13,complex 305,"['NMI', 'IFI35']",0.021052631578947368,0.0008872544947935153,2,2,95
28,13,complex 2682,"['USP18', 'ISG15']",0.021052631578947368,0.0008872544947935153,2,2,95
29,13,complex 8533,"['IFIT3', 'IFIT1']",0.021052631578947368,0.0008872544947935153,2,2,95
30,13,complex 10160,"['GBP5', 'GBP1']",0.021052631578947368,0.0008872544947935153,2,2,95
31,13,complex 13668,"['IFI6', 'PARP9']",0.021052631578947368,0.0008872544947935153,2,2,95
32,13,complex 14512,"['IRF9', 'STAT2']",0.021052631578947368,0.0008872544947935153,2,2,95
33,13,complex 15363,"['USP18', 'STAT2']",0.021052631578947368,0.0008872544947935153,2,2,95
34,13,complex 15671,"['DTX3L', 'PARP9']",0.021052631578947368,0.0008872544947935153,2,2,95
35,13,complex 16600,"['GBP5', 'GBP4']",0.021052631578947368,0.0008872544947935153,2,2,95
36,13,complex 20188,"['GBP1', 'GBP4']",0.021052631578947368,0.0008872544947935153,2,2,95
37,13,complex 22979,"['PSME1', 'PSME2']",0.021052631578947368,0.0008872544947935153,2,2,95
38,13,complex 23452,"['TAP2', 'TAP1']",0.021052631578947368,0.0008872544947935153,2,2,95
39,13,complex 25978,"['PSMB10', 'PSMB9']",0.021052631578947368,0.0008872544947935153,2,2,95
40,13,complex 26729,"['MX2', 'MX1']",0.021052631578947368,0.0008872544947935153,2,2,95
41,13,complex 27794,"['IFI44', 'IFI44L']",0.021052631578947368,0.0008872544947935153,2,2,95
42,46,complex 1525,"['FBXL3', 'CRY2']",0.00966183574879227,0.004236764408396984,2,2,207
43,46,complex 1718,"['ZBTB25', 'ZBTB1']",0.00966183574879227,0.004236764408396984,2,2,207
44,46,complex 2738,"['CNOT8', 'CNOT6L']",0.00966183574879227,0.004236764408396984,2,2,207
45,46,complex 3881,"['KANSL1', 'EPC1']",0.00966183574879227,0.004236764408396984,2,2,207
46,46,complex 4929,"['BRD1', 'ING4']",0.00966183574879227,0.004236764408396984,2,2,207
47,46,complex 5347,"['STK4', 'TAOK1']",0.00966183574879227,0.004236764408396984,2,2,207
48,46,complex 5407,"['BRD1', 'KAT6B']",0.00966183574879227,0.004236764408396984,2,2,207
49,46,complex 5595,"['TRAF5', 'XIAP']",0.00966183574879227,0.004236764408396984,2,2,207
50,46,complex 9013,"['EPC2', 'ING4']",0.00966183574879227,0.004236764408396984,2,2,207
51,46,complex 9692,"['YIPF4', 'TMEM167B']",0.00966183574879227,0.004236764408396984,2,2,207
52,46,complex 10047,"['OGT', 'MSL2']",0.00966183574879227,0.004236764408396984,2,2,207
53,46,complex 10055,"['FOXO3', 'CREBBP']",0.00966183574879227,0.004236764408396984,2,2,207
54,46,complex 10286,"['KAT6A', 'ING4']",0.00966183574879227,0.004236764408396984,2,2,207
55,46,complex 10599,"['BRWD3', 'UBXN7']",0.00966183574879227,0.004236764408396984,2,2,207
56,46,complex 11091,"['ZKSCAN1', 'ZNF397']",0.00966183574879227,0.004236764408396984,2,2,207
57,46,complex 14226,"['OGT', 'XIAP']",0.00966183574879227,0.004236764408396984,2,2,207
58,46,complex 15081,"['ZKSCAN1', 'ZNF24']",0.00966183574879227,0.004236764408396984,2,2,207
59,46,complex 15132,"['EPC1', 'ING4']",0.00966183574879227,0.004236764408396984,2,2,207
60,46,complex 16305,"['ARID5B', 'ZMYM2']",0.00966183574879227,0.004236764408396984,2,2,207
61,46,complex 17020,"['CNOT8', 'BTG1']",0.00966183574879227,0.004236764408396984,2,2,207
62,46,complex 20171,"['BRD1', 'KAT6A']",0.00966183574879227,0.004236764408396984,2,2,207
63,46,complex 20740,"['VCPIP1', 'UBXN7']",0.00966183574879227,0.004236764408396984,2,2,207
64,46,complex 23254,"['ACVR2A', 'ACVR1']",0.00966183574879227,0.004236764408396984,2,2,207
65,46,complex 24884,"['ZNF397', 'ZNF24']",0.00966183574879227,0.004236764408396984,2,2,207
66,46,complex 26121,"['CCNT2', 'AFF1']",0.00966183574879227,0.004236764408396984,2,2,207
67,46,complex 27484,"['MEF2D', 'MEF2A']",0.00966183574879227,0.004236764408396984,2,2,207
68,39,complex 4556,"['TCP1', 'CCT6A']",0.017094017094017096,0.0013484678615159674,2,2,117
69,39,complex 5558,"['CCT8', 'TCP1']",0.017094017094017096,0.0013484678615159674,2,2,117
70,39,complex 5916,"['NME1', 'NME2']",0.017094017094017096,0.0013484678615159674,2,2,117
71,39,complex 6768,"['HSP90AA1', 'HSPH1']",0.017094017094017096,0.0013484678615159674,2,2,117
72,39,complex 7640,"['TFAM', 'CCDC59']",0.017094017094017096,0.0013484678615159674,2,2,117
73,39,complex 8638,"['HSPD1', 'HSPE1']",0.017094017094017096,0.0013484678615159674,2,2,117
74,39,complex 8670,"['CCT5', 'CCT4']",0.017094017094017096,0.0013484678615159674,2,2,117
75,39,complex 9488,"['HSP90AB1', 'HSPH1']",0.017094017094017096,0.0013484678615159674,2,2,117
76,39,complex 9663,"['EIF4A1', 'EIF4G1']",0.017094017094017096,0.0013484678615159674,2,2,117
77,39,complex 10173,"['NDUFAB1', 'LRPPRC']",0.017094017094017096,0.0013484678615159674,2,2,117
78,39,complex 10416,"['HSP90AA1', 'HSPA4']",0.017094017094017096,0.0013484678615159674,2,2,117
79,39,complex 11170,"['TXNL4A', 'PRPF31']",0.017094017094017096,0.0013484678615159674,2,2,117
80,39,complex 11487,"['TIMM13', 'TIMM10']",0.017094017094017096,0.0013484678615159674,2,2,117
81,39,complex 12704,"['DDX1', 'FAM98A']",0.017094017094017096,0.0013484678615159674,2,2,117
82,39,complex 12998,"['SF3A3', 'PRPF31']",0.017094017094017096,0.0013484678615159674,2,2,117
83,39,complex 13004,"['PPM1G', 'NSUN2']",0.017094017094017096,0.0013484678615159674,2,2,117
84,39,complex 13018,"['HSP90AB1', 'HSPA4']",0.017094017094017096,0.0013484678615159674,2,2,117
85,39,complex 13869,"['TOMM40', 'TOMM5']",0.017094017094017096,0.0013484678615159674,2,2,117
86,39,complex 14048,"['NDUFAB1', 'MALSU1']",0.017094017094017096,0.0013484678615159674,2,2,117
87,39,complex 14639,"['EIF4E', 'EIF4G1']",0.017094017094017096,0.0013484678615159674,2,2,117
88,39,complex 15595,"['TOMM22', 'TOMM5']",0.017094017094017096,0.0013484678615159674,2,2,117
89,39,complex 15989,"['TOMM40', 'TOMM22']",0.017094017094017096,0.0013484678615159674,2,2,117
90,39,complex 16570,"['SLIRP', 'LRPPRC']",0.017094017094017096,0.0013484678615159674,2,2,117
91,39,complex 17532,"['CCT5', 'CCT8']",0.017094017094017096,0.0013484678615159674,2,2,117
92,39,complex 23120,"['CCT5', 'TCP1']",0.017094017094017096,0.0013484678615159674,2,2,117
93,39,complex 23210,"['TIMM23', 'TIMM17A']",0.017094017094017096,0.0013484678615159674,2,2,117
94,39,complex 23245,"['TUFM', 'NDUFAB1']",0.017094017094017096,0.0013484678615159674,2,2,117
95,39,complex 24220,"['CCT8', 'CCT6A']",0.017094017094017096,0.0013484678615159674,2,2,117
96,39,complex 25296,"['HSP90AA1', 'AHSA1']",0.017094017094017096,0.0013484678615159674,2,2,117
97,39,complex 25595,"['CCT4', 'TCP1']",0.017094017094017096,0.0013484678615159674,2,2,117
98,39,complex 25804,"['LYAR', 'DKC1']",0.017094017094017096,0.0013484678615159674,2,2,117
99,39,complex 26408,"['ATAD3B', 'ATAD3A']",0.017094017094017096,0.0013484678615159674,2,2,117
100,39,complex 28377,"['SF3A3', 'SNRPB2']",0.017094017094017096,0.0013484678615159674,2,2,117
101,39,complex 28534,"['HSP90AB1', 'CHORDC1']",0.017094017094017096,0.0013484678615159674,2,2,117
102,39,complex 28892,"['HSP90AA1', 'CHORDC1']",0.017094017094017096,0.0013484678615159674,2,2,117
103,28,complex 5191,"['TTC4', 'HGH1']",0.01098901098901099,0.0032730053267063805,2,2,182
104,28,complex 8058,"['TAF9', 'GTF2F2']",0.01098901098901099,0.0032730053267063805,2,2,182
105,28,complex 9296,"['TRMT61A', 'TRMT6']",0.01098901098901099,0.0032730053267063805,2,2,182
106,28,complex 10041,"['MPHOSPH6', 'MTREX']",0.01098901098901099,0.0032730053267063805,2,2,182
107,28,complex 10467,"['TRMT10C', 'UTP23']",0.01098901098901099,0.0032730053267063805,2,2,182
108,28,complex 13716,"['SMARCA4', 'KDM1A']",0.01098901098901099,0.0032730053267063805,2,2,182
109,28,complex 15278,"['TAF9', 'TAF4B']",0.01098901098901099,0.0032730053267063805,2,2,182
110,28,complex 15979,"['SLX9', 'BUD23']",0.01098901098901099,0.0032730053267063805,2,2,182
111,28,complex 16150,"['MYC', 'KDM1A']",0.01098901098901099,0.0032730053267063805,2,2,182
112,28,complex 18716,"['TRUB2', 'DAP3']",0.01098901098901099,0.0032730053267063805,2,2,182
113,28,complex 19646,"['TIMM8A', 'TIMM9']",0.01098901098901099,0.0032730053267063805,2,2,182
114,28,complex 27208,"['TOMM70', 'LARP4']",0.01098901098901099,0.0032730053267063805,2,2,182
115,28,complex 28841,"['TRUB2', 'FASTKD2']",0.01098901098901099,0.0032730053267063805,2,2,182
116,28,complex 29249,"['NGDN', 'NOM1']",0.01098901098901099,0.0032730053267063805,2,2,182
117,36,complex 158,"['WDR76', 'HELLS']",0.006944444444444444,0.00821241965528027,2,2,288
118,36,complex 181,"['DTL', 'PCNA']",0.006944444444444444,0.00821241965528027,2,2,288
119,36,complex 395,"['PRIM2', 'POLA2']",0.006944444444444444,0.00821241965528027,2,2,288
120,36,complex 524,"['WDHD1', 'CDC45']",0.006944444444444444,0.00821241965528027,2,2,288
121,36,complex 997,"['GINS1', 'GINS2']",0.006944444444444444,0.00821241965528027,2,2,288
122,36,complex 1049,"['BAZ1B', 'H2AZ1']",0.006944444444444444,0.00821241965528027,2,2,288
123,36,complex 1088,"['MND1', 'PSMC3IP']",0.006944444444444444,0.00821241965528027,2,2,288
124,36,complex 1365,"['TOPBP1', 'AKT1']",0.006944444444444444,0.00821241965528027,2,2,288
125,36,complex 1588,"['RFC4', 'RFC3']",0.006944444444444444,0.00821241965528027,2,2,288
126,36,complex 2037,"['PRIM2', 'POLE2']",0.006944444444444444,0.00821241965528027,2,2,288
127,36,complex 2117,"['LIN9', 'LIN54']",0.006944444444444444,0.00821241965528027,2,2,288
128,36,complex 2402,"['VRK1', 'ALYREF']",0.006944444444444444,0.00821241965528027,2,2,288
129,36,complex 2586,"['POLD3', 'PRIM1']",0.006944444444444444,0.00821241965528027,2,2,288
130,36,complex 2677,"['DONSON', 'TOPBP1']",0.006944444444444444,0.00821241965528027,2,2,288
131,36,complex 2685,"['CEP128', 'CNTRL']",0.006944444444444444,0.00821241965528027,2,2,288
132,36,complex 2713,"['WDHD1', 'MCM10']",0.006944444444444444,0.00821241965528027,2,2,288
133,36,complex 2805,"['LIG1', 'FEN1']",0.006944444444444444,0.00821241965528027,2,2,288
134,36,complex 2984,"['WDHD1', 'LRR1']",0.006944444444444444,0.00821241965528027,2,2,288
135,36,complex 3220,"['RFC5', 'XRCC1']",0.006944444444444444,0.00821241965528027,2,2,288
136,36,complex 3423,"['TFDP1', 'E2F1']",0.006944444444444444,0.00821241965528027,2,2,288
137,36,complex 3525,"['CEP152', 'SASS6']",0.006944444444444444,0.00821241965528027,2,2,288
138,36,complex 3954,"['DSCC1', 'XRCC1']",0.006944444444444444,0.00821241965528027,2,2,288
139,36,complex 4045,"['GINS3', 'GINS1']",0.006944444444444444,0.00821241965528027,2,2,288
140,36,complex 4173,"['DSCC1', 'SMC1A']",0.006944444444444444,0.00821241965528027,2,2,288
141,36,complex 4332,"['MCM2', 'ORC6']",0.006944444444444444,0.00821241965528027,2,2,288
142,36,complex 4421,"['WDHD1', 'SMC3']",0.006944444444444444,0.00821241965528027,2,2,288
143,36,complex 4719,"['RAD51', 'FIGNL1']",0.006944444444444444,0.00821241965528027,2,2,288
144,36,complex 4804,"['TOPBP1', 'MCM10']",0.006944444444444444,0.00821241965528027,2,2,288
145,36,complex 4831,"['CEP152', 'CDK5RAP2']",0.006944444444444444,0.00821241965528027,2,2,288
146,36,complex 4998,"['TUBGCP3', 'TUBG1']",0.006944444444444444,0.00821241965528027,2,2,288
147,36,complex 5115,"['DONSON', 'MCM3']",0.006944444444444444,0.00821241965528027,2,2,288
148,36,complex 5751,"['CCDC14', 'CEP128']",0.006944444444444444,0.00821241965528027,2,2,288
149,36,complex 5827,"['WDHD1', 'GINS2']",0.006944444444444444,0.00821241965528027,2,2,288
150,36,complex 5888,"['MCM5', 'MCM2']",0.006944444444444444,0.00821241965528027,2,2,288
151,36,complex 5899,"['MCM2', 'MCM6']",0.006944444444444444,0.00821241965528027,2,2,288
152,36,complex 5905,"['CENPU', 'CENPP']",0.006944444444444444,0.00821241965528027,2,2,288
153,36,complex 5964,"['DMC1', 'RAD51']",0.006944444444444444,0.00821241965528027,2,2,288
154,36,complex 6218,"['NUP153', 'NUP43']",0.006944444444444444,0.00821241965528027,2,2,288
155,36,complex 6277,"['NUP153', 'NUP50']",0.006944444444444444,0.00821241965528027,2,2,288
156,36,complex 6443,"['NUP107', 'NDC1']",0.006944444444444444,0.00821241965528027,2,2,288
157,36,complex 6577,"['RFC4', 'RFC5']",0.006944444444444444,0.00821241965528027,2,2,288
158,36,complex 6653,"['CDC45', 'CLSPN']",0.006944444444444444,0.00821241965528027,2,2,288
159,36,complex 6847,"['RBM15', 'ALYREF']",0.006944444444444444,0.00821241965528027,2,2,288
160,36,complex 6886,"['E2F2', 'E2F1']",0.006944444444444444,0.00821241965528027,2,2,288
161,36,complex 7005,"['H2BC3', 'MACROH2A1']",0.006944444444444444,0.00821241965528027,2,2,288
162,36,complex 7020,"['DMC1', 'FIGNL1']",0.006944444444444444,0.00821241965528027,2,2,288
163,36,complex 7115,"['TIMELESS', 'MCM7']",0.006944444444444444,0.00821241965528027,2,2,288
164,36,complex 7209,"['NUP85', 'NUP43']",0.006944444444444444,0.00821241965528027,2,2,288
165,36,complex 7525,"['DNAJC9', 'CHAF1A']",0.006944444444444444,0.00821241965528027,2,2,288
166,36,complex 7615,"['DEK', 'ASF1B']",0.006944444444444444,0.00821241965528027,2,2,288
167,36,complex 7757,"['TIMELESS', 'CLSPN']",0.006944444444444444,0.00821241965528027,2,2,288
168,36,complex 7816,"['NUP85', 'NUP107']",0.006944444444444444,0.00821241965528027,2,2,288
169,36,complex 7846,"['GINS3', 'GINS2']",0.006944444444444444,0.00821241965528027,2,2,288
170,36,complex 8306,"['PRIM2', 'PRIM1']",0.006944444444444444,0.00821241965528027,2,2,288
