,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,complex 1561,"['STAT1', 'STAT4']",0.00796812749003984,0.002608700713225011,2,2,251
1,21,complex 2850,"['CAPN1', 'CAST']",0.00796812749003984,0.002608700713225011,2,2,251
2,21,complex 7141,"['GMFG', 'ARPC1B']",0.00796812749003984,0.002608700713225011,2,2,251
3,21,complex 7316,"['CD37', 'CD53']",0.00796812749003984,0.002608700713225011,2,2,251
4,21,complex 8580,"['CAPNS1', 'CAPN2']",0.00796812749003984,0.002608700713225011,2,2,251
5,21,complex 9989,"['SEPTIN6', 'SEPTIN1']",0.00796812749003984,0.002608700713225011,2,2,251
6,21,complex 10251,"['SQSTM1', 'TENT5C']",0.00796812749003984,0.002608700713225011,2,2,251
7,21,complex 10269,"['GABARAP', 'SQSTM1']",0.00796812749003984,0.002608700713225011,2,2,251
8,21,complex 10511,"['GMFG', 'ACTR2']",0.00796812749003984,0.002608700713225011,2,2,251
9,21,complex 10960,"['CAPN1', 'CAPN2']",0.00796812749003984,0.002608700713225011,2,2,251
10,21,complex 11350,"['OSTF1', 'MYO1F']",0.00796812749003984,0.002608700713225011,2,2,251
11,21,complex 12732,"['ITGAL', 'ITGB7']",0.00796812749003984,0.002608700713225011,2,2,251
12,21,complex 14512,"['IRF9', 'STAT2']",0.00796812749003984,0.002608700713225011,2,2,251
13,21,complex 15252,"['MYL6', 'MYO1F']",0.00796812749003984,0.002608700713225011,2,2,251
14,21,complex 16201,"['KAT2B', 'NCOA3']",0.00796812749003984,0.002608700713225011,2,2,251
15,21,complex 16662,"['STK17B', 'MYL12A']",0.00796812749003984,0.002608700713225011,2,2,251
16,21,complex 17488,"['PTPRC', 'ITGAL']",0.00796812749003984,0.002608700713225011,2,2,251
17,21,complex 17683,"['CASP8', 'CASP10']",0.00796812749003984,0.002608700713225011,2,2,251
18,21,complex 17967,"['CAPN1', 'CAPNS1']",0.00796812749003984,0.002608700713225011,2,2,251
19,21,complex 18864,"['CAPN1', 'MAT2B']",0.00796812749003984,0.002608700713225011,2,2,251
20,21,complex 18963,"['ILK', 'PARVG']",0.00796812749003984,0.002608700713225011,2,2,251
21,21,complex 19003,"['ACTR2', 'ARPC1B']",0.00796812749003984,0.002608700713225011,2,2,251
22,21,complex 19549,"['ADD3', 'ADD1']",0.00796812749003984,0.002608700713225011,2,2,251
23,21,complex 21662,"['APOL3', 'GZMA']",0.00796812749003984,0.002608700713225011,2,2,251
24,21,complex 24021,"['CYTH1', 'CYTIP']",0.00796812749003984,0.002608700713225011,2,2,251
25,21,complex 25593,"['PLEKHA2', 'YWHAZ']",0.00796812749003984,0.002608700713225011,2,2,251
26,21,complex 27059,"['MYL12A', 'MYO1F']",0.00796812749003984,0.002608700713225011,2,2,251
27,21,complex 28703,"['CYTIP', 'CYTH4']",0.00796812749003984,0.002608700713225011,2,2,251
28,35,complex 9258,"['BSG', 'ITGB1']",0.01282051282051282,0.0010052331991359483,2,2,156
29,35,complex 21548,"['BMAL1', 'CLOCK']",0.01282051282051282,0.0010052331991359483,2,2,156
30,35,complex 26626,"['BSG', 'ATP2B4']",0.01282051282051282,0.0010052331991359483,2,2,156
31,33,complex 782,"['SLC7A11', 'SLC3A2']",0.015384615384615385,0.0006971778639168674,2,2,130
32,33,complex 2180,"['FAM162A', 'COX6C']",0.015384615384615385,0.0006971778639168674,2,2,130
33,33,complex 5916,"['NME2', 'NME1']",0.015384615384615385,0.0006971778639168674,2,2,130
34,33,complex 18930,"['NDUFA1', 'NDUFA13']",0.015384615384615385,0.0006971778639168674,2,2,130
35,33,complex 21135,"['ODC1', 'AZIN1']",0.015384615384615385,0.0006971778639168674,2,2,130
36,33,complex 21295,"['COX6C', 'COX4I1']",0.015384615384615385,0.0006971778639168674,2,2,130
37,58,complex 1718,"['ZBTB25', 'ZBTB1']",0.008928571428571428,0.002076650486486307,2,2,224
38,58,complex 1814,"['DARS1', 'RYBP']",0.008928571428571428,0.002076650486486307,2,2,224
39,58,complex 2738,"['CNOT6L', 'CNOT8']",0.008928571428571428,0.002076650486486307,2,2,224
40,58,complex 2849,"['DDB2', 'PHPT1']",0.008928571428571428,0.002076650486486307,2,2,224
41,58,complex 6065,"['CBX5', 'KDM4B']",0.008928571428571428,0.002076650486486307,2,2,224
42,58,complex 6977,"['NBR1', 'SQSTM1']",0.008928571428571428,0.002076650486486307,2,2,224
43,58,complex 9000,"['JAK1', 'MDM2']",0.008928571428571428,0.002076650486486307,2,2,224
44,58,complex 10546,"['PIM1', 'MDM2']",0.008928571428571428,0.002076650486486307,2,2,224
45,58,complex 13310,"['ENO2', 'ENO1']",0.008928571428571428,0.002076650486486307,2,2,224
46,58,complex 17020,"['BTG1', 'CNOT8']",0.008928571428571428,0.002076650486486307,2,2,224
47,58,complex 22804,"['DDB2', 'DCAF8']",0.008928571428571428,0.002076650486486307,2,2,224
48,58,complex 23328,"['BCL6', 'AIP']",0.008928571428571428,0.002076650486486307,2,2,224
49,58,complex 27263,"['FTL', 'FTH1']",0.008928571428571428,0.002076650486486307,2,2,224
50,41,complex 46,"['RPN2', 'DDOST']",0.009174311926605505,0.0019666485408736632,2,2,218
51,41,complex 52,"['SURF4', 'KDELR1']",0.009174311926605505,0.0019666485408736632,2,2,218
52,41,complex 237,"['MLEC', 'DDOST']",0.009174311926605505,0.0019666485408736632,2,2,218
53,41,complex 560,"['SEC63', 'SEC61A1']",0.009174311926605505,0.0019666485408736632,2,2,218
54,41,complex 744,"['DDIT3', 'ATF4']",0.009174311926605505,0.0019666485408736632,2,2,218
55,41,complex 782,"['SLC7A11', 'SLC3A2']",0.009174311926605505,0.0019666485408736632,2,2,218
56,41,complex 1091,"['TMED5', 'TMED10']",0.009174311926605505,0.0019666485408736632,2,2,218
57,41,complex 1634,"['SEC61G', 'SSR3']",0.009174311926605505,0.0019666485408736632,2,2,218
58,41,complex 2090,"['DERL3', 'HERPUD1']",0.009174311926605505,0.0019666485408736632,2,2,218
59,41,complex 2146,"['SPCS3', 'HSPA13']",0.009174311926605505,0.0019666485408736632,2,2,218
60,41,complex 2680,"['HERPUD1', 'DERL1']",0.009174311926605505,0.0019666485408736632,2,2,218
61,41,complex 2873,"['SSR2', 'SSR3']",0.009174311926605505,0.0019666485408736632,2,2,218
62,41,complex 2971,"['TMED10', 'TMED9']",0.009174311926605505,0.0019666485408736632,2,2,218
63,41,complex 3322,"['DERL2', 'SEL1L']",0.009174311926605505,0.0019666485408736632,2,2,218
64,41,complex 3463,"['SYVN1', 'DERL1']",0.009174311926605505,0.0019666485408736632,2,2,218
65,41,complex 3500,"['CRELD2', 'HSP90B1']",0.009174311926605505,0.0019666485408736632,2,2,218
66,41,complex 3937,"['LMAN2', 'TMED2']",0.009174311926605505,0.0019666485408736632,2,2,218
67,41,complex 3961,"['CANX', 'SEC61B']",0.009174311926605505,0.0019666485408736632,2,2,218
68,41,complex 4102,"['USO1', 'SCFD1']",0.009174311926605505,0.0019666485408736632,2,2,218
69,41,complex 4129,"['SYVN1', 'HERPUD1']",0.009174311926605505,0.0019666485408736632,2,2,218
70,41,complex 4253,"['OS9', 'DERL2']",0.009174311926605505,0.0019666485408736632,2,2,218
71,41,complex 4508,"['SEC23B', 'YIPF5']",0.009174311926605505,0.0019666485408736632,2,2,218
72,41,complex 5102,"['SEC61G', 'SEC61A1']",0.009174311926605505,0.0019666485408736632,2,2,218
73,41,complex 5479,"['TMED10', 'TMED2']",0.009174311926605505,0.0019666485408736632,2,2,218
74,41,complex 5713,"['SEC61G', 'TMCO1']",0.009174311926605505,0.0019666485408736632,2,2,218
75,41,complex 5995,"['LRRC59', 'SND1']",0.009174311926605505,0.0019666485408736632,2,2,218
76,41,complex 6596,"['EDEM3', 'SEL1L']",0.009174311926605505,0.0019666485408736632,2,2,218
77,41,complex 6708,"['TMED2', 'TMED9']",0.009174311926605505,0.0019666485408736632,2,2,218
78,41,complex 6730,"['SSR4', 'SSR2']",0.009174311926605505,0.0019666485408736632,2,2,218
79,41,complex 6829,"['TMEM167A', 'YIPF5']",0.009174311926605505,0.0019666485408736632,2,2,218
