ensembl_id,feature_name
ENSG00000238009,RP11-34P13.7
ENSG00000239945,RP11-34P13.8
ENSG00000241860,RP11-34P13.13
ENSG00000237491,LINC01409
ENSG00000177757,FAM87B
ENSG00000225880,LINC00115
ENSG00000230699,RP11-54O7.1
ENSG00000187634,SAMD11
ENSG00000187642,PERM1
ENSG00000272512,RP11-54O7.17
ENSG00000188290,HES4
ENSG00000187608,ISG15
ENSG00000273443,RP11-54O7.18
ENSG00000237330,RNF223
ENSG00000223823,LINC01342
ENSG00000272141,RP11-465B22.8
ENSG00000186891,TNFRSF18
ENSG00000186827,TNFRSF4
ENSG00000176022,B3GALT6
ENSG00000184163,C1QTNF12
ENSG00000230415,LINC01786
ENSG00000162572,SCNN1D
ENSG00000240731,RP5-890O3.9
ENSG00000169962,TAS1R3
ENSG00000107404,DVL1
ENSG00000272455,MRPL20-DT
ENSG00000215915,ATAD3C
ENSG00000205090,TMEM240
ENSG00000215014,RP5-832C2.5
ENSG00000228594,FNDC10
ENSG00000197530,MIB2
ENSG00000272004,RP11-345P4.10
ENSG00000189339,SLC35E2B
ENSG00000169885,CALML6
ENSG00000142609,CFAP74
ENSG00000187730,GABRD
ENSG00000226969,RP11-547D24.3
ENSG00000271806,RP5-892K4.1
ENSG00000116151,MORN1
ENSG00000272420,RP4-740C4.7
ENSG00000224387,RP3-395M20.2
ENSG00000272449,RP3-395M20.12
ENSG00000142611,PRDM16
ENSG00000238260,RP11-46F15.2
ENSG00000162592,CCDC27
ENSG00000235169,SMIM1
ENSG00000198912,C1orf174
ENSG00000287586,RP1-77N19.1
ENSG00000069424,KCNAB2
ENSG00000116254,CHD5
ENSG00000271746,RP1-202O8.3
ENSG00000069812,HES2
ENSG00000231868,RP1-202O8.2
ENSG00000215788,TNFRSF25
ENSG00000162408,NOL9
ENSG00000228750,LINC01672
ENSG00000049247,UTS2
ENSG00000284747,CTA-215D11.6
ENSG00000284716,CTA-215D11.5
ENSG00000142599,RERE
ENSG00000228423,RP4-633I8.4
ENSG00000230679,ENO1-AS1
ENSG00000197241,SLC2A7
ENSG00000180758,GPR157
ENSG00000228526,MIR34AHG
ENSG00000049239,H6PD
ENSG00000179840,PIK3CD-AS1
ENSG00000231789,PIK3CD-AS2
ENSG00000223989,RP11-84A14.5
ENSG00000228150,RP11-84A14.4
ENSG00000162444,RBP7
ENSG00000054523,KIF1B
ENSG00000284735,RP4-736L20.4
ENSG00000284642,RP4-736L20.5
ENSG00000203469,RP5-1113E3.3
ENSG00000287727,RP4-734G22.4
ENSG00000120948,TARDBP
ENSG00000009724,MASP2
ENSG00000226849,RP4-635E18.7
ENSG00000230337,EXOSC10-AS1
ENSG00000225602,MTOR-AS1
ENSG00000204624,DISP3
ENSG00000284708,RP3-330O12.5
ENSG00000116661,FBXO2
ENSG00000132879,FBXO44
ENSG00000177674,AGTRAP
ENSG00000215910,C1orf167
ENSG00000177000,MTHFR
ENSG00000175206,NPPA
ENSG00000285646,RP5-934G17.7
ENSG00000116685,KIAA2013
ENSG00000120949,TNFRSF8
ENSG00000028137,TNFRSF1B
ENSG00000229484,LINC02766
ENSG00000162496,DHRS3
ENSG00000272482,RP11-474O21.5
ENSG00000116731,PRDM2
ENSG00000189337,KAZN
ENSG00000287756,RP5-864I18.1
ENSG00000175147,TMEM51-AS1
ENSG00000171729,TMEM51
ENSG00000233485,FHAD1-AS1
ENSG00000236045,RP3-467K16.7
ENSG00000228140,RP3-467K16.4
ENSG00000142634,EFHD2
ENSG00000162438,CTRC
ENSG00000116138,DNAJC16
ENSG00000237301,RP4-680D5.2
ENSG00000197312,DDI2
ENSG00000271742,RP4-680D5.9
ENSG00000162458,FBLIM1
ENSG00000179743,FLJ37453
ENSG00000065526,SPEN
ENSG00000234166,ARHGEF19-AS1
ENSG00000288398,RP4-733M16.8
ENSG00000132881,CPLANE2
ENSG00000037637,FBXO42
ENSG00000187144,SPATA21
ENSG00000226029,LINC01772
ENSG00000261135,RP4-798A10.7
ENSG00000224174,RP4-798A10.4
ENSG00000219481,NBPF1
ENSG00000228549,RP11-108M9.3
ENSG00000238142,RP11-108M9.4
ENSG00000272426,RP11-108M9.6
ENSG00000286898,RP1-37C10.7
ENSG00000226526,RP1-37C10.3
ENSG00000159339,PADI4
ENSG00000227751,RCC2-AS1
ENSG00000074964,ARHGEF10L
ENSG00000179002,TAS1R2
ENSG00000272084,RP5-1126H10.2
ENSG00000127481,UBR4
ENSG00000230424,EMC1-AS1
ENSG00000127463,EMC1
ENSG00000162482,AKR7A3
ENSG00000235185,RP5-1056L3.1
ENSG00000117215,PLA2G2D
ENSG00000158786,PLA2G2F
ENSG00000227066,RP3-340N1.2
ENSG00000117242,PINK1-AS
ENSG00000233069,RP5-930J4.2
ENSG00000127483,HP1BP3
ENSG00000075151,EIF4G3
ENSG00000287192,RP3-329E20.3
ENSG00000162551,ALPL
ENSG00000070831,CDC42
ENSG00000285752,CDC42-AS1
ENSG00000230068,CDC42-IT1
ENSG00000184677,ZBTB40
ENSG00000070886,EPHA8
ENSG00000133216,EPHB2
ENSG00000227868,TEX46
ENSG00000179546,HTR1D
ENSG00000261326,LINC01355
ENSG00000284726,RP5-1057J7.8
ENSG00000125945,ZNF436
ENSG00000285802,RP1-150O5.4
ENSG00000158055,GRHL3
ENSG00000001461,NIPAL3
ENSG00000184454,NCMAP
ENSG00000284699,RP11-373M8.2
ENSG00000231953,RP4-706G24.1
ENSG00000284602,RP3-465N24.7
ENSG00000284657,RP3-465N24.8
ENSG00000187010,RHD
ENSG00000228172,RP1-317E23.3
ENSG00000236528,RP1-125I3.2
ENSG00000182749,PAQR7
ENSG00000117632,STMN1
ENSG00000158014,SLC30A2
ENSG00000175087,PDIK1L
ENSG00000236782,ZNF593OS
ENSG00000142669,SH3BGRL3
ENSG00000169442,CD52
ENSG00000176092,CRYBG2
ENSG00000176083,ZNF683
ENSG00000131914,LIN28A
ENSG00000225891,DHDDS-AS1
ENSG00000198830,HMGN2
ENSG00000117713,ARID1A
ENSG00000175707,KDF1
ENSG00000142733,MAP3K6
ENSG00000241169,RP4-752I6.1
ENSG00000126705,AHDC1
ENSG00000233975,LINC02574
ENSG00000126709,IFI6
ENSG00000009780,FAM76A
ENSG00000269971,RP3-426I6.5
ENSG00000270031,RP3-426I6.6
ENSG00000130775,THEMIS2
ENSG00000227050,RP11-460I13.2
ENSG00000158161,EYA3
ENSG00000169403,PTAFR
ENSG00000270605,RP5-1092A3.4
ENSG00000204138,PHACTR4
ENSG00000242125,SNHG3
ENSG00000188060,RAB42
ENSG00000229388,LINC01715
ENSG00000162419,GMEB1
ENSG00000159023,EPB41
ENSG00000253304,TMEM200B
ENSG00000225750,RP11-242O24.3
ENSG00000060656,PTPRU
ENSG00000121769,FABP3
ENSG00000084636,COL16A1
ENSG00000121753,ADGRB2
ENSG00000203620,RP11-84A19.2
ENSG00000269967,RP11-84A19.4
ENSG00000184007,PTP4A2
ENSG00000228634,RP4-534N18.2
ENSG00000203325,RP11-277A4.4
ENSG00000025800,KPNA6
ENSG00000222046,DCDC2B
ENSG00000183615,FAM167B
ENSG00000175130,MARCKSL1
ENSG00000273274,ZBTB8B
ENSG00000160062,ZBTB8A
ENSG00000162520,SYNC
ENSG00000162522,KIAA1522
ENSG00000116497,S100PBP
ENSG00000160097,FNDC5
ENSG00000287691,RP5-1174N9.3
ENSG00000142920,AZIN2
ENSG00000284721,RP11-131M11.4
ENSG00000121904,CSMD2
ENSG00000230163,RP5-997D16.2
ENSG00000284640,RP11-181E22.4
ENSG00000142687,KIAA0319L
ENSG00000239636,TFAP2E-AS1
ENSG00000092853,CLSPN
ENSG00000232335,RP11-435D7.3
ENSG00000134698,AGO4
ENSG00000092847,AGO1
ENSG00000286899,RP4-789D17.6
ENSG00000126070,AGO3
ENSG00000092850,TEKT2
ENSG00000214193,SH3D21
ENSG00000142694,EVA1B
ENSG00000286379,RP11-268J15.6
ENSG00000116885,OSCP1
ENSG00000119535,CSF3R
ENSG00000116922,C1orf109
ENSG00000230955,RP11-109P14.10
ENSG00000204084,INPP5B
ENSG00000228436,RP5-864K19.4
ENSG00000158315,RHBDL2
ENSG00000127603,MACF1
ENSG00000287422,RP11-416A14.2
ENSG00000116981,NT5C1A
ENSG00000285905,BMP8B-AS1
ENSG00000261798,RP1-118J21.25
ENSG00000284719,RP1-118J21.27
ENSG00000284677,RP1-228H13.6
ENSG00000260920,RP1-228H13.5
ENSG00000238287,RP11-656D10.3
ENSG00000238186,RP11-656D10.6
ENSG00000272145,NFYC-AS1
ENSG00000117013,KCNQ4
ENSG00000179862,CITED4
ENSG00000171793,CTPS1
ENSG00000287400,RP11-399E6.6
ENSG00000197273,GUCA2A
ENSG00000066185,ZMYND12
ENSG00000186409,CCDC30
ENSG00000164007,CLDN19
ENSG00000274386,TMEM269
ENSG00000228192,RP11-342M1.3
ENSG00000227533,SLC2A1-AS1
ENSG00000186973,FAM183A
ENSG00000287113,RP1-92O14.7
ENSG00000234694,RP1-92O14.3
ENSG00000198198,SZT2
ENSG00000142949,PTPRF
ENSG00000236200,KDM4A-AS1
ENSG00000229444,ST3GAL3-AS1
ENSG00000159214,CCDC24
ENSG00000230615,RP5-1198O20.4
ENSG00000171872,KLF17
ENSG00000117425,PTCH2
ENSG00000162415,ZSWIM5
ENSG00000132763,MMACHC
ENSG00000159588,CCDC17
ENSG00000226957,RP4-533D7.4
ENSG00000171357,LURAP1
ENSG00000197587,DMBX1
ENSG00000079277,MKNK1
ENSG00000186118,TEX38
ENSG00000142973,CYP4B1
ENSG00000162366,PDZK1IP1
ENSG00000162367,TAL1
ENSG00000237424,FOXD2-AS1
ENSG00000186564,FOXD2
ENSG00000117834,SLC5A9
ENSG00000185104,FAF1
ENSG00000203356,LINC01562
ENSG00000236434,RP11-296A18.6
ENSG00000085831,TTC39A
ENSG00000085832,EPS15
ENSG00000238140,RP11-253A20.1
ENSG00000272175,RP4-657D16.6
ENSG00000169213,RAB3B
ENSG00000287078,RP11-155O18.7
ENSG00000134744,TUT4
ENSG00000162378,ZYG11B
ENSG00000203995,ZYG11A
ENSG00000162383,SLC1A7
ENSG00000226754,RP5-1024G6.5
ENSG00000174332,GLIS1
ENSG00000116205,TCEANC2
ENSG00000215883,CYB5RL
ENSG00000157216,SSBP3
ENSG00000198711,SSBP3-AS1
ENSG00000225632,RP5-997D24.3
ENSG00000287582,RP5-866L20.4
ENSG00000162390,ACOT11
ENSG00000162391,FAM151A
ENSG00000237453,RP11-67L3.2
ENSG00000287724,RP11-67L3.7
ENSG00000162402,USP24
ENSG00000162409,PRKAA2
ENSG00000157131,C8A
ENSG00000021852,C8B
ENSG00000177606,JUN
ENSG00000234807,LINC01135
ENSG00000231740,RP11-63G10.2
ENSG00000237352,LINC01358
ENSG00000224609,FGGY-DT
ENSG00000270457,RP11-467C18.1
ENSG00000162599,NFIA
ENSG00000162604,TM2D1
ENSG00000271200,PATJ-DT
ENSG00000132849,PATJ
ENSG00000240563,L1TD1
ENSG00000132854,KANK4
ENSG00000116641,DOCK7
ENSG00000203605,RP11-335E6.2
ENSG00000228734,RP11-335E6.3
ENSG00000142856,ITGB3BP
ENSG00000286429,RP11-565D17.2
ENSG00000116652,DLEU2L
ENSG00000185483,ROR1
ENSG00000223949,ROR1-AS1
ENSG00000158966,CACHD1
ENSG00000162434,JAK1
ENSG00000226891,LINC01359
ENSG00000162433,AK4
ENSG00000116678,LEPR
ENSG00000237852,RP4-630A11.3
ENSG00000285079,RP11-433N2.1
ENSG00000198160,MIER1
ENSG00000275678,RP4-547N15.3
ENSG00000162594,IL23R
ENSG00000116717,GADD45A
ENSG00000285407,RP11-520E6.1
ENSG00000223883,LINC01707
ENSG00000033122,LRRC7
ENSG00000066557,LRRC40
ENSG00000228988,RP4-677H15.4
ENSG00000226208,RP11-99H8.1
ENSG00000050628,PTGER3
ENSG00000269933,RP3-333A15.2
ENSG00000235079,ZRANB2-AS1
ENSG00000132485,ZRANB2
ENSG00000229956,ZRANB2-AS2
ENSG00000286863,RP4-660H19.2
ENSG00000162620,LRRIQ3
ENSG00000254685,FPGT
ENSG00000237324,RP11-439H8.4
ENSG00000233894,RP4-650F12.2
ENSG00000178965,ERICH3
ENSG00000272864,RP11-17E13.2
ENSG00000057468,MSH4
ENSG00000154027,AK5
ENSG00000233099,RP11-375A5.1
ENSG00000287647,RP11-40C18.2
ENSG00000077254,USP33
ENSG00000180488,MIGA1
ENSG00000235927,NEXN-AS1
ENSG00000162614,NEXN
ENSG00000162616,DNAJB4
ENSG00000273338,RP11-386I14.4
ENSG00000285928,RP11-386I14.5
ENSG00000137959,IFI44L
ENSG00000137941,TTLL7
ENSG00000271576,PRKACB-DT
ENSG00000142875,PRKACB
ENSG00000122432,SPATA1
ENSG00000117155,SSX2IP
ENSG00000223653,RP11-131L23.1
ENSG00000285210,LINC02795
ENSG00000236915,CLCA4-AS1_ENSG00000236915
ENSG00000261737,CLCA4-AS1_ENSG00000261737
ENSG00000267734,RP4-604K5.3
ENSG00000284240,LINC02801
ENSG00000237505,PKN2-AS1
ENSG00000065243,PKN2
ENSG00000117226,GBP3
ENSG00000117228,GBP1
ENSG00000286802,RP5-838N20.7
ENSG00000154451,GBP5
ENSG00000183347,GBP6
ENSG00000286548,RP4-644F6.4
ENSG00000230735,RP11-413E1.4
ENSG00000287372,RP11-259G3.1
ENSG00000272094,RP4-665J23.4
ENSG00000122482,ZNF644
ENSG00000069702,TGFBR3
ENSG00000189195,BTBD8
ENSG00000273487,RP4-621B10.8
ENSG00000174842,GLMN
ENSG00000122484,RPAP2
ENSG00000067208,EVI5
ENSG00000122483,CCDC18
ENSG00000223745,CCDC18-AS1
ENSG00000198691,ABCA4
ENSG00000286692,RP11-366L18.2
ENSG00000235501,CNN3-DT
ENSG00000226026,RP11-57H12.3
ENSG00000117569,PTBP2
ENSG00000232878,DPYD-AS1
ENSG00000232542,DPYD-IT1
ENSG00000232825,RP5-896L10.1
ENSG00000156869,FRRS1
ENSG00000117620,SLC35A3
ENSG00000122477,LRRC39
ENSG00000137992,DBT
ENSG00000228086,RP5-837M10.4
ENSG00000181656,GPR88
ENSG00000273204,RP4-549L20.3
ENSG00000162695,SLC30A7
