,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000243485,0.0,,,,,
ENSG00000237613,0.0,,,,,
ENSG00000186092,0.0,,,,,
ENSG00000238009,0.07183968873936179,0.1601314147741166,0.1771348456494052,0.9040085488941983,0.365990868322404,
ENSG00000239945,0.0011832241417098427,0.17177381259595104,1.3432876615454865,0.12787567213884843,0.8982473637839009,
ENSG00000239906,0.0,,,,,
ENSG00000241860,0.06945108377783087,0.17461426835086055,0.16124248145960074,1.0829296769078198,0.27883963815622403,
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.0,,,,,
ENSG00000236601,0.0,,,,,
ENSG00000284733,0.0,,,,,
ENSG00000235146,0.0,,,,,
ENSG00000284662,0.0,,,,,
ENSG00000229905,0.0009753599283029228,0.17835050669388344,1.3432985467330887,0.13277056476211718,0.8943748341405412,
ENSG00000237491,1.9536269471085888,-0.061490085782648245,0.03483038972427237,-1.7654148078566414,0.07749407650376973,0.5750366904769844
ENSG00000177757,0.0009894128677626244,0.17415342796783514,1.3432834855350113,0.12964756125061142,0.8968452723349898,
ENSG00000228794,0.8191829514719101,-0.029669038366802895,0.048829357204523575,-0.6076065724669081,0.5434484406746267,
ENSG00000225880,0.3673507672784345,0.027883017362958146,0.07146356574249653,0.39017109030675234,0.6964100375036051,
ENSG00000288531,0.7851295668346538,0.2203611036303072,0.06934296465778848,3.177843703651869,0.0014837471185181232,
ENSG00000230368,1.8601427209257242,0.014334494059041601,0.035182980975055234,0.40742693375540784,0.6836944484594766,0.9468443207355337
ENSG00000272438,0.00034085144743321004,0.1735707883497895,1.3433016806004632,0.12921206818724623,0.8971898472301434,
ENSG00000230699,0.012670038762721415,0.18071311985519284,0.7493817414945569,0.2411496168758809,0.8094391585326834,
ENSG00000241180,0.0,,,,,
ENSG00000223764,0.0,,,,,
ENSG00000187634,0.006385822406366825,0.16196481453015726,1.0818074248133676,0.14971686347789606,0.8809880030117794,
ENSG00000188976,6.850111437165462,-0.019092620375005136,0.01720631519183336,-1.109628654487689,0.2671590783086406,0.7817694831694656
ENSG00000187961,0.16489008189270019,0.12938623699643964,0.09391658968132457,1.3776717982996378,0.16830464232392583,
ENSG00000187583,0.038882873209858504,0.19217962206184647,0.33969529581929353,0.5657411934373079,0.5715697278663965,
ENSG00000187642,0.0,,,,,
ENSG00000272512,0.0011654890728162782,0.1731511611245285,1.3432859891604387,0.1289011889662818,0.8974358358604079,
ENSG00000188290,0.2189721749971329,0.040517287602580596,0.09664339104892859,0.41924530133744486,0.6750368675323297,
ENSG00000187608,11.928855579343677,0.030329953628771226,0.023246294755632037,1.3047220620577815,0.19198750625727234,0.7287174723227614
ENSG00000224969,0.004564052718417913,0.16422910513573474,1.3432865663799871,0.12225917331870184,0.9026937643505857,
ENSG00000188157,0.08528231908098954,0.1948643095021667,0.1576808099950897,1.2358149955485067,0.2165273396675199,
ENSG00000242590,0.0,,,,,
ENSG00000273443,0.0,,,,,
ENSG00000237330,0.0034728005974108533,0.15570348009518503,1.3432645091615143,0.11591423657309122,0.9077205126012458,
ENSG00000131591,0.5583227853256678,0.003320672420558263,0.061171024792892596,0.054285054595719126,0.9567080567001762,
ENSG00000285812,0.003880702730453665,0.16504464849517914,1.343268318647964,0.12286796777973671,0.9022116513989604,
ENSG00000223823,0.0786775074573652,0.12156801921727177,0.15555584398601952,0.7815072459006916,0.43450421671081296,
ENSG00000272141,0.006172717396459426,0.16992226074331293,1.3432316453901796,0.12650257409171908,0.8993341115862461,
ENSG00000205231,0.004896101032520129,0.17969266439226123,1.343223522986822,0.1337771869812796,0.8935787671745257,
ENSG00000162571,0.13899924198648864,0.06281555633727638,0.1132922677582593,0.5544558122122766,0.5792669386727023,
ENSG00000186891,1.1866556914448065,0.00477105659891999,0.052440954543077546,0.090979591056086,0.9275088077694212,
ENSG00000186827,0.484418843886624,-0.006854437521939495,0.0643602107141699,-0.1065011665729426,0.915184729882901,
ENSG00000078808,8.011600409189468,-0.012445904236042454,0.016065064522237032,-0.774718596294152,0.43850595993728125,0.8761518633546519
ENSG00000176022,0.7050525515956362,-0.08799445313109992,0.057262249492321074,-1.5366922171456094,0.12436869790570873,
ENSG00000184163,0.10362008203336343,0.10946488466745811,0.12934079003558965,0.8463291791965825,0.3973691343231872,
ENSG00000260179,0.09210573297480136,0.1846936996198033,0.12154127639941925,1.5195965114999057,0.12861241521013853,
ENSG00000160087,6.994498541949062,-0.026289012665825354,0.017280002345582524,-1.5213546931343964,0.12817085200074463,0.6572532861083125
ENSG00000230415,0.03371449272832198,0.1276379518651237,0.3386945374775747,0.3768527027796388,0.7062830720477882,
ENSG00000162572,0.10360101531058752,0.12932129472538595,0.13513926566943832,0.9569483309293422,0.33859333499310995,
ENSG00000131584,2.751841350562496,-0.010191827959044853,0.029386887359893258,-0.3468154974777796,0.7287299336300982,0.9575406590595595
ENSG00000169972,1.2029325328492517,-0.02080897579424642,0.04067830505225858,-0.5115497257693888,0.6089661784662586,
ENSG00000127054,4.5957155109136165,0.027165027027293415,0.021571294915111578,1.2593136913752543,0.2079170498714804,0.7428276950841057
ENSG00000240731,0.0031926769548131953,0.17227435104101604,1.3433023050784108,0.1282468960186591,0.8979535887963931,
ENSG00000224051,2.242911956340876,-0.027587875837383712,0.03238419696558666,-0.8518931584655379,0.3942733944030684,0.8563354519972094
ENSG00000169962,0.22829930410920196,0.02661598555958264,0.10234400051983786,0.2600639551355385,0.7948144411423689,
ENSG00000107404,0.2915637284471072,0.10630395867600252,0.07792855490093968,1.3641207489492493,0.17252956545198916,
ENSG00000162576,0.018309238140429982,0.16014930881378378,0.6531858469334931,0.24518184153198602,0.806315635719877,
ENSG00000175756,18.021050637362922,-0.017269936890086275,0.010947286871144801,-1.577554063702022,0.11466809256382901,0.6363409868269764
ENSG00000221978,4.506169482506094,-0.011678329909884858,0.021347134952644498,-0.5470677885248548,0.5843321610990002,0.925422926872404
ENSG00000224870,2.3838333237412184,0.04679062103431498,0.02866140341007082,1.6325307021732947,0.10256773615279038,0.6193145863721831
ENSG00000242485,11.288476740267031,0.02906737210410901,0.014785033303998907,1.9659997719617688,0.04929863695264725,0.5074181254300357
ENSG00000272455,0.05083900760317776,0.1505349165114125,0.26803052186483173,0.5616334866046617,0.5743657601861276,
ENSG00000235098,0.0642444667566425,0.17737633690372884,0.16084762368518024,1.102760070928368,0.2701313722046751,
ENSG00000225905,0.0,,,,,
ENSG00000205116,0.0066363471766394564,0.18052906840455454,1.3432502607265,0.13439719587838755,0.8930884988843262,
ENSG00000225285,0.0005280633522555655,0.17237832878931225,1.3433000195105786,0.12832451893517952,0.8978921622105691,
ENSG00000179403,0.0011543611756292095,0.16875855270274442,1.3433033565298182,0.12562951762340688,0.9000251963807295,
ENSG00000215915,0.4225876253049153,0.01762761130034163,0.07302068992217865,0.2414057073293631,0.8092406897333342,
ENSG00000160072,1.1526615918565282,0.008057266499600015,0.04237362143843836,0.1901481682727035,0.849193025737161,
ENSG00000197785,1.3392083724080537,0.025773985522928495,0.0395209157627292,0.6521606350841455,0.5142975514497796,
ENSG00000205090,0.02040167398496373,0.15976641636482636,0.4432942888399661,0.3604071164167507,0.7185427055900557,
